s,o,h,l,c,v,t
ok,374.54,411.95,374.54,381.0,487186,1694908800
ok,384.85,384.85,373.46,376.39,192130,1694995200
ok,376.39,376.39,368.23,373.69,220056,1695081600
ok,374.85,381.77,371.92,372.69,286708,1695254400
ok,368.69,377.92,355.76,356.45,159725,1695513600
ok,354.06,361.76,351.06,354.06,142761,1695600000
ok,354.06,369.54,354.06,367.69,151068,1695686400
ok,365.61,374.46,362.53,368.69,122887,1695772800
ok,365.61,365.61,354.83,355.99,116239,1696118400
ok,350.99,359.14,350.99,358.68,102400,1696204800
ok,354.06,359.45,354.06,354.29,80679,1696291200
ok,351.75,361.68,350.22,356.37,92751,1696377600
ok,352.6,357.91,352.6,352.68,64915,1696464000
ok,346.37,351.75,340.29,342.52,124649,1696723200
ok,338.67,345.6,336.67,340.06,76160,1696809600
ok,335.59,340.06,333.51,333.74,57185,1696896000
ok,330.97,342.52,330.43,333.67,64213,1696982400
ok,331.05,334.82,326.35,326.82,64409,1697068800
ok,320.35,323.66,309.42,314.12,87805,1697414400
ok,307.88,325.51,307.88,316.73,52689,1697500800
ok,316.35,324.05,311.11,320.97,41100,1697587200
ok,316.35,324.05,316.35,320.04,28922,1697673600
ok,314.81,315.58,310.34,312.12,34681,1698537600
ok,311.73,312.5,307.88,312.5,28848,1698624000
ok,312.5,312.5,308.04,309.73,25757,1698710400
ok,307.88,313.27,306.5,307.88,32091,1698796800
ok,304.11,314.04,304.11,307.88,32962,1698883200
ok,301.72,308.65,300.18,302.49,25038,1699142400
ok,300.18,307.88,300.18,306.03,23181,1699228800
ok,305.57,321.74,304.8,318.66,64744,1699315200
ok,323.28,327.89,313.27,320.97,56829,1699401600
ok,314.81,327.36,314.81,319.43,37056,1699488000
ok,315.58,329.43,315.58,323.28,54125,1700438400
ok,319.43,323.28,316.35,317.04,43777,1700524800
ok,311.81,328.13,311.81,323.28,55426,1700611200
ok,317.2,349.37,317.2,338.67,119970,1700697600
ok,335.59,361.84,335.59,361.76,165042,1700956800
ok,357.91,368.69,350.29,358.76,162875,1701043200
ok,357.91,365.84,354.91,361.68,96760,1701129600
ok,361.68,364.07,350.99,351.75,68544,1701216000
ok,344.75,364.07,344.75,354.06,71157,1701302400
ok,348.06,355.6,348.06,351.75,58396,1701561600
ok,347.98,363.3,347.98,359.45,92194,1701648000
ok,365.61,371.0,361.76,365.22,108588,1701734400
ok,365.22,377.92,363.3,375.69,151676,1701820800
ok,369.54,377.92,365.76,374.31,163473,1701907200
ok,377.16,396.4,377.16,395.63,39065,1702166400
ok,400.25,400.25,380.23,399.94,325267,1702252800
ok,399.86,421.03,397.94,417.18,267573,1702339200
ok,423.34,425.65,412.56,417.95,202768,1702425600
ok,426.26,426.26,407.94,421.03,213185,1702512000
ok,412.64,429.42,405.71,424.88,297715,1702771200
ok,419.49,436.35,419.49,427.19,222876,1702857600
ok,419.49,461.82,419.49,454.13,214105,1702944000
ok,446.43,465.67,446.43,455.67,282935,1703030400
ok,454.13,460.28,446.66,450.28,229637,1703116800
ok,454.13,464.13,442.66,457.97,285552,1703376000
ok,457.97,464.13,449.74,450.28,213685,1703635200
ok,442.73,454.13,442.73,447.97,222384,1703721600
ok,447.97,451.82,436.04,436.5,172131,1704067200
ok,431.03,434.88,417.95,419.57,178303,1704153600
ok,415.64,424.88,404.09,423.34,156218,1704240000
ok,427.19,435.65,419.49,419.57,208839,1704326400
ok,411.18,419.41,408.79,411.79,125364,1704585600
ok,419.49,431.03,413.33,427.96,169677,1704672000
ok,429.5,438.81,427.19,429.5,215326,1704758400
ok,438.04,464.44,438.04,445.58,496040,1704844800
ok,450.28,450.28,438.73,439.5,167643,1704931200
ok,442.58,443.35,434.88,435.65,131023,1705190400
ok,435.65,460.28,435.65,454.13,228431,1705363200
ok,454.13,471.06,444.43,444.89,198057,1705449600
ok,444.97,448.04,437.19,442.89,115513,1705536000
ok,451.74,452.59,438.73,440.96,160835,1705795200
ok,440.96,450.35,435.65,442.58,187913,1705881600
ok,434.11,447.97,434.11,439.5,83789,1705968000
ok,446.43,447.2,437.96,440.27,93152,1706054400
ok,440.27,442.58,437.19,438.73,123970,1706140800
ok,438.73,447.2,438.73,444.5,300619,1706400000
ok,453.3,459.82,435.8,436.61,76971,1706486400
ok,428.57,443.04,425.27,428.3,96510,1706572800
ok,427.68,430.36,415.18,418.75,72717,1706659200
ok,410.8,418.75,406.25,408.04,43310,1706745600
ok,402.23,408.04,398.39,403.39,38471,1707004800
ok,402.68,407.14,398.66,399.55,40906,1707091200
ok,403.57,406.96,400.18,402.68,28363,1707177600
ok,397.32,421.43,397.32,421.43,141965,1707264000
ok,424.2,428.57,419.64,420.09,73145,1707350400
ok,419.64,428.57,412.59,414.82,40826,1707609600
ok,408.93,419.64,408.93,415.18,28273,1707696000
ok,411.61,415.18,401.79,406.25,40983,1707782400
ok,400.36,412.5,400.36,405.54,31667,1707868800
ok,401.96,406.25,398.93,400.0,30523,1707955200
ok,398.3,403.57,392.86,393.75,38354,1708214400
ok,390.27,400.0,390.18,394.64,32611,1708387200
ok,390.18,397.32,385.0,386.88,45804,1708473600
ok,383.93,392.86,382.23,382.68,37209,1708560000
ok,388.39,392.86,378.66,378.75,36823,1708819200
ok,375.0,386.07,374.64,383.93,30389,1708905600
ok,377.68,387.05,377.68,382.14,26847,1708992000
ok,379.46,386.61,379.46,381.25,22610,1709078400
ok,376.88,383.04,372.32,374.11,26819,1709164800
ok,368.75,375.0,366.07,369.73,27869,1709424000
ok,376.79,406.7,376.79,406.7,1815,1709510400
ok,410.71,410.71,385.71,385.71,60069,1709596800
ok,382.32,391.61,378.57,384.82,30085,1709683200
ok,384.82,394.64,384.82,390.27,24279,1709769600
ok,391.07,400.09,391.07,396.88,31290,1710028800
ok,396.43,425.89,396.43,425.89,92829,1710201600
ok,417.41,434.82,415.18,421.43,57914,1710288000
ok,424.11,424.11,406.34,409.73,33317,1710374400
ok,406.25,416.07,404.46,407.14,34984,1710633600
ok,402.68,408.93,400.0,403.57,26652,1710720000
ok,401.79,410.45,400.0,400.89,31244,1710806400
ok,402.68,408.04,393.75,396.88,26062,1710892800
ok,393.39,399.11,390.18,390.71,36131,1710979200
ok,392.86,398.48,387.5,389.29,18747,1711324800
ok,389.29,399.11,388.39,392.5,24843,1711411200
ok,392.5,397.32,387.5,391.07,28505,1711497600
ok,390.63,395.98,384.91,391.96,23561,1711584000
ok,388.39,392.86,386.61,387.68,21106,1711843200
ok,381.25,394.64,381.25,387.5,21306,1711929600
ok,387.5,392.86,384.91,388.48,16426,1712016000
ok,388.48,396.25,388.48,390.71,20330,1712102400
ok,386.61,392.41,383.93,384.91,36531,1712188800
ok,377.23,394.64,377.23,394.64,52195,1712448000
ok,396.43,401.79,390.18,390.27,37439,1712620800
ok,390.18,396.43,383.04,388.04,48902,1712707200
ok,382.23,386.61,382.23,384.38,22339,1713052800
ok,383.04,387.5,382.14,382.23,27603,1713139200
ok,381.34,383.93,379.55,380.36,22954,1713225600
ok,377.14,381.07,375.0,375.89,24011,1713398400
ok,383.39,386.16,372.32,383.93,23437,1713657600
ok,390.98,390.98,376.34,376.61,24994,1713744000
ok,375.0,380.8,375.0,376.7,25213,1713916800
ok,375.98,381.25,375.89,377.68,21457,1714003200
ok,376.79,383.93,375.09,379.38,23477,1714262400
ok,380.36,387.95,378.57,378.57,19162,1714348800
ok,375.89,392.86,375.89,387.41,37022,1714435200
ok,395.09,400.0,386.61,386.61,62417,1714608000
ok,381.25,388.39,379.46,380.36,31963,1714867200
ok,387.95,395.54,378.21,381.25,69367,1714953600
ok,382.14,388.39,380.36,380.63,17579,1715040000
ok,379.55,383.93,377.5,377.5,19298,1715126400
ok,382.14,382.14,373.21,375.89,31430,1715212800
ok,375.89,388.39,375.89,381.34,34083,1715472000
ok,375.0,387.77,375.0,384.82,35680,1715558400
ok,390.18,390.18,382.14,386.07,26837,1715644800
ok,393.75,393.75,381.25,382.23,34483,1715731200
ok,382.23,383.93,378.04,382.95,25913,1715817600
ok,390.54,406.25,383.93,398.21,127768,1716076800
ok,404.11,410.71,392.86,395.54,80491,1716163200
ok,393.04,400.8,391.07,397.86,35980,1716249600
ok,392.86,400.71,392.86,395.18,52775,1716336000
ok,392.95,393.13,388.57,391.07,36164,1716681600
ok,388.39,394.64,386.61,390.89,25304,1716768000
ok,397.77,398.21,382.41,383.04,47692,1716940800
ok,383.93,385.71,379.64,380.63,23961,1717027200
ok,383.93,400.0,377.23,383.04,38368,1717286400
