s,o,h,l,c,v,t
ok,350.99,370.67,343.73,370.67,1965,1674604800
ok,370.67,407.67,370.67,407.67,1160,1674691200
ok,415.74,448.39,415.74,448.39,1815,1674950400
ok,457.28,493.2,457.28,471.43,332697,1675036800
ok,476.15,476.15,455.29,461.73,132067,1675123200
ok,456.65,465.17,453.65,458.01,38506,1675209600
ok,464.36,464.36,444.59,448.94,53653,1675296000
ok,453.47,456.19,444.4,444.68,45585,1675555200
ok,444.4,446.13,436.42,438.06,28038,1675641600
ok,435.33,462.0,435.33,459.82,50596,1675728000
ok,468.98,470.71,456.92,456.92,51613,1675814400
ok,453.47,461.64,453.47,458.92,27221,1675900800
ok,449.76,457.1,441.68,445.58,40248,1676160000
ok,444.4,448.94,441.68,442.68,36181,1676332800
ok,448.85,448.85,440.78,441.68,28795,1676419200
ok,439.87,444.22,435.7,436.42,28057,1676505600
ok,435.33,442.5,435.33,440.78,23780,1676851200
ok,440.78,456.92,439.96,450.03,33192,1677024000
ok,445.4,448.85,438.06,439.96,36749,1677110400
ok,432.61,444.4,419.01,443.5,49016,1677369600
ok,447.12,447.12,433.16,445.31,27603,1677456000
ok,445.31,447.12,436.51,439.87,21115,1677542400
ok,438.96,441.68,432.8,432.8,23740,1677628800
ok,427.17,431.71,423.54,423.54,36071,1677715200
ok,423.54,431.43,418.37,419.01,22983,1677974400
ok,419.01,428.08,417.2,423.54,17078,1678147200
ok,423.54,435.24,423.54,434.25,16104,1678320000
ok,441.23,441.68,427.17,427.17,32283,1678579200
ok,427.17,434.43,418.65,419.92,18443,1678665600
ok,419.92,425.36,414.47,420.82,24178,1678752000
ok,420.82,424.45,408.13,410.03,81950,1678838400
ok,401.87,413.57,401.87,409.03,19060,1678924800
ok,410.03,410.03,402.68,402.78,14015,1679184000
ok,402.87,412.66,402.87,406.4,17402,1679270400
ok,414.47,414.47,400.87,400.96,25796,1679443200
ok,400.96,406.31,399.15,400.24,12334,1679529600
ok,400.24,403.59,392.71,393.62,14276,1679788800
ok,387.27,406.31,387.27,402.5,15945,1679875200
ok,402.5,408.94,401.78,406.31,17472,1679961600
ok,400.05,405.31,393.62,393.62,23434,1680048000
ok,399.06,406.22,393.62,395.43,16104,1680134400
ok,395.43,409.94,392.44,396.25,15253,1680393600
ok,390.08,395.43,389.08,391.35,12510,1680480000
ok,397.7,397.7,386.45,387.27,26860,1680566400
ok,387.27,391.8,385.45,389.53,10607,1680652800
ok,389.53,394.52,388.81,389.08,14437,1680739200
ok,382.73,390.35,377.38,380.92,17906,1680998400
ok,382.73,385.36,379.19,381.82,19816,1681084800
ok,389.35,389.35,380.1,380.92,15180,1681171200
ok,385.45,400.87,385.45,400.87,26548,1681257600
ok,403.59,407.22,389.99,393.62,21156,1681344000
ok,393.62,399.06,391.08,396.34,9753,1681603200
ok,399.06,399.06,387.27,389.99,13087,1681689600
ok,392.71,392.71,384.82,386.36,8893,1681776000
ok,386.36,394.52,385.54,394.52,8040,1681862400
ok,390.89,394.52,387.27,389.08,7451,1681948800
ok,389.08,391.8,381.82,386.9,12449,1682208000
ok,386.9,389.9,381.82,386.36,32052,1682294400
ok,381.92,389.99,380.92,388.45,25233,1682380800
ok,385.54,392.16,385.45,385.54,8705,1682467200
ok,385.54,388.08,380.92,382.73,18761,1682553600
ok,382.73,385.0,376.38,381.64,14085,1682812800
ok,384.45,385.36,377.38,380.92,11669,1682985600
ok,380.92,380.92,375.48,379.01,6099,1683072000
ok,383.64,394.25,378.29,381.1,13563,1683158400
ok,381.1,383.46,376.38,379.1,8140,1683417600
ok,379.1,379.1,374.03,376.84,12442,1683504000
ok,376.84,383.64,372.94,378.2,13401,1683590400
ok,378.2,379.1,375.57,375.57,7875,1683676800
ok,375.57,379.1,370.03,376.29,7217,1683763200
ok,380.01,384.55,371.85,375.48,15570,1684022400
ok,373.66,376.29,371.03,375.48,15168,1684108800
ok,375.48,382.46,369.22,372.76,12355,1684195200
ok,379.92,385.27,374.57,383.64,16646,1684281600
ok,383.64,395.34,383.64,393.62,27250,1684368000
ok,393.62,404.41,390.26,392.71,36575,1684627200
ok,392.71,404.5,386.72,404.32,56040,1684713600
ok,408.04,424.45,403.59,421.28,111353,1684800000
ok,421.28,430.53,413.11,427.17,26524,1684886400
ok,435.15,435.61,417.2,418.01,66673,1685232000
ok,409.94,412.66,397.24,402.68,65840,1685404800
ok,396.34,404.5,383.09,385.45,60660,1685491200
ok,393.16,399.06,378.2,394.16,33276,1685577600
ok,401.78,417.2,401.78,411.75,28019,1685836800
ok,411.75,417.2,403.68,405.41,39404,1685923200
ok,405.41,421.73,399.96,418.1,53478,1686009600
ok,425.18,425.36,414.29,420.82,52090,1686096000
ok,412.84,439.87,412.84,438.06,74260,1686182400
ok,439.87,454.38,439.87,450.75,78546,1686441600
ok,453.47,453.47,438.06,444.4,73031,1686528000
ok,438.15,463.45,438.15,453.47,114548,1686614400
ok,462.54,483.77,457.1,466.17,131392,1686700800
ok,462.54,507.07,458.92,494.29,116936,1686787200
ok,493.38,534.19,491.57,534.1,171616,1687046400
ok,544.71,544.71,512.43,514.24,169985,1687132800
ok,514.24,526.03,492.47,499.73,159808,1687219200
ok,499.73,519.68,494.29,512.52,138294,1687305600
ok,522.4,531.92,506.08,526.03,163772,1687392000
ok,536.55,571.38,535.1,567.75,280107,1687651200
