s,o,h,l,c,v,t
ok,333.47,345.4,333.47,337.73,43573,1684627200
ok,331.22,344.15,331.14,343.74,20116,1684713600
ok,337.06,360.34,337.06,358.75,24766,1684800000
ok,358.75,365.93,352.08,360.42,26171,1684886400
ok,360.42,367.1,346.24,346.24,30792,1685232000
ok,346.24,346.99,335.39,335.48,26241,1685404800
ok,333.72,342.07,324.55,325.46,15572,1685491200
ok,325.46,337.81,325.38,331.8,17526,1685577600
ok,329.55,352.0,329.55,345.4,20073,1685836800
ok,342.07,353.25,340.23,353.25,34941,1685923200
ok,346.24,365.43,342.15,361.26,37275,1686009600
ok,361.26,371.27,356.25,362.92,40748,1686096000
ok,362.92,393.79,358.75,376.27,82220,1686182400
ok,383.78,413.82,377.94,402.97,99353,1686441600
ok,404.64,410.48,397.55,404.64,46221,1686528000
ok,396.55,427.0,396.38,412.98,88821,1686614400
ok,412.15,427.17,407.14,417.15,105570,1686700800
ok,408.81,444.35,408.81,441.35,81479,1686787200
ok,441.35,467.71,439.68,467.21,111573,1687046400
ok,476.56,476.56,445.77,459.7,120933,1687132800
ok,458.87,467.21,442.18,443.02,58249,1687219200
ok,434.26,458.04,434.26,446.36,61832,1687305600
ok,450.53,463.04,442.18,458.87,97740,1687392000
ok,463.04,499.08,463.04,499.08,169906,1687651200
ok,509.01,517.19,484.73,484.82,97279,1687737600
ok,484.73,503.09,475.56,479.73,73392,1687824000
ok,479.73,502.25,472.22,490.57,106697,1687910400
ok,490.57,507.26,481.48,492.24,129138,1688256000
ok,482.48,498.92,478.89,483.07,63654,1688342400
ok,483.9,488.07,469.72,480.48,47284,1688428800
ok,471.39,483.9,457.2,462.21,63390,1688515200
ok,458.87,467.21,448.86,457.12,47513,1688601600
ok,450.53,473.89,450.53,473.89,50579,1688860800
ok,473.89,487.24,467.21,475.56,47162,1688947200
ok,467.21,475.97,465.54,475.56,28262,1689033600
ok,467.3,475.56,467.3,473.8,40013,1689120000
ok,473.89,482.23,460.79,460.96,39668,1689206400
ok,457.2,469.72,457.2,463.88,21147,1689465600
ok,458.87,479.73,457.2,475.72,35502,1689552000
ok,475.56,494.75,475.56,481.4,62290,1689638400
ok,482.23,485.57,471.39,471.39,50842,1689724800
ok,467.21,476.56,467.21,468.88,25126,1689811200
ok,461.37,479.73,461.37,471.39,44357,1690070400
ok,463.88,478.89,463.88,473.89,46718,1690156800
ok,473.89,479.73,466.05,466.05,34218,1690243200
ok,464.71,469.72,460.71,463.88,27486,1690329600
ok,460.62,472.22,455.53,458.87,26802,1690416000
ok,458.87,463.04,445.52,447.94,44307,1690675200
ok,447.94,455.53,443.02,448.52,19685,1690761600
ok,450.03,463.88,436.68,437.18,16508,1690848000
ok,428.58,445.52,428.58,438.01,10816,1690934400
ok,446.77,453.86,438.01,443.1,24985,1691020800
ok,434.76,450.53,429.75,433.84,19435,1691280000
ok,438.01,451.36,425.5,433.84,14717,1691366400
ok,442.18,450.53,425.5,427.17,27931,1691452800
ok,423.08,442.18,423.0,435.76,16159,1691539200
ok,435.51,451.03,427.33,446.36,18179,1691625600
ok,446.36,446.36,434.01,445.52,20243,1691884800
ok,438.01,454.7,438.01,443.1,36089,1691971200
ok,442.18,443.85,431.5,433.84,20593,1692057600
ok,433.84,433.84,426.42,428.84,19839,1692144000
ok,436.34,451.36,429.67,443.85,36757,1692230400
ok,435.51,440.52,433.26,437.18,15949,1692489600
ok,437.18,442.27,428.84,432.17,16624,1692576000
ok,433.84,439.18,428.84,438.76,9119,1692662400
ok,442.02,454.7,437.18,454.7,67742,1692748800
ok,452.2,456.78,441.77,442.18,40419,1692835200
ok,443.85,443.85,432.42,437.09,19842,1693094400
ok,428.84,443.85,428.84,436.76,13348,1693180800
ok,445.44,445.44,429.75,431.17,11860,1693267200
ok,431.17,433.01,428.84,429.09,14379,1693353600
ok,425.5,428.0,416.32,421.16,31970,1693699200
ok,412.98,427.17,412.57,418.82,15005,1693785600
ok,411.31,421.33,410.56,411.15,11033,1693872000
ok,408.81,412.98,400.64,402.14,11882,1694044800
ok,396.3,403.81,396.3,398.47,20640,1694304000
ok,392.96,424.58,392.96,416.32,20984,1694390400
ok,408.9,418.82,405.89,413.82,14257,1694476800
ok,408.81,432.51,408.81,430.5,28300,1694563200
ok,422.16,425.41,411.31,413.82,29262,1694908800
ok,407.14,421.33,405.56,417.99,9326,1694995200
ok,410.9,424.66,410.9,421.33,13940,1695081600
ok,425.5,437.18,423.08,430.5,49608,1695254400
ok,425.5,430.5,417.15,419.66,20934,1695513600
ok,418.82,425.5,413.82,417.07,11230,1695600000
ok,416.32,425.5,416.32,421.33,19877,1695686400
ok,413.07,420.49,413.07,417.99,15635,1695772800
ok,411.31,414.65,403.97,407.98,17644,1696118400
ok,401.3,416.07,400.47,409.65,16311,1696204800
ok,401.72,406.31,401.47,401.47,6083,1696291200
ok,395.55,423.0,395.55,404.64,9881,1696377600
ok,398.88,403.81,398.47,402.55,17806,1696464000
ok,399.63,400.47,382.11,383.78,19069,1696723200
ok,377.11,386.29,375.44,379.61,12611,1696809600
ok,372.1,386.29,372.02,372.85,15537,1696896000
ok,367.93,388.87,367.93,388.87,11339,1696982400
ok,381.11,381.11,367.18,372.52,10748,1697068800
ok,367.1,367.1,348.66,357.08,26607,1697414400
ok,352.08,363.68,352.08,352.91,6101,1697500800
ok,350.41,367.1,349.58,360.42,9997,1697587200
ok,355.42,367.1,354.75,362.76,13771,1697673600
ok,356.5,356.5,350.41,352.25,5377,1698537600
ok,359.25,363.76,346.24,363.76,10932,1698624000
ok,357.92,358.75,348.74,358.75,4122,1698710400
ok,358.75,358.75,347.07,351.24,5346,1698796800
ok,347.07,365.34,344.82,349.49,9506,1698883200
ok,343.07,343.74,334.98,341.9,13314,1699142400
ok,335.14,349.58,335.14,349.58,11991,1699228800
ok,349.58,353.75,344.07,351.66,6213,1699315200
ok,349.58,357.42,346.24,354.58,5674,1699401600
ok,350.41,361.26,345.49,348.74,9178,1699488000
ok,350.41,358.75,347.57,353.75,12309,1700438400
ok,347.32,350.41,342.98,344.82,4793,1700524800
ok,344.57,353.75,340.15,353.75,8975,1700611200
ok,347.07,382.95,347.07,382.95,30831,1700697600
ok,378.78,403.31,375.44,398.8,28515,1700956800
ok,391.29,400.47,385.45,390.46,36942,1701043200
ok,383.87,392.96,383.87,388.79,6085,1701129600
ok,388.79,393.79,378.94,383.78,13253,1701216000
ok,376.11,383.78,366.26,370.85,26385,1701302400
ok,367.1,374.61,365.43,367.26,10678,1701561600
ok,367.1,381.28,362.34,375.44,19405,1701648000
ok,376.27,388.79,375.44,377.11,27827,1701734400
ok,371.27,391.29,371.27,387.95,25345,1701820800
ok,390.46,396.3,380.11,392.13,28134,1701907200
