s,o,h,l,c,v,t
ok,1669.73,1669.73,1669.73,1669.73,960,1334188800
ok,1669.76,1659.88,1659.88,1659.88,20,1347321600
ok,1659.88,1659.88,1659.88,1659.88,20,1369526400
ok,1659.88,1659.88,1659.88,1659.88,60,1373846400
ok,1659.88,1659.88,1659.88,1659.88,840,1409011200
ok,1659.88,1659.88,1659.88,1659.88,82,1410307200
ok,1659.88,1659.88,1659.88,1659.88,100,1479168000
ok,1692.91,1692.91,1692.91,1692.91,100,1519689600
ok,1725.95,1759.95,1725.95,1759.95,20,1557100800
ok,1795.0,1830.0,1795.0,1830.0,134,1570665600
ok,1866.6,1903.9,1866.6,1903.9,360,1627776000
ok,1941.9,1941.9,1941.9,1941.9,21,1652745600
ok,1980.7,2136.0,1980.7,2136.0,52,1663027200
ok,2178.7,2178.7,2178.7,2178.7,10,1663113600
ok,2222.2,2222.2,2222.2,2222.2,10,1664064000
ok,2266.6,2311.9,2266.6,2311.9,20,1689033600
ok,2358.1,2405.2,2358.1,2405.2,20,1691366400
ok,2453.3,2453.3,2453.3,2453.3,22,1695513600
ok,2502.3,2698.6,2502.3,2698.6,50,1702252800
ok,2752.5,2968.4,2752.5,2968.4,50,1702339200
ok,3027.7,3265.2,3027.7,3265.2,50,1702425600
ok,3330.5,3591.7,3330.5,3591.7,50,1702512000
ok,3663.5,3950.8,3663.5,3950.8,50,1702771200
ok,3950.7,4345.8,3950.7,4345.8,60,1702857600
ok,4432.7,4780.3,4432.7,4780.3,50,1702944000
ok,4875.9,5258.3,4875.9,5258.3,50,1703030400
ok,5363.4,5784.1,5363.4,5784.1,50,1703116800
ok,5899.7,6362.5,5899.7,6362.5,50,1703376000
ok,6235.5,6235.5,6235.5,6235.5,10,1703635200
ok,6360.2,6360.2,6360.2,6360.2,10,1706659200
ok,6487.4,6996.2,6487.4,6996.2,50,1707696000
ok,7136.1,7695.8,7136.1,7695.8,50,1707782400
ok,7849.7,8465.3,7849.7,8465.3,50,1707868800
ok,8634.6,9311.8,8634.6,9311.8,50,1707955200
ok,9498.0,10242.9,9498.0,10242.9,60,1708214400
ok,10447.7,11267.1,10447.7,11267.1,50,1708387200
ok,11492.4,12393.8,11492.4,12393.8,50,1708473600
ok,12641.6,13415.2,12641.6,13415.2,40,1708560000
ok,13683.5,14756.7,13683.5,14756.7,61,1708819200
ok,15051.8,16232.3,15051.8,16232.3,50,1708905600
ok,16556.9,17855.5,16556.9,17855.5,50,1708992000
ok,18205.0,19641.0,17855.5,19641.0,220,1709078400
ok,20033.8,21605.1,20033.8,21605.1,70,1709164800
ok,22037.2,23765.6,19511.0,22834.0,687,1709424000
ok,23290.6,23290.6,23290.6,23290.6,10,1709510400
ok,23756.4,23756.4,20961.6,20962.0,366,1709596800
ok,20542.8,21381.0,19336.0,21000.0,160,1709683200
ok,20580.0,21500.0,18900.0,21500.0,330,1709769600
ok,21070.0,21070.0,21070.0,21070.0,10,1710201600
ok,20648.6,20648.6,20648.6,20648.6,10,1710374400
ok,20235.7,20235.7,20235.7,20235.7,10,1710633600
ok,19831.0,19831.0,18350.0,18350.0,60,1710892800
ok,17983.0,17983.0,16615.0,16615.0,241,1710979200
ok,16947.3,18276.5,16947.3,18276.5,80,1711324800
ok,18500.0,20104.1,18500.0,18543.6,150,1711411200
ok,18200.0,18360.0,18000.0,18360.0,80,1711497600
ok,18500.0,18727.2,18300.0,18300.0,89,1711584000
ok,17950.0,17950.0,16901.4,16901.4,40,1711843200
ok,17239.4,17584.1,17239.4,17250.2,30,1711929600
ok,17595.2,17595.2,17595.2,17595.2,10,1712016000
ok,17243.3,17243.3,17243.3,17243.3,10,1712102400
ok,16899.0,16899.0,16899.0,16899.0,10,1712188800
ok,16700.0,16800.1,16366.0,16599.0,141,1712448000
ok,16267.1,16267.1,15630.0,15942.6,100,1712620800
ok,15700.0,16918.3,15400.0,16918.3,210,1712707200
ok,16600.0,17222.0,16580.0,17222.0,50,1713052800
ok,16877.6,16877.6,16210.0,16210.0,40,1713139200
ok,15885.8,15885.8,15885.8,15885.8,10,1713225600
ok,15580.0,15580.0,15580.0,15580.0,10,1713398400
ok,15269.2,15570.0,15269.2,15570.0,20,1713657600
ok,15881.4,15881.4,15484.1,15484.1,30,1713744000
ok,15793.7,16109.0,15793.7,16109.0,20,1713916800
ok,15800.0,15800.0,15800.0,15800.0,10,1714262400
ok,15550.0,16167.0,15505.1,16167.0,100,1714348800
ok,15845.0,15845.0,15240.0,15240.0,61,1714435200
ok,15544.8,15855.6,15544.8,15800.1,31,1714608000
ok,15800.0,15800.0,15484.1,15484.1,30,1714867200
ok,15200.0,15200.0,15180.2,15180.2,20,1714953600
ok,15400.0,15450.0,15400.0,15450.0,40,1715040000
ok,15449.9,15450.0,15449.9,15450.0,20,1715126400
ok,15151.0,15454.0,15151.0,15454.0,20,1715212800
ok,15763.0,15763.0,15763.0,15763.0,10,1715472000
ok,15800.0,16078.0,15800.0,16078.0,52,1715558400
ok,16000.0,16000.0,16000.0,16000.0,20,1715644800
ok,16320.0,16398.0,16320.0,16398.0,30,1715731200
ok,16200.0,16200.0,16071.0,16071.0,40,1715817600
ok,16392.0,16392.0,16065.0,16065.0,60,1716076800
ok,15801.0,15801.0,15746.0,15746.0,30,1716336000
ok,15432.0,15432.0,15432.0,15432.0,10,1716681600
ok,15123.4,15555.0,15123.4,15450.0,60,1716768000
ok,15550.0,16090.0,15550.0,16090.0,105,1716940800
ok,16399.0,16411.0,16399.0,16399.0,30,1717027200
ok,16100.0,16100.0,15840.1,15840.1,44,1717286400
ok,16000.0,16000.0,16000.0,16000.0,20,1717372800
ok,15900.0,16050.0,15850.0,16050.0,160,1717459200
ok,16371.0,16449.1,16371.0,16449.1,20,1717545600
ok,16151.0,16155.0,16151.0,16155.0,50,1717632000
ok,16478.0,16478.0,16478.0,16478.0,50,1717891200
ok,16148.6,16148.6,16148.5,16148.5,20,1718150400
ok,15825.6,15825.6,15825.6,15825.6,20,1718496000
ok,16000.0,16000.0,16000.0,16000.0,40,1718668800
ok,15680.1,15680.1,15680.0,15680.0,20,1718755200
ok,15680.0,15680.0,15368.0,15368.0,20,1719100800
ok,15600.0,15912.0,15600.0,15912.0,30,1719187200
ok,16199.0,16199.0,15875.1,15875.1,20,1719273600
ok,15557.6,16218.0,15557.6,16218.0,100,1719792000
ok,16500.0,16500.0,16500.0,16500.0,10,1719878400
ok,16170.0,16170.0,15847.0,15847.0,30,1719964800
ok,15541.0,15541.0,15541.0,15541.0,10,1720051200
ok,15851.0,15851.8,15851.0,15851.8,20,1720310400
ok,16168.0,16399.0,16168.0,16399.0,20,1720396800
ok,16075.0,16075.0,15760.0,15760.0,50,1720483200
ok,15463.1,15605.0,15463.1,15505.0,80,1720656000
ok,15815.0,16131.3,15815.0,16000.5,30,1720915200
ok,15705.0,15705.0,15705.0,15705.0,10,1721001600
ok,15999.0,15999.0,15999.0,15999.0,30,1721088000
ok,16318.0,16595.0,16318.0,16595.0,130,1721174400
ok,16642.0,17000.0,16642.0,17000.0,80,1721260800
ok,17340.0,17800.0,17340.0,17501.0,85,1721520000
ok,17400.0,17646.0,17300.0,17646.0,70,1721606400
ok,17995.0,19410.6,17995.0,19410.6,240,1721692800
ok,19798.8,21351.6,18438.9,18800.0,505,1721779200
ok,19176.0,20679.0,19176.0,20600.0,100,1721865600
ok,21000.0,21012.0,20000.0,20650.0,200,1722124800
ok,20238.0,20640.0,19000.0,19000.0,348,1722211200
ok,19380.0,19500.0,19000.0,19500.0,50,1722297600
ok,19110.0,19110.0,18370.0,18768.0,205,1722384000
ok,18500.0,19143.0,18400.0,19143.0,50,1722470400
ok,19525.8,19916.0,18968.0,18970.0,80,1722816000
ok,19050.0,19080.0,18032.0,18032.0,130,1722902400
ok,18392.6,19835.2,18392.6,19835.2,160,1722988800
ok,19439.0,20625.0,19404.4,19450.0,130,1723075200
ok,19780.0,19850.0,19425.0,19800.0,120,1723334400
ok,19450.0,19500.0,19200.1,19500.0,104,1723420800
ok,19150.0,19150.0,19111.0,19111.0,20,1723507200
ok,18750.0,18768.0,18400.0,18700.0,215,1723593600
ok,18999.0,19074.0,18401.0,18691.7,172,1723680000
ok,18691.7,18691.7,17702.0,17702.0,90,1723939200
ok,18052.0,18056.0,18000.0,18000.0,30,1724198400
ok,18000.0,18000.0,17294.0,17294.0,130,1724284800
ok,17400.0,17400.0,17052.0,17052.0,170,1724544000
ok,16750.0,17085.0,16750.0,16752.0,70,1724716800
ok,17087.0,17238.0,16900.0,17238.0,61,1724803200
ok,16902.0,16902.0,16902.0,16902.0,10,1725148800
ok,17240.0,17240.0,16898.0,17235.9,80,1725235200
ok,17379.9,17379.9,17033.0,17370.0,70,1725321600
ok,17100.0,17300.0,17023.0,17125.0,81,1725408000
ok,17036.0,17150.0,16900.0,16900.0,95,1725494400
ok,17000.0,17000.0,16600.0,16600.0,50,1725753600
ok,16301.0,16932.0,16301.0,16932.0,60,1725840000
ok,16660.0,16993.0,16660.0,16993.0,40,1725926400
ok,16900.0,16900.0,16800.1,16800.1,20,1726012800
ok,16850.0,16850.0,16502.0,16502.0,50,1726099200
ok,16832.0,16832.0,16500.5,16600.0,90,1726358400
ok,16268.0,16549.9,16268.0,16549.9,30,1726444800
ok,16548.9,16549.0,16300.0,16300.0,40,1726617600
ok,16300.1,17199.0,16300.1,16680.0,60,1726963200
ok,16349.0,16349.0,16025.0,16025.0,40,1727049600
ok,16025.0,16025.0,15800.1,15800.1,30,1727136000
ok,16116.0,16116.0,16116.0,16116.0,10,1727222400
ok,16438.0,17100.0,16424.8,16931.0,80,1727308800
ok,17269.0,18155.0,17100.0,17100.0,140,1727568000
ok,16760.0,16760.0,16760.0,16760.0,10,1727654400
ok,17090.0,17430.0,17090.0,17430.0,50,1727740800
ok,17510.0,17510.0,17510.0,17510.0,10,1727827200
ok,17510.0,17798.0,17510.0,17798.0,70,1728172800
ok,17445.0,17700.0,17445.0,17445.0,50,1728259200
ok,17100.0,17100.0,17100.0,17100.0,20,1728345600
ok,17442.0,17442.0,17442.0,17442.0,10,1729036800
ok,17780.0,17780.0,17780.0,17780.0,10,1729123200
ok,17750.0,17750.0,17650.0,17650.0,20,1729468800
ok,17297.0,17615.0,16951.1,17615.0,51,1729555200
ok,17263.0,17263.0,17263.0,17263.0,10,1729728000
ok,17600.0,17600.0,17000.0,17000.0,51,1730246400
ok,17100.0,17100.0,16758.0,16758.0,20,1730851200
ok,17093.0,17300.0,17093.0,17300.0,20,1731196800
ok,17200.0,17200.0,17200.0,17200.0,21,1731283200
ok,17002.0,17200.0,17001.0,17200.0,30,1731369600
ok,17100.0,17100.0,17000.0,17000.0,29,1731456000
ok,17340.0,17686.0,17000.0,17000.0,50,1731542400
ok,16800.0,16800.0,16662.0,16662.0,21,1731974400
ok,16700.0,16700.0,16366.0,16400.0,110,1732147200
ok,16400.0,16700.0,16400.0,16700.0,20,1732406400
ok,16550.0,16550.0,16550.0,16550.0,10,1732492800
ok,16550.0,16550.0,16540.0,16540.0,43,1732579200
ok,16210.0,16600.0,16209.2,16300.0,252,1732665600
ok,16300.0,16300.0,16200.0,16200.0,81,1732752000
ok,16200.0,16200.0,16200.0,16200.0,10,1733011200
ok,16200.0,16280.0,16200.0,16280.0,58,1733097600
ok,16350.0,16600.0,16350.0,16600.0,110,1733184000
ok,16600.0,16600.0,16600.0,16600.0,68,1733270400
ok,16700.0,16700.0,16370.0,16370.0,32,1733356800
ok,16367.0,16694.0,16050.0,16694.0,50,1733616000
ok,16999.0,17000.0,16800.0,16800.0,40,1733702400
ok,16464.0,16464.0,16464.0,16464.0,10,1733961600
ok,16500.0,16793.0,16500.0,16700.0,53,1734307200
ok,16500.0,17000.0,16500.0,17000.0,103,1734912000
