s,o,h,l,c,v,t
ok,978.02,995.63,995.63,995.63,30,1347321600
ok,995.58,1015.14,995.58,1015.14,100,1354406400
ok,1015.17,1034.74,995.61,1034.74,120,1354579200
ok,1034.69,1055.22,1055.22,1055.22,50,1355356800
ok,1055.26,1075.8,1075.8,1075.8,100,1355616000
ok,1075.8,1118.83,1075.8,1118.83,100,1356566400
ok,1118.8,1140.31,1140.31,1140.31,101,1357603200
ok,1140.28,1162.78,1162.78,1162.78,10,1358640000
ok,1162.73,1163.71,1163.71,1163.71,40,1360195200
ok,1163.68,1186.17,1186.17,1186.17,10,1362528000
ok,1186.18,1209.65,1209.65,1209.65,28,1363737600
ok,1209.64,1257.56,1233.11,1257.56,20,1364342400
ok,1257.54,1261.45,1261.45,1261.45,20,1368057600
ok,1261.45,1261.45,1261.45,1261.45,20,1370304000
ok,1261.42,1276.09,1276.09,1276.09,700,1371340800
ok,1276.13,1285.91,1285.91,1285.91,202,1371600000
ok,1285.91,1285.91,1285.91,1285.91,486,1372723200
ok,1285.91,1285.91,1285.91,1285.91,500,1373846400
ok,1285.95,1311.37,1311.37,1311.37,10,1374105600
ok,1311.35,1363.17,1336.77,1363.17,38,1375574400
ok,1363.13,1336.73,1235.03,1235.03,400,1379808000
ok,1235.06,1210.62,1118.69,1118.69,50,1380153600
ok,1118.73,1101.13,1101.13,1101.13,10,1380585600
ok,1101.16,1210.69,1122.68,1210.69,1490,1381017600
ok,1210.74,1331.04,1234.22,1331.04,450,1381104000
ok,1331.07,1383.88,1357.47,1383.88,310,1381190400
ok,1383.91,1438.68,1411.3,1438.68,400,1382572800
ok,1438.64,1582.4,1467.0,1582.4,500,1382832000
ok,1582.44,1613.74,1613.74,1613.74,50,1382918400
ok,1613.74,1646.01,1646.01,1646.01,100,1383004800
ok,1646.0,1678.27,1678.27,1678.27,10,1383091200
ok,1678.25,1711.5,1678.25,1711.5,2010,1383782400
ok,1711.5,1711.5,1711.5,1711.5,50,1384128000
ok,1711.5,1711.5,1711.5,1711.5,100,1384387200
ok,1711.5,1745.73,1745.73,1745.73,100,1385251200
ok,1745.82,1745.82,1712.56,1712.56,2000,1385337600
ok,1712.54,1678.31,1678.31,1678.31,2000,1388966400
ok,1678.26,1682.17,1682.17,1682.17,101,1389139200
ok,1682.1,1711.44,1686.99,1711.44,100,1389225600
ok,1711.44,1677.21,1677.21,1677.21,20,1390953600
ok,1677.21,1677.21,1677.21,1677.21,300,1391385600
ok,1677.26,1644.0,1644.0,1644.0,100,1392076800
ok,1643.95,1676.23,1642.98,1676.23,145,1392163200
ok,1676.29,1643.04,1643.04,1643.04,50,1394409600
ok,1642.97,1675.24,1675.24,1675.24,25,1394668800
ok,1675.26,1642.01,1609.74,1609.74,500,1402272000
ok,1609.67,1640.97,1640.97,1640.97,2000,1408579200
ok,1641.02,1672.31,1672.31,1672.31,101,1409097600
ok,1672.36,1687.03,1687.03,1687.03,1000,1409184000
ok,1687.02,1677.24,1677.24,1677.24,238,1410048000
ok,1677.2,1710.45,1677.2,1710.45,315,1410307200
ok,1710.39,1743.63,1743.63,1743.63,50,1410652800
ok,1743.58,1777.81,1777.81,1777.81,50,1410739200
ok,1777.81,1813.01,1809.1,1813.01,100,1410912000
ok,1812.93,1809.02,1809.02,1809.02,100,1411516800
ok,1809.05,1784.6,1784.6,1784.6,50,1413072000
ok,1784.52,1749.32,1716.07,1716.07,100,1415491200
