s,o,h,l,c,v,t
ok,491.74,505.57,442.61,442.61,446687,1691884800
ok,434.78,469.57,426.96,455.65,174521,1691971200
ok,460.87,460.87,445.22,446.96,65896,1692057600
ok,442.61,443.48,434.7,435.83,97602,1692144000
ok,435.83,445.22,429.57,440.87,102087,1692230400
ok,434.78,443.48,426.96,427.83,74722,1692489600
ok,421.91,429.48,414.78,414.87,104411,1692576000
ok,408.7,439.13,408.7,433.91,75667,1692662400
ok,425.3,445.22,425.3,443.48,149499,1692748800
ok,452.35,452.35,434.78,441.74,137002,1692835200
ok,432.96,434.78,422.61,422.96,99951,1693094400
ok,419.13,430.43,417.39,421.83,51776,1693180800
ok,426.09,426.09,417.39,418.26,46631,1693267200
ok,426.52,426.52,415.65,416.52,42325,1693353600
ok,416.52,416.52,406.96,408.61,61451,1693699200
ok,407.83,421.74,407.39,415.57,41103,1693785600
ok,413.04,425.13,408.7,423.48,58867,1693872000
ok,417.39,418.26,408.7,411.3,46343,1694044800
ok,411.3,417.39,407.13,408.17,56148,1694304000
ok,404.35,424.35,404.35,418.61,57134,1694390400
ok,418.61,423.48,408.7,408.7,40128,1694476800
ok,408.7,422.61,408.7,420.0,57478,1694563200
ok,428.35,428.35,405.04,405.22,45100,1694908800
ok,404.35,410.43,402.87,408.7,40386,1694995200
ok,401.91,414.17,401.91,413.04,27053,1695081600
ok,413.04,433.04,413.04,420.87,132981,1695254400
ok,412.52,428.7,412.52,416.52,95252,1695513600
ok,409.57,419.13,409.57,411.48,46321,1695600000
ok,413.91,426.09,413.91,420.0,67001,1695686400
ok,420.0,421.74,410.43,413.13,49599,1695772800
ok,408.78,412.17,401.74,402.52,65054,1696118400
ok,400.0,408.7,400.0,404.52,38549,1696204800
ok,404.35,404.43,398.52,398.52,40470,1696291200
ok,406.43,406.43,396.52,400.0,37528,1696377600
ok,400.0,406.09,396.96,397.39,29136,1696464000
ok,397.39,397.39,386.09,389.57,67424,1696723200
ok,386.09,392.17,383.04,386.96,21068,1696809600
ok,382.7,391.22,380.87,381.48,25678,1696896000
ok,379.13,386.87,379.13,381.74,31794,1696982400
ok,381.74,385.22,373.91,378.09,44148,1697068800
ok,373.91,376.61,356.52,360.87,58336,1697414400
ok,360.87,368.09,351.3,355.57,42903,1697500800
ok,353.91,361.83,351.3,360.0,32663,1697587200
ok,353.91,362.61,353.91,354.78,26730,1697673600
ok,352.17,352.17,337.83,338.26,50825,1698537600
ok,337.39,343.48,333.13,341.74,22104,1698624000
ok,335.83,340.0,335.83,339.13,14195,1698710400
ok,334.0,340.87,331.39,333.91,15816,1698796800
ok,331.3,336.43,326.09,326.17,19209,1698883200
ok,320.87,326.09,318.61,320.87,22985,1699142400
ok,315.74,337.91,315.74,333.91,24198,1699228800
ok,333.91,347.83,333.04,342.61,28197,1699315200
ok,346.96,363.48,335.83,360.35,57875,1699401600
ok,353.22,373.91,353.22,353.22,34752,1699488000
ok,346.17,360.87,337.65,347.83,38170,1700438400
ok,340.87,346.0,328.78,332.17,39561,1700524800
ok,326.96,345.91,326.96,344.35,15855,1700611200
ok,337.57,369.57,337.57,358.26,48532,1700697600
ok,351.13,381.74,351.13,373.83,64269,1700956800
ok,366.96,382.61,366.96,373.91,108343,1701043200
ok,366.43,384.09,366.43,381.74,46100,1701129600
ok,381.74,395.65,367.39,373.91,61453,1701216000
ok,366.43,388.7,359.13,371.3,48324,1701302400
ok,363.91,376.96,360.17,370.43,48701,1701561600
ok,363.04,378.26,360.87,371.3,48953,1701648000
ok,363.91,372.17,358.26,362.52,43961,1701734400
ok,356.52,366.09,352.17,356.52,34167,1701820800
ok,352.26,368.09,352.26,363.48,47973,1701907200
ok,370.7,385.57,370.7,385.22,19953,1702166400
ok,391.3,391.3,373.04,384.35,151799,1702252800
ok,382.61,412.17,380.0,407.74,158567,1702339200
ok,406.96,420.26,400.61,402.7,135946,1702425600
ok,394.7,408.61,394.7,400.0,83316,1702512000
ok,392.0,408.7,384.52,407.83,113140,1702771200
ok,407.83,440.87,407.83,434.78,290559,1702857600
ok,433.91,478.26,433.91,478.26,249258,1702944000
ok,478.26,513.04,478.26,499.04,225572,1703030400
ok,499.04,504.35,482.61,500.0,268407,1703116800
ok,504.35,533.91,491.3,497.39,383292,1703376000
ok,497.39,503.48,476.52,476.78,218421,1703635200
ok,478.26,509.57,474.26,502.61,236191,1703721600
ok,512.4,532.4,512.0,515.0,146424,1704067200
ok,508.0,523.0,506.0,511.0,105719,1704153600
ok,506.0,545.0,506.0,544.9,116470,1704240000
ok,544.9,567.0,535.0,535.0,146048,1704326400
ok,527.0,555.0,527.0,532.0,92532,1704585600
ok,530.0,547.0,526.0,532.0,125299,1704672000
ok,530.0,545.0,520.1,522.0,95316,1704758400
ok,525.0,549.1,525.0,536.1,141554,1704844800
ok,532.0,556.0,532.0,548.0,77144,1704931200
ok,550.0,569.0,538.0,565.0,172867,1705190400
ok,565.0,593.0,564.0,580.0,173543,1705363200
ok,591.6,591.6,550.0,554.0,159440,1705449600
ok,546.0,561.0,539.0,540.0,117438,1705536000
ok,542.0,554.0,515.0,523.0,104263,1705795200
ok,517.0,532.0,510.1,510.1,73846,1705881600
ok,501.0,530.0,501.0,518.0,70647,1705968000
ok,518.0,528.0,508.0,514.0,48318,1706054400
ok,506.1,518.8,499.0,507.0,55583,1706140800
ok,515.0,522.0,502.0,510.0,32881,1706400000
ok,510.0,519.0,505.5,507.0,32610,1706486400
ok,510.0,524.0,506.0,520.0,51984,1706572800
ok,515.0,525.0,503.8,507.0,46576,1706659200
ok,517.1,517.1,492.0,497.6,65190,1706745600
ok,495.0,507.0,490.0,504.0,46567,1707004800
ok,504.0,510.0,502.0,505.0,23835,1707091200
ok,500.0,514.9,496.1,511.0,25315,1707177600
ok,511.0,519.0,511.0,514.0,36371,1707264000
ok,515.0,515.0,505.2,509.0,32741,1707350400
ok,510.0,515.0,500.0,500.0,32189,1707609600
ok,490.0,518.0,490.0,512.0,46862,1707696000
ok,522.2,522.2,490.0,493.8,108014,1707782400
ok,490.0,492.0,480.1,484.0,64777,1707868800
