s,o,h,l,c,v,t
ok,12.55,12.42,12.42,12.42,20,1328572800
ok,12.42,12.42,12.42,12.42,40,1332201600
ok,12.42,12.55,12.3,12.55,5730,1335744000
ok,12.55,12.55,12.55,12.55,13810,1341705600
ok,12.55,12.55,12.55,12.55,50,1342396800
ok,12.55,12.42,12.42,12.42,70,1343779200
ok,12.42,12.55,12.55,12.55,20,1347926400
ok,12.55,12.3,12.3,12.3,330,1360022400
ok,12.3,12.17,12.05,12.05,70,1369008000
ok,12.05,12.3,12.17,12.3,80,1373155200
ok,12.3,12.67,12.42,12.55,11240,1373241600
ok,12.55,12.55,12.55,12.55,310,1373328000
ok,12.55,12.55,12.55,12.55,609080,1375315200
ok,12.55,12.55,12.55,12.55,120,1375574400
ok,12.55,12.3,12.3,12.3,150,1376179200
ok,12.3,12.42,12.42,12.42,400,1381104000
ok,12.42,12.55,12.55,12.55,70,1382400000
ok,12.55,12.3,12.3,12.3,40,1383177600
ok,12.3,12.42,12.42,12.42,100,1386028800
ok,12.42,12.55,12.55,12.55,60,1395619200
ok,12.55,12.55,12.55,12.55,59000,1395878400
ok,12.55,12.55,12.55,12.55,100,1396396800
ok,12.55,13.8,12.8,13.8,100,1396483200
ok,13.8,14.05,14.05,14.05,20,1397001600
ok,14.05,14.56,14.3,14.56,1020,1397692800
ok,14.56,14.81,14.81,14.81,100,1398211200
ok,14.81,15.56,15.06,15.56,400,1398556800
ok,15.56,16.06,15.81,16.06,1050,1398729600
ok,16.06,16.81,16.31,16.81,1750,1399507200
ok,16.81,17.57,17.07,17.57,30,1402963200
ok,17.57,17.82,17.82,17.82,20,1403136000
ok,17.82,19.2,18.07,19.2,60,1403654400
ok,19.2,19.57,19.57,19.57,20,1404172800
ok,19.57,21.46,19.95,21.46,100,1404777600
ok,21.46,22.71,21.83,22.71,710,1405987200
ok,22.71,23.09,23.09,23.09,30,1406073600
ok,23.09,23.46,23.46,23.46,50,1407024000
ok,23.46,23.84,23.84,23.84,180,1407196800
ok,23.84,24.22,24.22,24.22,50,1407283200
ok,24.22,24.22,24.22,24.22,20,1407801600
ok,24.22,24.97,24.59,24.97,40,1408320000
ok,24.97,24.97,24.97,24.97,4470,1409529600
ok,24.97,26.35,25.35,26.35,60,1410220800
ok,26.35,27.35,26.85,27.35,70,1411862400
ok,27.35,27.35,27.35,27.35,500,1411948800
ok,27.35,27.86,27.86,27.86,30,1413158400
ok,27.86,27.86,27.86,27.86,20,1414627200
ok,27.86,29.36,28.36,29.36,60,1414886400
ok,29.36,29.86,29.86,29.86,60,1415059200
ok,29.86,31.75,31.24,31.75,20,1415232000
ok,31.75,33.0,32.37,33.0,1450,1415491200
ok,33.0,35.51,33.63,35.51,60,1416182400
ok,35.51,36.77,36.14,36.77,30,1417305600
ok,36.77,37.39,37.39,37.39,50,1417392000
ok,37.39,38.02,38.02,38.02,10,1417910400
ok,38.02,40.28,38.77,40.28,250,1417996800
ok,40.28,43.29,41.03,43.29,1090,1418083200
ok,43.29,44.92,44.04,44.92,80,1418169600
ok,44.92,49.31,45.8,49.31,870,1418256000
ok,49.31,54.21,50.19,54.21,2450,1418515200
ok,54.21,57.22,53.2,57.22,240,1418601600
ok,57.22,58.35,57.22,58.22,190,1418688000
ok,58.22,57.72,57.09,57.72,310,1418774400
ok,57.72,60.73,58.85,60.73,180,1418860800
ok,60.73,61.86,59.35,59.35,1310,1419120000
ok,59.35,58.22,54.96,54.96,60,1419724800
ok,54.96,53.96,50.94,50.94,180,1420416000
ok,50.94,55.96,49.94,55.96,2480,1420502400
ok,55.96,61.48,56.47,61.48,2210,1420588800
ok,61.48,67.63,62.61,67.63,1430,1420675200
ok,67.63,74.28,68.89,74.28,460,1420934400
ok,74.28,80.18,75.66,80.18,220,1421020800
ok,80.18,88.09,81.69,88.09,3880,1421107200
ok,88.09,96.87,89.84,96.87,4125,1421193600
ok,96.87,102.64,98.75,102.64,30,1421625600
ok,102.64,100.63,92.48,92.48,70,1421884800
ok,92.48,90.72,83.32,83.32,1090,1422144000
ok,83.32,89.72,80.06,86.45,3715,1422230400
ok,86.45,84.82,83.19,83.57,790,1422316800
ok,83.57,84.45,82.82,84.45,110,1422403200
ok,84.45,82.94,82.94,82.94,210,1422489600
ok,82.94,82.94,82.82,82.82,410,1422748800
ok,82.82,87.08,82.19,87.08,410,1422835200
ok,87.08,93.86,86.45,93.86,1865,1422921600
ok,93.86,94.11,92.23,94.11,2065,1423008000
