s,o,h,l,c,v,t
ok,526.13,526.13,526.13,526.13,0.0,1300579200
ok,518.88,518.88,518.88,518.88,0.0,1301270400
ok,512.81,512.81,512.81,512.81,0.0,1301356800
ok,506.84,506.84,506.84,506.84,0.0,1301875200
ok,499.16,499.16,499.16,499.16,0.0,1303084800
ok,500.59,500.59,500.59,500.59,0.0,1303171200
ok,507.83,507.83,507.83,507.83,0.0,1303776000
ok,509.88,509.88,509.88,509.88,0.0,1303862400
ok,498.46,498.46,498.46,498.46,0.0,1306800000
ok,490.54,490.54,490.54,490.54,0.0,1307491200
ok,486.84,486.84,486.84,486.84,0.0,1307577600
ok,486.65,486.65,486.65,486.65,0.0,1307836800
ok,488.41,488.41,488.41,488.41,0.0,1307923200
ok,485.03,485.03,485.03,485.03,0.0,1308009600
ok,496.13,496.13,496.13,496.13,0.0,1308096000
ok,501.79,501.79,501.79,501.79,0.0,1308182400
ok,516.14,516.14,516.14,516.14,0.0,1308528000
ok,518.23,518.23,518.23,518.23,0.0,1308614400
ok,526.03,526.03,526.03,526.03,0.0,1308787200
ok,536.9,536.9,536.9,536.9,0.0,1309046400
ok,544.7,544.7,544.7,544.7,0.0,1309132800
ok,557.23,557.23,557.23,557.23,0.0,1309305600
ok,577.98,577.98,577.98,577.98,0.0,1309651200
ok,580.17,580.17,580.17,580.17,0.0,1309737600
ok,574.7,574.7,574.7,574.7,0.0,1309824000
ok,574.45,574.45,574.45,574.45,0.0,1309910400
ok,569.52,569.52,569.52,569.52,0.0,1309996800
ok,572.82,572.82,572.82,572.82,0.0,1310256000
ok,607.23,607.23,607.23,607.23,0.0,1310342400
ok,603.16,603.16,603.16,603.16,0.0,1310515200
ok,591.52,591.52,591.52,591.52,0.0,1310601600
ok,587.34,587.34,587.34,587.34,0.0,1310860800
ok,587.23,587.23,587.23,587.23,0.0,1312416000
ok,587.23,587.23,587.23,587.23,0.0,1313452800
ok,587.23,587.23,587.23,587.23,0.0,1314662400
ok,592.16,592.16,592.16,592.16,0.0,1315353600
ok,607.58,607.58,607.58,607.58,0.0,1315440000
ok,607.47,607.47,607.47,607.47,0.0,1316390400
ok,607.47,607.47,607.47,607.47,0.0,1319414400
ok,607.47,607.47,607.47,607.47,0.0,1319500800
ok,607.02,607.02,607.02,607.02,0.0,1319932800
ok,607.25,607.25,607.25,607.25,0.0,1320019200
ok,607.48,607.48,607.48,607.48,0.0,1320278400
ok,607.02,607.02,607.02,607.02,0.0,1320710400
ok,607.48,607.48,607.48,607.48,0.0,1320883200
ok,634.31,634.31,634.31,634.31,0.0,1321142400
ok,634.31,634.31,634.31,634.31,0.0,1321401600
ok,634.31,634.31,634.31,634.31,0.0,1321488000
ok,640.18,640.18,640.18,640.18,0.0,1321747200
ok,640.18,640.18,640.18,640.18,0.0,1321833600
ok,646.19,646.19,646.19,646.19,0.0,1321920000
ok,646.94,646.94,646.94,646.94,0.0,1323216000
ok,646.94,646.94,646.94,646.94,0.0,1323561600
ok,653.07,653.07,653.07,653.07,0.0,1323734400
ok,653.07,653.07,653.07,653.07,0.0,1323820800
ok,653.07,653.07,653.07,653.07,0.0,1324166400
ok,659.04,659.04,659.04,659.04,0.0,1324944000
ok,659.04,659.04,659.04,659.04,0.0,1325548800
ok,665.42,665.42,665.42,665.42,0.0,1325635200
ok,658.93,658.93,658.93,658.93,0.0,1325721600
ok,658.87,658.87,658.87,658.87,0.0,1325980800
ok,665.15,665.15,665.15,665.15,0.0,1326326400
ok,664.92,664.92,664.92,664.92,0.0,1328572800
ok,633.79,633.79,633.79,633.79,0.0,1328659200
ok,636.02,636.02,636.02,636.02,0.0,1329004800
ok,618.74,618.74,618.74,618.74,0.0,1329177600
ok,646.6,646.6,646.6,646.6,0.0,1330214400
ok,657.14,657.14,657.14,657.14,0.0,1330387200
ok,657.14,657.14,657.14,657.14,0.0,1330473600
ok,656.15,656.15,656.15,656.15,0.0,1331424000
ok,656.15,656.15,656.15,656.15,0.0,1331510400
ok,656.15,656.15,656.15,656.15,0.0,1332028800
ok,666.53,666.53,666.53,666.53,0.0,1332115200
ok,666.53,666.53,666.53,666.53,0.0,1332201600
ok,652.62,652.62,652.62,652.62,0.0,1332720000
ok,658.75,658.75,658.75,658.75,0.0,1333411200
ok,653.56,653.56,653.56,653.56,0.0,1333584000
ok,656.15,656.15,656.15,656.15,0.0,1333843200
ok,656.15,656.15,656.15,656.15,0.0,1334188800
ok,662.48,662.48,662.48,662.48,0.0,1334793600
ok,667.05,667.05,667.05,667.05,0.0,1335657600
ok,667.28,667.28,667.28,667.28,0.0,1335744000
ok,667.28,667.28,667.28,667.28,0.0,1337126400
ok,673.82,673.82,673.82,673.82,0.0,1337212800
ok,667.18,667.18,667.18,667.18,0.0,1337731200
ok,673.72,673.72,673.72,673.72,0.0,1338076800
ok,667.07,667.07,667.07,667.07,0.0,1338249600
ok,666.76,666.76,666.76,666.76,0.0,1338854400
ok,666.76,666.76,666.76,666.76,0.0,1339459200
