s,o,h,l,c,v,t
ok,195.58,191.68,191.68,191.68,14,1325980800
ok,191.67,188.56,188.56,188.56,12,1347494400
ok,188.55,191.67,191.67,191.67,36,1390953600
ok,191.67,162.84,162.84,162.84,178,1395705600
ok,162.84,165.95,165.95,165.95,17,1420416000
ok,165.95,165.95,165.95,165.95,681,1428883200
ok,173.69,180.57,173.69,180.57,73,1564012800
ok,184.0,184.0,184.0,184.0,19,1564272000
ok,186.58,184.0,184.0,184.0,8,1564358400
ok,187.0,187.0,187.0,187.0,3500,1582416000
ok,189.99,189.99,189.99,189.99,80,1600732800
ok,199.0,199.0,199.0,199.0,10,1602979200
ok,208.0,208.0,208.0,208.0,10,1604448000
ok,218.0,218.0,218.0,218.0,10,1604534400
ok,228.0,228.0,228.0,228.0,10,1606089600
ok,238.0,238.0,238.0,238.0,10,1606867200
ok,249.0,249.0,249.0,249.0,24,1607472000
ok,261.0,261.0,261.0,261.0,10,1609113600
ok,274.0,274.0,274.0,274.0,10,1612828800
ok,316.0,316.0,316.0,316.0,10,1625443200
ok,247.8,252.7,247.8,252.7,255,1646524800
ok,252.7,252.7,252.7,252.7,6,1652140800
ok,252.7,252.7,252.7,252.7,3,1652227200
ok,252.7,252.7,252.7,252.7,8,1662249600
ok,257.7,257.7,257.7,257.7,36,1663027200
ok,262.8,262.8,262.8,262.8,10,1663286400
ok,268.0,273.3,268.0,273.3,20,1663459200
ok,278.7,284.2,278.7,284.2,91,1664409600
ok,231.9,241.2,231.9,241.2,188,1669593600
ok,241.2,241.2,241.2,241.2,9,1670716800
ok,246.0,246.0,246.0,246.0,10,1675209600
ok,250.9,255.9,250.9,255.9,46,1680739200
ok,255.9,255.9,255.9,255.9,1,1684800000
ok,255.9,255.9,255.9,255.9,1,1686441600
ok,261.0,261.0,261.0,261.0,15,1689465600
ok,266.2,266.2,266.2,266.2,15,1690156800
ok,266.2,266.2,266.2,266.2,23,1691366400
ok,271.5,271.5,271.5,271.5,10,1695081600
ok,276.9,282.4,276.9,282.4,20,1697068800
ok,230.4,248.5,230.4,248.5,57,1705968000
ok,248.5,248.5,248.5,248.5,115,1707955200
ok,248.5,253.4,248.5,253.4,79,1708387200
ok,253.4,253.4,253.4,253.4,45,1711411200
ok,258.4,263.5,258.4,263.5,172,1721260800
ok,268.7,268.7,268.7,268.7,10,1722124800
ok,274.0,274.0,274.0,274.0,10,1725408000
ok,279.4,279.4,279.4,279.4,10,1725753600
ok,284.9,284.9,284.9,284.9,117,1725926400
ok,237.42,237.42,237.42,237.42,1,1727740800
ok,242.1,242.1,242.1,242.1,19,1729382400
ok,242.1,242.1,242.1,242.1,3,1729641600
ok,242.1,242.1,242.1,242.1,36,1731974400
ok,242.1,242.1,242.1,242.1,10,1732492800
ok,242.1,242.1,242.1,242.1,3,1734393600
ok,246.9,246.9,246.9,246.9,10,1734825600
ok,251.8,251.8,251.8,251.8,10,1735603200
ok,251.8,251.8,251.8,251.8,3,1735776000
ok,251.8,251.8,251.8,251.8,10,1738800000
ok,256.8,276.9,256.8,276.9,60,1740441600
ok,276.9,276.9,276.9,276.9,2,1742083200
ok,276.9,276.9,276.9,276.9,1,1742428800
ok,282.4,282.4,282.4,282.4,32,1745280000
ok,282.4,282.4,282.4,282.4,1,1748131200
ok,288.0,288.0,288.0,288.0,10,1750723200
ok,293.2,293.2,293.2,293.2,10,1751760000
