s,o,h,l,c,v,t
ok,270.0,297.0,270.0,297.0,160,1746316800
ok,293.3,326.7,293.3,326.7,80,1746403200
ok,326.6,359.3,326.6,359.3,120,1746489600
ok,359.0,395.2,359.0,395.2,150,1746576000
ok,399.7,434.7,399.7,434.7,190,1746662400
ok,443.3,478.1,443.3,478.1,220,1746921600
ok,477.5,525.9,477.5,525.9,300,1747094400
ok,525.8,578.4,525.8,578.4,390,1747180800
ok,578.3,636.2,578.3,636.2,460,1747267200
ok,647.9,699.8,647.9,699.8,460,1747526400
ok,713.7,769.7,713.7,769.7,350,1747612800
ok,769.6,846.6,769.6,846.6,420,1747699200
ok,831.5,931.2,831.5,931.2,590,1747785600
ok,931.1,1024.3,931.1,1024.3,1250,1747872000
ok,1044.7,1126.7,1044.7,1126.7,1140,1748131200
ok,1149.2,1239.3,1149.2,1239.3,950,1748217600
ok,1264.0,1363.2,1264.0,1363.2,1180,1748304000
ok,1390.4,1499.5,1390.4,1499.5,4169,1748390400
ok,1529.4,1649.4,1529.4,1649.4,4370,1748822400
ok,1649.4,1814.3,1649.4,1813.43,160034,1748908800
ok,1849.0,1994.7,1750.0,1994.7,55110,1748995200
ok,2034.5,2167.2,1796.0,1809.24,91850,1749081600
ok,1775.1,1790.0,1628.4,1628.4,67440,1749340800
ok,1595.9,1675.0,1533.0,1658.57,57950,1749427200
ok,1630.0,1650.0,1580.0,1590.58,45590,1749513600
ok,1580.0,1600.0,1530.2,1537.76,45848,1749600000
ok,1512.0,1532.0,1493.0,1497.54,38860,1749686400
ok,1527.4,1545.0,1460.0,1503.04,35948,1749945600
ok,1487.0,1527.0,1470.0,1472.69,25232,1750032000
ok,1462.1,1501.0,1436.0,1438.7,23609,1750118400
ok,1423.0,1451.4,1399.5,1405.88,26955,1750204800
ok,1400.0,1402.0,1325.0,1337.12,40713,1750291200
ok,1318.0,1328.0,1266.0,1273.69,31556,1750550400
ok,1270.0,1299.0,1249.0,1278.97,18172,1750636800
ok,1280.2,1404.0,1280.2,1381.47,28909,1750723200
ok,1409.0,1480.0,1383.0,1442.07,31551,1750809600
ok,1440.0,1445.0,1341.0,1354.71,21242,1750896000
ok,1354.0,1354.0,1314.0,1330.3,16246,1751155200
ok,1349.0,1404.9,1325.0,1359.26,17727,1751241600
ok,1365.0,1390.0,1355.2,1372.7,12998,1751328000
ok,1372.0,1387.8,1346.1,1350.92,17532,1751414400
ok,1375.0,1390.0,1351.0,1363.98,20498,1751500800
ok,1364.0,1373.0,1351.0,1356.24,13616,1751760000
ok,1340.0,1393.9,1340.0,1350.97,15380,1751846400
ok,1350.0,1367.0,1340.2,1356.24,9492,1751932800
ok,1357.2,1367.0,1350.4,1355.33,14632,1752019200
ok,1360.0,1389.9,1356.0,1379.73,23836,1752105600
ok,1400.0,1434.0,1380.0,1388.3,21545,1752364800
ok,1409.0,1409.9,1370.3,1375.69,10017,1752451200
ok,1365.2,1458.0,1365.2,1450.45,31191,1752537600
ok,1450.0,1539.0,1430.0,1517.76,48599,1752624000
ok,1520.0,1551.0,1518.0,1520.14,21520,1752710400
ok,1525.1,1548.8,1490.0,1492.46,28372,1752969600
ok,1500.0,1509.0,1458.1,1465.32,25426,1753056000
ok,1494.0,1522.8,1468.0,1509.26,26600,1753142400
ok,1524.0,1525.0,1481.0,1522.08,51956,1753228800
ok,1520.0,1586.0,1510.0,1561.37,35424,1753315200
