s,o,h,l,c,v,t
ok,519.63,571.59,519.63,571.59,2442,1710806400
ok,579.16,628.69,579.16,628.69,2256,1710892800
ok,641.21,691.5,641.21,691.5,7395,1710979200
ok,705.23,760.56,705.23,760.56,26885,1711324800
ok,775.7,836.54,775.7,836.54,28753,1711411200
ok,853.27,920.19,853.27,920.19,22885,1711497600
ok,938.5,1012.15,938.5,1011.87,178925,1711584000
ok,991.68,991.68,910.75,910.75,290136,1711843200
ok,892.62,906.54,824.3,879.44,514411,1711929600
ok,897.01,897.01,851.87,864.49,103439,1712016000
ok,864.49,869.16,836.64,836.92,139901,1712102400
ok,829.91,829.91,787.85,787.94,211907,1712188800
ok,775.7,838.32,775.61,823.36,115268,1712448000
ok,836.45,836.45,800.0,803.74,73522,1712620800
ok,819.81,819.81,786.92,791.59,67378,1712707200
ok,777.57,789.72,765.7,767.29,68974,1713052800
ok,767.29,780.37,748.6,751.4,47047,1713139200
ok,751.4,760.75,744.86,746.73,57174,1713225600
ok,742.06,744.86,717.57,717.57,67132,1713398400
ok,714.95,772.15,705.89,764.49,99476,1713657600
ok,775.7,778.5,743.93,744.39,71892,1713744000
ok,744.39,760.75,739.25,747.57,34086,1713916800
ok,762.43,762.43,733.64,734.58,29537,1714003200
ok,747.66,747.66,734.67,738.32,27398,1714262400
ok,738.41,743.08,729.07,729.91,26742,1714348800
ok,738.32,747.66,726.17,734.49,51416,1714435200
ok,736.45,745.79,725.14,725.23,41060,1714608000
ok,725.23,738.22,710.28,715.89,39044,1714867200
ok,712.15,724.3,710.47,715.79,32433,1714953600
ok,729.91,729.91,705.61,707.48,37466,1715040000
ok,708.41,710.28,692.52,700.93,36896,1715126400
ok,700.93,710.28,696.45,696.45,26605,1715212800
ok,698.13,733.55,694.39,721.59,69237,1715472000
ok,721.59,727.1,710.37,714.95,17153,1715558400
ok,728.04,728.04,714.95,719.63,22078,1715644800
ok,725.23,754.21,723.36,738.32,84415,1715731200
ok,735.51,761.68,735.51,757.01,61620,1715817600
ok,772.15,786.45,754.3,775.7,62629,1716076800
ok,783.18,797.66,765.42,766.36,121905,1716163200
ok,769.35,781.21,758.41,758.41,48249,1716249600
ok,763.55,771.03,757.01,757.29,40109,1716336000
ok,757.01,772.43,749.53,752.34,48335,1716681600
ok,760.75,790.19,753.27,764.49,70092,1716768000
ok,779.72,820.28,766.36,801.12,165091,1716940800
ok,811.21,811.21,783.18,793.46,59600,1717027200
ok,809.25,809.25,778.5,780.37,54789,1717286400
ok,789.72,789.72,770.09,771.96,39665,1717372800
ok,756.54,789.72,756.54,770.09,30969,1717459200
ok,785.42,785.42,756.07,756.07,40046,1717545600
ok,755.23,771.03,752.43,754.21,48669,1717632000
ok,757.94,765.42,754.21,755.61,33305,1717891200
ok,756.92,767.29,755.14,758.97,34623,1717977600
ok,761.68,773.83,757.01,771.03,27488,1718064000
ok,775.79,790.65,771.96,772.9,53908,1718150400
ok,772.9,784.02,758.97,761.68,34512,1718236800
ok,758.88,766.36,748.6,750.93,36880,1718496000
ok,748.69,757.01,736.92,741.12,45563,1718668800
ok,743.93,750.47,729.91,737.38,26249,1718755200
ok,747.66,747.66,728.97,732.71,22490,1718841600
ok,725.23,738.22,719.72,728.79,18688,1719100800
ok,743.27,743.27,724.39,727.1,23180,1719187200
ok,741.59,741.59,719.81,738.32,21578,1719273600
