s,o,h,l,c,v,t
ok,374.14,374.14,337.05,337.05,3920,1553385600
ok,320.92,320.92,303.99,303.99,90,1553472000
ok,289.47,289.47,274.15,274.15,500,1553558400
ok,260.45,284.64,260.45,268.51,78450,1553731200
ok,270.12,270.12,260.45,262.06,32407,1553990400
ok,260.45,267.7,258.83,266.09,31990,1554076800
ok,263.67,270.93,262.06,265.28,38720,1554163200
ok,263.67,265.28,261.25,262.06,18011,1554249600
ok,266.09,266.09,258.03,258.83,33290,1554336000
ok,257.22,259.64,256.41,258.03,14305,1554595200
ok,260.45,260.45,248.35,249.96,14819,1554768000
ok,245.93,250.77,245.93,248.35,14774,1554854400
ok,247.54,249.96,246.74,246.74,16100,1554940800
ok,245.12,248.35,245.12,248.35,4335,1555286400
ok,248.35,251.58,247.54,250.77,14905,1555372800
ok,245.93,249.96,241.9,249.16,17750,1555545600
ok,250.77,250.77,244.32,245.93,18065,1555804800
ok,245.93,250.77,245.12,245.93,20035,1555891200
ok,246.74,250.77,245.93,249.96,23310,1555977600
ok,246.74,250.77,245.93,247.54,22930,1556064000
ok,246.74,250.77,246.74,249.96,20838,1556150400
ok,249.96,267.7,249.96,261.25,45502,1556409600
ok,260.45,264.48,254.8,258.03,28956,1556496000
ok,257.22,266.09,254.8,264.48,22059,1556582400
ok,259.64,281.41,259.64,277.38,74542,1556755200
ok,278.99,299.96,272.54,288.67,129045,1557014400
ok,302.37,316.89,286.25,312.86,132126,1557100800
ok,314.47,318.5,304.79,305.6,127407,1557187200
ok,302.37,320.92,302.37,314.47,105925,1557273600
ok,309.63,338.66,309.63,331.4,124569,1557360000
ok,333.02,364.46,330.6,364.46,153906,1557619200
ok,366.88,400.75,366.88,400.75,233289,1557705600
ok,408.0,440.26,408.0,440.26,157535,1557792000
ok,462.03,475.74,414.45,419.29,237479,1557878400
ok,419.29,461.22,403.97,461.22,245337,1557964800
ok,483.8,507.18,459.61,507.18,306224,1558224000
ok,532.18,546.69,467.67,479.77,399171,1558310400
ok,483.8,490.25,449.13,471.7,118395,1558396800
ok,463.64,470.9,439.45,443.48,110790,1558483200
ok,443.48,466.87,428.97,441.06,73193,1558569600
ok,443.48,474.93,437.03,451.55,84403,1558828800
ok,451.55,481.38,448.32,474.12,125412,1558915200
ok,474.12,520.89,472.51,520.89,265038,1559001600
ok,546.69,572.5,524.12,547.5,298013,1559088000
ok,574.11,574.11,516.05,532.99,255064,1559174400
ok,536.21,553.95,516.05,541.05,140252,1559433600
ok,542.66,544.27,524.12,528.15,92219,1559520000
ok,524.12,554.76,518.47,544.27,180829,1559606400
ok,552.34,554.76,541.86,546.69,114304,1559779200
ok,546.69,551.53,539.44,541.05,57870,1560124800
ok,540.24,545.08,533.79,537.82,56549,1560211200
ok,533.79,540.24,528.95,536.21,64326,1560297600
ok,536.21,541.05,529.76,535.4,39563,1560384000
ok,528.95,531.37,520.89,520.89,39141,1560643200
ok,520.89,541.05,519.28,528.95,49325,1560729600
ok,536.21,536.21,525.73,528.95,29720,1560816000
ok,534.6,534.6,525.73,526.53,15728,1560902400
ok,525.73,531.37,524.92,528.15,46254,1560988800
ok,524.12,532.18,521.7,524.92,26368,1561248000
ok,524.12,539.44,521.7,532.18,78444,1561334400
ok,537.02,538.63,529.76,530.57,28912,1561420800
ok,524.12,529.76,524.12,526.53,17328,1561507200
ok,533.79,535.4,519.28,519.28,46090,1561593600
ok,516.86,519.28,496.7,496.7,92576,1561852800
ok,497.51,505.57,489.44,499.12,29108,1561939200
ok,491.86,501.54,491.86,498.31,17637,1562025600
ok,499.93,505.57,496.7,499.93,30698,1562112000
ok,503.15,503.15,492.67,495.89,18280,1562198400
ok,495.89,496.7,491.86,496.7,15003,1562457600
ok,490.25,495.09,489.44,493.48,16551,1562544000
ok,489.44,494.28,487.83,491.86,14500,1562630400
ok,485.41,490.25,483.8,484.61,25835,1562716800
ok,483.8,485.41,466.06,474.12,54007,1562803200
ok,475.74,475.74,469.29,474.12,11935,1563062400
ok,482.99,489.44,466.87,489.44,60185,1563148800
ok,513.63,513.63,484.61,490.25,24650,1563235200
ok,491.86,506.38,488.64,505.57,38928,1563321600
ok,505.57,520.08,504.76,507.99,41263,1563408000
ok,532.99,532.99,497.51,502.34,25405,1563667200
ok,496.7,507.99,496.7,503.96,23758,1563753600
ok,503.96,513.63,502.34,503.96,17637,1563840000
ok,511.21,511.21,501.54,501.54,11085,1563926400
