s,o,h,l,c,v,t
ok,350.0,350.0,315.0,315.0,6459,1698537600
ok,308.7,308.7,283.5,283.5,11557,1698624000
ok,277.9,277.9,255.2,255.2,25109,1698710400
ok,250.1,250.1,230.0,234.8,616775,1698796800
ok,230.2,244.0,230.2,244.0,189303,1698883200
ok,244.0,244.0,230.0,237.0,119248,1699142400
ok,232.3,255.0,232.3,244.1,231101,1699228800
ok,248.4,260.0,244.0,257.0,232895,1699315200
ok,258.0,275.4,252.2,273.0,210017,1699401600
ok,273.0,273.0,258.9,259.0,290692,1699488000
ok,253.9,268.0,253.9,263.9,224086,1700438400
ok,259.0,265.6,255.5,260.5,167730,1700524800
ok,260.0,285.0,257.4,283.0,392703,1700611200
ok,279.0,294.2,274.0,287.9,332905,1700697600
ok,287.9,299.0,280.0,293.3,402121,1700956800
ok,290.0,298.0,285.1,288.0,268335,1701043200
ok,288.0,306.0,285.1,301.2,283941,1701129600
ok,301.2,312.1,295.1,295.5,257788,1701216000
ok,295.0,302.5,291.1,293.0,270044,1701302400
ok,297.0,300.0,288.0,295.0,236788,1701561600
ok,293.0,304.5,290.3,300.2,248193,1701648000
ok,302.0,305.0,292.5,293.5,182682,1701734400
ok,287.7,296.1,287.7,291.0,106939,1701820800
ok,288.1,304.0,288.1,297.0,310907,1701907200
ok,302.9,320.0,302.9,318.0,113600,1702166400
ok,320.0,339.9,310.0,328.0,784650,1702252800
ok,328.0,360.8,328.0,360.8,429827,1702339200
ok,368.0,381.9,353.0,359.0,398398,1702425600
ok,359.0,373.3,347.0,361.8,444033,1702512000
ok,354.6,386.0,348.0,383.0,449066,1702771200
ok,390.6,407.0,377.2,394.0,521417,1702857600
ok,390.0,433.4,390.0,433.4,398818,1702944000
ok,440.0,476.7,440.0,476.7,431356,1703030400
ok,486.2,493.1,451.4,461.0,539018,1703116800
ok,470.2,479.0,430.0,433.0,618652,1703376000
ok,435.0,450.0,399.0,415.1,467990,1703635200
ok,415.1,455.9,409.0,454.1,328829,1703721600
ok,463.1,470.0,443.0,456.0,437027,1704067200
ok,456.0,458.0,437.1,439.0,288959,1704153600
ok,439.0,482.9,438.0,482.9,570717,1704240000
ok,492.0,529.5,490.0,508.0,653648,1704326400
ok,518.1,518.1,496.0,498.8,557159,1704585600
ok,496.1,519.0,496.0,506.0,429578,1704672000
ok,507.0,516.3,490.1,493.0,427624,1704758400
ok,502.0,530.0,496.0,527.3,634593,1704844800
ok,527.3,540.0,523.0,527.0,315907,1704931200
ok,527.0,545.0,522.3,539.0,451820,1705190400
ok,545.0,575.0,536.0,554.0,506592,1705363200
ok,555.0,565.0,529.2,532.0,548790,1705449600
ok,521.4,521.4,485.0,506.8,597489,1705536000
ok,507.0,507.7,480.0,482.0,402920,1705795200
