s,o,h,l,c,v,t
ok,10100.0,10099.0,9900.0,9900.0,20,1361664000
ok,9900.0,9898.0,9898.0,9898.0,10,1361750400
ok,9898.0,9750.0,9750.0,9750.0,10,1362268800
ok,9750.0,9300.0,9300.0,9300.0,190,1362528000
ok,9300.0,9486.0,9486.0,9486.0,20,1364083200
ok,9486.0,9298.0,9298.0,9298.0,30,1364428800
ok,9298.0,9483.0,9483.0,9483.0,10,1366070400
ok,9483.0,9672.0,9600.0,9672.0,40,1366502400
ok,9672.0,9672.0,9672.0,9672.0,10,1367452800
ok,9672.0,9865.0,9700.0,9865.0,20,1368489600
ok,9865.0,9800.0,9800.0,9800.0,100,1368662400
ok,9800.0,10100.0,9996.0,10100.0,290,1368921600
ok,10100.0,9898.0,9898.0,9898.0,30,1369612800
ok,9898.0,9792.0,9792.0,9792.0,10,1369872000
ok,9792.0,9986.0,9986.0,9986.0,50,1370217600
ok,9986.0,10000.0,9987.0,10000.0,20,1370304000
ok,10000.0,10000.0,10000.0,10000.0,10,1370476800
ok,10000.0,10000.0,10000.0,10000.0,150,1371340800
ok,10000.0,10000.0,10000.0,10000.0,120,1371513600
ok,10000.0,10000.0,10000.0,10000.0,60,1371686400
ok,10000.0,10000.0,10000.0,10000.0,30,1371945600
ok,10000.0,10000.0,10000.0,10000.0,20,1372032000
ok,10000.0,10000.0,10000.0,10000.0,120,1372291200
ok,10000.0,10000.0,10000.0,10000.0,40,1372723200
ok,10000.0,9998.0,9998.0,9998.0,30,1372896000
ok,9998.0,10000.0,10000.0,10000.0,20,1373155200
ok,10000.0,10000.0,10000.0,10000.0,20,1373414400
ok,10000.0,9900.0,9800.0,9800.0,790,1373500800
ok,9800.0,9905.0,9905.0,9905.0,20,1374364800
ok,9905.0,9905.0,9900.0,9900.0,60,1374710400
ok,9900.0,10098.0,10098.0,10098.0,10,1376265600
ok,10098.0,10250.0,10046.0,10046.0,280,1376870400
ok,10046.0,10046.0,10046.0,10046.0,100,1376956800
ok,10046.0,10200.0,10200.0,10200.0,10,1377734400
ok,10200.0,10000.0,10000.0,10000.0,30,1377993600
ok,10000.0,10000.0,10000.0,10000.0,20,1378080000
ok,10000.0,10000.0,10000.0,10000.0,20,1378684800
ok,10000.0,9800.0,9800.0,9800.0,10,1379894400
ok,9800.0,9800.0,9800.0,9800.0,10,1380067200
ok,9800.0,9800.0,9800.0,9800.0,30,1380585600
ok,9800.0,9996.0,9996.0,9996.0,10,1380758400
ok,9996.0,9996.0,9996.0,9996.0,30,1381104000
ok,9996.0,9999.0,9999.0,9999.0,40,1381363200
ok,9999.0,9999.0,9999.0,9999.0,10,1381968000
ok,9999.0,10000.0,10000.0,10000.0,10,1382227200
ok,10000.0,10000.0,10000.0,10000.0,20,1382313600
ok,10000.0,10251.0,10050.0,10251.0,40,1382400000
ok,10251.0,10456.0,10456.0,10456.0,10,1382572800
ok,10456.0,10456.0,10456.0,10456.0,30,1382918400
ok,10456.0,10650.0,10650.0,10650.0,70,1383004800
ok,10650.0,10500.0,10500.0,10500.0,50,1383696000
ok,10500.0,10500.0,10500.0,10500.0,60,1386633600
ok,10500.0,10500.0,10500.0,10500.0,10,1386720000
ok,10500.0,10290.0,10290.0,10290.0,30,1386806400
ok,10290.0,10495.0,10495.0,10495.0,10,1388016000
ok,10495.0,10286.0,10286.0,10286.0,30,1389571200
ok,10286.0,10300.0,10300.0,10300.0,30,1389830400
ok,10300.0,10506.0,10506.0,10506.0,10,1390176000
ok,10506.0,10500.0,10500.0,10500.0,20,1390262400
ok,10500.0,10710.0,10500.0,10710.0,750,1390348800
ok,10710.0,10525.0,10525.0,10525.0,150,1392595200
ok,10525.0,11000.0,10500.0,11000.0,180,1396828800
ok,11000.0,11100.0,11100.0,11100.0,10,1397001600
ok,11100.0,11097.0,10880.0,11097.0,310,1397088000
ok,11097.0,11318.0,11100.0,11318.0,50,1397520000
ok,11400.0,11400.0,11201.0,11400.0,20,1397952000
ok,11400.0,11730.0,11500.0,11730.0,200,1398124800
ok,11730.0,12903.0,11964.0,12903.0,140,1398211200
ok,12903.0,13161.0,13161.0,13161.0,10,1398556800
ok,13161.0,13161.0,13161.0,13161.0,10,1398643200
ok,13161.0,13000.0,13000.0,13000.0,10,1398729600
ok,13000.0,13525.0,13255.0,13300.0,60,1398816000
ok,13300.0,13300.0,13000.0,13300.0,1040,1399161600
ok,13300.0,13034.0,13000.0,13000.0,1000,1399334400
ok,13000.0,14070.0,13260.0,14070.0,590,1399420800
ok,14070.0,14877.0,14200.0,14877.0,70,1399766400
ok,14877.0,14871.0,14550.0,14871.0,200,1399852800
ok,14871.0,14800.0,14800.0,14800.0,100,1399939200
ok,14800.0,14504.0,14504.0,14504.0,40,1400371200
ok,14504.0,14214.0,14214.0,14214.0,400,1400457600
ok,14214.0,13930.0,13930.0,13930.0,30,1400630400
ok,13930.0,13652.0,13652.0,13652.0,20,1400716800
ok,13652.0,14487.0,13925.0,14400.0,180,1400976000
ok,14400.0,14394.0,14112.0,14394.0,100,1401062400
ok,14394.0,14667.0,14107.0,14667.0,50,1401148800
ok,14667.0,15400.0,15400.0,15400.0,10,1401235200
ok,15400.0,15300.0,15000.0,15000.0,30,1401580800
ok,15000.0,15000.0,14700.0,14800.0,50,1401926400
ok,14800.0,14504.0,14500.0,14500.0,1160,1402790400
ok,14500.0,14550.0,14550.0,14550.0,10,1402963200
ok,14550.0,14841.0,14841.0,14841.0,10,1403049600
ok,14841.0,14550.0,14550.0,14550.0,10,1403568000
ok,14550.0,14550.0,14550.0,14550.0,10,1403740800
ok,14550.0,14551.0,14551.0,14551.0,10,1404172800
ok,14551.0,14840.0,14840.0,14840.0,90,1405296000
ok,14840.0,14550.0,14550.0,14550.0,10,1405382400
ok,14550.0,14301.0,14301.0,14301.0,30,1405468800
ok,14301.0,14587.0,14587.0,14587.0,30,1405814400
ok,14587.0,15175.0,14878.0,15175.0,40,1405900800
ok,15175.0,15175.0,15175.0,15175.0,30,1405987200
ok,15175.0,14872.0,14872.0,14872.0,50,1406505600
ok,14872.0,14602.0,14602.0,14602.0,50,1406678400
ok,14602.0,14310.0,14310.0,14310.0,50,1406764800
ok,14310.0,14310.0,14310.0,14310.0,30,1407024000
ok,14310.0,14596.0,14596.0,14596.0,30,1407110400
ok,14596.0,15184.0,14887.0,15184.0,20,1407888000
ok,15184.0,15200.0,15200.0,15200.0,20,1408924800
ok,15200.0,14897.0,14500.0,14500.0,1000,1409011200
ok,14500.0,15225.0,14921.0,14921.0,40,1409097600
ok,14921.0,14630.0,14630.0,14630.0,110,1409529600
ok,14630.0,15361.0,15361.0,15361.0,10,1409788800
ok,15361.0,15054.0,15054.0,15054.0,10,1410307200
ok,15054.0,14800.0,14800.0,14800.0,200,1410393600
ok,14800.0,14504.0,14504.0,14504.0,20,1410739200
ok,14504.0,15229.0,14925.0,15000.0,70,1412035200
ok,15000.0,15000.0,14900.0,15000.0,170,1413158400
ok,15000.0,15100.0,15100.0,15100.0,30,1413331200
ok,15100.0,15150.0,15003.0,15003.0,60,1413417600
ok,15003.0,15100.0,15100.0,15100.0,20,1413849600
ok,15100.0,15200.0,15200.0,15200.0,50,1414281600
ok,15200.0,15300.0,15300.0,15300.0,50,1414368000
ok,15300.0,16065.0,16065.0,16065.0,10,1414627200
ok,16065.0,15744.0,15430.0,15430.0,20,1414886400
ok,15430.0,15123.0,15123.0,15123.0,50,1415145600
ok,15123.0,15500.0,15100.0,15500.0,780,1415232000
ok,15500.0,15700.0,15550.0,15700.0,150,1415664000
ok,15700.0,15700.0,15400.0,15400.0,230,1416182400
ok,15400.0,15400.0,15400.0,15400.0,30,1416873600
ok,15400.0,15400.0,15400.0,15400.0,10,1417392000
ok,15400.0,15600.0,15600.0,15600.0,1110,1417478400
ok,15600.0,15500.0,15500.0,15500.0,30,1417651200
ok,15500.0,15190.0,15150.0,15150.0,140,1419292800
ok,15150.0,15150.0,15150.0,15150.0,30,1420675200
ok,15150.0,15700.0,15450.0,15700.0,130,1421020800
ok,15700.0,16015.0,15701.0,16015.0,20,1421884800
ok,16015.0,16015.0,16015.0,16015.0,10,1422144000
ok,16015.0,16300.0,16300.0,16300.0,30,1423612800
ok,16300.0,16600.0,16600.0,16600.0,100,1423699200
ok,16600.0,16930.0,16930.0,16930.0,30,1424563200
ok,16930.0,17100.0,17100.0,17100.0,30,1424649600
ok,17100.0,17200.0,17200.0,17200.0,30,1424822400
ok,17200.0,17400.0,17400.0,17400.0,50,1426982400
ok,17400.0,17300.0,17300.0,17300.0,30,1427241600
ok,17300.0,17646.0,17646.0,17646.0,10,1427673600
ok,17646.0,17998.0,17700.0,17998.0,60,1428451200
ok,17998.0,18300.0,18300.0,18300.0,20,1428796800
ok,18300.0,18666.0,18301.0,18303.0,110,1429142400
ok,18303.0,17937.0,17937.0,17937.0,980,1432512000
ok,17937.0,18295.0,18295.0,18295.0,10,1433030400
ok,18295.0,19413.0,18660.0,19413.0,30,1433721600
ok,19413.0,19801.0,19500.0,19500.0,170,1433808000
ok,19500.0,19110.0,19110.0,19110.0,10,1433980800
ok,19110.0,19492.0,19490.0,19492.0,20,1434240000
ok,19492.0,19880.0,19880.0,19880.0,10,1434326400
ok,19880.0,19880.0,19880.0,19880.0,50,1434844800
ok,19880.0,19880.0,19880.0,19880.0,30,1435449600
ok,19880.0,19880.0,19880.0,19880.0,50,1435622400
ok,20000.0,20200.0,20000.0,20200.0,150,1435708800
ok,20000.0,20000.0,20000.0,20000.0,10,1436054400
ok,20000.0,20000.0,20000.0,20000.0,330,1436140800
ok,20026.0,20280.0,20026.0,20280.0,80,1436227200
ok,20300.0,20300.0,20300.0,20300.0,10,1436313600
ok,19895.0,20604.0,19895.0,20604.0,120,1436659200
ok,21016.0,21436.0,21016.0,21435.0,30,1436832000
ok,21500.0,22000.0,21500.0,22000.0,350,1436918400
ok,22000.0,21561.0,21561.0,21561.0,100,1437004800
ok,21561.0,21400.0,21400.0,21400.0,100,1438560000
ok,21400.0,21992.0,21400.0,21992.0,350,1439078400
ok,22431.0,22431.0,22431.0,22431.0,10,1439337600
ok,22879.0,23700.0,22879.0,23700.0,40,1439424000
ok,24174.0,25000.0,24174.0,25000.0,40,1439769600
ok,25000.0,25000.0,25000.0,25000.0,100,1439856000
ok,25500.0,25500.0,25500.0,25500.0,20,1439942400
ok,26010.0,26010.0,26010.0,26010.0,10,1440028800
ok,26530.0,28153.0,26530.0,28153.0,40,1440633600
ok,28153.0,28700.0,28700.0,28700.0,10,1441065600
ok,29274.0,30000.0,29274.0,30000.0,40,1441152000
ok,30000.0,30000.0,30000.0,30000.0,110,1441238400
ok,30000.0,30000.0,30000.0,30000.0,120,1441497600
ok,30600.0,30600.0,30600.0,30600.0,10,1441670400
ok,31212.0,31212.0,31000.0,31000.0,20,1441756800
ok,31000.0,31000.0,31000.0,31000.0,110,1441843200
ok,30380.0,30380.0,29500.0,29500.0,50,1442275200
ok,28910.0,28910.0,28910.0,28910.0,10,1442361600
ok,28990.0,28990.0,28990.0,28990.0,20,1443657600
ok,28411.0,28411.0,26091.0,26091.0,80,1444262400
ok,26000.0,26000.0,25480.0,25480.0,30,1444867200
ok,25989.0,26000.0,25989.0,26000.0,70,1445126400
ok,26520.0,26520.0,26520.0,26520.0,10,1446508800
ok,25990.0,26000.0,25990.0,26000.0,70,1447113600
ok,26000.0,26000.0,26000.0,26000.0,200,1447545600
ok,25980.0,25980.0,25980.0,25980.0,10,1447632000
ok,25800.0,25800.0,25500.0,25500.0,40,1447804800
ok,26010.0,26250.0,26010.0,26250.0,510,1447891200
ok,25725.0,25725.0,25725.0,25725.0,30,1448150400
ok,25250.0,25700.0,25250.0,25700.0,690,1448755200
ok,25700.0,25700.0,25700.0,25700.0,100,1449100800
ok,26100.0,26100.0,26100.0,26100.0,30,1449187200
ok,26100.0,26100.0,26100.0,26100.0,10,1450569600
ok,25700.0,25700.0,25700.0,25700.0,30,1450742400
ok,25186.0,25186.0,25186.0,25186.0,10,1451779200
ok,25186.0,25500.0,25500.0,25500.0,80,1451865600
ok,24990.0,24990.0,24990.0,24990.0,10,1453075200
