s,o,h,l,c,v,t
ok,376.29,398.68,368.76,393.76,56324,1641081600
ok,456.56,456.56,411.67,411.67,39935,1660089600
ok,403.52,403.52,379.87,387.22,106384,1660176000
ok,387.04,387.04,373.24,379.87,18955,1660435200
ok,385.24,392.95,359.17,389.72,73423,1660521600
ok,385.24,387.04,369.12,377.99,29833,1660608000
ok,373.15,388.83,368.22,380.68,19105,1660694400
ok,385.24,385.24,370.91,374.4,36151,1660780800
ok,371.81,376.11,370.1,371.81,17196,1661040000
ok,368.85,386.5,365.62,374.4,11844,1661126400
ok,373.6,375.39,365.53,367.33,10994,1661212800
ok,367.33,371.81,365.62,368.94,8711,1661299200
ok,364.64,370.91,357.47,358.37,26968,1661385600
ok,358.37,358.37,351.2,351.2,12876,1661472000
ok,346.72,349.41,335.97,336.06,24649,1661644800
ok,338.66,344.93,332.39,342.15,10683,1661731200
ok,348.51,348.51,339.55,343.94,7955,1661817600
ok,348.96,348.96,331.49,331.49,10845,1661904000
ok,335.97,364.64,329.25,364.64,143616,1661990400
ok,371.9,371.9,352.99,355.32,15502,1662076800
ok,361.06,390.62,358.37,387.93,136843,1662249600
ok,395.64,403.52,374.49,403.16,107791,1662336000
ok,395.1,416.6,370.91,378.88,217023,1662422400
ok,376.29,376.29,360.16,362.04,113241,1662508800
ok,358.64,377.27,358.37,369.03,324764,1662595200
ok,374.49,374.49,359.26,364.37,97751,1662854400
ok,358.82,361.95,357.11,359.26,24198,1662940800
ok,364.55,364.64,356.58,362.4,95720,1663027200
ok,358.37,370.46,358.37,369.92,107208,1663113600
ok,363.83,367.33,344.93,351.2,102070,1663200000
ok,344.21,363.74,338.66,363.74,22169,1663286400
ok,356.58,356.58,339.55,344.03,37496,1663459200
ok,337.76,337.76,328.09,329.7,43519,1663632000
ok,335.7,335.97,328.0,332.12,21990,1663718400
ok,330.77,331.58,326.11,327.01,12540,1663804800
ok,324.32,324.32,316.44,324.05,16852,1664064000
ok,322.53,334.18,322.53,326.11,14044,1664236800
ok,326.11,334.63,320.74,322.53,13456,1664323200
ok,327.01,333.28,321.63,323.43,21240,1664409600
ok,323.87,340.45,323.43,332.39,16093,1665273600
ok,338.66,344.93,320.74,322.53,13167,1665360000
ok,317.42,322.98,317.42,320.74,7037,1665446400
ok,320.74,331.49,316.26,328.71,46735,1665532800
ok,324.32,333.19,322.53,327.91,20827,1665619200
ok,327.91,330.59,321.63,326.11,13343,1665878400
ok,320.74,327.1,320.74,322.53,6848,1665964800
ok,318.23,318.23,313.57,315.36,11153,1666137600
ok,310.88,314.47,309.09,310.88,6445,1666224000
ok,309.99,318.86,309.45,318.86,12627,1666483200
ok,313.57,320.65,313.57,320.65,5366,1667174400
ok,316.26,345.73,313.57,345.73,37852,1667260800
ok,341.34,349.41,334.63,342.42,38180,1667347200
ok,335.97,342.24,329.34,334.18,15032,1667433600
ok,337.67,344.75,335.07,344.03,12242,1667692800
ok,338.48,352.28,335.07,338.66,31273,1667779200
ok,334.27,344.03,332.83,340.45,21387,1667865600
ok,334.27,344.93,321.63,324.32,29947,1667952000
ok,330.59,330.59,313.57,319.75,19995,1668038400
ok,325.13,325.13,313.57,320.74,8227,1668297600
ok,316.26,326.83,314.38,326.11,14649,1668384000
ok,329.7,331.49,316.98,320.74,5997,1668470400
ok,322.53,325.76,320.74,322.53,12396,1668556800
ok,327.01,331.31,322.62,323.16,16148,1668643200
ok,328.8,329.7,314.56,320.83,6783,1669075200
ok,318.95,323.61,315.81,317.33,5829,1669161600
ok,315.36,326.2,314.47,324.23,11146,1669248000
ok,324.32,337.4,318.05,335.79,130479,1669507200
ok,338.57,342.15,326.11,333.28,16934,1669593600
ok,333.28,333.28,320.47,331.49,12295,1669680000
ok,331.49,331.49,322.53,329.7,7941,1669766400
ok,328.8,336.24,325.31,331.49,19645,1669852800
ok,328.8,340.45,328.8,335.97,20608,1670112000
ok,335.97,339.55,326.65,328.8,19357,1670198400
ok,327.01,329.61,322.53,328.35,23370,1670284800
ok,322.71,328.8,322.62,325.67,10910,1670371200
ok,322.62,326.11,321.63,322.53,6650,1670716800
ok,328.8,329.7,322.26,329.7,12496,1670803200
ok,323.7,328.8,323.43,327.01,8360,1670889600
ok,327.01,327.01,323.43,323.61,11252,1670976000
ok,321.63,324.95,321.19,324.32,16839,1671062400
ok,324.32,324.32,315.54,318.05,10626,1671321600
ok,314.47,323.43,314.47,323.43,12782,1671408000
ok,329.7,329.7,318.05,322.44,14136,1671494400
ok,319.13,322.44,319.13,322.44,3952,1671580800
ok,320.74,321.63,317.24,321.63,10796,1671667200
ok,327.91,352.99,317.16,352.99,21710,1672012800
