s,o,h,l,c,v,t
ok,382.98,382.98,377.42,377.42,350,1512864000
ok,375.96,375.96,367.77,375.96,615,1512950400
ok,370.7,370.99,365.73,365.73,745,1513036800
ok,365.73,375.08,363.09,373.91,865,1513123200
ok,370.11,370.11,365.73,367.19,685,1513209600
ok,365.73,365.73,365.43,365.73,200,1513468800
ok,371.57,381.52,365.73,367.19,1020,1513555200
ok,361.63,380.35,361.63,371.57,4265,1513641600
ok,370.11,370.11,365.43,367.77,1165,1513728000
ok,367.19,367.19,361.63,362.22,427,1513814400
ok,367.77,373.91,364.26,364.85,624,1514073600
ok,359.88,359.88,357.83,357.83,1000,1514246400
ok,351.69,355.49,351.11,354.03,1755,1514332800
ok,356.95,358.42,354.03,354.03,600,1514419200
ok,349.64,349.64,343.8,347.01,1289,1514678400
ok,341.16,367.48,341.16,362.8,2625,1514764800
ok,358.42,369.82,354.03,358.42,2420,1514851200
ok,355.49,355.49,348.47,355.49,760,1514937600
ok,355.2,355.2,346.72,349.94,4472,1515024000
ok,351.11,355.49,351.11,351.11,920,1515283200
ok,356.95,362.22,354.32,354.32,1110,1515369600
ok,354.32,362.8,358.42,362.8,1025,1515456000
ok,359.59,359.59,356.66,356.66,490,1515542400
ok,350.81,351.11,345.26,350.81,1078,1515888000
ok,346.72,348.18,346.43,348.18,876,1516060800
ok,346.43,346.72,346.43,346.72,654,1516147200
ok,348.18,348.77,348.18,348.18,715,1516492800
ok,342.33,346.72,342.33,344.09,250,1516579200
ok,338.24,340.87,332.39,337.07,2674,1516665600
ok,337.07,338.24,336.49,336.78,920,1516752000
ok,337.95,340.87,335.02,340.58,740,1516838400
ok,345.26,345.26,337.95,337.95,640,1517097600
ok,332.68,338.24,332.68,337.95,400,1517184000
ok,335.02,340.87,335.02,337.36,880,1517356800
ok,339.41,339.41,337.95,337.95,140,1517443200
ok,339.41,340.87,339.12,339.41,1090,1517702400
ok,339.12,339.12,335.02,335.02,40,1517788800
ok,333.56,335.02,332.1,335.02,150,1517875200
ok,330.64,330.64,329.47,330.64,631,1517961600
ok,332.1,332.1,331.81,331.81,120,1518048000
ok,327.71,327.71,321.57,326.84,830,1518307200
ok,321.28,326.54,321.28,324.79,700,1518393600
ok,326.25,329.18,326.25,329.18,660,1518566400
ok,332.1,346.72,332.1,336.49,956,1518652800
ok,336.49,347.89,336.49,337.95,1002,1518912000
ok,332.98,332.98,332.39,332.39,360,1519084800
ok,327.71,329.47,327.71,329.18,896,1519171200
ok,322.45,327.71,322.45,326.25,130,1519257600
ok,323.33,323.33,323.33,323.33,150,1519516800
ok,318.36,321.87,318.06,320.4,230,1519603200
ok,320.4,327.71,320.4,323.33,431,1519689600
ok,320.4,320.4,318.06,318.06,600,1519776000
ok,316.02,316.02,301.4,310.75,1220,1520121600
ok,295.84,298.77,286.48,298.77,810,1520294400
ok,295.84,302.86,294.09,299.93,530,1520380800
ok,299.93,297.01,294.96,297.01,310,1520726400
ok,297.01,294.09,288.24,288.24,520,1520812800
ok,288.24,292.92,288.24,292.62,190,1520899200
ok,295.55,295.55,291.16,291.16,230,1520985600
ok,291.16,295.84,291.16,291.16,350,1521072000
ok,286.78,287.07,286.78,286.78,280,1521331200
ok,282.1,286.48,282.1,286.48,80,1521417600
ok,281.81,281.81,278.3,279.47,250,1521504000
ok,274.2,274.2,267.77,272.16,492,1521590400
ok,272.16,275.08,260.46,262.21,1365,1521676800
ok,258.12,258.12,245.25,245.25,1320,1522022400
ok,241.45,257.83,241.45,257.54,1000,1522108800
ok,253.73,263.38,253.73,261.92,1650,1522195200
ok,263.38,267.19,263.38,264.85,602,1522281600
ok,265.43,268.94,260.75,268.94,1365,1522540800
ok,268.94,268.94,261.92,264.85,335,1522627200
ok,264.85,268.94,264.85,268.94,130,1522713600
ok,273.33,279.17,273.33,278.88,1910,1522800000
ok,283.27,286.78,279.47,286.48,3621,1522886400
ok,291.16,304.91,291.16,304.91,3471,1523145600
ok,305.78,310.17,299.93,301.1,3635,1523232000
ok,295.26,304.32,295.26,295.84,830,1523318400
ok,291.16,297.89,291.16,297.01,330,1523404800
ok,301.98,301.98,298.47,298.47,490,1523491200
ok,298.47,301.4,295.55,299.93,1554,1523750400
ok,304.91,321.87,304.32,315.14,1788,1523836800
ok,315.14,341.75,320.4,336.49,2090,1523923200
ok,341.75,354.03,340.87,343.8,4685,1524009600
ok,345.26,352.57,340.87,341.16,2552,1524096000
ok,340.87,355.49,340.87,355.49,3345,1524355200
ok,359.88,361.63,343.8,349.35,3481,1524441600
ok,343.5,346.72,340.87,342.92,1865,1524528000
ok,340.87,340.87,335.02,337.95,2415,1524614400
ok,337.95,337.95,323.91,323.91,920,1524700800
ok,329.18,339.41,328.01,328.01,713,1524960000
ok,328.01,337.36,323.33,337.36,494,1525219200
ok,340.87,340.87,335.32,338.53,1590,1525305600
ok,340.87,352.57,340.87,340.87,1190,1525564800
ok,339.99,340.29,338.24,338.24,245,1525651200
ok,333.56,339.12,333.56,339.12,430,1525737600
ok,339.12,343.8,339.41,339.41,545,1525824000
ok,339.41,339.41,332.1,332.1,932,1525910400
ok,331.81,331.81,323.33,323.33,1160,1526256000
ok,326.25,337.95,326.25,337.95,195,1526342400
ok,339.41,339.41,330.93,332.39,572,1526428800
ok,332.1,332.1,332.1,332.1,20,1526515200
ok,335.02,335.02,332.1,332.1,610,1526774400
ok,330.64,330.64,328.59,329.47,600,1526860800
ok,329.76,335.02,329.76,332.1,1638,1526947200
ok,329.47,332.1,329.47,332.1,1200,1527033600
ok,332.1,330.64,327.71,327.71,695,1527120000
ok,327.71,335.02,328.88,335.02,340,1527465600
