s,o,h,l,c,v,t
ok,69.38,69.19,68.28,68.28,1088,1326844800
ok,68.28,68.2,68.2,68.2,75,1327449600
ok,68.2,68.2,68.0,68.0,357,1327795200
ok,68.0,67.84,67.84,67.84,27,1327968000
ok,67.84,67.96,67.96,67.96,13,1328054400
ok,67.96,67.88,67.65,67.73,10686,1328486400
ok,67.73,67.57,67.57,67.57,54,1329091200
ok,67.57,67.41,67.41,67.41,1201,1329264000
ok,67.41,67.41,67.41,67.41,48,1330387200
ok,67.41,67.29,67.25,67.29,270,1330473600
ok,67.29,67.13,67.13,67.13,39,1330560000
ok,67.13,66.98,66.82,66.82,163,1330819200
ok,66.82,66.66,66.66,66.66,377,1330992000
ok,66.66,66.66,66.66,66.66,13,1331424000
ok,66.66,66.5,66.5,66.5,13,1332028800
ok,66.5,66.34,66.34,66.34,46,1332115200
ok,66.34,66.19,66.07,66.07,375,1332288000
ok,66.07,65.95,65.83,65.83,1948,1332892800
ok,65.83,65.83,65.83,65.83,50,1333929600
ok,65.83,66.58,65.95,66.58,6097,1335744000
ok,66.58,67.05,66.74,67.05,8082,1336348800
ok,67.7,67.74,67.74,67.74,3170,1338249600
ok,67.74,66.89,66.72,66.81,557,1339459200
ok,66.81,66.98,66.81,66.98,163,1339545600
ok,66.98,67.15,67.15,67.15,116,1343606400
ok,67.15,67.32,67.32,67.32,136,1344902400
ok,67.32,67.19,67.19,67.19,246,1344988800
ok,67.19,67.61,67.61,67.61,20,1347148800
ok,67.61,68.04,68.04,68.04,20,1347321600
ok,68.04,68.5,68.5,68.5,20,1347408000
ok,68.5,69.01,69.01,69.01,20,1347494400
ok,69.01,69.52,69.52,69.52,20,1347753600
ok,69.52,70.28,70.07,70.28,184,1347840000
ok,70.28,70.45,70.45,70.45,20,1347926400
ok,70.45,71.04,70.79,70.79,3717,1348012800
ok,70.79,72.02,71.38,72.02,56,1348099200
ok,72.02,72.95,72.7,72.7,282,1348358400
ok,72.7,72.48,71.93,71.93,135,1348444800
ok,71.93,71.89,71.68,71.68,273,1353801600
ok,71.68,71.51,70.62,70.62,127,1354492800
ok,70.62,71.0,70.83,71.0,478,1354665600
ok,71.0,70.83,70.79,70.79,512,1355184000
ok,70.79,70.62,70.62,70.62,13,1355616000
ok,70.62,70.66,70.66,70.66,62,1355961600
ok,70.66,70.66,70.66,70.66,624,1356220800
ok,70.66,71.09,70.87,71.09,761,1356307200
ok,71.09,71.34,71.34,71.34,624,1356480000
ok,73.94,73.94,73.94,73.94,859,1356912000
ok,73.94,71.35,71.35,71.35,5149,1360022400
ok,71.35,71.09,70.84,70.84,205,1362441600
ok,70.84,71.04,70.99,71.04,257,1363737600
ok,71.04,70.89,70.89,70.89,50,1364947200
ok,70.89,70.84,70.84,70.84,50,1365033600
ok,70.84,70.99,70.99,70.99,32,1367193600
ok,70.99,70.79,70.79,70.79,100,1367452800
ok,70.79,70.79,70.79,70.79,51,1368057600
ok,70.79,70.79,70.79,70.79,317,1369008000
ok,70.79,70.99,70.99,70.99,454,1370217600
ok,70.99,71.2,71.2,71.2,2600,1370822400
ok,71.2,71.2,70.79,71.2,11628,1372291200
ok,71.2,71.04,71.04,71.04,11031,1373328000
ok,71.04,70.79,70.18,70.18,617,1374451200
ok,70.18,70.59,70.38,70.59,22,1375142400
ok,70.59,70.99,70.79,70.99,595,1375747200
ok,70.99,71.45,71.2,71.45,1354,1375833600
ok,71.45,72.21,71.2,72.21,2754,1375920000
ok,72.21,72.47,72.21,72.21,5333,1376179200
ok,72.21,71.96,70.99,71.04,3487,1376265600
ok,71.04,70.84,70.74,70.74,99,1376524800
ok,70.74,70.94,70.94,70.94,716,1377388800
ok,70.94,71.91,71.15,71.91,5000,1377734400
ok,71.91,72.67,72.16,72.67,3879,1377993600
ok,72.67,72.92,72.92,72.92,17,1378080000
ok,72.92,72.67,72.16,72.16,716,1378252800
ok,72.16,72.16,72.16,72.16,2021,1378339200
ok,72.16,72.92,72.42,72.92,74,1378598400
ok,72.92,73.69,73.18,73.69,1240,1378771200
ok,73.69,75.01,73.99,74.55,5123,1378857600
ok,74.55,74.25,74.25,74.25,287,1379203200
ok,74.25,74.55,74.55,74.55,25,1379980800
ok,74.55,76.13,74.6,76.13,3129,1380758400
ok,76.13,77.91,76.48,77.91,150,1381017600
ok,77.91,79.18,77.65,79.18,6097,1381104000
ok,79.18,79.84,79.43,79.84,313,1381190400
ok,79.84,81.01,80.19,81.01,177,1381363200
ok,81.01,81.01,80.65,80.65,650,1382313600
ok,80.65,80.7,80.6,80.7,1033,1382400000
ok,80.7,80.7,80.7,80.7,24,1382572800
ok,80.7,81.31,80.85,80.85,5812,1385856000
ok,80.85,81.72,81.26,81.72,38,1385942400
ok,81.72,83.55,82.18,83.55,40,1386115200
ok,83.55,84.01,84.01,84.01,469,1386201600
ok,84.01,84.77,84.26,84.77,2549,1386460800
ok,84.77,86.29,84.77,85.79,5866,1386547200
ok,85.79,85.53,85.28,85.28,687,1386633600
ok,85.28,84.77,84.77,84.77,500,1386720000
ok,84.77,85.79,85.28,85.79,975,1387065600
ok,85.79,86.29,86.29,86.29,31,1387670400
ok,86.29,86.85,86.85,86.85,38,1387756800
ok,86.85,87.41,87.41,87.41,400,1388016000
ok,87.41,86.85,86.85,86.85,72,1388275200
ok,86.85,86.8,86.8,86.8,1000,1388448000
ok,86.8,86.8,85.79,85.79,2250,1388534400
ok,85.79,85.28,85.28,85.28,1000,1388620800
ok,85.28,84.77,84.77,84.77,25,1388880000
ok,84.77,85.23,85.23,85.23,172,1388966400
ok,85.23,84.77,84.77,84.77,209,1389052800
ok,84.77,85.28,85.28,85.28,1226,1389139200
ok,85.28,84.77,84.77,84.77,133,1389484800
ok,84.77,84.72,84.21,84.72,3684,1389571200
ok,84.72,85.28,85.02,85.28,3262,1389657600
ok,85.28,85.53,85.53,85.53,500,1389830400
ok,85.53,87.97,86.04,87.97,2020,1390176000
ok,87.97,89.7,88.53,89.7,1617,1390262400
ok,89.7,90.11,89.6,89.6,521,1390348800
ok,89.6,90.87,89.85,89.85,2496,1390435200
ok,89.85,90.36,90.36,90.36,551,1390780800
ok,90.36,90.97,90.97,90.97,1000,1390867200
ok,90.97,91.48,90.87,90.87,3000,1390953600
ok,90.87,91.12,90.87,90.97,1368,1391299200
ok,90.97,91.38,89.9,89.9,4995,1391385600
ok,89.9,90.46,89.85,90.46,613,1391472000
ok,90.46,90.82,89.6,90.31,8571,1391558400
ok,90.31,89.85,89.6,89.85,656,1391644800
ok,89.85,90.46,89.8,90.46,720,1391904000
ok,90.46,91.07,90.46,90.87,5549,1391990400
ok,90.87,90.61,90.36,90.61,3669,1392076800
ok,90.61,91.12,90.61,90.87,3250,1392163200
ok,90.87,92.6,90.87,91.89,2719,1392249600
ok,91.89,94.07,92.55,93.66,7852,1392508800
ok,93.66,97.17,93.92,97.17,12666,1392595200
ok,97.17,101.04,97.93,101.04,10866,1392681600
ok,101.04,105.31,101.85,104.39,7873,1392854400
ok,104.39,104.9,104.59,104.85,873,1393113600
ok,104.85,105.76,104.09,104.09,1607,1393200000
ok,104.09,103.32,101.8,101.8,1050,1393286400
ok,101.8,100.93,99.31,99.31,2301,1393372800
ok,99.31,100.02,99.15,99.15,838,1393804800
ok,99.15,99.26,98.44,99.21,1108,1393891200
ok,99.21,98.49,98.39,98.49,580,1393977600
ok,98.49,99.0,98.49,99.0,703,1394064000
ok,99.0,99.0,98.49,99.0,225,1394323200
ok,99.0,98.24,98.24,98.24,969,1394409600
ok,98.24,97.93,97.93,97.93,1500,1394496000
ok,97.93,97.99,97.48,97.48,943,1394668800
ok,97.48,97.22,96.46,96.46,1400,1395014400
ok,96.46,95.7,94.27,94.27,395,1395100800
ok,94.27,94.99,91.22,91.22,2209,1395187200
ok,91.22,91.83,91.83,91.83,1021,1395273600
ok,91.83,95.14,92.5,95.14,2259,1395532800
ok,95.14,98.09,95.85,98.09,417,1395619200
ok,98.09,102.05,98.85,100.37,3350,1395705600
ok,100.37,101.29,99.0,99.0,2179,1395792000
ok,99.0,99.26,98.24,98.6,2318,1395878400
ok,98.6,97.99,96.51,96.51,2714,1396224000
ok,96.51,98.24,97.27,98.24,6834,1396310400
ok,98.24,98.24,98.24,98.24,278,1396396800
ok,98.24,97.99,97.48,97.99,1677,1396483200
ok,97.99,98.7,97.93,97.93,556,1396742400
ok,97.93,98.49,97.99,98.49,779,1396828800
ok,98.49,99.0,97.73,98.19,5853,1397001600
ok,98.19,101.04,98.95,100.53,4753,1397088000
ok,100.53,101.54,100.53,100.68,4794,1397347200
ok,100.68,101.19,100.58,101.04,3193,1397520000
ok,101.04,101.19,100.78,100.78,392,1397606400
ok,100.78,101.49,101.04,101.04,1097,1397692800
ok,101.04,104.03,101.04,103.98,16334,1397952000
ok,103.98,105.0,102.76,103.68,8438,1398038400
ok,103.68,104.54,101.95,103.58,11511,1398124800
ok,103.58,105.41,103.83,105.25,11501,1398211200
ok,105.25,109.17,106.17,107.59,10103,1398556800
ok,107.59,108.1,105.66,106.63,14857,1398643200
ok,106.63,107.14,105.1,105.1,21654,1398729600
ok,106.12,106.12,106.12,106.12,531,1398816000
ok,106.12,111.41,107.14,111.41,950,1399161600
ok,111.41,117.2,112.52,117.2,8106,1399248000
ok,117.2,119.64,118.42,119.64,387,1399334400
ok,119.64,124.93,120.96,123.5,1426,1399420800
ok,123.5,122.89,122.89,122.89,200,1399507200
ok,122.89,121.57,121.57,121.57,100,1399852800
ok,121.57,120.25,118.93,118.93,36,1400630400
ok,118.93,117.71,117.71,117.71,18,1400976000
ok,117.71,116.49,116.49,116.49,78,1401148800
ok,116.49,115.27,115.27,115.27,18,1401667200
ok,115.27,114.05,111.81,111.81,128,1402444800
ok,111.81,112.93,112.93,112.93,10,1402790400
ok,112.93,112.93,111.81,112.93,110,1402876800
ok,112.93,112.22,110.08,110.19,6473,1403049600
ok,110.19,112.22,110.19,110.19,1566,1403136000
ok,110.19,111.2,109.17,109.17,998,1403568000
ok,109.17,108.15,107.14,107.24,1270,1404086400
ok,107.24,108.05,107.14,107.95,2086,1404172800
ok,107.95,113.34,108.97,113.34,8333,1404259200
ok,113.34,117.71,114.25,114.56,6585,1404345600
ok,114.56,118.52,112.63,116.29,7760,1404604800
ok,116.29,121.78,117.51,121.67,8125,1404691200
ok,121.67,125.64,122.39,123.91,5430,1404777600
ok,123.91,123.91,121.27,121.27,896,1404864000
ok,121.27,120.86,117.3,117.3,1482,1404950400
ok,117.3,116.08,116.08,116.08,239,1405209600
ok,116.08,116.08,116.08,116.08,46,1405296000
ok,116.08,116.29,116.18,116.29,55,1405382400
ok,116.29,115.37,115.27,115.27,525,1405468800
ok,115.27,117.3,115.47,115.47,1159,1405555200
ok,115.47,114.35,113.13,113.13,1000,1405814400
ok,113.13,115.47,114.25,115.47,525,1405900800
ok,115.47,115.78,115.27,115.78,400,1405987200
ok,115.78,114.76,114.25,114.25,1500,1406073600
ok,114.25,114.76,114.25,114.76,271,1406764800
ok,114.76,114.25,114.25,114.25,500,1407024000
ok,114.25,113.13,108.25,108.25,2660,1407283200
ok,108.25,107.24,103.07,105.1,4631,1407369600
