s,o,h,l,c,v,t
ok,55.29,54.83,54.54,54.54,620,1346112000
ok,54.54,54.96,54.62,54.96,896,1346198400
ok,54.96,55.41,55.04,55.41,468,1346284800
ok,55.41,55.66,55.29,55.29,1651,1346544000
ok,55.29,55.2,55.12,55.12,46,1346803200
ok,55.12,55.04,54.79,54.87,946,1346889600
ok,54.87,54.96,54.96,54.96,167,1347148800
ok,54.96,54.96,54.79,54.96,436,1347321600
ok,54.96,55.04,55.04,55.04,46,1347494400
ok,55.04,55.12,54.96,55.12,870,1347753600
ok,55.12,55.2,55.12,55.2,740,1347840000
ok,55.2,55.37,55.29,55.29,570,1347926400
ok,55.29,55.2,55.12,55.2,136,1348099200
ok,55.2,55.24,55.12,55.12,10758,1349136000
ok,55.12,55.04,55.04,55.04,23,1349222400
ok,55.04,54.96,54.96,54.96,254,1349308800
ok,54.96,55.37,55.04,55.29,622,1349568000
ok,55.29,55.33,55.2,55.33,531,1349654400
ok,55.33,55.74,55.41,55.7,1479,1349740800
ok,55.7,55.78,55.78,55.78,23,1349827200
ok,55.78,55.7,55.53,55.53,185,1350259200
ok,55.53,55.45,55.45,55.45,100,1351555200
ok,55.45,55.37,55.37,55.37,39,1351641600
ok,55.37,55.29,55.29,55.29,24,1352160000
ok,55.29,55.2,55.2,55.2,13,1353369600
ok,55.2,55.12,55.12,55.12,100,1353974400
ok,55.12,55.04,55.04,55.04,400,1355097600
ok,55.04,54.96,54.79,54.87,1038,1357430400
ok,54.87,54.91,54.83,54.91,503,1357516800
ok,54.91,54.83,54.75,54.75,154,1358208000
ok,54.75,54.83,54.79,54.83,98,1358380800
ok,54.83,55.08,54.91,55.08,743,1358899200
ok,55.08,55.24,55.16,55.24,352,1358985600
ok,55.24,55.24,55.16,55.24,244,1359331200
ok,55.24,55.24,55.24,55.24,253,1359590400
ok,55.24,55.33,55.33,55.33,24,1359936000
ok,55.33,55.24,55.24,55.24,20,1362009600
ok,55.24,55.41,55.33,55.41,54,1366675200
ok,55.41,55.41,55.33,55.33,420,1366848000
ok,55.33,55.29,55.29,55.29,72,1367193600
ok,55.29,55.2,55.2,55.2,72,1367280000
ok,55.75,55.66,55.29,55.66,495,1370304000
ok,55.66,55.75,55.62,55.62,1575,1370390400
ok,55.62,55.71,55.62,55.71,813,1370476800
ok,55.71,55.8,55.71,55.71,132,1372636800
ok,55.71,55.62,55.62,55.62,100,1372896000
ok,55.62,55.71,55.71,55.71,142,1375056000
ok,55.71,55.98,55.8,55.89,375,1375142400
ok,55.89,56.08,55.98,56.08,33,1375228800
ok,56.08,56.17,56.08,56.17,327,1375315200
ok,56.17,56.08,56.08,56.08,160,1375660800
ok,56.08,56.31,56.12,56.12,5020,1375747200
ok,56.12,56.21,56.21,56.21,198,1376265600
ok,56.21,56.58,56.26,56.58,740,1376438400
ok,56.58,57.0,56.63,57.0,470,1376524800
ok,57.0,57.64,57.0,57.64,787,1376784000
ok,57.64,58.33,57.78,58.33,1124,1376870400
ok,58.33,59.11,58.47,59.11,4380,1376956800
ok,59.11,59.94,59.11,59.94,2102,1377388800
ok,59.94,60.86,60.13,60.86,358,1377475200
ok,60.86,61.41,60.77,60.77,4338,1377561600
ok,60.77,60.95,60.72,60.72,462,1377734400
ok,60.72,60.54,59.8,59.8,203,1378166400
ok,59.8,59.62,59.62,59.62,54,1378944000
ok,59.62,59.44,59.3,59.3,120,1381017600
ok,59.3,59.16,58.61,58.61,50,1381190400
ok,58.61,58.47,58.19,58.19,439,1381276800
ok,58.19,58.05,58.05,58.05,27,1381363200
ok,58.05,57.92,57.32,57.32,84,1382227200
ok,57.32,57.18,56.67,56.77,1088,1382313600
ok,56.77,57.04,56.81,57.04,1073,1382400000
ok,57.04,57.13,57.13,57.13,13,1382486400
ok,57.13,57.78,57.23,57.78,877,1382832000
ok,57.78,58.01,57.32,58.01,8082,1382918400
ok,58.01,58.47,58.1,58.24,735,1383004800
ok,58.24,58.65,58.24,58.24,418,1383091200
ok,58.24,58.38,58.24,58.24,557,1383177600
ok,58.24,58.15,58.1,58.1,285,1383696000
ok,58.1,58.51,58.24,58.51,1443,1383782400
ok,58.51,58.38,58.24,58.38,305,1384128000
ok,58.38,58.79,58.51,58.79,47,1384387200
ok,58.79,59.07,58.93,59.07,791,1384992000
ok,59.07,59.34,59.21,59.34,791,1385251200
ok,59.34,59.8,59.48,59.48,2013,1385337600
ok,59.48,59.85,59.62,59.85,856,1385424000
ok,59.85,60.03,59.94,59.94,202,1385510400
ok,59.94,60.31,60.13,60.13,8381,1385596800
ok,60.13,61.05,60.31,61.05,120,1401580800
ok,61.05,62.1,61.23,62.1,64,1401667200
ok,62.1,63.26,62.33,63.26,50,1401753600
ok,63.26,63.03,63.03,63.03,7536,1401840000
ok,63.03,64.27,62.98,64.27,1987,1402272000
ok,64.27,65.65,64.54,65.65,80,1402358400
ok,65.65,67.17,65.92,67.17,90,1402444800
ok,67.17,67.81,67.49,67.81,20,1402531200
ok,67.81,69.51,68.13,69.51,60,1402790400
ok,69.51,69.97,69.88,69.97,39005,1402876800
ok,69.97,71.91,70.34,71.91,698,1402963200
ok,71.91,74.02,72.32,74.02,522,1403049600
ok,74.02,76.37,75.18,76.37,2485,1403136000
ok,76.37,78.95,76.88,78.95,5709,1403481600
ok,78.95,81.8,79.5,81.8,7282,1403568000
ok,81.8,84.93,82.4,84.93,25100,1403654400
ok,84.93,87.0,82.95,83.55,12212,1403740800
ok,83.55,83.32,82.36,83.0,8474,1404000000
ok,83.0,83.64,82.63,82.68,2044,1404086400
ok,82.68,85.81,82.63,84.24,8166,1404172800
ok,84.24,87.6,84.89,86.31,1404,1404259200
ok,86.31,87.0,84.98,84.98,7706,1404345600
ok,84.98,86.08,85.44,85.44,2790,1404604800
ok,85.44,87.97,86.13,87.97,13608,1404691200
ok,87.97,88.15,85.16,85.16,6761,1404777600
ok,85.16,85.95,85.62,85.85,1272,1404864000
ok,85.85,85.62,85.39,85.62,1084,1404950400
ok,85.62,87.0,85.85,85.85,6249,1405209600
ok,85.85,85.85,85.16,85.81,1090,1405296000
ok,85.81,85.39,84.93,85.25,692,1405382400
ok,85.25,86.36,84.29,85.85,6930,1405468800
ok,85.85,86.77,86.08,86.77,3216,1405555200
ok,86.77,87.46,87.0,87.0,272,1405814400
ok,87.0,87.23,86.31,86.31,1834,1405900800
ok,86.31,86.31,85.62,86.27,1126,1405987200
ok,86.27,86.27,85.39,85.95,1700,1406073600
ok,85.95,85.71,84.7,84.7,1111,1406160000
ok,84.7,84.93,84.1,84.1,409,1406419200
ok,84.1,84.47,84.01,84.01,335,1406678400
ok,84.01,85.85,84.24,85.16,3396,1406764800
ok,85.16,85.16,84.47,84.93,586,1407024000
ok,84.93,84.47,84.47,84.47,44,1407110400
ok,84.47,84.47,84.01,84.24,503,1407196800
ok,84.24,83.69,83.64,83.64,95,1407283200
ok,83.64,83.09,83.09,83.09,323,1407369600
ok,83.09,83.09,83.09,83.09,14,1407801600
ok,83.09,82.45,81.85,81.85,414,1407888000
ok,81.85,81.71,81.34,81.71,605,1407974400
ok,81.71,82.26,82.17,82.26,269,1408320000
ok,82.26,82.4,80.47,82.4,5280,1408406400
ok,82.4,83.0,81.8,81.8,1018,1408492800
ok,81.8,82.17,80.74,80.74,672,1408838400
ok,80.74,80.15,78.49,78.49,111,1408924800
ok,78.49,79.13,77.94,78.72,1227,1409011200
ok,78.72,79.41,79.27,79.41,2544,1409097600
ok,79.41,79.96,78.95,78.95,236,1409443200
ok,78.95,78.49,78.49,78.49,1037,1409788800
ok,78.49,77.94,76.42,76.42,513,1410048000
ok,76.42,76.92,75.96,75.96,1651,1410307200
ok,75.96,75.73,75.73,60.17,167813,1410652800
