s,o,h,l,c,v,t
ok,302.3,332.5,302.3,332.5,210,1744070400
ok,332.6,365.7,332.6,365.7,170,1744156800
ok,373.0,402.2,373.0,402.2,277,1744243200
ok,410.2,442.4,410.2,442.4,210,1744502400
ok,449.7,486.6,449.7,486.6,230,1744675200
ok,496.3,535.2,496.3,535.2,330,1744761600
ok,536.3,588.7,536.3,588.7,370,1744848000
ok,600.4,647.5,600.4,647.5,440,1745107200
ok,660.4,712.2,660.4,712.2,530,1745193600
ok,712.2,783.4,712.2,783.4,590,1745280000
ok,799.0,861.7,799.0,861.7,650,1745366400
ok,878.9,947.8,878.9,947.8,530,1745452800
ok,966.7,1042.5,966.7,1042.5,940,1745712000
ok,1042.0,1146.7,1042.0,1146.7,850,1745798400
ok,1169.6,1261.3,1169.6,1261.3,840,1745884800
ok,1238.5,1387.4,1238.5,1387.4,810,1745971200
ok,1387.6,1526.1,1387.6,1526.1,1410,1746316800
ok,1556.6,1678.7,1556.6,1678.7,1500,1746403200
ok,1712.0,1846.5,1712.0,1846.5,1540,1746489600
ok,1883.4,2031.1,1883.4,2031.1,4840,1746576000
ok,2071.7,2234.2,2071.7,2234.2,15950,1746662400
ok,2278.8,2457.6,2278.8,2457.6,29180,1746921600
ok,2506.7,2703.3,2274.0,2304.7,217680,1747094400
ok,2305.0,2310.0,2080.1,2081.02,145890,1747180800
ok,2050.0,2255.0,1960.0,2190.06,59233,1747267200
ok,2146.3,2180.0,2018.0,2025.07,51818,1747526400
ok,2020.0,2060.0,1939.0,1955.69,59401,1747612800
ok,1956.0,1990.0,1891.0,1965.58,45780,1747699200
ok,2000.0,2040.0,1907.0,1913.7,27915,1747785600
ok,1890.0,2055.0,1872.0,1988.55,74610,1747872000
ok,1985.0,2023.0,1933.6,1992.7,35397,1748131200
ok,2032.5,2073.0,1936.5,1952.32,20489,1748217600
ok,1920.0,1940.0,1896.7,1899.79,22118,1748304000
ok,1900.0,1900.0,1805.0,1822.27,34583,1748390400
ok,1822.0,1854.0,1766.0,1823.42,67547,1748822400
ok,1823.0,1890.0,1800.0,1808.45,29581,1748908800
ok,1801.0,1835.0,1801.0,1822.85,23969,1748995200
ok,1820.1,1831.0,1766.3,1769.73,27046,1749081600
ok,1755.0,1755.0,1592.8,1595.79,57804,1749340800
ok,1595.0,1720.0,1536.0,1711.76,46686,1749427200
ok,1680.0,1820.0,1680.0,1794.47,35039,1749513600
ok,1830.0,1830.0,1725.0,1776.05,37091,1749600000
ok,1777.0,1795.5,1656.3,1676.88,29692,1749686400
ok,1650.1,1800.0,1650.1,1721.91,32045,1749945600
ok,1756.0,1756.0,1680.0,1680.71,13065,1750032000
ok,1680.0,1700.0,1646.7,1650.29,14120,1750118400
ok,1650.0,1703.4,1636.0,1651.26,16159,1750204800
ok,1630.1,1664.0,1578.0,1583.13,19737,1750291200
ok,1580.0,1640.0,1565.0,1610.02,35602,1750550400
ok,1607.0,1669.0,1576.0,1588.29,15124,1750636800
ok,1580.0,1614.0,1560.0,1566.31,13256,1750723200
ok,1570.0,1646.0,1561.3,1599.75,25556,1750809600
ok,1600.0,1621.0,1545.5,1562.4,15548,1750896000
ok,1593.6,1593.6,1535.0,1539.8,12591,1751155200
ok,1510.0,1649.9,1510.0,1613.24,25055,1751241600
ok,1613.0,1634.0,1585.0,1589.27,11319,1751328000
ok,1585.0,1620.0,1572.9,1579.88,12221,1751414400
ok,1560.0,1620.0,1560.0,1585.18,17321,1751500800
ok,1570.0,1625.0,1570.0,1573.58,14120,1751760000
ok,1600.0,1630.0,1578.1,1586.46,18218,1751846400
ok,1571.5,1601.0,1571.5,1582.28,6222,1751932800
ok,1582.0,1590.0,1570.0,1577.98,12345,1752019200
ok,1575.0,1590.0,1561.1,1566.66,12347,1752105600
ok,1597.9,1611.0,1555.0,1562.2,12136,1752364800
ok,1570.0,1570.0,1543.0,1544.88,10437,1752451200
ok,1546.0,1560.0,1525.1,1552.39,13423,1752537600
ok,1542.1,1575.0,1542.1,1559.4,15166,1752624000
ok,1545.0,1624.0,1545.0,1612.91,20790,1752710400
ok,1605.0,1750.0,1601.0,1732.81,55287,1752969600
ok,1730.0,1770.0,1682.1,1759.08,36273,1753056000
ok,1732.0,1762.0,1723.0,1755.71,19093,1753142400
ok,1725.1,1745.0,1725.1,1735.45,16219,1753228800
ok,1711.1,1744.0,1711.0,1718.72,22432,1753315200
ok,1708.0,1744.0,1688.0,1696.39,25569,1753574400
ok,1706.9,1707.0,1670.1,1687.28,15451,1753660800
ok,1687.0,1724.6,1656.0,1700.91,21645,1753747200
