s,o,h,l,c,v,t
ok,131.99,81.47,81.47,81.47,10,1374019200
ok,81.47,84.31,82.0,84.31,1218,1374105600
ok,84.31,87.47,84.94,87.47,1168,1374364800
ok,87.47,90.94,88.1,90.94,2762,1374451200
ok,90.94,94.73,91.68,94.73,3481,1374537600
ok,94.73,98.94,95.57,98.94,9005,1374624000
ok,98.94,102.52,96.52,98.31,27206,1374710400
ok,98.31,99.15,97.78,98.84,10677,1374969600
ok,98.84,102.52,99.15,102.41,7786,1375056000
ok,102.41,101.99,100.94,101.47,2727,1375142400
ok,101.47,100.73,100.1,100.2,6706,1375228800
ok,100.2,99.26,97.99,98.63,2588,1375315200
ok,98.63,99.26,98.52,98.84,4454,1375574400
ok,98.84,98.84,97.68,97.78,3101,1375660800
ok,97.78,98.63,96.94,98.31,2674,1375747200
ok,98.31,98.42,97.68,98.31,1924,1375833600
ok,98.31,97.78,97.47,97.68,1791,1375920000
ok,97.68,98.1,97.78,98.1,380,1376179200
ok,98.1,98.31,97.57,98.31,1664,1376265600
ok,98.31,98.42,97.78,97.99,6482,1376352000
ok,97.99,99.15,97.36,99.15,632,1376438400
ok,99.15,101.47,98.31,100.94,10711,1376524800
ok,100.94,105.78,101.47,105.78,9047,1376784000
ok,105.78,106.1,102.1,105.15,9860,1376870400
ok,105.15,105.89,104.1,104.52,6659,1376956800
ok,104.52,104.94,103.89,104.2,2469,1377388800
ok,104.2,105.15,103.57,104.1,2481,1377475200
ok,104.1,104.1,103.05,103.78,2491,1377561600
ok,103.78,104.62,103.05,103.57,4159,1377734400
ok,103.57,103.05,102.1,102.73,1349,1377993600
ok,102.73,102.52,101.99,101.99,2933,1378080000
ok,101.99,101.99,100.1,101.57,4348,1378166400
ok,101.57,102.31,101.57,101.57,1086,1378252800
ok,101.57,102.41,101.89,102.41,2687,1378339200
ok,102.41,101.47,101.47,101.47,107,1378598400
ok,101.47,101.99,100.94,101.47,1003,1378684800
ok,101.47,101.99,101.47,101.57,1883,1378771200
ok,101.57,102.1,101.57,102.1,1510,1378857600
ok,102.1,101.99,101.47,101.99,273,1378944000
ok,101.99,103.05,101.99,101.99,3111,1379203200
ok,101.99,102.94,102.1,102.63,200,1379289600
ok,102.63,103.05,102.52,103.05,514,1379376000
ok,103.05,104.1,102.52,102.84,3347,1379548800
ok,102.84,103.57,102.52,102.52,1341,1379808000
ok,102.52,101.99,100.1,101.05,1787,1379894400
ok,101.05,101.68,100.1,100.94,1305,1379980800
ok,100.94,101.47,100.94,101.47,200,1380067200
ok,101.47,101.89,101.68,101.89,881,1380153600
ok,101.89,101.99,101.89,101.99,2527,1380412800
ok,101.99,101.99,99.68,99.68,3758,1380499200
ok,99.68,100.94,99.89,100.94,2025,1380585600
ok,100.94,101.47,100.73,100.94,1230,1380672000
ok,100.94,101.99,100.94,101.99,890,1380758400
ok,101.99,101.99,101.05,101.99,3193,1381017600
ok,101.99,102.2,101.26,102.2,412,1381276800
ok,102.2,102.84,101.99,101.99,320,1381363200
ok,101.99,102.41,101.99,102.41,397,1381968000
ok,102.41,103.36,102.41,102.41,1754,1382227200
ok,102.41,103.26,102.52,103.15,2035,1382313600
ok,103.15,103.15,103.15,103.15,24,1382400000
ok,103.15,103.15,102.84,102.94,1989,1382486400
ok,102.94,103.05,102.1,102.84,7520,1382572800
ok,102.84,102.41,102.1,102.1,779,1382832000
ok,102.1,102.1,102.1,102.1,50,1382918400
ok,102.1,102.1,101.15,101.68,592,1383004800
ok,101.68,102.63,102.52,102.63,118,1383696000
ok,102.63,104.1,103.05,104.1,140,1383782400
ok,104.1,104.1,103.57,104.1,2793,1384041600
ok,104.1,103.57,103.57,103.57,1212,1384128000
ok,103.57,103.68,103.57,103.68,295,1384214400
ok,103.68,105.47,104.31,104.31,3108,1384300800
ok,104.31,104.62,103.05,104.62,2957,1384387200
ok,104.62,107.26,105.57,107.26,2600,1385251200
ok,107.26,107.36,105.78,105.78,725,1385337600
ok,105.78,110.31,106.2,110.31,4357,1385424000
ok,110.31,113.05,111.36,111.47,1671,1385510400
ok,111.47,114.1,111.47,113.57,2239,1385596800
ok,113.57,119.68,114.73,119.68,5109,1385856000
ok,119.68,125.99,119.89,125.99,13257,1385942400
ok,125.99,133.25,127.36,133.25,8665,1386028800
ok,133.25,139.67,134.83,139.67,1930,1386115200
ok,139.67,138.83,136.31,136.31,1265,1386201600
ok,136.31,134.73,131.57,131.57,40,1386633600
ok,131.57,132.52,129.89,129.89,10388,1387152000
ok,129.89,130.41,126.83,126.83,1888,1387411200
ok,126.83,126.2,119.99,121.68,3537,1387670400
ok,121.68,122.31,119.57,120.94,1232,1387756800
ok,120.94,120.73,118.62,120.41,4894,1387843200
ok,120.41,124.2,121.68,123.04,2443,1388016000
ok,123.04,122.83,119.68,121.57,17249,1388275200
ok,121.57,121.99,119.99,121.99,3747,1388448000
ok,121.99,121.99,120.41,121.99,2353,1388534400
ok,121.99,123.04,119.89,123.04,8757,1388620800
ok,123.04,123.04,120.31,122.31,2576,1388880000
ok,122.31,121.99,120.62,120.83,3457,1388966400
ok,120.83,121.57,119.57,120.41,6630,1389052800
ok,120.41,122.31,119.57,122.31,5818,1389139200
ok,122.31,124.41,121.47,124.41,3053,1389225600
ok,124.41,126.83,123.04,126.83,874,1389484800
ok,126.83,129.36,126.1,128.31,1403,1389571200
ok,128.31,128.41,124.62,127.25,10844,1389657600
ok,127.25,130.94,125.78,130.41,8066,1389830400
ok,130.41,129.89,126.31,128.94,7968,1390089600
ok,128.94,131.99,127.89,130.41,10986,1390176000
ok,130.41,131.46,128.94,130.52,17642,1390262400
ok,130.52,131.46,129.15,129.68,20574,1390348800
ok,129.68,131.46,128.94,131.46,28678,1390435200
ok,139.36,132.99,132.41,132.41,162,1390694400
ok,132.41,133.57,132.53,132.53,211,1390780800
ok,132.53,135.65,133.57,135.65,336,1390867200
ok,135.65,135.07,134.84,134.84,297,1390953600
ok,134.84,135.89,135.65,135.89,565,1391299200
ok,135.89,134.73,132.53,132.53,91,1391385600
ok,132.53,135.31,133.57,135.31,146,1391472000
ok,135.31,136.93,136.93,136.93,390,1391558400
ok,136.93,137.85,137.62,137.62,257,1391644800
ok,137.62,136.46,134.26,134.73,205,1391904000
ok,134.73,136.35,136.35,136.35,50,1391990400
ok,136.35,136.46,133.57,136.46,646,1392163200
ok,136.46,136.46,134.26,136.46,2698,1392249600
ok,136.46,137.04,136.46,137.04,41,1392508800
ok,137.04,137.04,136.12,136.12,178,1392595200
ok,136.12,141.21,137.74,139.47,182,1392681600
ok,139.47,141.21,141.1,141.1,420,1392854400
ok,141.1,142.83,142.83,142.83,166,1393113600
ok,142.83,146.31,144.57,144.57,2926,1393200000
ok,144.57,144.57,141.56,141.56,1268,1393286400
ok,141.56,141.67,137.04,138.2,392,1393372800
ok,138.2,139.47,138.78,138.78,393,1393804800
ok,138.78,137.16,135.31,136.46,462,1393891200
ok,136.46,138.09,138.09,138.09,100,1393977600
ok,138.09,141.67,139.71,141.44,956,1394064000
ok,141.44,140.52,137.27,137.27,48,1394323200
ok,137.27,138.55,137.04,138.55,400,1394409600
ok,138.55,139.36,135.42,137.04,1193,1394496000
ok,137.04,135.42,135.42,135.42,12,1394582400
ok,135.42,136.35,134.5,134.5,831,1394668800
ok,134.5,132.99,132.41,132.41,44,1395014400
ok,132.41,131.25,130.91,130.91,57,1395100800
ok,130.91,131.25,130.68,131.25,242,1395187200
ok,131.25,131.83,131.25,131.83,98,1395273600
ok,131.83,130.68,130.68,130.68,939,1395532800
ok,130.68,131.83,130.68,131.83,128,1395619200
ok,131.83,134.15,131.25,134.15,333,1395792000
ok,134.15,136.93,135.31,136.93,274,1395878400
ok,136.93,140.86,137.62,140.86,1008,1396224000
ok,140.86,140.52,138.2,138.2,1252,1396310400
ok,138.2,138.2,136.7,137.62,1431,1396483200
ok,137.62,138.66,136.58,136.58,749,1396742400
ok,136.58,138.2,134.96,138.2,1198,1396828800
ok,138.2,138.2,138.2,138.2,195,1397001600
ok,138.2,141.56,138.43,141.56,2568,1397088000
ok,141.56,143.99,142.37,142.37,478,1397347200
ok,142.37,142.83,142.83,142.83,114,1397520000
ok,142.83,142.83,140.63,140.63,294,1397606400
ok,140.63,140.52,138.9,139.36,940,1397692800
ok,139.36,140.28,138.2,138.78,1254,1397952000
