s,o,h,l,c,v,t
ok,103.54,102.19,102.19,102.19,10,1433376000
ok,102.19,103.93,102.19,102.38,3130,1433635200
ok,102.38,101.61,99.48,99.67,794,1433721600
ok,99.67,101.99,100.64,101.99,548,1433808000
ok,101.99,100.83,100.83,100.83,10,1433980800
ok,99.48,99.48,98.12,98.12,412,1435017600
ok,99.48,99.48,96.77,96.77,600,1435104000
ok,96.77,103.35,96.77,103.35,2733,1435536000
ok,104.71,108.38,104.51,108.38,5305,1435622400
ok,109.35,111.48,108.38,108.97,3482,1435708800
ok,108.77,108.77,103.35,103.35,634,1435795200
ok,103.16,103.74,103.16,103.74,732,1436140800
ok,102.58,102.58,102.58,102.58,155,1436227200
ok,101.22,101.22,101.22,101.22,61,1436313600
ok,102.58,102.58,102.58,102.58,200,1436400000
ok,101.61,102.58,101.22,101.22,530,1436659200
ok,99.86,101.03,98.7,101.03,2385,1436745600
ok,99.67,99.67,99.67,99.67,310,1436832000
ok,98.7,100.64,97.73,100.64,4147,1436918400
ok,100.64,100.64,97.73,97.73,3017,1437004800
ok,97.73,97.73,95.6,96.77,990,1437523200
ok,96.77,96.96,96.77,96.77,385,1437609600
ok,96.77,99.28,97.93,99.28,23,1437868800
ok,99.28,100.64,99.67,99.67,257,1437955200
ok,99.67,98.7,96.77,96.77,1313,1438041600
ok,96.77,97.35,97.35,97.35,200,1438128000
ok,97.35,98.51,96.77,98.51,583,1438214400
ok,98.51,97.15,94.83,94.83,1003,1438560000
ok,94.83,95.8,95.8,95.8,300,1438646400
ok,95.8,95.6,94.64,95.6,1094,1438732800
ok,95.6,96.77,95.8,95.8,547,1438819200
ok,95.8,95.8,95.22,95.22,1795,1439078400
ok,95.8,97.15,95.8,97.15,853,1439337600
ok,98.32,98.32,98.32,98.32,31,1439424000
ok,99.67,101.99,99.67,101.99,727,1439683200
ok,103.35,109.16,103.35,109.16,6482,1439769600
ok,110.32,113.61,109.35,113.61,12961,1439856000
ok,114.19,121.94,114.19,121.94,7292,1439942400
ok,123.68,125.42,122.91,122.91,3177,1440028800
ok,121.16,123.68,120.97,123.68,3301,1440288000
ok,125.42,127.17,122.91,122.91,4238,1440374400
ok,121.16,121.94,119.23,120.97,1073,1440460800
ok,121.94,123.29,120.97,122.52,4575,1440547200
ok,123.88,126.78,123.88,126.01,12853,1440633600
ok,125.04,126.78,123.88,126.78,5463,1440979200
ok,126.78,124.84,122.13,122.13,689,1441065600
ok,120.39,120.39,119.03,119.03,840,1441152000
ok,117.29,117.29,117.29,117.29,100,1441238400
ok,119.03,119.03,117.29,117.49,868,1441497600
