s,o,h,l,c,v,t
ok,611.1,611.1,554.0,560.5,53417,1684108800
ok,558.0,564.0,551.4,558.8,14258,1684195200
ok,560.0,584.0,560.0,584.0,19381,1684281600
ok,573.0,606.0,573.0,604.9,41447,1684368000
ok,610.0,618.0,600.0,613.7,21127,1684627200
ok,610.0,629.0,606.0,628.0,12030,1684713600
ok,625.0,665.0,625.0,651.0,28344,1684800000
ok,661.0,665.0,647.0,660.0,23153,1684886400
ok,669.0,669.0,633.0,639.0,33839,1685232000
ok,627.0,632.9,608.0,622.0,34278,1685404800
ok,609.6,640.0,597.8,606.0,49776,1685491200
ok,612.0,628.0,594.1,615.2,16560,1685577600
ok,615.2,650.0,615.2,641.0,14219,1685836800
ok,645.0,650.0,635.0,635.0,17932,1685923200
ok,625.0,666.0,624.2,665.0,29713,1686009600
ok,678.0,678.0,658.0,658.1,31512,1686096000
ok,655.0,696.9,650.0,696.9,49848,1686182400
ok,704.0,708.5,694.3,708.5,41139,1686441600
ok,718.0,718.0,700.0,704.0,48227,1686528000
ok,690.0,740.0,690.0,728.9,53143,1686614400
ok,738.8,745.0,715.0,720.0,44792,1686700800
ok,729.9,745.0,720.0,740.0,26899,1686787200
ok,753.9,784.9,740.0,780.0,54204,1687046400
ok,795.6,795.6,751.0,760.0,30787,1687132800
ok,753.1,774.0,726.3,731.1,32472,1687219200
ok,731.0,749.9,731.0,733.0,32546,1687305600
ok,745.7,759.8,735.0,752.0,27637,1687392000
ok,767.0,800.0,764.9,787.9,72656,1687651200
ok,800.0,805.0,776.0,776.0,44642,1687737600
ok,770.0,786.0,767.0,771.9,29547,1687824000
ok,757.2,785.0,747.0,765.0,35448,1687910400
ok,770.0,790.0,755.0,774.9,43506,1688256000
ok,772.0,776.0,752.0,758.0,67716,1688342400
ok,760.3,770.0,746.1,752.0,37118,1688428800
ok,739.0,750.0,739.0,739.5,34776,1688515200
ok,738.0,747.9,726.3,733.2,31245,1688601600
ok,747.8,747.8,730.0,732.1,51779,1688860800
ok,745.0,752.0,733.5,736.0,35209,1688947200
ok,727.0,750.0,727.0,746.9,32560,1689033600
ok,750.0,765.0,743.0,758.0,47558,1689120000
ok,751.0,770.0,741.4,750.0,34844,1689206400
ok,750.0,750.0,743.3,748.0,16740,1689465600
ok,760.0,770.0,741.0,765.0,20219,1689552000
ok,780.0,790.0,771.0,780.0,41317,1689638400
ok,777.0,789.8,767.5,774.0,29080,1689724800
ok,789.0,789.0,766.0,768.1,14725,1689811200
ok,781.0,782.4,766.0,770.1,21026,1690070400
ok,766.0,780.0,762.0,770.0,18102,1690156800
ok,760.0,782.0,752.0,760.0,17512,1690243200
ok,759.0,759.7,746.6,749.0,4971,1690329600
ok,740.1,756.0,740.1,745.0,30389,1690416000
ok,758.0,759.0,730.0,737.0,22638,1690675200
ok,745.0,749.0,733.5,733.5,12298,1690761600
ok,735.0,746.0,700.8,708.0,7828,1690848000
ok,710.0,719.0,701.0,714.9,9203,1690934400
ok,720.0,736.0,701.0,705.0,14121,1691020800
ok,693.5,700.0,680.0,685.0,13925,1691280000
ok,672.0,692.0,660.0,691.0,5675,1691366400
ok,696.0,696.0,670.0,683.0,6093,1691452800
ok,670.0,705.0,670.0,700.0,5308,1691539200
ok,700.1,729.0,700.0,724.0,16859,1691625600
ok,716.0,740.0,716.0,740.0,16096,1691884800
ok,740.0,745.0,735.0,736.0,20202,1691971200
ok,721.3,743.9,720.0,725.0,11958,1692057600
ok,730.0,733.0,715.0,725.0,14979,1692144000
