s,o,h,l,c,v,t
ok,348.65,376.0,348.65,376.0,1330,1674432000
ok,383.44,413.58,383.44,413.58,1740,1674518400
ok,405.67,454.88,405.67,454.88,44755,1674604800
ok,463.91,500.37,457.67,460.47,63167,1674691200
ok,451.26,478.14,442.79,463.26,23218,1674950400
ok,472.47,472.47,440.0,443.72,14178,1675036800
ok,434.88,458.14,426.98,437.12,16773,1675123200
ok,441.86,459.16,434.88,458.6,28218,1675209600
ok,465.12,467.72,450.23,453.95,32515,1675296000
ok,453.02,460.47,445.58,451.16,11668,1675555200
ok,444.65,457.67,442.23,451.07,12433,1675641600
ok,459.53,477.95,453.95,465.02,20657,1675728000
ok,469.77,479.16,461.49,468.74,36464,1675814400
ok,460.47,465.12,455.81,461.4,5463,1675900800
ok,465.12,465.12,442.7,451.16,14627,1676160000
ok,447.44,451.16,438.51,445.77,9992,1676332800
ok,437.86,450.23,437.86,440.0,6796,1676419200
ok,432.56,437.21,428.93,430.7,9279,1676505600
ok,423.26,438.88,414.98,423.26,19162,1676851200
ok,415.35,445.58,415.35,441.77,7523,1677024000
ok,435.35,437.21,419.53,432.56,10270,1677110400
ok,423.91,438.14,407.44,438.14,6881,1677369600
ok,429.77,445.49,424.19,433.49,9070,1677456000
ok,428.0,439.07,427.91,430.7,2253,1677542400
ok,426.05,434.42,422.33,422.33,5801,1677628800
ok,414.98,422.33,414.98,422.23,4848,1677715200
ok,414.23,427.07,414.23,426.98,5120,1677974400
ok,418.6,428.84,411.16,426.98,4195,1678147200
ok,435.44,435.44,420.56,435.35,7278,1678320000
ok,438.14,441.86,423.35,424.19,6134,1678579200
ok,417.4,424.19,417.4,423.26,3730,1678665600
ok,418.6,434.42,418.6,423.26,2543,1678752000
ok,416.74,429.77,416.74,425.3,5079,1678838400
ok,418.6,429.77,418.6,426.05,4615,1678924800
ok,419.53,425.58,419.53,422.33,2447,1679184000
ok,418.79,430.7,418.79,430.7,3560,1679270400
ok,424.19,433.77,423.26,424.19,5825,1679443200
ok,418.7,426.98,417.67,419.53,6485,1679529600
ok,412.19,414.88,407.91,408.37,5835,1679788800
ok,401.4,418.51,401.4,417.67,3229,1679875200
ok,411.16,423.26,411.16,419.53,4466,1679961600
ok,412.09,427.91,412.09,424.19,4094,1680048000
ok,424.19,430.7,422.33,426.05,11056,1680134400
ok,426.05,427.91,411.16,418.6,24382,1680393600
ok,410.42,426.05,406.88,415.81,3520,1680480000
ok,407.53,413.95,402.23,402.23,19955,1680566400
ok,400.0,416.74,397.21,411.16,8846,1680652800
ok,404.65,412.09,404.65,409.3,4434,1680739200
ok,401.21,402.79,388.93,394.42,12627,1680998400
ok,390.7,396.28,384.19,395.35,2768,1681084800
ok,395.35,400.37,390.7,399.07,3420,1681171200
ok,406.51,420.28,402.79,415.16,21065,1681257600
ok,418.6,425.95,407.44,418.6,14038,1681344000
ok,413.95,433.49,413.95,432.37,20566,1681603200
ok,427.91,432.56,423.81,428.84,21645,1681689600
ok,420.47,441.86,420.47,437.21,16146,1681776000
ok,437.21,446.42,436.37,445.58,9136,1681862400
ok,437.3,451.16,434.14,440.93,11590,1681948800
ok,435.35,440.93,428.0,437.12,6223,1682208000
ok,428.84,439.07,428.0,436.28,9323,1682294400
ok,427.63,436.28,423.26,431.63,1635,1682380800
ok,424.19,437.21,423.35,428.84,10987,1682467200
ok,420.65,427.91,420.56,424.19,5077,1682553600
ok,415.81,423.26,415.81,417.58,3409,1682812800
ok,409.3,416.65,409.3,414.88,1857,1682985600
ok,409.3,428.84,409.3,415.81,2353,1683072000
ok,413.02,422.23,410.23,418.6,5111,1683158400
ok,412.19,418.6,412.09,414.88,2963,1683417600
ok,409.3,413.02,403.72,409.3,2296,1683504000
ok,404.65,413.95,402.79,402.88,4430,1683590400
ok,410.88,419.07,400.93,408.37,1695,1683676800
ok,403.72,412.56,403.72,403.91,2894,1683763200
ok,404.65,404.65,387.91,399.07,4959,1684022400
ok,391.16,406.98,383.44,400.56,1920,1684108800
ok,396.47,414.7,396.47,414.7,5139,1684195200
ok,413.95,414.42,402.42,408.37,4640,1684281600
ok,409.3,418.6,392.0,413.02,42238,1684368000
ok,413.86,431.44,400.09,407.53,24172,1684627200
ok,404.65,424.19,400.47,420.47,25837,1684713600
ok,422.33,446.23,422.33,446.23,37402,1684800000
ok,454.88,454.88,429.77,450.23,40422,1684886400
ok,446.51,454.88,436.28,437.21,34110,1685232000
ok,435.26,435.35,416.74,420.47,22519,1685404800
ok,412.09,418.6,404.65,407.44,13193,1685491200
ok,414.88,423.16,401.02,418.6,10850,1685577600
ok,418.6,440.93,418.6,437.21,20502,1685836800
ok,440.93,440.93,428.0,431.53,12002,1685923200
ok,427.91,454.42,425.58,448.47,25540,1686009600
ok,455.81,465.12,448.37,453.95,19107,1686096000
ok,444.93,488.37,444.93,487.44,84550,1686182400
ok,495.81,512.37,479.16,503.26,67204,1686441600
ok,496.74,519.16,493.21,518.14,59871,1686528000
ok,520.93,538.6,503.26,516.28,62563,1686614400
ok,511.63,536.74,506.98,536.74,66774,1686700800
