s,o,h,l,c,v,t
ok,43.7,43.51,43.23,43.32,140,1325462400
ok,43.32,43.51,43.51,43.51,40,1325548800
ok,43.51,43.7,43.7,43.7,20,1325635200
ok,43.7,43.79,43.42,43.42,3580,1325721600
ok,43.42,43.7,43.51,43.51,310,1325980800
ok,43.51,43.42,43.42,43.42,100,1326067200
ok,43.42,43.79,43.6,43.79,40,1326153600
ok,43.79,43.6,43.6,43.6,40,1326240000
ok,43.6,43.75,42.85,43.75,190,1326758400
ok,43.75,43.56,42.62,43.56,210,1327795200
ok,43.56,44.31,43.75,44.31,70,1328140800
ok,44.31,44.07,43.84,43.84,2220,1328745600
ok,43.84,43.65,42.71,43.28,4180,1329782400
ok,43.28,43.6,42.71,43.6,4210,1329955200
ok,43.6,43.79,42.67,43.42,4190,1330214400
ok,43.42,43.23,43.23,43.23,4000,1330300800
ok,43.23,43.04,43.04,43.04,4000,1330387200
ok,43.04,43.65,42.48,43.65,4310,1330473600
ok,43.65,43.79,43.28,43.79,3040,1330560000
ok,43.79,43.6,43.18,43.56,3100,1330819200
ok,43.56,43.56,43.56,43.56,50,1331424000
ok,43.56,43.37,43.18,43.18,20,1332115200
ok,43.18,43.75,43.37,43.75,30,1332201600
ok,43.75,43.93,43.93,43.93,10,1332979200
ok,43.93,43.75,43.0,43.56,510,1333324800
ok,43.56,43.93,43.75,43.93,30,1334016000
ok,43.93,44.36,44.12,44.12,30,1334707200
ok,44.12,44.36,42.95,42.95,80,1334793600
ok,42.95,43.89,42.76,43.89,560,1335052800
ok,43.89,44.07,44.07,44.07,10,1335225600
ok,44.07,44.36,44.12,44.36,110,1335398400
ok,44.36,44.36,44.12,44.36,60,1335744000
ok,44.36,44.82,44.36,44.82,120,1336521600
ok,44.82,44.59,44.59,44.59,30,1336608000
ok,44.59,44.36,44.36,44.36,100,1336867200
ok,44.36,44.12,44.12,44.12,30,1337040000
ok,44.12,44.36,44.21,44.21,460,1337472000
ok,44.21,43.98,43.37,43.75,550,1337644800
ok,43.75,44.12,43.7,43.7,220,1337817600
ok,43.7,43.89,43.89,43.89,10,1338076800
ok,43.89,44.07,44.07,44.07,10,1338249600
ok,44.07,44.5,44.31,44.5,20,1338336000
ok,44.5,44.26,43.6,43.6,450,1338768000
ok,43.6,44.45,43.42,44.45,2130,1338854400
ok,44.45,44.21,43.98,43.98,60,1338940800
ok,43.98,44.12,43.37,44.12,1570,1339027200
ok,44.12,44.07,43.7,44.07,480,1339286400
ok,44.07,44.03,43.84,44.03,410,1339372800
ok,44.03,43.79,43.79,43.79,100,1339459200
ok,43.79,43.98,43.75,43.93,260,1339545600
ok,43.93,43.89,43.56,43.56,590,1339632000
ok,43.56,43.37,43.37,43.37,10,1339891200
ok,43.37,44.12,43.18,44.12,830,1339977600
ok,44.12,43.89,43.51,43.51,300,1340064000
ok,43.51,43.7,43.7,43.7,10,1340150400
ok,43.7,43.89,43.51,43.89,310,1340236800
ok,43.89,44.31,44.07,44.31,20,1340582400
ok,44.31,44.07,44.07,44.07,50,1340668800
ok,44.07,44.31,44.31,44.31,10,1340755200
ok,44.31,44.26,43.84,44.26,120,1340841600
ok,44.26,44.03,44.03,44.03,30,1341100800
ok,44.03,43.79,43.46,43.46,700,1341187200
ok,43.46,43.65,43.46,43.46,90,1341273600
ok,43.46,43.65,43.28,43.65,230,1341360000
ok,43.65,43.84,43.84,43.84,20,1341446400
ok,43.84,44.5,44.03,44.5,200,1341705600
ok,44.5,45.2,44.68,44.96,250,1341792000
ok,44.96,45.9,45.2,45.9,1090,1341878400
ok,45.9,45.81,45.81,45.81,50,1341964800
ok,45.81,45.57,45.57,45.57,500,1342051200
ok,45.57,45.62,45.57,45.62,110,1342483200
ok,45.62,45.39,45.39,45.39,20,1342656000
ok,45.39,45.62,45.62,45.62,10,1343001600
ok,45.62,45.39,44.92,44.92,2680,1344384000
ok,44.92,44.68,43.65,43.65,1670,1345075200
ok,43.65,43.65,43.46,43.65,80,1345334400
ok,43.65,44.21,43.46,44.21,370,1345507200
ok,44.21,44.12,43.42,44.12,520,1345593600
ok,44.12,45.29,43.89,45.29,3720,1345939200
ok,45.29,46.09,45.53,45.86,2370,1346025600
ok,45.86,46.18,45.67,45.95,1400,1346112000
ok,45.95,46.7,46.18,46.65,930,1346198400
ok,46.65,47.45,46.89,47.45,5460,1346284800
ok,47.45,47.92,47.36,47.36,240,1346544000
ok,47.36,47.5,47.07,47.36,620,1346630400
ok,47.36,47.64,47.36,47.64,220,1346716800
ok,47.64,47.36,47.36,47.36,100,1346803200
ok,47.36,47.07,46.51,46.65,940,1346889600
ok,46.65,46.98,46.7,46.98,1170,1347148800
ok,46.98,47.45,47.22,47.45,500,1347235200
ok,47.45,48.01,47.45,48.01,1100,1347321600
ok,48.01,49.33,48.25,48.95,1540,1347408000
ok,48.95,48.67,48.67,48.67,1000,1347494400
ok,48.67,49.61,49.0,49.61,990,1347753600
ok,49.61,49.94,49.94,49.94,80,1347840000
ok,49.94,50.26,49.61,49.61,230,1347926400
ok,49.61,49.28,48.62,48.62,90,1348099200
ok,48.62,48.9,48.9,48.9,10,1348444800
ok,48.9,48.58,47.83,48.01,1510,1348531200
ok,48.01,48.2,47.73,48.2,570,1348617600
ok,48.2,48.48,48.48,48.48,200,1348704000
ok,48.48,49.75,48.67,49.42,2490,1348963200
ok,49.42,49.7,49.37,49.37,30,1349136000
ok,49.37,49.04,48.43,48.43,110,1349222400
ok,48.43,49.0,48.67,49.0,100,1349308800
ok,49.0,49.84,49.33,49.84,740,1349568000
ok,49.84,49.84,49.51,49.51,850,1349654400
ok,49.51,49.23,49.19,49.19,1020,1349740800
ok,49.19,49.51,48.86,48.86,70,1349827200
ok,48.86,49.19,48.67,48.86,2300,1349913600
ok,48.86,48.76,48.67,48.67,350,1350172800
ok,48.67,48.67,48.58,48.58,300,1350259200
ok,48.58,48.76,48.76,48.76,90,1350432000
ok,48.76,50.12,49.09,50.12,200,1350518400
ok,50.12,49.98,49.79,49.98,860,1351728000
ok,49.98,50.12,49.94,50.12,2750,1351987200
ok,50.12,49.79,49.51,49.51,40,1352073600
ok,49.51,49.84,49.84,49.84,900,1352246400
ok,49.84,51.01,50.12,51.01,1910,1352332800
ok,51.01,51.34,51.34,51.34,10,1352592000
ok,51.34,51.25,50.97,51.25,380,1352678400
ok,51.25,50.87,50.87,50.87,20,1353196800
ok,50.87,51.3,51.2,51.3,30,1353369600
ok,51.3,50.92,50.59,50.59,1580,1353456000
ok,50.59,50.26,50.26,50.26,240,1353542400
ok,50.26,50.26,50.26,50.26,70,1353801600
ok,50.26,50.08,50.08,50.08,4500,1353888000
ok,50.08,50.36,49.7,49.7,2090,1353974400
ok,49.7,50.73,50.03,50.73,190,1354060800
ok,50.73,50.4,50.4,50.4,120,1354147200
ok,50.4,50.08,50.08,50.08,100,1354492800
ok,50.08,49.79,49.79,49.79,10,1354752000
ok,49.79,50.45,50.12,50.12,150,1355356800
ok,50.12,50.78,50.12,50.78,60,1355616000
ok,50.78,51.15,50.73,51.15,12100,1355702400
ok,51.15,51.01,51.01,51.01,70,1355788800
ok,51.01,51.39,51.39,51.39,10,1356220800
ok,51.39,51.39,51.01,51.01,2220,1356307200
ok,51.01,51.76,51.25,51.76,270,1356480000
ok,51.76,51.44,51.44,51.44,100,1356566400
ok,51.44,51.86,51.44,51.48,2290,1356998400
ok,51.48,51.11,50.73,50.73,11710,1357084800
ok,50.73,50.4,50.4,50.4,20,1357171200
ok,50.4,52.14,50.73,52.14,190,1357516800
ok,52.14,52.51,52.51,52.51,30,1357603200
ok,52.51,52.89,52.84,52.89,60,1357689600
ok,52.89,53.45,53.12,53.45,270,1357776000
ok,53.45,53.73,53.31,53.31,310,1358208000
ok,53.31,53.5,53.12,53.5,320,1358294400
ok,53.5,53.87,53.59,53.87,40,1358380800
ok,53.87,53.45,53.45,53.45,170,1358640000
ok,53.45,53.36,53.36,53.36,170,1358726400
ok,53.36,53.36,52.94,52.94,1130,1358899200
ok,52.94,53.31,52.66,53.31,580,1358985600
ok,53.31,53.36,53.36,53.36,30,1359244800
ok,53.36,53.36,53.36,53.36,20,1359331200
ok,53.36,53.78,53.78,53.78,20,1359504000
ok,53.78,54.02,54.02,54.02,30,1359936000
ok,54.02,55.28,54.44,55.28,40,1360108800
ok,55.28,55.89,55.42,55.42,250,1360195200
ok,55.42,55.8,55.23,55.8,90,1360454400
ok,55.8,55.8,55.33,55.8,120,1360713600
ok,55.8,56.27,56.27,56.27,20,1360800000
ok,56.27,56.55,56.55,56.55,100,1361059200
ok,56.55,57.95,57.02,57.95,50,1361232000
ok,57.95,58.42,58.42,58.42,10,1361318400
ok,58.42,58.75,58.75,58.75,10,1361404800
ok,58.75,58.24,56.78,56.78,450,1361664000
ok,56.78,58.19,57.25,57.67,250,1361750400
ok,57.67,57.67,57.2,57.67,220,1361836800
ok,57.67,57.63,57.16,57.16,360,1361923200
ok,57.16,56.69,56.41,56.41,70,1362009600
ok,56.41,56.55,55.23,56.08,1670,1362268800
ok,56.08,55.7,55.7,55.7,50,1362528000
ok,55.7,55.7,55.23,55.7,2070,1362614400
ok,55.7,55.47,55.47,55.47,90,1362960000
ok,55.47,55.47,54.77,54.77,960,1363132800
ok,54.77,54.44,54.39,54.44,520,1363564800
ok,54.44,54.86,54.86,54.86,20,1363651200
ok,54.86,54.53,54.53,54.53,300,1363737600
ok,54.53,54.3,54.3,54.3,60,1364169600
ok,54.3,54.53,54.06,54.06,560,1364342400
ok,54.06,53.83,53.08,53.08,1280,1364428800
ok,53.08,53.08,53.08,53.08,100,1364774400
ok,53.08,53.41,53.08,53.41,450,1364860800
ok,53.41,52.98,52.98,52.98,110,1364947200
ok,52.98,53.36,52.98,53.36,300,1365033600
ok,53.36,53.59,53.17,53.17,90,1365292800
ok,53.17,53.45,53.17,53.45,230,1365379200
ok,53.45,53.45,53.45,53.45,50,1365465600
ok,53.45,53.83,53.83,53.83,100,1365638400
ok,53.83,53.41,53.41,53.41,500,1366243200
ok,53.41,53.17,52.75,52.75,600,1366502400
ok,52.75,52.37,52.37,52.37,10,1366588800
ok,52.37,52.75,52.75,52.75,500,1366675200
ok,52.75,52.42,52.37,52.37,1000,1367193600
ok,52.37,53.36,52.75,53.36,380,1367280000
ok,53.36,53.12,52.94,52.94,400,1367798400
ok,52.94,52.56,52.56,52.56,100,1367971200
ok,52.56,52.94,52.89,52.89,2100,1368316800
ok,52.89,53.22,52.84,53.22,460,1368403200
ok,53.22,53.59,53.12,53.12,2010,1368489600
ok,53.12,53.36,53.36,53.36,100,1368576000
ok,53.36,53.78,53.36,53.36,2010,1368662400
ok,53.36,55.09,53.41,55.09,1210,1368921600
ok,55.09,54.72,54.3,54.3,2470,1369008000
ok,54.3,54.53,54.3,54.3,130,1369094400
ok,54.3,53.87,53.87,53.87,200,1369180800
ok,53.87,54.77,53.64,54.77,190,1369267200
ok,54.77,55.61,55.19,55.61,30,1369526400
ok,55.61,57.91,56.03,57.91,4250,1369612800
ok,57.91,60.44,58.38,60.44,10150,1369699200
ok,60.44,62.93,60.11,60.11,7420,1369872000
ok,60.11,59.88,57.58,57.58,3140,1370131200
ok,57.58,58.99,55.94,56.17,4240,1370217600
ok,56.17,56.64,56.64,56.64,940,1370304000
ok,57.47,57.6,56.61,57.47,170,1371081600
ok,57.47,57.01,55.63,55.63,210,1371513600
ok,55.63,57.47,55.63,57.47,240,1371945600
ok,57.47,57.93,57.93,57.93,10,1372032000
ok,57.93,58.39,58.39,58.39,10,1372723200
ok,58.39,58.39,57.01,57.01,590,1372809600
ok,57.01,57.01,57.01,57.01,200,1373241600
ok,57.01,57.47,57.47,57.47,500,1373414400
ok,57.47,57.53,57.53,57.53,1000,1373500800
ok,57.53,58.91,57.99,58.91,30,1373846400
ok,58.91,59.44,59.44,59.44,10,1373932800
ok,59.44,58.91,58.39,58.39,200,1374019200
ok,58.39,58.52,58.52,58.52,360,1374364800
ok,58.52,61.14,58.85,61.14,3080,1374537600
ok,61.14,63.38,61.67,62.78,380,1374624000
ok,62.78,62.26,61.6,61.6,260,1374710400
ok,61.6,64.1,62.13,64.1,2660,1374969600
ok,64.1,64.69,64.1,64.43,2030,1375056000
ok,64.43,65.02,63.84,64.43,4120,1375142400
ok,64.43,65.02,65.02,65.02,20,1375228800
ok,65.02,65.02,63.77,64.1,2426,1375315200
ok,64.1,64.56,64.1,64.56,68,1375574400
ok,64.56,63.97,63.24,63.44,920,1375660800
ok,63.44,65.21,63.44,64.36,1750,1375747200
ok,64.36,64.43,63.9,63.9,1550,1375833600
ok,63.9,64.1,63.64,63.77,330,1375920000
ok,63.77,63.77,63.77,63.77,40,1376179200
ok,63.77,63.44,63.24,63.24,120,1376265600
ok,63.24,65.02,63.84,64.43,1484,1376352000
ok,64.43,65.02,64.43,64.43,180,1376438400
ok,64.43,65.74,64.43,65.08,1582,1376524800
ok,65.08,66.92,65.61,66.46,13836,1376784000
ok,66.46,66.07,65.08,65.61,4894,1376870400
ok,65.61,65.74,65.08,65.48,12662,1376956800
ok,65.48,66.99,65.74,66.92,3852,1377388800
ok,66.92,66.92,65.67,65.67,1424,1377475200
ok,65.67,65.8,65.67,65.74,1528,1377561600
ok,65.74,66.4,65.21,65.87,2220,1377734400
ok,65.87,66.4,65.74,65.74,3622,1377993600
ok,65.74,66.4,65.74,66.4,912,1378080000
ok,66.4,67.71,65.94,66.07,2290,1378166400
ok,66.07,66.46,65.8,65.8,58,1378252800
ok,65.8,65.61,65.15,65.15,460,1378339200
ok,65.15,65.8,65.8,65.8,42,1378598400
ok,65.8,65.74,65.15,65.15,104,1378684800
ok,65.15,64.49,63.97,64.1,478,1378771200
ok,64.1,65.02,63.51,65.02,694,1378857600
ok,65.02,65.08,65.08,65.08,120,1378944000
ok,65.08,65.41,64.75,65.41,1080,1379203200
ok,65.41,65.08,65.08,65.08,330,1379289600
ok,65.08,65.67,65.08,65.67,1296,1379376000
ok,65.67,67.05,65.67,66.72,4464,1379548800
ok,66.72,66.72,66.07,66.07,714,1379808000
ok,66.07,65.54,65.08,65.08,800,1379894400
ok,65.08,65.08,65.08,65.08,400,1379980800
ok,65.08,65.74,65.74,65.74,300,1380067200
ok,65.74,66.4,65.74,65.74,22,1380153600
ok,65.74,65.74,65.74,65.74,500,1380412800
ok,65.74,65.41,65.41,65.41,200,1380499200
ok,65.41,64.75,64.75,64.75,40,1380672000
