s,o,h,l,c,v,t
ok,638.0,638.0,573.9,573.9,49679,1680566400
ok,573.9,573.9,551.0,559.0,23219,1680652800
ok,559.0,568.9,550.9,566.0,14847,1680739200
ok,554.8,555.0,546.0,550.0,46237,1680998400
ok,560.0,561.0,542.0,542.0,7321,1681084800
ok,542.0,549.9,534.0,548.0,20424,1681171200
ok,555.0,575.0,555.0,575.0,43629,1681257600
ok,585.0,587.0,560.0,569.0,12096,1681344000
ok,577.5,577.5,550.1,557.0,19345,1681603200
ok,552.4,558.0,552.1,553.0,9853,1681689600
ok,554.0,561.9,550.1,558.8,15736,1681776000
ok,560.0,571.0,555.0,571.0,14649,1681862400
ok,577.9,585.0,571.0,579.0,28677,1681948800
ok,570.0,579.0,570.0,572.1,5153,1682208000
ok,570.0,577.0,563.0,576.0,4437,1682294400
ok,576.0,606.0,566.8,602.0,35842,1682380800
ok,612.9,612.9,590.0,590.0,20075,1682467200
ok,587.3,613.8,578.5,594.0,11143,1682553600
ok,585.0,594.0,575.0,594.0,12512,1682812800
ok,582.2,585.0,575.1,580.0,2154,1682985600
ok,580.0,580.0,568.5,570.0,10962,1683072000
ok,570.1,579.0,565.0,573.0,5359,1683158400
ok,565.1,571.0,565.1,568.5,4228,1683417600
ok,568.0,570.0,562.2,569.0,13706,1683504000
ok,558.1,580.3,558.1,569.0,3353,1683590400
ok,579.9,579.9,564.0,577.8,13874,1683676800
ok,589.0,589.0,568.0,575.0,14119,1683763200
ok,586.0,586.0,564.0,567.6,5990,1684022400
ok,570.0,570.0,561.0,563.0,13421,1684108800
ok,563.0,570.0,552.1,569.0,7381,1684195200
ok,569.0,604.0,565.0,603.9,14951,1684281600
ok,614.0,615.0,587.0,603.1,13730,1684368000
ok,602.0,614.9,597.0,614.0,26530,1684627200
ok,619.0,630.0,598.0,622.0,17368,1684713600
ok,633.0,644.0,621.5,644.0,21920,1684800000
ok,644.0,669.0,637.0,668.0,37717,1684886400
ok,668.0,672.0,641.0,653.0,23891,1685232000
ok,640.0,643.0,621.0,622.9,33440,1685404800
ok,610.5,634.0,598.3,606.0,22279,1685491200
ok,609.0,620.0,597.2,614.9,24326,1685577600
ok,627.0,649.9,625.0,647.0,17941,1685836800
ok,647.0,649.0,635.3,637.0,42859,1685923200
ok,635.1,688.0,635.1,687.0,61375,1686009600
ok,674.0,705.0,673.2,680.4,38855,1686096000
ok,684.0,730.0,678.0,715.0,135410,1686182400
ok,728.0,728.0,708.0,723.0,47664,1686441600
ok,729.0,758.3,703.0,758.0,70557,1686528000
ok,743.0,805.0,729.0,760.0,73729,1686614400
ok,760.0,769.9,742.9,767.0,79981,1686700800
ok,751.7,775.0,751.7,773.5,45913,1686787200
ok,775.0,805.0,768.0,804.5,74556,1687046400
ok,800.0,801.0,766.0,766.0,38691,1687132800
ok,781.3,781.3,744.0,744.0,33666,1687219200
ok,740.0,780.0,720.0,745.1,35473,1687305600
ok,733.0,774.8,733.0,765.0,39408,1687392000
ok,775.0,809.9,775.0,799.8,94310,1687651200
ok,810.0,817.0,784.0,787.5,59647,1687737600
ok,773.0,795.0,773.0,789.0,34963,1687824000
ok,778.0,797.0,774.0,781.2,51984,1687910400
ok,776.0,804.0,776.0,780.0,70924,1688256000
ok,780.0,787.9,769.0,780.0,29941,1688342400
ok,780.0,795.0,765.0,769.8,35638,1688428800
ok,755.5,775.0,745.0,745.0,28027,1688515200
ok,757.8,757.8,735.0,743.5,23253,1688601600
ok,729.1,772.1,729.1,765.0,26810,1688860800
ok,779.9,779.9,754.0,760.0,44712,1688947200
ok,760.0,766.0,750.0,756.0,30911,1689033600
ok,750.0,780.0,750.0,775.0,74539,1689120000
ok,775.0,795.0,775.0,777.0,67669,1689206400
ok,777.0,786.0,769.0,778.5,26888,1689465600
