s,o,h,l,c,v,t
ok,427.83,443.9,411.58,443.9,2554,1689552000
ok,449.35,488.26,449.35,488.26,7651,1689638400
ok,497.99,537.07,497.99,520.25,375277,1689724800
ok,530.48,530.48,511.18,512.01,95250,1689811200
ok,515.31,529.32,508.05,527.67,110633,1690070400
ok,530.97,530.97,515.39,521.32,86302,1690156800
ok,526.02,526.02,516.29,517.12,53853,1690243200
ok,517.12,521.57,511.18,511.18,27511,1690329600
ok,517.78,517.78,505.0,505.41,36151,1690416000
ok,513.66,513.66,488.1,496.34,50025,1690675200
ok,496.34,505.0,490.57,496.34,28758,1690761600
ok,501.29,501.29,479.03,482.74,28219,1690848000
ok,492.22,492.22,472.43,484.8,27874,1690934400
ok,478.29,483.56,478.2,481.5,17944,1691020800
ok,474.08,481.34,461.71,465.84,15012,1691280000
ok,465.01,474.08,455.94,469.13,19218,1691366400
ok,469.13,474.08,460.06,465.59,17979,1691452800
ok,456.77,478.2,456.77,478.2,29177,1691539200
ok,479.85,498.82,472.43,492.3,53560,1691625600
ok,489.75,506.24,486.45,502.11,45370,1691884800
ok,512.01,512.01,497.25,500.38,41357,1691971200
ok,500.38,502.53,486.45,488.1,34628,1692057600
ok,485.62,488.1,478.2,482.16,40063,1692144000
ok,490.57,493.04,484.8,484.96,22226,1692230400
ok,488.1,488.92,475.15,475.15,20987,1692489600
ok,478.2,482.33,469.96,472.43,53639,1692576000
ok,481.5,481.5,466.66,480.59,94857,1692662400
ok,490.16,501.29,482.33,497.99,48976,1692748800
ok,502.94,502.94,481.5,491.4,43431,1692835200
ok,494.69,494.69,476.55,478.2,42830,1693094400
ok,484.8,484.8,475.73,475.73,25278,1693180800
ok,484.8,494.45,472.43,478.2,20320,1693267200
ok,480.68,485.54,476.14,478.2,33752,1693353600
ok,478.2,478.2,466.83,469.13,25698,1693699200
ok,476.47,476.47,461.71,469.88,22904,1693785600
ok,473.17,473.26,464.19,464.27,12645,1693872000
ok,458.99,467.48,457.67,458.5,16289,1694044800
ok,459.24,467.4,456.85,462.54,11593,1694304000
ok,462.62,481.5,462.62,478.2,25328,1694390400
ok,475.73,476.55,465.84,469.88,21068,1694476800
ok,469.88,486.45,466.74,483.97,26683,1694563200
ok,474.49,478.2,465.84,466.66,29387,1694908800
ok,466.66,478.2,464.19,468.56,6558,1694995200
ok,468.56,478.2,465.92,476.39,7784,1695081600
ok,480.68,492.22,480.68,484.22,38912,1695254400
ok,484.22,489.75,474.58,481.5,27470,1695513600
ok,490.49,490.49,468.31,475.32,7949,1695600000
ok,484.8,485.62,476.55,482.41,22694,1695686400
ok,478.2,482.33,469.13,474.08,15052,1695772800
ok,464.68,469.13,461.71,465.01,12577,1696118400
ok,461.96,467.48,459.24,465.84,12125,1696204800
ok,462.54,464.93,457.67,459.24,10189,1696291200
ok,457.59,467.48,457.59,464.93,7685,1696377600
ok,464.93,465.84,458.5,459.24,10675,1696464000
ok,451.0,458.42,449.35,451.82,12807,1696723200
ok,451.82,451.82,444.73,445.22,8089,1696809600
ok,453.47,453.47,425.44,426.26,16210,1696896000
ok,418.02,442.75,409.77,427.17,8017,1696982400
ok,423.79,435.66,420.9,423.79,12611,1697068800
ok,416.37,432.03,416.37,422.14,8375,1697414400
ok,430.55,436.98,416.45,417.27,6768,1697500800
ok,422.63,430.38,422.14,425.44,3994,1697587200
ok,425.44,432.77,420.16,422.96,2856,1697673600
ok,414.72,414.72,404.0,407.71,10350,1698537600
ok,407.71,415.54,407.71,413.07,4144,1698624000
ok,413.07,416.94,406.56,406.56,1853,1698710400
ok,408.2,410.6,403.17,403.42,5594,1698796800
ok,403.17,404.0,398.56,399.88,3525,1698883200
ok,395.75,400.29,390.89,395.75,5398,1699142400
ok,395.75,409.69,387.92,409.36,6860,1699228800
