s,o,h,l,c,v,t
ok,284.5,312.94,284.5,312.94,30866,1704672000
ok,319.19,344.22,319.19,344.22,10699,1704758400
ok,351.03,378.63,351.03,378.63,17004,1704844800
ok,386.18,416.45,386.18,416.45,37445,1704931200
ok,424.73,458.04,424.73,458.04,45684,1705190400
ok,467.15,503.77,467.15,503.77,70340,1705363200
ok,513.8,554.1,513.8,554.1,1093487,1705449600
ok,565.15,608.67,513.43,600.85,3044702,1705536000
ok,612.81,652.37,610.05,626.61,827738,1705795200
ok,614.1,621.09,589.8,594.41,1196355,1705881600
ok,593.49,626.61,584.28,607.2,841022,1705968000
ok,607.29,620.17,602.69,604.53,379833,1706054400
ok,604.53,608.21,593.58,595.14,439859,1706140800
ok,598.09,606.92,584.38,593.49,521843,1706400000
ok,593.49,629.37,593.49,615.57,900511,1706486400
ok,627.81,663.42,621.83,652.93,1070172,1706572800
ok,665.26,669.86,642.25,657.53,889868,1706659200
ok,662.5,664.43,639.49,639.58,769799,1706745600
ok,639.58,644.09,625.69,633.14,486325,1707004800
ok,634.89,644.09,630.38,630.75,269982,1707091200
ok,630.75,651.45,630.75,648.6,481428,1707177600
ok,644.09,656.97,639.68,640.5,354258,1707264000
ok,642.25,652.37,633.05,633.97,273200,1707350400
ok,646.58,672.62,635.81,639.4,887170,1707609600
ok,646.85,647.77,634.89,636.82,331525,1707696000
ok,636.82,636.82,618.33,618.33,478560,1707782400
ok,625.69,625.69,613.27,614.74,256176,1707868800
ok,616.49,620.17,602.5,603.33,345592,1707955200
ok,602.69,612.81,588.98,593.58,632757,1708214400
ok,594.26,624.4,593.3,622.01,493093,1708387200
ok,622.01,634.35,605.84,605.93,173537,1708473600
ok,605.93,610.43,591.0,597.13,237439,1708560000
ok,597.13,604.78,581.34,581.44,179714,1708819200
ok,578.85,590.24,578.85,589.47,126929,1708905600
ok,589.47,593.3,579.9,583.73,104494,1708992000
ok,582.78,593.3,582.78,588.52,131080,1709078400
ok,588.52,593.3,578.85,579.33,131730,1709164800
ok,579.33,586.6,569.57,569.95,138436,1709424000
ok,581.34,623.92,581.34,595.22,46976,1709510400
ok,602.87,606.6,583.73,587.08,206392,1709596800
ok,586.6,603.83,581.91,597.99,209585,1709683200
ok,602.87,606.7,594.26,597.13,104209,1709769600
ok,597.13,602.87,591.39,593.3,114706,1710028800
ok,605.17,608.13,593.3,607.66,249989,1710201600
ok,619.81,622.01,603.92,614.35,319600,1710288000
ok,611.1,616.27,600.96,603.35,155008,1710374400
ok,602.87,607.66,592.34,593.78,162925,1710633600
ok,594.26,603.06,591.39,594.26,89790,1710720000
ok,594.26,602.78,588.52,591.39,138176,1710806400
ok,591.39,600.0,582.78,587.66,120125,1710892800
ok,587.66,591.39,578.95,580.38,157312,1710979200
ok,580.86,587.37,576.08,582.68,103522,1711324800
ok,579.9,586.99,579.9,581.82,104199,1711411200
ok,581.82,585.36,571.29,576.08,117823,1711497600
ok,576.08,583.73,575.12,578.09,65655,1711584000
ok,577.99,580.86,572.73,575.02,103662,1711843200
ok,574.16,577.03,570.43,571.1,83177,1711929600
ok,582.49,582.49,569.47,569.57,64412,1712016000
ok,559.81,582.78,559.81,569.38,73550,1712102400
ok,569.38,570.81,564.59,565.07,76697,1712188800
ok,564.59,573.11,562.68,570.33,106557,1712448000
ok,570.33,597.99,570.33,597.03,250900,1712620800
ok,596.17,606.7,583.73,583.92,202157,1712707200
ok,583.92,591.39,580.1,586.79,121619,1713052800
ok,587.56,593.3,580.1,580.38,102787,1713139200
ok,579.9,580.86,572.44,579.04,71361,1713225600
ok,572.44,579.9,571.48,574.16,88713,1713398400
ok,569.38,580.86,564.59,575.12,92557,1713657600
ok,575.12,580.86,569.38,569.38,50314,1713744000
ok,574.07,574.26,564.59,566.6,68856,1713916800
ok,566.7,570.62,565.26,566.51,67940,1714003200
ok,567.46,574.16,562.68,569.95,73813,1714262400
ok,579.9,579.9,562.68,563.64,49435,1714348800
ok,563.64,573.88,559.81,564.59,104703,1714435200
ok,574.16,574.16,560.38,560.77,94797,1714608000
ok,555.02,571.2,555.02,566.99,97712,1714867200
ok,563.64,571.29,550.33,550.33,114105,1714953600
ok,549.28,556.46,540.67,544.5,75130,1715040000
ok,544.5,553.11,536.84,537.8,52470,1715126400
ok,539.9,544.5,529.19,535.89,91251,1715212800
ok,546.6,556.94,541.63,542.58,96004,1715472000
ok,542.58,553.01,537.89,540.67,63596,1715558400
ok,539.71,549.28,538.76,545.55,59209,1715644800
ok,550.72,555.02,538.85,538.85,73511,1715731200
ok,538.76,541.72,532.15,532.63,94013,1715817600
ok,543.25,559.81,535.89,557.03,165624,1716076800
ok,555.98,566.51,554.07,557.89,157780,1716163200
ok,558.85,563.16,550.24,560.48,97376,1716249600
ok,571.67,571.67,555.02,569.67,188824,1716336000
ok,559.81,572.25,558.85,559.14,77941,1716681600
ok,548.04,570.14,548.04,559.9,108222,1716768000
ok,562.68,570.33,553.11,553.21,76815,1716940800
ok,553.21,560.77,549.0,549.0,74206,1717027200
ok,542.68,556.94,542.68,555.02,78729,1717286400
ok,555.02,556.84,546.6,547.46,43567,1717372800
ok,548.33,550.24,545.55,546.12,47461,1717459200
ok,535.31,547.27,535.31,543.64,69718,1717545600
ok,543.54,548.23,536.94,537.61,79236,1717632000
