s,o,h,l,c,v,t
ok,178.8,196.6,178.8,196.6,940,1702512000
ok,200.0,216.2,200.0,216.2,1474,1702771200
ok,220.5,237.8,220.5,237.8,1220,1702857600
ok,242.5,261.5,242.5,261.5,1030,1702944000
ok,266.7,287.6,266.7,287.6,1040,1703030400
ok,288.1,316.3,288.1,316.3,1630,1703116800
ok,322.6,347.9,322.6,347.9,2449,1703376000
ok,354.8,382.6,354.8,382.6,2530,1703635200
ok,390.0,420.8,390.0,420.8,3870,1703721600
ok,429.2,462.8,429.2,462.8,3530,1704067200
ok,472.0,509.0,472.0,509.0,4220,1704153600
ok,519.1,559.9,519.1,559.9,4320,1704240000
ok,571.0,615.8,571.0,615.8,6280,1704326400
ok,628.1,677.3,628.1,677.3,3461,1704585600
ok,690.0,745.0,690.0,745.0,3430,1704672000
ok,759.9,819.5,759.9,819.5,4511,1704758400
ok,835.0,901.4,835.0,901.4,3432,1704844800
ok,910.0,991.5,910.0,991.5,5770,1704931200
ok,1011.3,1090.6,1011.3,1090.6,4820,1705190400
ok,1112.4,1199.6,1112.4,1199.6,4820,1705363200
ok,1199.6,1319.5,1080.0,1080.2,211930,1705449600
ok,1100.0,1100.1,1010.0,1066.0,82176,1705536000
ok,1064.0,1112.0,1021.0,1065.0,43187,1705795200
ok,1046.0,1079.0,1020.0,1040.0,38398,1705881600
ok,1026.0,1060.8,1026.0,1035.0,32425,1705968000
ok,1023.0,1055.7,1015.0,1020.0,17945,1706054400
ok,1015.0,1025.0,973.3,990.0,34647,1706140800
ok,977.0,1000.0,955.9,969.0,26989,1706400000
ok,967.1,985.0,946.0,947.2,23030,1706486400
ok,940.0,987.3,940.0,984.8,17107,1706572800
ok,991.6,998.0,945.0,952.0,31185,1706659200
ok,940.0,964.4,927.0,935.0,14994,1706745600
ok,931.0,940.0,915.0,930.0,16689,1707004800
ok,914.0,953.0,914.0,923.0,11925,1707091200
ok,920.5,960.0,920.0,940.0,13720,1707177600
ok,942.0,960.0,940.0,941.0,5035,1707264000
ok,934.1,975.0,934.0,974.0,14010,1707350400
ok,985.0,1008.0,985.0,986.5,25964,1707609600
ok,980.0,996.0,971.3,990.0,12897,1707696000
ok,970.2,980.0,942.0,944.1,16471,1707782400
ok,934.0,964.9,928.1,961.0,11680,1707868800
ok,943.0,975.0,943.0,947.3,7444,1707955200
ok,930.0,946.0,921.2,930.0,18097,1708214400
ok,922.0,960.0,921.3,940.0,16185,1708387200
ok,935.0,958.8,928.0,935.7,11220,1708473600
ok,930.0,970.0,930.0,940.0,17363,1708560000
ok,950.0,955.0,923.2,924.0,10360,1708819200
ok,924.0,948.0,920.0,948.0,11333,1708905600
ok,940.1,966.0,940.0,956.0,12335,1708992000
ok,952.0,976.0,944.1,959.0,12004,1709078400
ok,960.0,968.0,932.1,934.0,9051,1709164800
ok,920.0,957.0,911.0,937.0,9661,1709424000
ok,950.0,989.0,950.0,989.0,740,1709510400
ok,999.0,999.9,935.0,943.9,14687,1709596800
ok,962.7,962.7,925.2,946.0,7751,1709683200
ok,964.9,964.9,935.0,945.0,8733,1709769600
ok,945.0,968.0,945.0,954.0,11925,1710028800
ok,954.0,980.0,952.1,979.0,15222,1710201600
ok,960.0,996.0,960.0,975.0,15873,1710288000
ok,967.2,984.0,953.0,954.0,8661,1710374400
ok,951.0,970.0,942.0,954.9,12679,1710633600
