s,o,h,l,c,v,t
ok,315.89,321.86,284.6,284.6,9779,1593388800
ok,270.45,270.45,256.29,256.29,20380,1593475200
ok,243.63,281.62,234.69,281.62,41011,1593561600
ok,295.03,309.19,274.17,285.35,152449,1593648000
ok,283.11,309.19,275.66,298.01,384082,1593907200
ok,298.01,327.82,298.01,327.82,337293,1593993600
ok,344.21,360.6,337.5,360.6,189080,1594080000
ok,378.48,396.36,357.62,378.48,501457,1594166400
ok,383.69,384.44,362.09,375.5,302571,1594252800
ok,375.5,398.59,373.26,379.22,279522,1594512000
ok,381.46,385.18,373.26,378.48,202660,1594598400
ok,376.24,379.97,370.28,372.52,221004,1594684800
ok,372.52,379.97,372.52,375.5,193037,1594771200
ok,394.12,394.12,374.75,388.16,182560,1594857600
ok,407.53,426.91,407.53,424.67,44436,1595116800
ok,445.53,460.43,400.08,420.94,309752,1595203200
ok,420.94,422.43,409.77,414.98,223552,1595289600
ok,417.22,417.96,393.38,398.59,301663,1595376000
ok,398.59,407.53,387.42,406.04,212889,1595462400
ok,387.42,411.26,387.42,409.02,373050,1595721600
ok,416.47,428.4,412.0,415.73,256439,1595808000
ok,418.71,423.92,413.49,421.69,183834,1595894400
ok,422.43,438.08,414.98,435.1,272601,1595980800
ok,443.3,458.2,429.14,446.28,382720,1596067200
ok,454.47,454.47,435.1,436.59,382259,1596326400
ok,439.57,442.55,428.4,438.83,171630,1596412800
ok,438.08,439.57,429.14,432.87,194309,1596585600
ok,428.4,435.85,420.94,428.4,206694,1596672000
ok,428.4,432.12,419.45,426.16,156684,1596931200
ok,426.16,444.79,421.69,440.32,210854,1597017600
ok,439.57,446.28,435.85,437.34,204932,1597104000
ok,458.94,458.94,435.1,438.08,102692,1597190400
ok,438.08,438.08,432.12,432.12,123499,1597276800
ok,428.4,435.1,425.42,428.4,133967,1597536000
ok,424.67,439.57,424.67,438.08,112845,1597622400
ok,438.83,443.3,435.85,439.57,108326,1597708800
ok,435.85,437.34,430.63,431.38,117221,1597795200
ok,431.38,435.85,428.4,434.36,39562,1597881600
ok,434.36,446.28,432.87,444.04,113089,1598140800
ok,444.04,464.9,444.04,464.9,351252,1598227200
ok,464.9,505.88,464.16,500.66,443243,1598313600
ok,501.41,540.9,499.92,530.46,492948,1598400000
ok,528.97,537.92,523.76,528.23,325117,1598486400
ok,528.23,577.4,516.31,573.68,476954,1598745600
ok,577.4,631.04,577.4,631.04,346675,1598832000
ok,662.34,693.63,660.85,671.28,732871,1599004800
ok,685.43,685.43,637.75,662.34,466323,1599091200
ok,695.12,695.12,640.73,648.93,455128,1599350400
ok,648.93,655.63,636.26,637.75,329704,1599436800
ok,637.75,648.18,623.59,639.99,324098,1599523200
ok,644.46,669.79,638.5,663.83,253259,1599609600
ok,670.53,683.94,663.83,666.81,191102,1599696000
ok,689.16,689.16,666.81,669.04,267925,1599955200
ok,701.82,701.82,657.12,657.12,223982,1600041600
ok,676.49,676.49,651.16,656.38,127173,1600128000
ok,655.63,663.08,650.42,658.61,109028,1600214400
ok,659.36,668.3,650.42,652.65,150880,1600300800
ok,670.53,670.53,639.24,639.24,188349,1600560000
ok,670.53,670.53,629.55,642.22,172562,1600646400
ok,642.22,648.18,637.0,642.22,144753,1600732800
ok,610.18,648.18,610.18,647.44,101235,1600819200
ok,648.18,648.18,641.48,643.71,108550,1600905600
ok,648.18,651.91,640.73,640.73,104161,1601164800
ok,633.28,645.95,633.28,637.75,74520,1601251200
ok,637.75,637.75,634.02,635.51,91565,1601337600
ok,640.73,640.73,630.3,634.02,132294,1601424000
ok,633.28,648.18,633.28,642.97,97600,1601510400
ok,642.97,669.04,642.97,663.83,219001,1601769600
ok,663.83,676.49,659.36,660.85,166071,1601856000
ok,659.36,666.81,651.91,653.4,66889,1601942400
ok,685.43,685.43,648.18,650.42,78553,1602028800
ok,644.46,660.85,644.46,646.69,72675,1602115200
ok,646.69,653.4,637.75,641.48,66945,1602374400
ok,639.24,644.46,638.5,640.73,61915,1602460800
ok,640.73,644.46,637.0,637.75,73770,1602547200
ok,637.0,639.24,634.02,634.77,62327,1602633600
ok,637.0,647.44,633.28,636.26,86805,1602720000
ok,636.26,636.26,631.79,633.28,56040,1602979200
ok,633.28,639.24,631.79,636.26,31986,1603065600
ok,667.55,667.55,633.28,637.75,25869,1603152000
ok,637.0,642.97,634.77,638.5,29569,1603238400
ok,644.46,644.46,635.51,637.75,38551,1603324800
ok,634.02,647.44,633.28,645.95,52226,1603843200
ok,651.91,656.38,641.48,644.46,51890,1603929600
ok,644.46,647.44,639.24,639.24,38398,1604188800
ok,639.24,646.69,633.28,641.48,68958,1604275200
ok,642.22,647.44,638.5,642.97,47681,1604361600
ok,642.22,642.97,639.24,641.48,38848,1604448000
ok,639.99,644.46,637.75,639.24,81104,1604534400
ok,639.24,674.26,639.24,666.06,291323,1604793600
ok,673.51,724.92,670.53,721.94,583920,1604880000
