s,o,h,l,c,v,t
ok,250.4,275.4,250.4,275.4,62033,1691280000
ok,280.8,302.9,275.0,302.9,277924,1691366400
ok,308.9,333.1,308.9,333.1,61197,1691452800
ok,339.7,354.7,299.8,306.7,241388,1691539200
ok,307.0,310.0,295.0,297.0,133080,1691625600
ok,297.0,299.0,278.6,282.0,108982,1691884800
ok,276.5,305.0,276.5,296.0,82580,1691971200
ok,291.0,293.0,284.0,285.0,42304,1692057600
ok,280.0,285.0,277.0,278.0,45046,1692144000
ok,278.0,285.6,275.0,278.0,46745,1692230400
ok,273.0,278.0,267.5,267.5,40091,1692489600
ok,265.0,279.7,261.0,264.8,33941,1692576000
ok,261.0,270.0,261.0,267.5,37619,1692662400
ok,269.7,275.0,264.5,272.8,35734,1692748800
ok,270.0,274.0,259.7,263.0,57178,1692835200
ok,263.0,263.0,250.5,255.0,42073,1693094400
ok,260.0,265.0,249.6,251.1,36339,1693180800
ok,251.0,255.0,248.8,251.5,22328,1693267200
ok,251.5,252.0,245.0,245.0,28958,1693353600
ok,241.0,243.0,233.7,234.0,37133,1693699200
ok,230.2,244.0,227.4,237.0,40748,1693785600
ok,237.0,241.5,230.7,233.0,12465,1693872000
ok,237.0,237.6,225.2,230.0,22644,1694044800
ok,226.1,234.0,225.3,229.5,24418,1694304000
ok,227.0,243.0,227.0,241.0,27163,1694390400
ok,238.0,245.0,230.7,234.9,27030,1694476800
ok,238.0,244.0,231.6,240.2,26892,1694563200
ok,236.2,237.0,230.6,233.0,20730,1694908800
ok,228.4,244.0,228.4,234.2,11910,1694995200
ok,231.0,239.8,231.0,237.4,14010,1695081600
ok,242.0,255.0,240.0,249.0,83534,1695254400
ok,244.5,261.5,244.2,255.0,68730,1695513600
ok,252.2,257.0,248.3,248.3,30714,1695600000
ok,248.0,263.4,245.0,260.0,49356,1695686400
ok,255.0,265.0,250.0,255.0,38479,1695772800
ok,255.0,259.6,240.2,241.3,41491,1696118400
ok,237.0,249.9,237.0,244.0,33090,1696204800
ok,243.0,253.0,239.1,241.2,23623,1696291200
ok,238.2,250.0,238.2,247.6,22629,1696377600
ok,243.0,255.0,242.1,244.0,21280,1696464000
ok,246.0,246.0,237.5,237.6,24315,1696723200
ok,237.6,239.0,231.2,238.9,12860,1696809600
ok,239.0,243.6,231.1,233.0,14314,1696896000
ok,233.0,240.0,230.0,239.7,10854,1696982400
ok,239.0,244.0,231.2,234.4,19408,1697068800
ok,230.0,233.0,227.9,231.7,17387,1697414400
ok,228.1,241.0,226.1,229.0,24101,1697500800
ok,233.5,236.0,225.2,232.0,9641,1697587200
ok,228.4,236.3,228.4,229.3,15248,1697673600
ok,225.0,235.0,225.0,226.2,10395,1698537600
ok,221.7,230.0,218.0,226.0,8292,1698624000
ok,224.0,224.1,219.7,222.0,14956,1698710400
ok,222.0,226.0,218.0,221.0,10592,1698796800
ok,219.0,220.0,214.0,215.0,17139,1698883200
ok,211.0,213.0,206.1,207.0,19592,1699142400
ok,210.0,223.3,205.9,219.0,19075,1699228800
ok,223.3,229.3,216.6,220.0,16397,1699315200
ok,220.0,225.9,213.3,218.2,17303,1699401600
ok,215.1,226.0,210.5,213.0,11334,1699488000
ok,213.0,222.5,213.0,222.5,17283,1700438400
ok,218.2,223.3,214.0,215.0,6626,1700524800
ok,211.0,222.0,211.0,222.0,15417,1700611200
ok,217.6,236.0,215.2,228.5,33054,1700697600
ok,233.0,241.0,224.1,241.0,39600,1700956800
ok,236.2,240.0,230.1,232.6,32838,1701043200
ok,228.7,250.0,228.7,241.5,59564,1701129600
ok,241.5,249.9,233.0,238.0,43074,1701216000
ok,235.0,236.0,226.0,230.0,36462,1701302400
ok,226.1,238.0,223.5,231.0,17222,1701561600
ok,226.5,237.0,226.5,233.9,23013,1701648000
ok,230.1,240.7,229.1,230.5,25500,1701734400
ok,226.0,239.0,226.0,233.9,16925,1701820800
ok,230.1,245.0,230.1,241.0,44562,1701907200
ok,245.8,258.0,245.8,258.0,10330,1702166400
ok,260.0,266.0,241.3,261.0,118987,1702252800
ok,255.8,287.1,253.0,287.1,191354,1702339200
ok,287.0,303.0,284.1,287.0,110361,1702425600
ok,290.0,315.7,282.1,315.7,205677,1702512000
ok,315.0,347.2,304.0,340.0,209713,1702771200
ok,346.0,363.0,328.0,351.0,197331,1702857600
ok,355.0,386.1,350.0,386.1,146602,1702944000
ok,393.8,424.7,390.0,424.7,132988,1703030400
ok,433.1,467.1,418.0,467.1,264077,1703116800
ok,467.1,492.5,420.4,420.4,274134,1703376000
ok,420.4,430.0,378.4,389.1,319664,1703635200
ok,396.8,428.0,385.1,423.2,166790,1703721600
