s,o,h,l,c,v,t
ok,351.67,358.33,354.17,355.83,540.0,1325376000
ok,355.83,363.33,350.0,363.33,1266.0,1325462400
ok,363.33,362.5,358.33,362.5,1524.0,1325548800
ok,362.5,364.17,354.17,354.17,2424.0,1325635200
ok,354.17,362.5,350.0,362.5,1248.0,1325721600
ok,362.5,361.67,355.83,355.83,2262.0,1325980800
ok,355.83,364.17,353.33,358.33,3426.0,1326067200
ok,358.33,371.67,362.5,365.0,2772.0,1326153600
ok,365.0,366.67,360.83,365.83,3360.0,1326240000
ok,365.83,366.67,365.0,365.83,780.0,1326326400
ok,365.83,369.17,366.67,369.17,2646.0,1326672000
ok,369.17,373.33,373.33,373.33,120.0,1326758400
ok,373.33,375.0,366.67,366.67,1320.0,1326844800
ok,365.0,370.0,362.5,370.0,462.0,1327190400
ok,370.0,365.0,362.5,364.17,1050.0,1327276800
ok,364.17,365.0,361.67,363.33,1176.0,1327449600
ok,363.33,363.33,363.33,363.33,1788.0,1327536000
ok,363.33,365.83,360.0,363.33,7614.0,1327795200
ok,363.33,365.83,361.67,363.33,1140.0,1327968000
ok,363.33,365.83,361.67,365.83,492.0,1328054400
ok,365.83,365.0,359.17,365.0,2400.0,1328140800
ok,365.0,362.5,362.5,362.5,720.0,1328400000
ok,362.5,363.33,360.83,360.83,5046.0,1328486400
ok,360.83,365.0,360.83,360.83,2736.0,1328572800
ok,360.83,363.33,359.17,361.67,3324.0,1328659200
ok,361.67,363.33,360.83,362.5,1308.0,1328745600
ok,362.5,362.5,360.83,360.83,2850.0,1329004800
ok,360.83,364.17,360.83,362.5,1956.0,1329091200
ok,362.5,364.17,362.5,362.5,2358.0,1329177600
ok,362.5,364.17,362.5,363.33,5880.0,1329264000
ok,363.33,367.5,365.0,367.5,1026.0,1329350400
ok,367.5,369.17,367.5,367.5,2202.0,1329782400
ok,367.5,371.67,370.0,370.83,12600.0,1329955200
ok,370.83,370.0,366.67,370.0,3240.0,1330214400
ok,370.0,372.5,369.17,370.83,1512.0,1330300800
ok,370.83,377.5,370.83,372.5,4020.0,1330387200
ok,372.5,374.17,372.5,374.17,1434.0,1330473600
ok,374.17,376.67,372.5,376.67,3192.0,1330560000
ok,376.67,377.5,372.5,372.5,1968.0,1330819200
ok,372.5,376.67,373.33,373.33,1650.0,1330905600
ok,373.33,372.5,372.5,372.5,534.0,1330992000
ok,372.5,377.5,372.5,376.67,5916.0,1331424000
ok,376.67,378.33,372.5,374.17,6036.0,1331510400
ok,374.17,375.83,370.83,375.0,12732.0,1331596800
ok,375.0,377.5,373.33,375.0,3186.0,1331683200
ok,375.0,379.17,373.33,373.33,2736.0,1331769600
ok,373.33,366.67,336.67,337.5,2466.0,1332028800
ok,337.5,338.33,336.67,336.67,720.0,1332115200
ok,336.67,337.5,333.33,333.33,1440.0,1332201600
ok,333.33,337.5,336.67,337.5,768.0,1332288000
ok,337.5,339.17,336.67,338.33,1284.0,1332633600
ok,338.33,337.5,334.17,337.5,960.0,1332720000
ok,337.5,338.33,334.17,338.33,1392.0,1332806400
ok,338.33,340.0,337.5,338.33,624.0,1332892800
ok,338.33,338.33,333.33,333.33,858.0,1332979200
ok,333.33,335.83,335.0,335.0,540.0,1333238400
ok,335.0,335.83,335.0,335.0,1116.0,1333324800
ok,335.0,335.83,334.17,334.17,840.0,1333411200
ok,334.17,335.83,330.0,335.0,1362.0,1333497600
ok,335.0,336.67,336.67,336.67,120.0,1333584000
ok,336.67,336.67,336.67,336.67,954.0,1333843200
ok,336.67,338.33,336.67,336.67,2748.0,1333929600
ok,336.67,338.33,335.0,336.67,3252.0,1334016000
ok,336.67,345.0,338.33,339.17,2640.0,1334102400
ok,339.17,346.67,337.5,345.0,3534.0,1334188800
ok,345.0,358.33,345.83,358.33,2850.0,1334448000
ok,358.33,394.17,365.0,394.17,1368.0,1334534400
ok,394.17,425.0,365.0,365.0,10464.0,1334620800
ok,365.0,385.0,363.33,376.67,10020.0,1334707200
ok,376.67,387.5,375.0,379.17,4308.0,1334793600
ok,379.17,388.33,381.67,388.33,6198.0,1335052800
ok,388.33,402.5,395.83,396.67,1350.0,1335225600
ok,396.67,411.67,404.17,405.0,1476.0,1335312000
ok,405.0,441.67,390.0,434.17,16680.0,1335398400
ok,434.17,437.5,409.17,433.33,8592.0,1335657600
ok,433.33,425.0,408.33,412.5,6948.0,1335744000
ok,412.5,405.0,375.0,375.0,1722.0,1335916800
ok,375.0,382.5,382.5,382.5,36.0,1336003200
ok,382.5,415.83,400.83,415.83,372.0,1336348800
ok,415.83,433.33,416.67,423.33,18240.0,1336435200
ok,423.33,423.33,409.17,416.67,9252.0,1336521600
ok,416.67,420.83,396.67,412.5,4764.0,1336608000
ok,412.5,405.0,385.83,394.17,7674.0,1336867200
ok,394.17,391.67,380.83,386.67,5580.0,1336953600
ok,386.67,394.17,394.17,394.17,60.0,1337040000
ok,394.17,433.33,401.67,433.33,1536.0,1337126400
ok,433.33,450.0,418.33,422.5,5772.0,1337212800
ok,422.5,417.5,399.17,408.33,1512.0,1337472000
ok,408.33,416.67,408.33,415.0,3210.0,1337558400
ok,415.0,416.67,404.17,404.17,1836.0,1337644800
ok,404.17,396.67,383.33,383.33,1848.0,1337731200
ok,383.33,406.67,385.0,400.83,1854.0,1337817600
ok,400.83,417.5,399.17,417.5,5124.0,1338076800
ok,417.5,409.17,375.83,375.83,1548.0,1338249600
ok,375.83,369.17,355.83,365.0,10002.0,1338336000
ok,365.0,393.33,362.5,375.83,4248.0,1338422400
ok,375.83,413.33,383.33,406.67,1488.0,1338681600
ok,406.67,399.17,384.17,393.33,2280.0,1338768000
ok,393.33,391.67,383.33,387.5,966.0,1338854400
ok,387.5,385.0,380.0,380.83,2784.0,1338940800
ok,380.83,395.0,385.83,385.83,942.0,1339027200
ok,385.83,387.5,381.67,384.17,1320.0,1339286400
ok,384.17,389.17,383.33,387.5,1740.0,1339372800
ok,387.5,395.0,387.5,390.0,540.0,1339459200
ok,390.0,389.17,382.5,386.67,2262.0,1339545600
ok,386.67,387.5,387.5,387.5,1026.0,1339632000
ok,387.5,387.5,381.67,383.33,2874.0,1339891200
ok,383.33,387.5,376.67,386.67,2472.0,1339977600
ok,386.67,386.67,379.17,385.83,6762.0,1340064000
ok,385.83,390.83,381.67,385.0,1200.0,1340150400
ok,385.0,385.83,378.33,383.33,2172.0,1340236800
ok,383.33,395.0,379.17,393.33,5652.0,1340582400
ok,393.33,391.67,387.5,387.5,2244.0,1340668800
ok,387.5,391.67,376.67,391.67,2952.0,1340755200
ok,391.67,400.0,388.33,400.0,3564.0,1340841600
ok,400.0,395.83,391.67,391.67,1956.0,1341100800
ok,391.67,393.33,391.67,393.33,1494.0,1341187200
ok,393.33,395.83,387.5,392.5,1560.0,1341273600
ok,392.5,407.5,391.67,395.83,3786.0,1341360000
ok,395.83,400.83,395.83,395.83,414.0,1341446400
ok,395.83,405.0,395.83,400.0,8352.0,1341705600
ok,400.0,414.17,400.0,408.33,6342.0,1341792000
ok,408.33,417.5,409.17,415.0,8178.0,1341878400
ok,415.0,409.17,407.5,408.33,2040.0,1341964800
ok,408.33,408.33,400.83,408.33,5112.0,1342051200
ok,408.33,419.17,407.5,419.17,1428.0,1342310400
ok,419.17,410.83,407.5,408.33,876.0,1342396800
ok,408.33,410.0,394.17,408.33,1416.0,1342483200
