s,o,h,l,c,v,t
ok,208.8,229.6,208.8,229.6,995,1703116800
ok,234.1,252.5,234.1,252.5,1461,1703376000
ok,252.0,277.7,252.0,277.7,1382,1703635200
ok,277.7,305.4,277.7,305.4,1963,1703721600
ok,311.5,335.9,311.5,335.9,2381,1704067200
ok,342.6,369.4,342.6,369.4,2040,1704153600
ok,376.7,406.3,376.7,406.3,2558,1704240000
ok,414.4,446.9,414.4,446.9,2380,1704326400
ok,455.8,491.5,455.8,491.5,2290,1704585600
ok,481.8,540.6,481.8,540.6,3122,1704672000
ok,551.2,594.6,551.2,594.6,2170,1704758400
ok,594.0,654.0,594.0,654.0,2040,1704844800
ok,655.4,719.4,655.4,719.4,2180,1704931200
ok,733.7,791.3,733.7,791.3,2520,1705190400
ok,791.0,870.4,791.0,870.4,2120,1705363200
ok,887.8,957.4,887.8,957.4,7631,1705449600
ok,976.5,996.0,861.7,902.0,170936,1705536000
ok,900.0,915.0,885.0,892.6,47406,1705795200
ok,889.6,889.6,836.6,855.0,57058,1705881600
ok,838.0,876.0,838.0,875.0,32691,1705968000
ok,860.0,900.0,860.0,877.5,25662,1706054400
ok,868.0,891.0,858.0,865.0,27013,1706140800
ok,850.0,871.0,849.0,860.0,21274,1706400000
ok,850.0,892.0,850.0,857.0,15019,1706486400
ok,850.0,871.5,847.3,856.0,19619,1706572800
ok,839.0,850.0,798.0,836.0,56229,1706659200
ok,820.0,837.0,815.0,820.0,19467,1706745600
ok,810.0,811.1,780.0,789.0,18624,1707004800
ok,775.1,804.0,767.0,767.0,15739,1707091200
ok,755.5,785.5,755.5,780.0,13235,1707177600
ok,787.0,787.0,761.5,772.8,9480,1707264000
ok,760.0,780.0,760.0,777.0,6730,1707350400
ok,761.5,785.4,761.5,765.0,11267,1707609600
ok,760.0,777.0,760.0,775.0,8881,1707696000
ok,760.1,767.0,743.6,750.0,14806,1707782400
ok,742.0,751.0,733.0,734.0,7944,1707868800
ok,722.4,768.0,722.4,723.4,12099,1707955200
ok,712.0,717.0,695.8,699.0,19487,1708214400
ok,710.0,752.9,687.0,710.0,14096,1708387200
ok,695.8,748.7,695.8,748.7,23600,1708473600
ok,734.3,790.0,734.3,765.0,33368,1708560000
ok,750.0,765.2,739.0,745.0,26116,1708819200
ok,754.2,815.0,739.2,802.0,31862,1708905600
ok,786.0,815.0,780.0,800.0,29229,1708992000
ok,801.0,803.9,775.0,775.0,13853,1709078400
ok,764.0,775.0,731.0,739.9,16256,1709164800
ok,740.0,750.0,730.0,730.1,10273,1709424000
ok,744.7,803.1,744.7,800.0,640,1709510400
ok,808.0,808.0,746.5,755.0,26085,1709596800
ok,741.0,775.2,735.6,764.0,19053,1709683200
ok,778.0,779.2,751.5,769.0,7574,1709769600
ok,769.0,780.0,755.0,774.0,11430,1710028800
ok,765.2,786.4,765.2,784.5,17561,1710201600
ok,799.0,800.0,770.1,773.0,16308,1710288000
ok,761.1,788.0,761.1,770.0,12839,1710374400
ok,761.0,779.0,761.0,773.9,8849,1710633600
ok,763.0,780.0,763.0,766.5,5544,1710720000
ok,766.0,780.0,760.0,765.0,8639,1710806400
ok,777.9,777.9,735.0,761.0,16977,1710892800
ok,776.2,776.2,742.0,750.0,5967,1710979200
ok,738.0,750.0,738.0,750.0,10022,1711324800
ok,760.0,760.0,738.0,748.0,5756,1711411200
ok,740.0,777.0,735.5,747.9,7374,1711497600
ok,737.0,750.0,735.1,736.2,9991,1711584000
ok,738.0,750.9,726.0,736.0,6541,1711843200
ok,730.0,740.0,723.8,735.0,6128,1711929600
ok,729.0,740.0,723.5,730.0,8969,1712016000
ok,725.0,739.0,720.0,726.0,9702,1712102400
ok,724.0,738.0,718.0,723.0,12066,1712188800
ok,723.0,745.0,713.5,745.0,9953,1712448000
ok,750.0,764.0,735.0,764.0,37017,1712620800
ok,777.0,777.0,750.0,750.0,11010,1712707200
ok,735.0,750.0,730.0,745.0,8990,1713052800
ok,740.1,759.9,740.1,748.0,9947,1713139200
ok,735.1,755.0,735.0,741.0,5582,1713225600
ok,735.0,735.0,715.0,724.0,8820,1713398400
ok,735.0,735.0,712.1,730.0,4758,1713657600
ok,744.6,759.3,716.0,717.0,5194,1713744000
ok,708.0,730.0,708.0,717.0,3593,1713916800
ok,715.6,734.4,715.6,729.0,4475,1714003200
ok,729.0,742.0,720.0,734.0,2819,1714262400
ok,722.0,733.0,720.1,728.0,3596,1714348800
ok,715.0,745.0,715.0,735.0,8120,1714435200
ok,723.1,745.0,721.0,726.9,4902,1714608000
ok,725.0,738.8,708.0,710.0,8762,1714867200
ok,709.0,709.0,688.0,691.0,7473,1714953600
ok,678.0,715.0,678.0,705.0,10423,1715040000
ok,691.2,711.0,691.2,707.9,1560,1715126400
ok,700.0,734.4,700.0,724.0,11953,1715212800
ok,720.3,760.0,720.2,749.0,21415,1715472000
ok,745.0,749.0,734.1,740.0,23392,1715558400
ok,737.0,737.0,721.0,733.8,14660,1715644800
ok,739.0,739.0,719.6,720.1,9011,1715731200
ok,712.0,735.4,712.0,735.4,11091,1715817600
ok,722.0,750.0,722.0,732.2,8046,1716076800
ok,730.0,758.4,725.0,730.0,9103,1716163200
ok,730.0,735.0,720.3,733.0,10475,1716249600
ok,721.1,745.0,721.1,730.0,7662,1716336000
ok,720.0,735.0,711.0,720.0,8980,1716681600
ok,734.0,792.0,711.6,792.0,83520,1716768000
ok,807.8,871.2,800.0,840.0,89166,1716940800
ok,841.0,848.0,780.0,789.9,32061,1717027200
ok,785.0,834.0,764.0,820.0,62857,1717286400
ok,820.0,889.0,816.0,837.0,51842,1717372800
ok,833.0,844.0,815.0,827.8,33909,1717459200
ok,816.0,830.0,805.0,817.0,24215,1717545600
ok,815.0,849.9,810.3,836.1,32146,1717632000
ok,850.0,880.0,836.2,856.9,49169,1717891200
ok,865.0,867.0,838.0,838.0,40317,1717977600
ok,854.0,855.0,826.0,828.1,23547,1718064000
ok,835.0,877.0,835.0,872.0,47288,1718150400
ok,876.2,928.2,875.0,900.0,62705,1718236800
ok,895.0,904.7,855.0,866.0,29695,1718496000
ok,870.0,892.5,848.7,866.0,45589,1718668800
ok,848.7,889.0,848.7,869.0,20927,1718755200
ok,858.1,877.5,841.0,859.9,19303,1718841600
ok,843.1,860.0,832.0,832.0,17684,1719100800
ok,832.0,855.0,830.0,844.0,17512,1719187200
ok,855.0,867.0,835.0,835.5,17010,1719273600
ok,840.0,899.0,831.0,877.0,45896,1719360000
ok,860.4,882.0,855.0,855.0,10221,1719446400
ok,837.9,915.0,837.9,889.0,70248,1719705600
ok,895.0,895.0,867.3,872.0,22649,1719792000
ok,889.4,935.0,872.0,893.0,21537,1719878400
ok,892.9,915.0,857.7,892.0,38473,1719964800
ok,892.0,920.0,888.0,897.0,39218,1720051200
ok,897.0,922.0,882.1,898.9,39341,1720310400
ok,881.1,915.0,872.1,880.0,25146,1720396800
ok,862.6,897.3,862.6,877.0,27619,1720483200
ok,877.0,905.0,872.1,880.0,40173,1720569600
ok,893.0,915.0,882.1,912.0,41785,1720656000
ok,930.2,965.0,917.0,937.0,38136,1720915200
ok,940.0,950.0,896.1,898.0,51393,1721001600
ok,891.0,925.0,891.0,923.0,27085,1721088000
ok,923.0,948.6,905.1,939.9,38971,1721174400
ok,921.2,965.0,921.2,926.2,52787,1721260800
ok,935.0,955.0,919.0,928.0,47923,1721520000
ok,926.2,1000.0,921.0,981.0,68451,1721606400
ok,1000.5,1079.1,1000.0,1079.1,49983,1721692800
ok,1100.0,1120.0,1029.0,1056.0,52931,1721779200
ok,1050.0,1050.0,1023.2,1025.0,46352,1721865600
ok,1045.0,1070.0,1016.1,1051.0,36767,1722124800
ok,1050.0,1074.0,1027.0,1027.0,45425,1722211200
ok,1015.5,1129.7,1015.5,1129.7,71369,1722297600
ok,1140.0,1242.6,1135.0,1242.6,56106,1722384000
ok,1242.6,1264.0,1180.0,1180.0,64637,1722470400
ok,1200.0,1250.0,1130.0,1220.0,66946,1722816000
ok,1239.0,1260.0,1098.0,1100.0,68331,1722902400
ok,1100.0,1150.0,1090.0,1140.0,25459,1722988800
ok,1154.0,1200.0,1120.1,1126.0,34845,1723075200
ok,1138.0,1238.5,1138.0,1230.0,51666,1723334400
ok,1230.0,1249.0,1185.0,1195.0,30081,1723420800
ok,1201.0,1224.0,1155.0,1180.0,26685,1723507200
ok,1165.0,1200.0,1145.0,1149.0,26781,1723593600
ok,1149.0,1171.0,1096.0,1129.0,30227,1723680000
ok,1129.0,1129.0,1085.1,1112.0,31858,1723939200
ok,1100.0,1130.0,1081.0,1123.0,18041,1724198400
ok,1145.0,1145.4,1089.9,1089.9,20820,1724284800
ok,1089.9,1089.9,1010.0,1045.0,24842,1724544000
ok,1031.0,1072.5,1031.0,1060.0,19767,1724716800
ok,1080.0,1081.2,1017.0,1025.0,14573,1724803200
ok,1015.2,1041.0,1015.0,1020.1,11120,1724889600
ok,1020.1,1040.0,990.0,990.0,15150,1725148800
ok,971.1,1039.8,971.1,1024.5,9344,1725235200
ok,1011.0,1050.0,1005.0,1017.0,11504,1725321600
ok,1005.0,1035.0,970.0,977.0,9484,1725408000
ok,962.0,980.0,943.0,966.0,19183,1725494400
ok,955.2,1025.0,952.1,989.9,14072,1725753600
ok,1008.0,1088.0,987.0,1065.0,38032,1725840000
ok,1084.0,1084.0,1013.2,1025.0,14569,1725926400
ok,1005.0,1045.0,1005.0,1029.9,12134,1726012800
ok,1040.0,1064.0,1010.1,1054.9,15677,1726099200
ok,1072.0,1080.0,980.0,980.0,19306,1726358400
ok,999.0,1000.0,951.0,979.0,13049,1726444800
ok,960.0,975.0,942.0,960.0,9621,1726617600
ok,979.0,1017.0,950.0,976.1,3271,1726963200
ok,958.0,968.0,925.0,930.0,7580,1727049600
ok,912.0,940.0,893.8,899.0,6520,1727136000
ok,916.9,929.0,883.0,919.0,7454,1727222400
ok,910.0,917.0,866.3,890.0,5876,1727308800
ok,874.0,911.0,842.0,870.0,10279,1727568000
ok,870.0,890.0,862.5,890.0,9262,1727654400
ok,900.0,979.0,900.0,979.0,14103,1727740800
ok,998.5,1076.9,998.5,1055.0,62053,1727827200
ok,1038.69,1080.0,1010.0,1042.0,18418,1728172800
ok,1060.0,1080.0,1030.0,1035.0,13369,1728259200
ok,1050.0,1070.0,1015.4,1020.0,5866,1728345600
ok,1015.0,1040.0,1014.9,1014.9,6937,1728432000
ok,1035.0,1040.0,1011.0,1038.0,5224,1728950400
ok,1030.0,1057.0,1029.0,1039.0,10861,1729036800
ok,1040.0,1056.0,1026.2,1034.0,12128,1729123200
ok,1025.0,1045.5,1002.1,1013.9,10901,1729382400
ok,1001.0,1010.0,975.5,975.5,11782,1729468800
ok,975.0,1014.0,963.0,988.9,12970,1729555200
ok,988.0,1008.0,971.0,979.0,4728,1729641600
ok,970.0,980.0,960.8,970.0,3337,1729728000
ok,959.0,989.4,959.0,980.0,3086,1729987200
ok,982.0,1005.0,982.0,1003.0,3887,1730073600
ok,1000.1,1038.0,1000.1,1028.0,8457,1730160000
ok,1044.7,1044.8,1011.0,1011.0,4926,1730246400
ok,1012.0,1020.0,996.0,1014.0,3356,1730764800
ok,1001.0,1010.0,998.0,1000.0,2195,1730851200
ok,992.0,1024.0,992.0,1018.9,8094,1731196800
ok,1039.2,1056.0,1020.0,1035.0,14173,1731283200
ok,1015.0,1076.0,1015.0,1030.0,9561,1731369600
ok,1016.0,1050.9,1016.0,1045.0,7435,1731456000
ok,1025.0,1140.0,1025.0,1109.0,35460,1731542400
ok,1131.1,1142.9,1091.0,1113.9,15407,1731801600
ok,1100.0,1102.0,1038.8,1038.8,16143,1731974400
ok,1045.0,1062.9,1020.3,1062.0,11028,1732060800
ok,1083.2,1083.2,1015.0,1034.0,10115,1732147200
ok,1040.0,1040.0,1020.0,1032.0,4365,1732406400
