s,o,h,l,c,v,t
ok,95.82,95.82,95.82,95.82,10,1527379200
ok,97.74,99.65,97.74,99.65,1913,1531699200
ok,101.57,103.49,101.57,103.49,201,1533513600
ok,105.4,107.32,105.4,107.32,1778,1533772800
ok,109.23,111.15,109.23,111.15,190,1534032000
ok,116.52,116.52,116.52,116.52,10,1534809600
ok,122.27,122.27,122.27,122.27,10,1536192000
ok,128.02,128.02,128.02,128.02,10,1537142400
ok,134.15,139.51,134.15,139.51,496,1537660800
ok,142.2,144.88,142.2,144.88,148,1538265600
ok,159.06,159.06,159.06,159.06,10,1542240000
ok,166.73,166.73,166.73,166.73,10,1546387200
ok,174.78,174.78,174.78,174.78,10,1546905600
ok,183.21,183.21,183.21,183.21,10,1547424000
ok,192.02,192.02,192.02,192.02,10,1548806400
ok,201.22,210.8,201.22,210.8,1403,1557100800
ok,221.34,231.88,221.34,231.88,3010,1560297600
ok,236.2,231.88,231.88,231.88,8,1562198400
ok,236.2,231.88,231.88,231.88,2,1562457600
ok,231.88,231.88,231.88,231.88,62000,1562544000
ok,231.88,231.88,231.88,231.88,8000,1563148800
ok,236.2,236.2,236.2,236.2,10,1564531200
ok,247.69,252.49,247.69,252.49,20,1565136000
ok,264.94,275.48,264.94,275.48,229,1565481600
ok,288.9,288.9,288.9,288.9,10,1566777600
ok,294.65,300.4,294.65,300.4,20,1568592000
ok,315.25,315.25,315.25,315.25,10,1569196800
ok,315.25,315.25,315.25,315.25,40000,1572912000
ok,321.48,346.39,321.48,346.39,50,1572998400
ok,353.1,380.88,353.1,380.88,3285,1573084800
ok,388.07,411.07,388.07,411.07,24357,1573603200
ok,411.07,451.79,419.21,451.79,50,1573689600
ok,460.41,496.83,460.41,496.83,50,1573948800
ok,506.41,546.17,506.41,546.17,150,1574035200
ok,556.71,600.79,556.71,600.79,348,1574121600
ok,612.77,660.68,612.77,660.68,659,1574208000
ok,673.61,726.31,673.61,726.31,7993,1574294400
ok,740.69,769.91,653.97,653.97,4851,1574553600
ok,666.91,666.91,606.06,646.3,1776,1574640000
ok,658.76,685.11,658.76,685.11,30,1574726400
ok,671.7,671.7,620.43,637.68,852,1574812800
ok,650.14,650.14,598.87,599.83,683,1574899200
ok,650.14,650.14,598.87,599.83,683,1574899200
ok,589.29,589.29,576.36,576.36,1340,1575158400
ok,575.4,601.75,555.28,601.75,7589,1575244800
ok,592.17,592.17,569.17,569.17,440,1575331200
ok,558.15,584.5,558.15,575.4,934,1575417600
ok,574.92,617.08,574.92,605.1,4426,1575504000
ok,593.12,621.39,593.12,621.39,1605,1575763200
ok,629.54,683.2,628.58,651.58,2559,1575849600
ok,661.16,696.61,651.58,694.69,3151,1575936000
ok,704.76,748.35,704.76,748.35,5950,1576022400
ok,752.19,762.73,713.86,713.86,3249,1576108800
ok,727.27,769.91,727.27,733.5,1417,1576368000
ok,756.98,756.98,729.19,735.9,2500,1576454400
ok,747.39,808.24,724.4,764.64,6126,1576540800
ok,775.18,813.99,750.27,779.97,6936,1576627200
ok,795.3,795.3,757.94,777.1,2208,1576713600
ok,762.25,766.08,748.35,762.25,2248,1576972800
ok,748.83,801.53,747.39,771.35,2072,1577059200
ok,742.6,813.51,742.6,774.22,11942,1577145600
ok,766.56,788.12,766.56,775.66,485,1577232000
ok,760.33,840.34,760.33,840.34,7732,1577318400
ok,854.71,924.18,843.21,924.18,6968,1577577600
ok,942.39,975.93,923.7,952.93,12438,1577664000
ok,934.24,981.2,934.24,957.72,6471,1577750400
ok,962.99,967.3,924.66,943.83,4384,1577836800
ok,962.03,962.03,925.62,948.62,980,1577923200
ok,947.66,985.99,934.24,960.59,3169,1578182400
ok,944.3,960.11,924.66,940.95,1354,1578268800
ok,987.9,987.9,900.71,948.62,889,1578355200
ok,966.82,966.82,930.41,930.41,1201,1578441600
ok,948.62,948.62,929.93,943.35,614,1578528000
ok,958.2,974.97,920.35,971.61,7452,1578787200
ok,962.99,1049.23,962.51,1010.9,4341,1578873600
ok,993.17,1111.99,993.17,1111.99,7548,1578960000
ok,1134.03,1219.79,1134.03,1197.75,3571,1579046400
ok,1221.7,1317.52,1195.35,1262.91,3755,1579132800
ok,1270.57,1293.57,1197.27,1197.27,1433,1579392000
ok,1219.31,1236.08,1150.8,1173.79,4387,1579478400
ok,1197.27,1197.75,1137.38,1178.11,3518,1579564800
ok,1197.75,1197.75,1150.32,1163.73,2112,1579651200
ok,1179.06,1179.06,1126.36,1148.4,3480,1579737600
ok,1126.36,1171.4,1111.99,1129.24,1760,1579996800
ok,1151.75,1192.48,1141.69,1192.48,1202,1580083200
ok,1196.79,1197.27,1154.63,1154.63,1364,1580169600
ok,1154.63,1177.63,1154.63,1177.63,355,1580256000
ok,1154.63,1176.19,1148.88,1149.84,1530,1580342400
ok,1149.84,1169.0,1149.84,1149.84,1740,1580601600
ok,1157.02,1157.02,1146.01,1147.92,930,1580688000
ok,1134.03,1134.03,1131.15,1131.15,445,1580774400
ok,1152.71,1200.14,1149.84,1180.98,3230,1580860800
ok,1188.17,1237.99,1180.98,1184.33,3050,1580947200
ok,1160.86,1197.75,1156.07,1177.63,479,1581206400
ok,1197.75,1197.75,1173.79,1187.69,75,1581292800
ok,1210.68,1210.68,1163.25,1163.25,1025,1581379200
ok,1155.59,1227.93,1155.59,1191.04,2450,1581465600
ok,1209.73,1279.2,1204.93,1221.22,4242,1581552000
ok,1221.22,1315.13,1221.22,1246.14,8993,1581811200
ok,1269.61,1327.11,1269.61,1322.31,5704,1581897600
ok,1343.39,1343.39,1293.57,1327.58,4423,1581984000
ok,1307.94,1348.66,1306.98,1341.48,2007,1582070400
ok,1341.48,1345.79,1316.09,1316.09,2160,1582156800
ok,1341.48,1447.36,1314.65,1440.65,5152,1582416000
ok,1440.65,1426.76,1384.6,1419.57,2329,1582502400
ok,1403.76,1499.58,1403.76,1494.31,2005,1582588800
ok,1509.16,1524.01,1485.21,1487.6,1315,1582675200
ok,1461.73,1484.25,1389.39,1413.34,689,1582761600
ok,1413.34,1441.61,1365.91,1365.91,2755,1583020800
ok,1341.48,1341.48,1338.6,1338.6,480,1583107200
ok,1338.6,1341.48,1287.34,1303.15,1502,1583193600
ok,1277.76,1314.17,1191.52,1314.17,2951,1583280000
ok,1288.3,1322.31,1220.74,1276.8,647,1583366400
ok,1251.41,1251.41,1154.63,1154.63,760,1583798400
ok,1177.63,1270.09,1157.5,1270.09,1462,1583884800
ok,1253.8,1269.13,1183.85,1250.45,5462,1583971200
ok,1225.54,1225.54,1155.11,1191.52,11816,1584230400
ok,1169.0,1212.6,1169.0,1196.79,2415,1584316800
ok,1178.58,1178.58,1092.35,1101.93,1288,1584403200
ok,1080.37,1145.05,1077.97,1122.53,1277,1584489600
ok,1138.82,1188.17,1106.72,1169.0,1488,1584576000
ok,1146.48,1149.84,1146.01,1149.84,80,1584835200
ok,1126.84,1126.84,1126.84,1126.84,10,1589328000
ok,1104.32,1193.92,1082.29,1194.87,1315,1593388800
ok,1188.17,1314.17,1188.17,1314.17,340,1593475200
ok,1340.04,1365.43,1340.04,1365.43,50,1593561600
ok,1338.12,1338.12,1228.89,1228.89,7408,1593907200
ok,1228.89,1269.61,1228.89,1264.82,2363,1593993600
ok,1284.47,1341.0,1284.47,1317.52,2257,1594080000
ok,1291.17,1341.48,1291.17,1341.48,1360,1594166400
ok,1315.13,1315.13,1288.78,1312.73,1262,1594252800
ok,1286.86,1341.48,1286.86,1314.65,2113,1594512000
ok,1294.05,1339.56,1294.05,1339.56,120,1594598400
ok,1341.48,1365.43,1322.31,1322.31,286,1594684800
ok,1341.0,1348.66,1341.0,1348.66,499,1594771200
ok,1322.31,1370.22,1322.31,1370.22,875,1594857600
ok,1397.53,1397.53,1296.92,1296.92,645,1595203200
ok,1319.92,1349.14,1303.15,1341.48,670,1595289600
ok,1315.13,1341.48,1315.13,1322.31,1014,1595376000
ok,1331.9,1342.44,1331.9,1341.48,690,1595462400
ok,1327.11,1355.85,1327.11,1355.85,310,1595721600
ok,1353.46,1355.85,1314.65,1340.52,1795,1595808000
ok,1319.92,1319.92,1314.65,1314.65,240,1595894400
ok,1307.94,1314.65,1298.36,1298.84,1693,1595980800
ok,1298.84,1305.55,1298.36,1305.55,150,1596067200
ok,1281.59,1293.57,1279.67,1279.67,577,1596326400
ok,1302.67,1305.55,1279.67,1294.05,1318,1596412800
ok,1294.05,1294.05,1272.01,1293.57,660,1596585600
ok,1288.78,1288.78,1272.01,1272.01,135,1596672000
ok,1272.01,1293.57,1269.61,1293.57,740,1596931200
ok,1293.57,1312.73,1293.57,1312.73,440,1597017600
ok,1293.57,1293.57,1281.59,1281.59,1044,1597104000
ok,1263.38,1283.99,1263.38,1272.49,130,1597190400
ok,1274.4,1274.4,1273.45,1273.45,195,1597276800
ok,1273.93,1295.01,1269.61,1295.01,660,1597536000
ok,1310.34,1312.73,1303.15,1307.94,670,1597622400
ok,1321.36,1327.11,1295.96,1327.11,990,1597708800
ok,1322.31,1322.31,1295.96,1298.84,395,1597795200
ok,1322.31,1322.31,1322.31,1322.31,20,1597881600
ok,1322.31,1322.31,1317.52,1317.52,90,1598140800
ok,1343.87,1370.7,1318.96,1342.44,835,1598227200
ok,1351.06,1351.06,1317.52,1341.48,250,1598313600
ok,1341.48,1341.48,1317.52,1336.21,665,1598400000
ok,1320.4,1320.4,1317.52,1319.92,170,1598486400
ok,1319.92,1346.27,1336.69,1346.27,350,1598745600
ok,1351.06,1390.35,1351.06,1379.81,1230,1598832000
ok,1389.39,1441.61,1375.01,1408.55,1586,1599004800
ok,1436.34,1436.34,1389.39,1389.39,180,1599091200
ok,1401.37,1437.3,1388.43,1434.9,2190,1599350400
ok,1408.55,1490.48,1406.64,1476.58,1919,1599436800
ok,1485.21,1624.15,1485.21,1624.15,2080,1599523200
ok,1656.25,1696.01,1625.1,1674.45,1828,1599609600
ok,1676.85,1683.55,1610.73,1614.56,600,1599696000
ok,1604.98,1604.98,1552.28,1569.05,1185,1599955200
ok,1538.39,1600.19,1537.91,1567.13,915,1600041600
ok,1598.28,1598.28,1545.1,1545.1,1054,1600128000
ok,1575.76,1606.9,1575.76,1578.63,655,1600214400
ok,1578.63,1590.61,1576.24,1581.03,570,1600300800
ok,1571.45,1571.45,1549.89,1561.38,768,1600646400
ok,1592.53,1624.15,1564.26,1581.03,2615,1600732800
ok,1560.43,1612.65,1560.43,1595.4,1332,1600819200
ok,1614.56,1743.92,1604.98,1724.76,5435,1600905600
ok,1748.71,1748.71,1691.22,1724.76,639,1601164800
ok,1704.16,1708.95,1627.02,1698.41,660,1601251200
ok,1664.87,1667.27,1634.69,1651.93,429,1601337600
ok,1651.93,1652.89,1631.33,1631.81,632,1601424000
ok,1662.47,1697.45,1660.56,1667.27,370,1601510400
ok,1699.84,1700.8,1686.43,1700.8,423,1601769600
ok,1676.85,1676.85,1664.87,1664.87,290,1601856000
ok,1676.85,1676.85,1652.89,1674.45,438,1601942400
ok,1672.06,1688.35,1652.89,1676.85,470,1602028800
ok,1656.25,1656.25,1645.71,1645.71,565,1602374400
ok,1652.89,1652.89,1648.1,1648.1,110,1602460800
ok,1620.31,1650.5,1619.36,1650.5,200,1602547200
ok,1650.5,1650.5,1643.31,1646.19,80,1602633600
ok,1662.0,1662.47,1631.33,1652.89,1250,1602720000
ok,1652.89,1676.85,1650.5,1676.85,535,1602979200
ok,1676.85,1676.85,1660.08,1676.85,320,1603065600
ok,1676.85,1710.38,1664.87,1676.85,1172,1603152000
ok,1664.87,1724.76,1664.87,1722.84,630,1603238400
ok,1731.94,1744.4,1724.76,1736.26,800,1603324800
ok,1746.32,1746.32,1715.18,1715.18,30,1603843200
ok,1719.97,1743.92,1719.97,1734.34,876,1603929600
ok,1753.5,1757.34,1748.71,1751.59,655,1604188800
ok,1753.5,1842.14,1753.5,1784.64,1750,1604275200
ok,1820.1,1853.64,1820.1,1853.64,1044,1604361600
ok,1853.64,1868.49,1853.64,1863.7,435,1604448000
ok,1863.7,1863.7,1844.53,1862.74,1080,1604534400
ok,1862.74,2048.63,1862.74,2048.15,5058,1604793600
ok,2088.87,2252.25,2047.19,2155.95,1670,1604880000
ok,2155.95,2371.54,2155.95,2371.54,2478,1604966400
ok,2418.97,2608.7,2418.97,2608.7,2680,1605052800
ok,2660.44,2869.33,2660.44,2869.33,3423,1605139200
ok,2926.34,3155.83,2926.34,3155.83,4067,1605657600
ok,3313.45,3471.07,3313.45,3469.64,2787,1605744000
ok,3538.63,3816.5,3122.77,3258.35,2398,1606003200
ok,3195.59,3545.33,2970.42,3305.79,1728,1606089600
ok,3305.79,3636.36,3305.79,3569.29,4075,1606176000
ok,3595.64,3923.34,3595.64,3816.03,1425,1606262400
ok,3756.14,3830.88,3548.69,3596.12,2131,1606348800
ok,3667.98,3741.29,3545.33,3593.24,4532,1606608000
ok,3772.91,3952.57,3772.91,3922.63,2879,1606694400
ok,4001.08,4072.34,3595.04,3745.96,1759,1606780800
ok,3683.08,3952.57,3609.41,3668.1,2003,1606867200
ok,3713.02,3713.02,3413.58,3413.58,1479,1606953600
ok,3413.58,3413.58,3151.28,3169.24,1732,1607212800
ok,3174.03,3365.07,2991.98,3362.68,2238,1607299200
ok,3296.2,3296.8,3203.98,3233.92,895,1607385600
ok,3169.24,3197.99,3054.26,3075.22,1333,1607472000
ok,3014.13,3138.1,3054.26,3138.1,887,1607558400
ok,3174.03,3174.03,3057.25,3084.2,693,1607817600
ok,3084.2,3392.62,3084.2,3377.65,2502,1607904000
ok,3377.65,3654.93,3293.81,3293.81,1944,1607990400
ok,3458.5,3458.5,3264.46,3338.72,1816,1608076800
ok,3405.2,3405.2,3206.97,3247.69,700,1608163200
ok,3183.02,3245.9,3060.25,3114.15,1533,1608422400
ok,3051.86,3111.75,2874.0,3030.3,1937,1608508800
ok,3090.79,3186.01,3090.79,3156.07,1510,1608595200
ok,3156.07,3206.97,3108.16,3144.09,729,1608681600
ok,3084.2,3176.43,3033.3,3176.43,370,1608768000
ok,3126.12,3266.26,3084.2,3203.98,3478,1609027200
ok,3139.9,3171.04,3077.61,3108.16,976,1609113600
ok,3169.24,3169.84,3105.16,3108.76,6040,1609200000
ok,3144.09,3419.57,3144.09,3419.57,7215,1609286400
ok,3590.25,3761.53,3413.58,3761.53,6518,1609372800
ok,3836.39,4137.62,3836.39,4137.62,3202,1609632000
ok,4344.23,4344.23,4058.57,4129.24,535,1609718400
ok,4047.19,4124.45,3719.01,3874.72,3071,1609804800
ok,3802.85,4101.09,3766.92,3832.79,1680,1609891200
ok,3909.45,4192.12,3839.38,4036.41,2589,1609977600
ok,4116.66,4282.55,4116.66,4184.93,4839,1610236800
ok,4192.12,4192.12,4102.29,4162.18,1795,1610323200
ok,4132.23,4185.53,4081.33,4132.23,948,1610409600
ok,4072.94,4161.58,4072.94,4150.2,842,1610496000
ok,4232.84,4565.22,4232.84,4565.22,3197,1610841600
ok,4656.25,5021.56,4656.25,4850.88,2903,1610928000
