s,o,h,l,c,v,t
ok,40.77,40.77,40.31,40.54,1111,1325376000
ok,40.54,41.46,40.77,41.46,551,1325462400
ok,41.46,41.0,40.54,40.77,490,1325548800
ok,40.77,40.77,40.31,40.54,3220,1325635200
ok,40.54,40.54,40.08,40.31,775,1325721600
ok,40.31,40.77,40.31,40.54,3240,1325980800
ok,40.54,40.31,39.85,39.85,1710,1326067200
ok,39.85,40.54,40.08,40.08,549,1326153600
ok,40.08,40.08,39.85,40.08,2477,1326240000
ok,40.08,40.08,39.62,40.08,3102,1326326400
ok,40.08,40.08,39.85,39.85,1049,1326672000
ok,39.85,40.54,39.62,40.31,866,1326758400
ok,40.31,41.46,40.54,41.46,2190,1326844800
ok,41.46,41.23,40.77,41.23,411,1326844800
ok,41.23,41.46,40.77,41.23,4484,1327190400
ok,41.23,40.77,39.85,40.08,1650,1327276800
ok,40.08,40.54,39.85,40.54,1170,1327449600
ok,40.54,40.54,39.62,40.08,1060,1327536000
ok,40.08,40.54,39.85,40.08,4200,1327795200
ok,40.08,40.54,39.62,39.62,2291,1327968000
ok,39.62,40.31,39.62,39.85,1833,1328054400
ok,39.85,40.31,39.85,39.85,3946,1328140800
ok,39.85,39.85,39.38,39.62,1611,1328400000
ok,39.62,39.85,39.62,39.85,992,1328486400
ok,39.85,39.62,38.92,39.62,2091,1328572800
ok,39.62,39.62,39.38,39.62,386,1328659200
ok,39.62,39.62,39.38,39.38,920,1328745600
ok,39.38,39.38,39.15,39.38,1309,1329004800
ok,39.38,39.85,38.92,39.15,1992,1329091200
ok,39.15,39.62,38.92,39.38,1961,1329177600
ok,39.38,39.85,39.62,39.85,276,1329264000
ok,39.85,39.38,38.92,39.15,550,1329350400
ok,39.15,39.38,39.15,39.38,631,1329782400
ok,39.38,39.38,38.92,39.38,1230,1329955200
ok,39.38,39.38,38.46,38.92,2747,1330214400
ok,38.92,39.38,38.92,39.15,1285,1330300800
ok,39.15,39.62,38.92,39.38,2204,1330387200
ok,39.38,39.38,39.15,39.15,1030,1330473600
ok,39.15,39.38,38.92,39.15,2300,1330560000
ok,39.15,39.38,38.23,39.38,1451,1330819200
ok,39.38,39.38,38.92,38.92,460,1330905600
ok,38.92,38.92,38.46,38.46,2124,1330992000
ok,38.46,38.69,38.46,38.69,754,1331424000
ok,38.69,38.92,37.77,38.69,1022,1331510400
ok,38.69,38.69,38.23,38.23,1321,1331596800
ok,38.23,38.46,38.0,38.0,793,1331683200
ok,38.0,38.0,37.54,38.0,842,1331769600
ok,38.0,38.0,37.54,38.0,1003,1332028800
ok,38.0,38.46,37.77,37.77,311,1332115200
ok,37.77,38.0,37.54,37.54,4107,1332201600
ok,37.54,38.69,37.54,38.23,1257,1332288000
ok,38.23,38.69,37.77,38.69,920,1332633600
ok,38.69,38.92,38.0,38.92,2082,1332720000
ok,38.92,38.46,37.77,38.0,270,1332806400
ok,38.0,38.69,38.23,38.69,1615,1332892800
ok,38.69,39.15,38.46,38.46,1395,1332979200
ok,38.46,38.69,38.46,38.69,1762,1333238400
ok,38.69,38.69,38.23,38.46,1275,1333324800
ok,38.46,38.69,38.69,38.69,680,1333411200
ok,38.69,38.69,38.46,38.46,3550,1333497600
ok,38.46,38.69,38.46,38.69,680,1333584000
ok,38.69,38.69,38.46,38.69,1051,1333843200
ok,38.69,38.92,38.46,38.69,921,1333929600
ok,38.69,38.69,38.23,38.69,1313,1334016000
ok,38.69,39.62,38.92,38.92,2180,1334102400
ok,38.92,40.54,39.15,40.54,683,1334188800
ok,40.54,42.85,41.0,42.62,2514,1334448000
ok,42.62,45.39,43.08,45.39,833,1334534400
ok,45.39,44.93,44.23,44.23,1789,1334620800
ok,44.23,43.77,41.92,42.85,3301,1334707200
ok,42.85,43.77,41.92,42.39,4668,1334793600
ok,42.39,42.85,42.39,42.62,1560,1335052800
ok,42.62,44.0,43.08,44.0,100,1335225600
ok,44.0,45.39,45.39,45.39,70,1335312000
ok,45.39,48.39,45.85,48.39,8831,1335398400
ok,48.39,50.93,46.78,48.85,8923,1335657600
ok,48.85,49.55,45.39,46.54,5694,1335744000
ok,46.54,46.54,43.77,43.77,980,1335916800
ok,43.77,44.7,44.23,44.7,241,1336003200
ok,44.7,45.16,45.16,45.16,183,1336348800
ok,45.16,47.01,45.62,47.01,2332,1336435200
ok,47.01,48.39,44.93,47.01,7062,1336521600
ok,47.01,47.01,44.0,46.31,11243,1336608000
ok,46.31,45.85,44.23,44.7,3133,1336867200
ok,44.7,44.23,42.16,43.08,5092,1336953600
ok,43.08,45.85,43.54,45.85,696,1337040000
ok,45.85,46.31,46.31,46.31,150,1337126400
ok,46.31,48.16,46.78,46.78,6469,1337212800
ok,46.78,47.01,45.16,46.31,6548,1337472000
ok,46.31,47.7,46.08,46.31,3222,1337558400
ok,46.31,47.24,44.93,47.24,8963,1337644800
ok,47.24,46.78,44.93,44.93,905,1337731200
ok,44.93,47.24,44.93,47.24,7754,1337817600
ok,47.24,49.55,46.54,48.39,6836,1338076800
ok,48.39,47.93,45.16,45.16,3959,1338249600
ok,45.16,44.7,42.16,42.16,4480,1338336000
ok,42.16,43.77,41.69,43.77,1231,1338422400
ok,43.77,46.54,43.08,46.54,1647,1338681600
ok,46.54,46.78,44.23,44.93,3705,1338768000
ok,44.93,45.39,44.47,44.93,2968,1338854400
ok,44.93,44.47,43.08,43.31,1331,1338940800
ok,43.31,45.16,42.39,44.47,2120,1339027200
ok,44.47,46.54,44.93,46.08,8139,1339286400
ok,46.08,47.01,45.62,46.54,4583,1339372800
ok,46.54,47.01,46.31,46.54,4983,1339459200
ok,46.54,47.93,46.08,46.78,8518,1339545600
ok,46.78,46.31,44.93,45.62,1912,1339632000
ok,45.62,45.62,43.77,45.16,2426,1339891200
ok,45.16,44.93,44.23,44.93,2589,1339977600
ok,44.93,44.93,44.47,44.7,1549,1340064000
ok,44.7,45.62,44.7,45.16,1361,1340150400
ok,45.16,45.85,45.39,45.62,1170,1340236800
ok,45.62,46.54,44.93,46.54,1760,1340582400
ok,46.54,46.08,45.16,45.62,2036,1340668800
ok,45.62,46.54,44.7,46.54,2422,1340755200
ok,46.54,47.01,46.31,46.54,2876,1340841600
ok,46.54,47.01,46.54,47.01,3643,1341100800
ok,47.01,47.7,46.54,46.78,3256,1341187200
ok,46.78,46.78,46.54,46.78,880,1341273600
ok,46.78,47.93,46.54,47.93,3868,1341360000
ok,47.93,47.7,47.01,47.7,3056,1341446400
ok,47.7,48.39,47.24,47.47,2338,1341705600
ok,47.47,48.85,47.47,48.39,3893,1341792000
ok,48.39,49.55,48.39,48.85,3747,1341878400
ok,48.85,49.32,48.39,49.32,3631,1341964800
ok,49.32,50.24,48.62,49.08,3977,1342051200
ok,49.08,50.24,49.08,50.24,1722,1342310400
ok,50.24,51.63,48.85,51.63,12898,1342396800
ok,51.63,54.63,51.39,53.7,12061,1342483200
ok,53.7,57.17,53.47,57.17,8985,1342569600
ok,57.17,59.94,54.86,59.94,21519,1342656000
ok,59.94,60.4,57.4,58.55,19689,1342915200
ok,58.55,59.94,57.86,58.09,13375,1343001600
ok,58.09,58.09,56.01,58.09,7364,1343088000
ok,58.09,57.4,56.01,56.71,10548,1343174400
ok,56.71,56.01,54.63,55.09,4910,1343260800
ok,55.09,54.4,51.39,52.55,4932,1343520000
ok,52.55,53.93,51.86,53.7,7450,1343606400
ok,53.7,56.24,53.01,54.86,4757,1343692800
ok,54.86,56.24,54.4,55.78,6479,1343779200
ok,55.78,56.71,55.32,56.01,4178,1344124800
ok,56.01,56.48,55.78,56.01,5741,1344211200
ok,56.01,56.71,54.4,54.86,4255,1344297600
ok,54.86,55.55,53.47,55.55,6744,1344384000
ok,55.55,55.55,52.78,53.7,3111,1344729600
ok,53.7,53.01,51.16,53.01,3464,1344816000
ok,53.01,53.01,52.32,52.55,1990,1344902400
ok,52.55,52.55,51.39,51.86,4533,1344988800
ok,51.86,54.86,52.55,53.47,5649,1345075200
ok,53.47,54.63,53.47,54.17,5601,1345334400
