s,o,h,l,c,v,t
ok,334.43,334.43,334.43,334.43,0.0,1300579200
ok,329.85,329.85,329.85,329.85,0.0,1301011200
ok,323.45,323.45,323.45,323.45,0.0,1301184000
ok,325.81,325.81,325.81,325.81,0.0,1301270400
ok,325.27,325.27,325.27,325.27,0.0,1301356800
ok,322.56,322.56,322.56,322.56,0.0,1301443200
ok,323.19,323.19,323.19,323.19,0.0,1301529600
ok,322.26,322.26,322.26,322.26,0.0,1301875200
ok,319.99,319.99,319.99,319.99,0.0,1301961600
ok,318.47,318.47,318.47,318.47,0.0,1302048000
ok,317.46,317.46,317.46,317.46,0.0,1302134400
ok,315.6,315.6,315.6,315.6,0.0,1302393600
ok,314.38,314.38,314.38,314.38,0.0,1302480000
ok,315.78,315.78,315.78,315.78,0.0,1302652800
ok,314.58,314.58,314.58,314.58,0.0,1302998400
ok,313.41,313.41,313.41,313.41,0.0,1303084800
ok,312.1,312.1,312.1,312.1,0.0,1303171200
ok,311.7,311.7,311.7,311.7,0.0,1303257600
ok,310.66,310.66,310.66,310.66,0.0,1303344000
ok,309.74,309.74,309.74,309.74,0.0,1303689600
ok,309.75,309.75,309.75,309.75,0.0,1303776000
ok,308.46,308.46,308.46,308.46,0.0,1303862400
ok,306.68,306.68,306.68,306.68,0.0,1303948800
ok,305.52,305.52,305.52,305.52,0.0,1304294400
ok,303.49,303.49,303.49,303.49,0.0,1304380800
ok,302.05,302.05,302.05,302.05,0.0,1304467200
ok,302.14,302.14,302.14,302.14,0.0,1304553600
ok,302.16,302.16,302.16,302.16,0.0,1304812800
ok,300.85,300.85,300.85,300.85,0.0,1304899200
ok,299.84,299.84,299.84,299.84,0.0,1304985600
ok,300.79,300.79,300.79,300.79,0.0,1305072000
ok,301.16,301.16,301.16,301.16,0.0,1305158400
ok,301.87,301.87,301.87,301.87,0.0,1305417600
ok,301.11,301.11,301.11,301.11,0.0,1305504000
ok,298.5,298.5,298.5,298.5,0.0,1305676800
ok,298.86,298.86,298.86,298.86,0.0,1305763200
ok,298.74,298.74,298.74,298.74,0.0,1306022400
ok,298.2,298.2,298.2,298.2,0.0,1306108800
ok,298.27,298.27,298.27,298.27,0.0,1306195200
ok,297.92,297.92,297.92,297.92,0.0,1306281600
ok,299.21,299.21,299.21,299.21,0.0,1306368000
ok,299.05,299.05,299.05,299.05,0.0,1306713600
ok,298.73,298.73,298.73,298.73,0.0,1306800000
ok,297.22,297.22,297.22,297.22,0.0,1306886400
ok,292.0,292.0,292.0,292.0,0.0,1306972800
ok,294.33,294.33,294.33,294.33,0.0,1307232000
ok,293.5,293.5,293.5,293.5,0.0,1307318400
ok,291.89,291.89,291.89,291.89,0.0,1307404800
ok,286.64,286.64,286.64,286.64,0.0,1307491200
ok,284.21,284.21,284.21,284.21,0.0,1307577600
ok,282.95,282.95,282.95,282.95,0.0,1307836800
ok,281.47,281.47,281.47,281.47,0.0,1307923200
ok,279.15,279.15,279.15,279.15,0.0,1308009600
ok,277.61,277.61,277.61,277.61,0.0,1308096000
ok,277.68,277.68,277.68,277.68,0.0,1308182400
ok,284.45,284.45,284.45,284.45,0.0,1308528000
ok,290.0,290.0,290.0,290.0,0.0,1308614400
ok,296.84,296.84,296.84,296.84,0.0,1308787200
ok,296.45,296.45,296.45,296.45,0.0,1309046400
ok,295.97,295.97,295.97,295.97,0.0,1309132800
ok,293.28,293.28,293.28,293.28,0.0,1309305600
ok,291.16,291.16,291.16,291.16,0.0,1309392000
ok,288.82,288.82,288.82,288.82,0.0,1309651200
ok,286.01,286.01,286.01,286.01,0.0,1309737600
ok,286.65,286.65,286.65,286.65,0.0,1309824000
ok,286.39,286.39,286.39,286.39,0.0,1309910400
ok,284.86,284.86,284.86,284.86,0.0,1309996800
ok,286.26,286.26,286.26,286.26,0.0,1310256000
