s,o,h,l,c,v,t
ok,63.93,64.56,63.3,64.56,1340,1325376000
ok,64.56,66.24,63.72,66.24,1498,1325462400
ok,66.24,67.07,65.61,65.61,730,1325548800
ok,65.61,65.19,63.93,63.93,780,1325635200
ok,63.93,63.3,62.68,62.68,360,1325721600
ok,62.68,63.3,63.3,63.3,200,1325980800
ok,63.3,63.93,62.89,63.51,780,1326067200
ok,63.51,64.98,64.14,64.98,370,1326153600
ok,64.98,65.82,64.98,65.19,1290,1326240000
ok,65.19,65.4,64.98,65.4,1080,1326326400
ok,65.4,65.4,64.77,64.77,280,1326672000
ok,64.77,64.77,63.72,64.77,3130,1326758400
ok,64.77,64.98,64.77,64.77,313,1326844800
ok,64.77,64.98,64.56,64.98,150,1326844800
ok,64.98,65.61,63.72,63.72,246,1327190400
ok,63.72,64.35,63.93,64.14,698,1327276800
ok,64.14,65.4,64.14,64.14,776,1327449600
ok,64.14,64.77,64.14,64.56,326,1327536000
ok,64.56,65.19,65.19,65.19,378,1327795200
ok,65.19,64.56,62.89,63.72,1221,1327968000
ok,63.72,64.56,63.72,63.93,1085,1328054400
ok,63.93,64.56,63.93,63.93,328,1328140800
ok,63.93,63.51,62.89,63.3,320,1328400000
ok,63.3,64.56,63.3,63.3,1380,1328486400
ok,63.3,64.77,63.3,63.93,5356,1328572800
ok,63.93,64.14,63.3,63.72,1143,1328659200
ok,63.72,63.93,63.1,63.1,812,1328745600
ok,63.1,63.72,62.68,62.89,505,1329004800
ok,62.89,63.3,62.26,63.1,1581,1329091200
ok,63.1,63.51,62.68,62.68,670,1329177600
ok,62.68,62.68,62.26,62.68,326,1329264000
ok,62.68,62.47,61.84,62.26,1872,1329350400
ok,62.26,62.89,62.05,62.89,190,1329782400
ok,62.89,62.89,62.68,62.68,198,1329955200
ok,62.68,63.1,62.05,62.89,2096,1330214400
ok,62.89,63.93,63.51,63.93,42,1330300800
ok,63.93,64.14,63.72,63.93,434,1330387200
ok,63.93,64.14,63.3,63.72,1576,1330473600
ok,63.72,64.98,62.89,63.3,863,1330560000
ok,63.3,64.56,63.72,64.56,1960,1330819200
ok,64.56,64.56,63.72,63.72,1603,1330905600
ok,63.72,64.35,63.51,63.93,1353,1330992000
ok,63.93,64.14,63.51,63.72,733,1331424000
ok,63.72,63.51,62.89,62.89,1654,1331510400
ok,62.89,63.1,62.26,62.68,735,1331596800
ok,62.68,63.1,62.68,63.1,752,1331683200
ok,63.1,62.89,61.84,62.47,1055,1331769600
ok,62.47,62.89,62.05,62.89,2265,1332028800
ok,62.89,63.72,63.1,63.1,695,1332115200
ok,63.1,63.3,62.47,62.89,842,1332201600
ok,62.89,62.89,61.84,61.84,1401,1332288000
ok,61.84,62.47,61.84,62.05,1110,1332633600
