s,o,h,l,c,v,t
ok,81.16,81.06,79.66,80.06,6914,1325376000
ok,80.06,82.95,79.56,82.95,9126,1325462400
ok,82.95,82.95,81.56,81.56,4018,1325548800
ok,81.56,81.56,79.56,79.66,18324,1325635200
ok,79.66,81.76,79.56,81.76,5733,1325721600
ok,81.76,81.56,79.06,81.56,9151,1325980800
ok,81.56,80.16,78.57,78.57,12252,1326067200
ok,78.57,82.46,77.67,80.56,389,1326153600
ok,80.56,85.55,78.57,82.95,1369,1326240000
ok,82.95,84.35,82.65,84.35,110,1326326400
ok,84.35,82.95,80.16,80.86,429,1326672000
ok,80.86,82.65,80.06,81.26,283,1326758400
ok,81.26,81.86,80.56,80.86,821,1326844800
ok,80.26,80.76,80.06,80.06,183,1327190400
ok,80.06,80.06,78.57,78.57,3838,1327276800
ok,78.57,79.86,78.57,79.76,1151,1327449600
ok,79.76,80.66,78.57,80.56,330,1327536000
ok,80.56,79.56,78.57,79.56,3345,1327795200
ok,79.56,79.56,78.57,79.06,453,1327968000
ok,79.06,80.26,78.57,80.26,1427,1328054400
ok,80.26,79.76,78.57,79.56,2007,1328140800
ok,79.56,79.96,78.67,78.77,67,1328400000
ok,78.77,78.87,78.57,78.77,1677,1328486400
ok,78.77,79.86,78.07,79.86,1337,1328572800
ok,79.86,81.16,81.16,81.16,210,1328659200
ok,81.16,82.46,78.07,81.16,1552,1328745600
ok,81.16,79.86,78.57,79.86,968,1329004800
ok,79.86,79.96,78.57,78.67,800,1329091200
ok,78.67,78.77,78.27,78.27,6670,1329177600
ok,78.27,79.46,78.37,79.46,1229,1329264000
ok,79.46,80.36,78.07,78.57,2457,1329350400
ok,78.57,79.56,78.07,79.56,1290,1329782400
ok,79.56,80.96,78.07,80.96,3286,1329955200
ok,80.96,79.66,78.07,79.56,4064,1330214400
ok,79.56,80.36,78.67,80.36,573,1330300800
ok,80.36,81.36,78.57,81.36,3642,1330387200
ok,81.36,80.06,78.57,79.16,2794,1330473600
ok,79.16,80.56,77.07,80.56,33581,1330560000
ok,80.56,79.86,78.37,79.86,1949,1330819200
ok,79.86,80.16,78.07,80.16,6761,1330905600
ok,80.16,80.56,78.07,80.56,3519,1330992000
ok,80.56,79.86,78.57,79.86,770,1331424000
ok,79.86,79.86,78.07,79.86,1930,1331510400
ok,79.86,78.57,76.57,78.57,152797,1331596800
ok,78.57,80.76,78.47,80.76,828,1331683200
ok,80.76,79.86,78.57,79.86,564,1331769600
ok,79.86,79.96,78.07,79.36,4530,1332028800
ok,79.36,79.36,78.07,78.07,4922,1332115200
ok,78.07,81.06,78.27,81.06,416,1332201600
ok,81.06,81.56,78.67,81.56,582,1332288000
ok,81.56,80.16,78.57,79.86,880,1332633600
ok,79.86,79.36,78.07,79.36,8350,1332720000
ok,79.36,79.36,77.77,79.36,5611,1332806400
ok,79.36,79.36,78.07,79.36,4252,1332892800
ok,79.36,78.57,78.07,78.57,4310,1332979200
ok,78.57,82.06,78.17,82.06,328,1333238400
ok,82.06,80.66,78.87,79.56,289,1333324800
ok,79.56,80.36,78.17,80.36,3949,1333411200
ok,80.36,80.46,79.06,80.46,2384,1333497600
ok,80.46,79.56,79.06,79.36,10316,1333584000
ok,79.36,80.56,79.56,80.06,529,1333843200
ok,80.06,80.96,80.56,80.96,3029,1333929600
ok,80.96,81.76,80.66,81.56,3405,1334016000
ok,81.56,84.05,82.06,83.05,3502,1334102400
ok,83.05,86.64,83.35,86.64,4129,1334188800
ok,86.64,91.93,86.64,91.93,6854,1334448000
ok,91.93,99.8,93.52,99.8,415,1334534400
ok,99.8,108.58,91.03,91.13,15765,1334620800
ok,91.13,98.81,87.54,94.52,11617,1334707200
ok,94.52,99.6,94.52,99.6,3226,1334793600
ok,99.6,102.99,99.01,101.4,10422,1335052800
ok,101.4,110.27,102.6,110.27,1848,1335225600
ok,110.27,120.04,112.17,120.04,1310,1335312000
ok,120.04,126.53,109.28,122.44,15702,1335398400
ok,122.44,123.93,116.55,119.25,9521,1335657600
ok,119.25,121.34,111.47,111.77,14923,1335744000
ok,111.77,109.77,101.9,102.4,2436,1335916800
ok,102.4,111.37,104.19,111.37,11750,1336003200
ok,111.37,117.25,113.26,117.25,3386,1336348800
ok,117.25,123.63,118.05,123.24,13100,1336435200
ok,123.24,122.44,113.07,117.45,8023,1336521600
ok,117.45,118.35,112.47,114.76,7737,1336608000
ok,114.76,113.46,107.98,109.48,3325,1336867200
ok,109.48,107.58,100.5,102.0,9168,1336953600
ok,102.0,110.97,103.79,110.97,860,1337040000
ok,110.97,120.84,112.87,118.45,15047,1337212800
ok,118.45,118.85,112.47,117.45,4824,1337472000
ok,117.45,119.94,114.96,119.85,7022,1337558400
ok,119.85,117.75,111.67,114.96,6705,1337644800
ok,114.96,112.97,104.99,107.48,6502,1337731200
ok,107.48,112.97,105.59,112.97,6091,1337817600
ok,112.97,119.45,113.96,118.35,8697,1338076800
ok,118.35,116.26,116.26,116.26,20,1338249600
ok,116.26,114.26,105.89,105.89,91,1338336000
ok,105.89,104.89,96.51,103.19,6011,1338422400
ok,103.19,112.27,103.19,111.47,3440,1338681600
ok,111.47,113.46,108.58,110.57,5836,1338768000
ok,110.57,108.68,105.29,107.28,5137,1338854400
ok,107.28,106.78,102.6,106.78,1197,1338940800
ok,106.78,108.88,104.99,107.18,4577,1339027200
ok,107.18,105.29,101.5,102.3,5342,1339286400
ok,102.3,106.98,103.69,104.39,1468,1339372800
