s,o,h,l,c,v,t
ok,43.22,43.22,40.26,43.22,50,1347148800
ok,43.22,47.42,43.96,47.42,254,1347235200
ok,47.42,52.11,48.16,52.11,376,1347321600
ok,52.11,57.3,53.1,57.3,1131,1347408000
ok,57.3,62.98,58.28,62.98,27430,1347494400
ok,62.98,64.21,60.01,64.21,9406,1347753600
ok,64.21,66.68,62.48,66.68,6296,1347840000
ok,66.68,68.41,64.21,67.92,8686,1347926400
ok,67.92,66.93,64.46,66.68,4336,1348012800
ok,66.68,65.94,64.21,64.21,11416,1348099200
ok,64.21,62.98,60.51,61.0,5384,1348358400
ok,61.0,61.74,60.51,61.25,9768,1348444800
ok,61.25,61.5,60.26,61.25,4830,1348531200
ok,61.25,61.5,60.26,61.0,7227,1348617600
ok,61.0,61.5,59.27,60.51,4600,1348704000
ok,60.51,61.0,58.78,60.26,7236,1348963200
ok,60.26,60.51,59.27,60.01,5064,1349049600
ok,60.01,61.25,59.77,61.25,2854,1349136000
ok,61.25,61.99,60.26,61.25,3424,1349222400
ok,61.25,61.74,60.26,61.74,3162,1349308800
ok,61.74,62.98,61.25,62.24,6485,1349568000
ok,62.24,62.48,60.51,62.24,7223,1349654400
ok,62.24,63.22,61.74,63.22,3945,1349740800
ok,63.22,63.22,61.99,62.48,1964,1349827200
ok,62.48,62.24,61.74,61.99,3846,1349913600
ok,61.99,62.73,61.99,62.73,1029,1350172800
ok,62.73,62.73,61.5,62.24,1589,1350259200
ok,62.24,64.21,61.0,64.21,2975,1350432000
ok,64.21,65.69,64.21,65.69,3263,1350518400
ok,65.69,67.92,64.95,66.68,2478,1351555200
ok,66.68,70.39,67.92,68.66,4291,1351641600
ok,68.66,70.88,66.43,70.88,2017,1351728000
ok,70.88,74.34,67.92,73.1,16234,1351987200
ok,73.1,75.82,69.89,73.35,12136,1352073600
ok,73.35,75.08,71.13,75.08,4876,1352160000
ok,75.08,76.56,74.09,76.56,8988,1352246400
ok,76.56,81.5,75.57,76.07,9282,1352332800
ok,76.07,80.02,71.37,72.36,9640,1352592000
ok,72.36,77.79,72.36,77.3,3044,1352678400
ok,77.3,80.51,76.56,78.54,2200,1353196800
ok,78.54,82.73,78.04,82.24,7312,1353369600
ok,82.24,84.96,79.28,84.71,10747,1353456000
ok,84.71,84.96,81.5,84.46,9816,1353542400
ok,84.46,91.38,84.71,86.93,13675,1353801600
ok,86.93,88.66,82.49,88.66,130815,1353888000
ok,88.66,91.13,85.2,90.39,15772,1353974400
ok,90.39,95.08,90.88,93.85,17520,1354060800
ok,93.85,97.55,92.12,93.85,12950,1354147200
ok,93.85,93.85,90.39,91.38,9600,1354406400
ok,91.38,91.38,87.67,89.9,5403,1354492800
ok,89.9,94.34,90.88,93.85,11242,1354579200
ok,93.85,98.79,93.6,98.79,14715,1354665600
ok,98.79,99.78,95.08,99.78,29266,1354752000
ok,99.78,98.29,94.59,95.58,12055,1355011200
ok,95.58,97.06,94.84,96.07,9827,1355097600
ok,96.07,96.81,95.82,96.32,12681,1355184000
ok,96.32,98.05,97.06,97.55,8951,1355356800
ok,97.55,106.2,97.8,105.95,27653,1355616000
ok,105.95,110.39,106.2,108.17,36008,1355702400
ok,108.17,107.68,102.49,107.68,13364,1355788800
ok,107.68,108.67,106.44,108.17,6949,1355875200
ok,108.17,108.17,104.96,104.96,8162,1355961600
ok,104.96,106.94,103.73,104.71,13684,1356220800
ok,104.71,109.41,104.71,108.42,15165,1356307200
ok,108.42,111.14,103.73,110.89,55877,1356480000
ok,110.89,109.9,106.2,106.94,38430,1356566400
ok,110.15,108.36,104.55,108.36,5621,1356912000
ok,108.36,106.33,104.29,104.55,1508,1356998400
ok,104.55,106.33,100.73,104.55,6761,1357084800
ok,104.55,106.84,104.8,105.57,8071,1357171200
ok,105.57,105.31,103.02,104.29,6373,1357430400
ok,104.29,103.53,102.26,102.77,4396,1357516800
ok,102.77,103.53,100.99,102.26,2702,1357603200
ok,102.26,102.01,100.99,101.5,2169,1357689600
ok,101.5,104.29,100.48,104.29,5251,1357776000
ok,104.29,102.77,100.22,101.75,7622,1358035200
ok,101.75,108.62,100.99,108.36,7416,1358208000
ok,108.36,108.11,104.29,105.06,3443,1358294400
ok,105.06,106.58,101.75,103.28,6009,1358380800
ok,103.28,101.75,97.17,100.73,8069,1358640000
ok,100.73,104.55,99.72,102.26,6102,1358726400
ok,102.26,105.31,102.01,103.53,17050,1358812800
ok,103.53,105.06,101.75,103.28,19911,1358899200
ok,103.28,103.02,101.75,101.75,8814,1358985600
ok,101.75,106.84,102.77,103.79,15069,1359244800
ok,103.79,104.29,102.26,104.29,8533,1359331200
ok,104.29,103.53,101.75,103.02,10470,1359504000
ok,103.02,103.02,101.75,103.02,4602,1359590400
ok,103.02,106.33,103.79,105.31,7579,1359849600
ok,105.31,107.86,104.04,107.86,6088,1359936000
ok,107.86,107.09,105.06,105.82,2858,1360022400
ok,105.82,106.08,104.29,106.08,2049,1360108800
ok,106.08,105.82,104.29,105.82,5440,1360195200
ok,105.82,105.57,104.04,105.57,8687,1360454400
ok,105.57,111.42,105.57,111.42,19909,1360627200
ok,111.42,111.42,106.33,111.42,9073,1360713600
ok,111.42,113.96,109.38,112.18,18055,1360800000
ok,112.18,123.37,114.22,123.12,1848,1361059200
ok,123.12,135.33,119.3,119.56,28140,1361232000
ok,119.56,119.05,112.94,118.29,18130,1361318400
ok,118.29,123.37,114.47,119.05,13474,1361404800
ok,119.05,118.79,116.25,117.01,12103,1361664000
ok,117.01,123.37,118.54,123.12,21953,1361750400
ok,123.12,125.41,122.1,123.63,16756,1361836800
ok,123.63,124.64,120.83,123.12,27729,1361923200
ok,123.12,124.64,121.85,124.14,22055,1362009600
ok,124.14,127.19,124.14,126.93,16091,1362268800
ok,126.93,127.44,122.61,122.61,27727,1362355200
ok,122.61,127.19,124.64,124.9,12422,1362441600
ok,124.9,127.44,123.12,126.93,12909,1362528000
ok,126.93,127.19,120.83,125.92,7774,1362614400
ok,125.92,129.22,126.17,127.19,8775,1362960000
ok,127.19,131.51,127.95,131.51,11206,1363132800
ok,131.51,141.69,131.0,134.82,19147,1363219200
ok,134.82,136.35,130.24,133.29,16582,1363478400
ok,133.29,135.84,129.99,133.8,16018,1363564800
ok,133.8,135.58,129.99,132.53,13086,1363651200
ok,132.53,133.8,129.73,130.75,16270,1363737600
ok,130.75,130.75,127.19,128.71,13949,1363824000
ok,128.71,128.46,126.43,127.19,8985,1364083200
ok,127.19,129.22,125.15,128.21,10422,1364169600
ok,128.21,127.44,126.43,126.93,5051,1364342400
ok,126.93,127.19,124.9,126.68,6050,1364428800
ok,126.68,125.15,122.1,122.61,12315,1364688000
ok,122.61,127.7,120.32,127.7,16704,1364774400
ok,127.7,129.73,124.64,128.97,8638,1364860800
ok,128.97,128.71,126.43,127.19,5659,1364947200
ok,127.19,127.44,122.86,126.43,4475,1365033600
ok,126.43,127.44,125.41,126.93,4584,1365292800
ok,126.93,127.95,126.17,127.7,9152,1365379200
ok,127.7,131.26,125.92,131.26,9482,1365465600
ok,131.26,133.55,129.73,130.5,10235,1365638400
ok,130.5,133.8,131.0,131.0,10538,1365984000
ok,131.0,132.28,128.97,132.28,4194,1366070400
ok,132.28,132.02,129.73,131.51,9228,1366156800
ok,131.51,130.5,128.71,129.22,8169,1366243200
ok,129.22,131.77,124.64,125.92,15641,1366502400
ok,125.92,125.41,120.83,125.41,10553,1366588800
ok,125.41,128.46,125.41,126.17,9788,1366675200
ok,126.17,128.21,123.63,124.14,2497,1366848000
ok,124.14,125.41,121.85,122.1,9870,1367107200
ok,122.1,124.64,121.85,123.63,5471,1367193600
ok,123.63,122.86,121.85,122.36,6953,1367280000
ok,122.36,124.39,118.79,123.37,3369,1367452800
ok,123.37,121.59,110.91,118.29,5675,1367712000
ok,118.29,116.0,106.58,110.65,9322,1367798400
ok,110.65,117.52,109.64,115.74,17062,1367884800
ok,115.74,118.03,112.69,112.94,4781,1367971200
ok,112.94,114.98,111.93,113.45,2146,1368057600
ok,113.45,113.96,110.65,113.96,1421,1368316800
ok,113.96,113.71,108.11,113.71,9340,1368403200
ok,113.71,112.43,108.36,109.89,36011,1368489600
ok,109.89,120.83,111.93,120.83,288,1375660800
ok,120.83,130.75,120.83,128.46,51758,1375747200
ok,128.46,129.22,123.63,124.39,21531,1375833600
ok,124.39,124.64,119.81,120.83,9980,1375920000
ok,120.83,120.83,114.72,116.76,7270,1376179200
ok,116.76,118.03,114.47,114.72,8484,1376265600
ok,114.72,115.74,113.71,114.22,7911,1376352000
ok,114.22,114.22,112.18,112.94,7899,1376438400
ok,112.94,114.72,108.11,109.38,7007,1376524800
ok,109.38,113.71,107.35,112.18,23584,1376784000
ok,112.18,114.72,109.89,112.69,11651,1376870400
ok,112.69,113.96,111.16,113.96,15091,1376956800
ok,113.96,113.2,109.89,110.65,3871,1377388800
ok,110.65,110.65,108.62,108.87,4468,1377475200
ok,108.87,113.2,107.09,108.11,37090,1377561600
ok,108.11,110.65,107.35,109.13,5418,1377734400
ok,109.13,110.65,108.87,110.15,3549,1377993600
ok,110.15,110.15,107.6,109.38,6230,1378080000
ok,109.38,110.4,108.87,109.64,5877,1378166400
ok,109.64,109.38,107.86,109.38,6439,1378252800
ok,109.38,108.62,107.09,107.35,6760,1378339200
ok,107.35,108.62,107.6,107.6,4047,1378598400
ok,107.6,110.65,108.11,109.38,5365,1378684800
ok,109.38,108.11,106.84,106.84,6261,1378771200
ok,106.84,109.13,105.57,106.84,6957,1378857600
ok,106.84,108.62,106.58,107.09,7907,1378944000
ok,107.09,107.6,103.02,104.04,4223,1379203200
ok,104.04,104.29,102.01,103.53,5013,1379289600
ok,103.53,103.53,101.24,101.24,8215,1379376000
ok,101.24,108.11,100.73,106.84,5539,1379548800
ok,106.84,104.8,101.75,102.77,6710,1379808000
ok,102.77,104.55,101.5,103.28,6332,1379894400
ok,103.28,104.29,101.75,102.26,4881,1379980800
ok,102.26,103.53,100.48,102.01,5858,1380067200
ok,102.01,103.02,101.75,101.75,4898,1380153600
ok,101.75,102.01,100.48,101.75,2314,1380412800
ok,101.75,101.75,99.46,100.99,4273,1380499200
ok,100.99,102.01,99.97,101.75,2062,1380585600
ok,101.75,101.75,99.72,101.24,2553,1380672000
ok,101.24,101.5,99.97,101.5,2521,1380758400
ok,101.5,102.01,100.48,101.75,1414,1381017600
ok,101.75,107.09,99.72,107.09,891,1381104000
ok,107.09,109.13,105.06,105.57,1250,1381190400
ok,105.57,108.62,104.55,108.62,1960,1381276800
ok,108.62,110.65,106.08,108.87,8225,1381363200
ok,108.87,111.67,107.6,109.64,8357,1381968000
ok,109.64,114.22,111.42,113.45,9550,1382227200
ok,113.45,116.5,112.43,115.74,13555,1382313600
ok,115.74,117.01,114.98,117.01,20608,1382400000
ok,117.01,117.78,114.47,117.27,9894,1382486400
ok,117.27,116.0,113.2,114.47,50950,1382572800
ok,114.47,116.5,113.45,114.47,5304,1382832000
ok,114.47,114.72,112.18,113.71,11688,1382918400
ok,113.71,114.72,113.45,113.96,3152,1383004800
ok,113.96,117.01,112.18,114.72,11836,1383091200
ok,114.72,120.32,114.47,116.25,28479,1383177600
ok,116.25,115.74,111.93,111.93,6436,1383696000
ok,111.93,116.0,110.65,112.94,39373,1383782400
