s,o,h,l,c,v,t
ok,82.17,81.84,81.84,81.84,30,1325376000
ok,81.84,84.17,81.84,84.17,652,1325462400
ok,84.17,86.66,85.17,85.33,371,1325548800
ok,85.33,84.0,84.0,84.0,52,1325635200
ok,84.0,82.67,81.17,81.17,184,1325721600
ok,81.17,82.67,80.51,81.01,1009,1325980800
ok,81.01,82.5,81.01,81.34,249,1326067200
ok,81.34,82.84,81.34,82.84,452,1326153600
ok,82.84,82.67,82.67,82.67,100,1326240000
ok,82.67,84.17,82.67,84.17,1125,1326326400
ok,84.17,82.67,82.67,82.67,155,1326758400
ok,82.67,82.67,81.01,81.01,589,1326844800
ok,81.01,81.84,81.01,81.01,875,1326844800
ok,81.01,83.5,81.67,83.5,144,1327190400
ok,83.5,82.0,79.67,81.17,1262,1327276800
ok,81.17,81.17,81.01,81.01,145,1327795200
ok,81.01,82.0,81.01,81.01,262,1327968000
ok,81.01,81.84,81.01,81.84,801,1328054400
ok,81.84,83.17,81.84,83.17,163,1328140800
ok,83.17,81.84,81.84,81.84,698,1328400000
ok,81.84,82.34,81.17,81.34,1097,1328486400
ok,81.34,80.67,80.67,80.67,710,1328572800
ok,80.67,81.01,81.01,81.01,22,1329004800
ok,81.01,81.84,81.01,81.01,471,1329091200
ok,81.01,81.34,81.01,81.34,150,1329177600
ok,81.34,81.84,81.01,81.01,60,1329264000
ok,81.01,81.01,80.67,81.01,361,1329350400
ok,81.01,81.01,81.01,81.01,125,1329782400
ok,81.01,80.67,80.17,80.17,517,1329955200
ok,80.17,80.17,79.51,79.51,1085,1330214400
ok,79.51,81.01,80.17,81.01,317,1330300800
ok,81.01,81.34,79.84,81.01,837,1330387200
ok,81.01,81.34,80.34,81.01,622,1330473600
ok,81.01,82.34,81.01,82.34,279,1330560000
ok,82.34,82.67,82.17,82.67,448,1330819200
ok,82.67,83.5,83.5,83.5,158,1330905600
ok,83.5,84.33,83.5,84.33,970,1330992000
ok,84.33,84.17,83.5,84.17,335,1331424000
ok,84.17,84.5,83.0,84.17,522,1331510400
ok,84.17,83.67,82.67,83.5,124,1331596800
ok,83.5,82.67,80.51,80.51,294,1331769600
ok,80.51,80.34,79.17,80.17,984,1332028800
ok,80.17,80.17,79.01,79.34,943,1332115200
ok,79.34,79.34,79.34,79.34,600,1332201600
ok,79.34,80.51,79.34,79.34,1809,1332288000
ok,79.34,79.34,79.17,79.34,205,1332633600
ok,79.34,79.34,77.34,78.51,773,1332720000
ok,78.51,78.51,77.34,78.51,1075,1332806400
ok,78.51,78.51,77.68,77.84,752,1332892800
ok,77.84,78.68,77.68,78.51,327,1332979200
ok,78.51,79.51,78.51,78.51,241,1333238400
ok,78.51,79.84,78.01,78.68,2766,1333324800
ok,78.68,79.17,78.68,79.17,316,1333411200
ok,79.17,79.01,78.01,79.01,656,1333497600
ok,79.01,79.51,77.68,79.17,1614,1333584000
ok,79.17,79.34,79.01,79.34,797,1333843200
ok,79.34,79.34,77.84,79.34,798,1333929600
ok,79.34,83.17,80.17,83.17,243,1334016000
ok,83.17,85.17,81.84,82.84,3049,1334102400
ok,82.84,85.66,84.17,85.66,687,1334188800
ok,85.66,93.65,87.0,92.65,715,1334448000
ok,92.65,97.81,94.32,97.81,410,1334534400
