s,o,h,l,c,v,t
ok,57.77,58.41,58.41,58.41,99,1325376000
ok,58.41,59.54,58.74,59.54,187,1325462400
ok,59.54,60.99,58.25,58.9,1602,1325548800
ok,58.9,59.22,58.58,59.22,100,1325635200
ok,59.22,58.58,57.29,57.45,2247,1325721600
ok,57.45,58.74,56.48,58.09,3488,1325980800
ok,58.09,59.38,58.25,59.22,952,1326067200
ok,59.22,59.7,57.61,57.77,871,1326153600
ok,57.77,58.58,57.61,57.61,1832,1326240000
ok,57.61,60.19,58.09,58.09,1043,1326326400
ok,60.86,60.17,58.25,58.25,510,1326758400
ok,58.25,58.95,57.91,58.95,400,1326844800
ok,58.95,58.43,58.25,58.25,240,1327190400
ok,58.25,58.08,57.38,58.08,610,1327276800
ok,58.08,58.6,58.6,58.6,49,1327449600
ok,58.6,58.6,57.38,57.56,466,1327536000
ok,57.56,58.08,57.91,58.08,651,1327795200
ok,58.08,58.25,57.38,57.38,228,1327968000
ok,57.38,57.56,57.04,57.38,1409,1328054400
ok,57.38,57.38,54.77,55.47,6590,1328140800
ok,55.47,55.64,55.29,55.64,1647,1328400000
ok,55.64,55.47,54.95,55.29,1995,1328486400
ok,55.29,55.47,54.77,55.47,1172,1328572800
ok,55.47,56.86,55.82,56.51,745,1328659200
ok,56.51,57.56,57.04,57.38,944,1328745600
ok,57.38,57.73,56.34,57.38,1961,1329004800
ok,57.38,57.56,56.86,57.21,542,1329091200
ok,57.21,57.38,57.04,57.38,627,1329177600
ok,57.38,56.86,56.34,56.34,146,1329264000
ok,56.34,55.99,55.64,55.82,366,1329350400
ok,55.82,55.64,55.64,55.64,47,1329782400
ok,55.64,56.16,55.64,55.64,287,1329955200
ok,55.64,55.64,55.47,55.64,1046,1330214400
ok,55.64,57.04,55.64,55.99,605,1330387200
ok,55.99,56.16,55.64,55.82,1119,1330473600
ok,55.82,56.16,55.82,55.82,1529,1330560000
ok,55.82,55.99,55.82,55.99,939,1330819200
ok,55.99,56.51,56.51,56.51,40,1330905600
ok,56.51,55.99,55.64,55.64,360,1330992000
ok,55.64,55.47,54.77,54.77,1405,1331424000
ok,54.77,54.42,53.38,54.08,1729,1331510400
ok,54.08,54.6,53.9,54.42,2482,1331596800
ok,54.42,53.9,53.03,53.73,1340,1331683200
ok,53.73,53.38,51.99,52.68,1289,1332028800
ok,52.68,53.73,53.21,53.73,548,1332115200
ok,53.73,53.21,53.03,53.03,630,1332201600
ok,53.03,53.38,52.86,52.86,532,1332288000
ok,52.86,52.68,51.81,52.16,2866,1332633600
ok,52.16,52.16,51.64,52.16,748,1332720000
ok,52.16,52.16,51.81,51.81,795,1332806400
ok,51.81,52.33,52.33,52.33,73,1332979200
ok,52.33,52.86,52.16,52.68,771,1333238400
ok,52.68,53.21,52.86,53.21,678,1333324800
ok,53.21,53.73,53.03,53.03,417,1333411200
ok,53.03,53.38,52.86,53.38,209,1333497600
ok,53.38,53.38,52.86,53.21,510,1333584000
ok,53.21,53.73,53.38,53.38,924,1333929600
ok,53.38,54.42,53.03,53.9,1004,1334016000
ok,53.9,55.99,54.08,55.12,1156,1334102400
ok,55.12,57.21,55.64,56.34,4530,1334188800
ok,56.34,59.47,56.86,59.47,230,1334448000
ok,59.47,62.95,60.17,62.95,3085,1334534400
ok,62.95,65.74,61.21,61.21,5925,1334620800
ok,61.21,64.52,59.12,62.43,3687,1334707200
ok,62.43,64.52,60.86,63.3,3239,1334793600
ok,63.3,67.13,63.13,67.13,9337,1335052800
ok,67.13,68.0,68.0,68.0,174,1335225600
ok,68.0,68.87,68.87,68.87,15,1335312000
ok,68.87,73.4,66.96,73.4,25597,1335398400
ok,73.4,75.66,69.05,73.05,14147,1335657600
ok,73.05,72.35,70.61,70.79,4435,1335744000
ok,70.79,69.92,68.18,68.18,147,1335916800
ok,68.18,69.92,69.05,69.92,170,1336003200
ok,69.92,72.53,70.79,72.53,6585,1336348800
ok,72.53,77.4,73.4,77.4,16326,1336435200
ok,77.4,77.4,72.01,74.27,12468,1336521600
ok,74.27,73.4,69.92,72.35,4928,1336608000
ok,72.35,71.48,67.48,67.65,3537,1336867200
ok,67.65,66.78,63.3,64.0,3514,1336953600
ok,64.0,66.09,64.69,66.09,558,1337040000
ok,66.09,70.27,66.78,70.27,5270,1337212800
ok,70.27,73.05,67.65,70.61,6991,1337472000
ok,70.61,72.7,69.22,71.48,4919,1337558400
ok,71.48,71.14,69.74,69.74,1603,1337644800
ok,69.74,68.87,65.22,65.39,1896,1337731200
ok,65.39,69.22,64.69,68.87,3712,1337817600
ok,68.87,73.4,69.74,71.31,3385,1338076800
ok,71.31,70.44,66.61,66.61,97,1338249600
ok,66.61,65.91,62.43,62.43,184,1338336000
ok,62.43,63.48,58.95,62.78,8028,1338422400
ok,62.78,66.61,63.48,66.26,3352,1338681600
ok,66.26,66.44,64.0,64.0,2013,1338768000
ok,64.0,64.69,62.95,63.13,1202,1338854400
ok,63.13,62.43,60.86,61.39,1476,1338940800
ok,61.39,64.0,61.39,63.48,2250,1339027200
ok,63.48,62.78,61.04,61.21,675,1339286400
ok,61.21,62.61,61.56,61.74,1219,1339372800
ok,61.74,62.43,61.04,62.43,520,1339459200
ok,62.43,62.26,61.56,62.08,1541,1339545600
ok,62.08,62.43,61.39,62.26,1135,1339632000
ok,62.26,61.74,60.34,60.69,1803,1339891200
ok,60.69,62.08,60.34,62.08,1005,1339977600
ok,62.08,62.78,61.56,62.78,335,1340064000
ok,62.78,64.17,62.08,62.43,802,1340150400
ok,62.43,62.95,61.56,62.61,720,1340236800
ok,62.61,64.69,62.08,64.69,3830,1340582400
ok,64.69,64.0,64.0,64.0,11,1340668800
ok,64.0,64.17,62.78,64.17,1237,1340755200
ok,64.17,64.52,63.48,64.17,1171,1340841600
ok,64.17,64.35,62.08,62.08,1382,1341100800
ok,62.08,62.26,60.34,62.26,8469,1341187200
ok,62.26,62.08,61.56,62.08,1273,1341273600
ok,62.08,63.3,62.78,63.3,479,1341360000
ok,63.3,63.82,61.91,61.91,4563,1341446400
ok,61.91,64.0,62.61,62.61,1125,1341705600
ok,62.61,62.95,61.91,61.91,1167,1341792000
ok,61.91,63.48,62.61,63.13,2966,1341878400
ok,63.13,63.13,62.43,62.43,1252,1341964800
ok,62.43,63.13,62.43,62.43,575,1342051200
ok,62.43,66.26,63.13,65.56,1889,1342310400
ok,65.56,64.87,62.78,62.95,1070,1342396800
ok,62.95,63.48,62.43,62.78,1761,1342483200
ok,62.78,64.0,63.13,64.0,2928,1342569600
ok,64.0,65.56,63.13,63.48,6757,1342656000
ok,63.48,67.48,64.17,65.56,6412,1342915200
ok,65.56,68.52,66.26,66.96,7189,1343001600
ok,66.96,66.44,65.04,65.22,396,1343088000
ok,65.22,66.26,65.39,65.39,6446,1343174400
ok,65.39,65.22,64.69,65.22,1035,1343260800
ok,65.22,64.87,64.17,64.17,225,1343520000
ok,64.17,64.87,63.65,64.87,840,1343606400
ok,64.87,65.74,65.22,65.39,1799,1343692800
ok,65.39,66.44,65.22,66.09,3011,1343779200
ok,66.09,66.26,66.26,66.26,100,1344124800
ok,66.26,67.13,66.09,66.09,1260,1344211200
ok,66.09,66.78,65.39,66.78,3322,1344297600
ok,66.78,66.26,64.87,65.39,2344,1344384000
ok,65.39,65.22,63.65,63.65,936,1344729600
ok,63.65,65.74,64.17,65.22,5554,1344816000
ok,65.22,64.52,62.95,63.48,1836,1344902400
ok,63.48,63.48,62.08,63.48,1135,1344988800
ok,63.48,64.69,63.65,64.69,1985,1345075200
ok,64.69,64.17,63.82,63.82,400,1345334400
ok,63.82,63.48,63.3,63.3,844,1345507200
ok,63.3,63.82,62.61,63.48,2008,1345593600
ok,63.48,63.48,62.95,62.95,1317,1345680000
ok,62.95,63.48,62.26,62.78,1468,1345939200
ok,62.78,65.56,62.95,64.87,5152,1346025600
ok,64.87,64.87,64.17,64.87,4045,1346112000
ok,64.87,65.56,64.87,65.22,1411,1346198400
ok,65.22,65.22,64.52,65.04,1394,1346284800
ok,65.04,66.61,65.04,65.91,2454,1346544000
ok,65.91,66.96,65.91,66.44,2990,1346630400
ok,66.44,66.09,65.22,65.91,1722,1346716800
ok,65.91,65.22,65.22,65.22,224,1346803200
ok,65.22,65.56,64.87,65.56,899,1346889600
ok,65.56,65.56,64.87,65.04,548,1347148800
ok,65.04,64.87,64.52,64.87,890,1347235200
ok,64.87,65.39,64.87,64.87,411,1347321600
ok,64.87,64.87,64.17,64.87,2213,1347408000
ok,64.87,66.26,64.52,65.22,789,1347494400
ok,65.22,65.74,65.04,65.74,2508,1347753600
ok,65.74,66.26,65.74,65.91,1517,1347840000
ok,65.91,67.13,65.91,65.91,3860,1347926400
ok,65.91,65.74,65.22,65.74,798,1348012800
ok,65.74,65.22,64.35,65.22,1810,1348099200
ok,65.22,65.22,63.82,64.17,759,1348358400
ok,64.17,63.65,63.48,63.48,645,1348444800
ok,63.48,64.35,64.17,64.35,1757,1348531200
ok,64.35,64.69,64.35,64.69,1937,1348617600
ok,64.69,64.69,64.35,64.35,600,1348704000
ok,64.35,64.35,63.65,64.17,995,1348963200
ok,64.17,64.52,63.48,64.0,4663,1349049600
ok,64.0,64.52,64.17,64.52,3342,1349136000
ok,64.52,64.87,64.17,64.52,5770,1349222400
ok,64.52,64.35,63.82,64.17,1394,1349308800
ok,64.17,64.69,63.48,63.48,5071,1349568000
ok,63.48,64.87,64.17,64.35,1184,1349654400
ok,64.35,65.56,64.35,65.39,1488,1349740800
ok,65.39,65.04,64.69,64.69,686,1349827200
ok,64.69,64.35,64.17,64.35,885,1349913600
ok,64.35,64.52,64.0,64.35,1783,1350172800
ok,64.35,64.35,63.65,64.0,1604,1350259200
ok,64.0,65.04,64.0,65.04,2220,1350432000
ok,65.04,65.74,65.56,65.74,343,1350518400
ok,65.74,67.48,66.26,67.31,2870,1351555200
ok,67.31,69.05,66.78,66.96,2623,1351641600
ok,66.96,67.31,66.96,66.96,1899,1351728000
ok,66.96,67.83,66.96,67.65,2200,1351987200
ok,67.65,69.22,67.83,68.52,6450,1352073600
ok,68.52,69.57,67.83,69.57,4812,1352160000
ok,69.57,72.53,69.92,70.96,5445,1352246400
ok,70.96,72.7,70.09,71.31,6912,1352332800
ok,71.31,71.31,68.7,68.7,4820,1352592000
ok,68.7,70.79,67.48,70.27,6807,1352678400
ok,70.27,74.79,70.44,72.7,6896,1353196800
ok,72.7,74.79,72.53,73.92,8997,1353369600
ok,73.92,73.22,71.48,72.88,11514,1353456000
ok,72.88,72.53,70.79,72.18,3878,1353542400
ok,72.18,73.05,70.96,71.31,6951,1353801600
ok,71.31,71.31,69.57,70.96,26505,1353888000
ok,70.96,71.31,70.09,71.31,3154,1353974400
ok,71.31,70.79,69.92,70.44,1192,1354060800
ok,70.44,69.92,69.74,69.74,151,1354147200
ok,69.74,68.87,66.96,67.13,3820,1354406400
