s,o,h,l,c,v,t
ok,157.01,165.47,156.65,161.28,402504,1693180800
ok,163.06,163.06,159.41,160.04,67426,1693267200
ok,159.86,166.09,159.86,164.66,164989,1693353600
ok,167.78,167.78,162.17,164.66,109626,1693699200
ok,164.57,164.75,162.08,164.04,106927,1693785600
ok,162.88,166.71,161.1,166.71,109337,1693872000
ok,163.77,166.44,162.26,163.77,50946,1694044800
ok,162.17,166.36,162.17,165.2,77644,1694304000
ok,166.0,169.11,163.24,167.6,120957,1694390400
ok,167.33,173.39,165.29,173.39,86438,1694476800
ok,170.0,173.03,169.29,171.78,185280,1694563200
ok,175.17,175.17,164.66,167.33,119719,1694908800
ok,164.13,166.44,162.88,165.38,15843,1694995200
ok,165.55,169.11,163.86,167.16,48520,1695081600
ok,168.22,171.78,167.33,169.11,188333,1695254400
ok,172.41,173.39,167.51,171.78,114561,1695513600
ok,173.74,173.74,167.33,168.4,65925,1695600000
ok,169.11,170.63,166.0,167.78,89724,1695686400
ok,170.0,170.89,165.55,169.03,81053,1695772800
ok,169.11,169.11,163.33,165.38,62912,1696118400
ok,164.66,168.22,163.42,166.53,63673,1696204800
ok,163.77,166.44,163.77,165.64,30862,1696291200
ok,164.66,167.25,164.66,166.36,41074,1696377600
ok,165.64,166.8,164.49,164.66,76657,1696464000
ok,163.77,165.55,161.19,161.19,76174,1696723200
ok,160.39,167.6,160.39,161.99,43796,1696809600
ok,160.3,161.99,160.21,160.21,46954,1696896000
ok,161.1,162.71,160.57,161.99,42517,1696982400
ok,161.1,163.33,160.66,161.73,73275,1697068800
ok,160.3,161.1,159.32,160.04,34974,1697414400
ok,160.21,161.99,159.32,161.1,21047,1697500800
ok,161.99,167.33,160.75,164.22,15818,1697587200
ok,165.55,166.44,161.01,162.88,13356,1697673600
ok,161.99,161.99,159.5,161.99,24680,1698537600
ok,159.32,162.79,159.32,161.46,16440,1698624000
ok,159.5,163.77,159.5,160.57,10749,1698710400
ok,161.1,161.9,160.21,161.1,31606,1698796800
ok,161.1,161.1,159.95,160.04,24610,1698883200
ok,158.43,159.32,156.83,157.1,89123,1699142400
ok,157.1,158.43,155.76,156.65,53508,1699228800
ok,155.85,157.1,154.87,154.87,17380,1699315200
ok,154.07,154.87,153.98,153.98,18290,1699401600
ok,153.18,158.88,153.18,156.56,16602,1699488000
ok,158.34,160.3,155.85,156.21,19678,1700438400
ok,156.21,158.43,153.72,155.76,26409,1700524800
ok,153.18,157.01,153.18,156.21,25255,1700611200
ok,154.16,157.99,154.16,156.21,13447,1700697600
ok,153.54,165.55,153.54,164.66,56254,1700956800
ok,162.88,164.66,158.88,162.17,18386,1701043200
ok,158.97,164.66,155.85,163.68,30258,1701129600
ok,163.68,163.77,160.21,161.9,15928,1701216000
ok,161.1,162.44,158.08,158.08,24594,1701302400
ok,156.12,159.32,156.03,159.32,27169,1701561600
ok,158.43,159.32,156.92,157.54,15845,1701648000
ok,155.76,158.43,155.76,158.43,9493,1701734400
ok,156.65,158.88,156.65,157.1,5697,1701820800
ok,157.19,161.1,156.12,157.63,17178,1701907200
ok,157.54,164.66,157.54,164.66,565,1702166400
ok,165.11,165.55,158.43,163.77,117629,1702252800
ok,163.06,170.54,162.97,170.45,148120,1702339200
ok,172.59,176.23,170.0,173.3,415154,1702425600
ok,173.56,175.34,170.0,171.78,83971,1702512000
ok,168.4,171.78,165.55,170.72,96886,1702771200
ok,174.1,178.02,171.87,177.84,476836,1702857600
ok,180.69,183.36,175.52,181.58,250778,1702944000
ok,182.64,184.42,181.58,182.47,129858,1703030400
ok,185.14,185.14,177.21,178.02,170428,1703116800
ok,177.13,178.1,174.9,174.99,76205,1703376000
ok,173.56,176.95,172.67,173.3,68271,1703635200
ok,173.56,174.37,170.72,171.96,78764,1703721600
ok,170.89,173.65,170.89,171.61,120570,1704067200
ok,169.56,171.78,168.76,169.56,93584,1704153600
ok,169.56,173.12,169.56,172.94,93441,1704240000
ok,169.52,172.38,167.81,168.57,70541,1704326400
ok,167.62,168.57,161.9,161.9,84360,1704585600
ok,163.81,165.14,160.86,161.9,64503,1704672000
ok,163.81,165.33,161.9,165.33,61217,1704758400
ok,162.1,170.95,162.1,165.71,31998,1704844800
ok,165.43,168.95,164.38,165.24,22177,1704931200
ok,166.67,167.33,164.38,165.81,24133,1705190400
ok,166.67,171.81,165.71,168.67,63063,1705363200
ok,169.52,172.48,167.24,167.62,102563,1705449600
ok,166.29,168.1,162.95,165.24,77290,1705536000
ok,162.1,164.19,161.14,162.38,68558,1705795200
ok,161.9,163.81,161.24,161.9,28571,1705881600
ok,161.9,163.71,161.9,162.29,38558,1705968000
ok,163.81,163.81,161.14,161.71,27241,1706054400
ok,163.33,166.57,160.67,160.67,63299,1706140800
ok,162.86,166.1,160.76,160.76,25082,1706400000
ok,160.0,162.86,160.0,161.81,20162,1706486400
ok,161.9,161.9,160.48,160.95,76418,1706572800
ok,164.1,165.14,159.24,160.0,49143,1706659200
ok,159.05,161.81,159.05,159.52,45369,1706745600
ok,158.1,160.95,158.1,158.95,44650,1707004800
ok,160.0,160.0,157.62,159.05,46188,1707091200
ok,160.0,160.0,158.1,158.19,25585,1707177600
ok,161.33,161.33,157.71,157.9,43163,1707264000
ok,157.62,159.9,157.14,159.52,83554,1707350400
ok,160.95,161.9,159.05,159.05,46023,1707609600
ok,155.9,162.1,155.9,158.57,19583,1707696000
ok,158.57,159.05,156.86,157.05,26983,1707782400
ok,157.05,159.05,156.19,156.19,29859,1707868800
ok,156.19,157.05,154.1,156.0,34027,1707955200
ok,155.24,156.19,152.38,153.33,79692,1708214400
ok,155.62,155.62,150.95,152.19,30815,1708387200
ok,152.38,155.14,152.29,153.05,19150,1708473600
ok,150.48,155.24,150.48,151.43,48780,1708560000
ok,152.38,153.24,150.0,150.48,16123,1708819200
ok,151.33,152.38,149.62,151.43,17843,1708905600
ok,151.43,153.24,150.1,152.38,63348,1708992000
ok,149.71,152.67,149.71,151.43,7700,1709078400
ok,153.24,153.33,150.48,150.57,57766,1709164800
ok,149.52,152.38,149.52,151.43,47890,1709424000
ok,153.62,160.95,153.62,160.95,7662,1709510400
ok,158.19,160.0,152.48,155.14,51273,1709596800
ok,158.19,158.19,152.38,154.19,54162,1709683200
ok,152.38,157.14,152.38,155.24,110503,1709769600
ok,157.14,157.14,154.38,154.38,38069,1710028800
ok,154.38,157.71,154.38,157.71,45451,1710201600
ok,160.76,161.24,157.14,158.29,45742,1710288000
ok,161.43,161.43,155.24,158.67,92378,1710374400
ok,155.52,160.0,155.52,157.14,64208,1710633600
ok,156.19,159.05,154.38,158.0,31417,1710720000
ok,159.05,159.05,155.05,155.05,18437,1710806400
ok,155.24,157.14,153.43,154.29,28382,1710892800
ok,152.48,154.29,152.48,153.81,34621,1710979200
ok,152.38,153.33,151.24,151.24,25144,1711324800
ok,151.43,152.38,150.0,152.38,25939,1711411200
ok,152.38,154.29,150.48,150.48,27390,1711497600
ok,150.48,160.57,149.52,152.38,34077,1711584000
ok,153.33,153.33,150.29,152.38,37329,1711843200
ok,149.71,150.48,149.43,149.52,44858,1711929600
