s,o,h,l,c,v,t
ok,48.51,50.52,48.91,50.52,50,1348099200
ok,50.52,52.73,50.92,52.73,424,1348358400
ok,52.73,55.14,53.13,55.14,680,1348444800
ok,55.14,57.96,54.54,55.34,23525,1348531200
ok,55.34,55.34,53.74,54.14,7492,1348617600
ok,54.14,54.74,53.94,54.74,4606,1348704000
ok,54.74,54.74,53.94,54.74,6767,1348963200
ok,54.74,55.14,54.54,55.14,6043,1349049600
ok,55.14,55.14,54.74,55.14,2251,1349136000
ok,55.14,55.95,54.94,55.75,8229,1349222400
ok,55.75,55.95,55.34,55.95,6753,1349308800
ok,55.95,57.15,55.75,56.35,7385,1349568000
ok,56.35,58.96,56.15,58.36,16611,1349654400
ok,58.36,58.16,57.76,57.96,3600,1349740800
ok,57.96,58.36,56.95,57.15,9473,1349827200
ok,57.15,58.16,57.15,57.96,13811,1349913600
ok,57.96,60.37,57.36,60.37,11944,1350172800
ok,60.37,61.18,59.37,60.77,10712,1350259200
ok,60.77,63.79,60.37,63.59,9818,1350432000
ok,63.59,65.6,63.59,65.6,13045,1350518400
ok,65.6,68.01,64.39,67.41,9489,1351555200
ok,67.41,68.82,66.2,67.61,8134,1351641600
ok,67.61,67.61,65.8,66.2,6371,1351728000
ok,66.2,66.6,65.2,66.2,12667,1351987200
ok,66.2,68.62,65.6,66.2,9272,1352073600
ok,66.2,66.2,65.4,65.6,1627,1352160000
ok,65.6,66.6,65.2,65.8,10139,1352246400
ok,65.8,68.21,64.8,66.4,16030,1352332800
ok,66.4,66.81,64.39,65.0,6706,1352592000
ok,65.0,67.01,64.19,67.01,14935,1352678400
ok,67.01,67.61,65.2,66.2,15326,1353196800
ok,66.2,68.21,65.8,66.2,14402,1353369600
ok,66.2,67.41,65.2,66.0,10222,1353456000
ok,66.0,66.0,65.2,65.8,3370,1353542400
ok,65.8,67.61,65.4,66.6,12425,1353801600
ok,66.6,67.01,64.39,66.2,59238,1353888000
ok,66.2,66.6,65.2,66.2,6415,1353974400
ok,66.2,66.6,65.2,66.0,7881,1354060800
ok,66.0,66.6,64.39,65.2,4349,1354147200
ok,65.2,65.8,64.8,65.2,2423,1354406400
ok,65.2,66.4,64.8,64.8,521,1354492800
ok,64.8,66.0,64.39,65.4,14709,1354579200
ok,65.4,67.21,65.4,67.01,16471,1354665600
ok,67.01,66.6,65.2,65.6,12374,1354752000
ok,65.6,65.6,65.0,65.2,4503,1355011200
ok,65.2,65.8,64.19,65.6,2402,1355097600
ok,65.6,65.8,65.2,65.4,2159,1355184000
ok,65.4,66.6,66.0,66.0,3927,1355356800
ok,66.0,67.81,66.0,67.01,7142,1355616000
ok,67.01,68.41,66.6,67.41,44520,1355702400
ok,67.41,66.81,65.8,66.81,5219,1355788800
ok,66.81,67.21,66.4,67.21,14291,1355875200
ok,67.21,71.23,66.4,71.23,74290,1355961600
ok,71.23,75.65,72.03,75.65,38587,1356220800
ok,75.65,80.08,76.46,78.07,51895,1356307200
ok,78.07,79.27,74.45,76.46,28397,1356480000
ok,76.46,76.46,75.05,75.25,18373,1356566400
ok,75.25,75.05,72.03,73.84,16759,1356912000
ok,73.84,74.25,72.23,73.24,12473,1356998400
ok,73.24,74.04,71.23,72.84,11972,1357084800
ok,72.84,74.45,73.24,73.44,7399,1357171200
ok,73.44,75.05,72.03,75.05,20490,1357430400
ok,75.05,74.25,71.63,72.44,11976,1357516800
ok,72.44,72.23,71.23,71.23,10191,1357603200
