s,o,h,l,c,v,t
ok,83.27,83.84,81.17,83.84,799,1325376000
ok,83.84,87.08,84.12,85.84,1002,1325462400
ok,85.84,87.37,85.08,85.08,2653,1325548800
ok,85.08,83.46,80.31,82.5,490,1325635200
ok,82.5,83.46,81.84,81.84,121,1325721600
ok,81.84,80.6,77.64,79.17,4835,1325980800
ok,79.17,80.69,79.17,80.69,195,1326067200
ok,80.69,82.22,80.6,80.6,658,1326153600
ok,80.6,83.36,80.6,83.36,969,1326240000
ok,83.36,86.22,82.03,86.22,773,1326326400
ok,86.22,84.51,82.69,83.84,235,1326672000
ok,83.84,82.5,78.21,82.12,2244,1326758400
ok,82.12,84.12,79.17,84.12,1617,1326844800
ok,84.12,82.98,79.74,79.74,1273,1327190400
ok,79.74,80.4,78.78,79.64,1255,1327276800
ok,79.64,80.12,78.69,80.12,442,1327449600
ok,80.12,79.17,78.78,79.17,408,1327536000
ok,79.17,79.17,78.5,79.17,496,1327795200
ok,79.17,80.6,80.31,80.31,143,1327968000
ok,80.31,80.12,79.36,79.36,250,1328054400
ok,79.36,81.07,79.45,81.07,382,1328140800
ok,81.07,80.12,78.59,79.07,1035,1328400000
ok,79.07,79.07,78.59,78.59,545,1328486400
ok,78.59,79.45,78.21,79.17,816,1328572800
ok,79.17,80.21,79.17,80.21,187,1328659200
ok,80.21,80.12,79.17,80.12,437,1328745600
ok,80.12,80.4,78.97,80.4,1780,1329004800
ok,80.4,83.55,79.36,83.55,885,1329091200
ok,83.55,82.98,82.03,82.03,447,1329177600
ok,82.03,82.03,80.4,80.4,182,1329264000
ok,80.4,81.07,79.45,81.07,1286,1329350400
ok,81.07,81.07,79.74,81.07,170,1329782400
ok,81.07,81.07,80.6,81.07,79,1329955200
ok,81.07,81.64,79.45,80.5,1025,1330214400
ok,80.5,80.79,79.26,80.79,1055,1330300800
ok,80.79,82.69,80.6,82.69,825,1330387200
ok,82.69,82.88,82.03,82.12,602,1330473600
ok,82.12,84.6,82.5,84.6,497,1330560000
ok,84.6,83.55,82.98,83.36,590,1330819200
ok,83.36,84.6,82.6,84.22,571,1330905600
ok,84.22,84.41,83.46,84.12,301,1330992000
ok,84.12,84.41,82.79,84.41,361,1331424000
ok,84.41,84.12,83.93,83.93,256,1331510400
ok,83.93,83.93,82.31,83.93,501,1331596800
ok,83.93,83.46,82.03,82.03,389,1331683200
ok,82.03,81.26,79.74,81.26,446,1331769600
ok,81.26,82.88,81.07,82.69,168,1332028800
ok,82.69,84.12,81.36,84.12,281,1332115200
ok,84.12,83.36,80.79,83.36,307,1332201600
ok,83.36,83.74,81.07,83.74,900,1332288000
ok,83.74,83.74,80.6,83.74,521,1332633600
ok,83.74,82.12,82.12,82.12,50,1332720000
ok,82.12,83.27,81.07,82.69,342,1332806400
ok,82.69,82.69,81.07,82.69,317,1332892800
ok,82.69,82.69,81.07,82.69,64,1332979200
ok,82.69,81.26,79.64,81.26,981,1333238400
ok,81.26,83.93,81.26,83.93,270,1333324800
ok,83.93,84.98,82.69,83.46,145,1333411200
ok,83.46,86.03,83.74,86.03,106,1333497600
ok,86.03,85.36,83.84,85.36,318,1333843200
ok,85.36,85.94,84.32,85.94,906,1333929600
ok,85.94,85.08,84.89,84.89,249,1334016000
ok,84.89,88.23,84.41,86.8,1173,1334102400
ok,86.8,94.24,87.75,94.24,1316,1334188800
ok,94.24,102.53,96.05,102.53,1840,1334448000
ok,102.53,112.74,94.81,95.38,2664,1334620800
ok,95.38,103.11,90.71,103.11,1741,1334707200
ok,103.11,109.11,102.82,107.78,3104,1334793600
ok,107.78,114.46,107.78,114.46,3423,1335052800
ok,114.46,125.9,116.74,125.9,880,1335225600
ok,125.9,138.49,128.38,138.3,3631,1335312000
ok,138.3,147.84,133.53,147.84,6246,1335398400
ok,147.84,146.69,139.35,143.07,4632,1335657600
ok,143.07,140.21,131.62,133.53,2746,1335744000
ok,133.53,130.86,120.18,120.18,956,1335916800
ok,120.18,132.2,122.56,132.2,522,1336003200
ok,132.2,145.36,134.77,145.36,1302,1336348800
ok,145.36,151.18,140.21,145.36,4092,1336435200
ok,145.36,148.22,134.96,139.16,6781,1336521600
ok,139.16,138.59,132.29,135.44,3591,1336608000
ok,135.44,132.77,123.04,124.18,1788,1336867200
