s,o,h,l,c,v,t
ok,96.22,81.93,74.79,74.79,22060,1355702400
ok,82.91,82.91,82.91,82.91,10,1355788800
ok,82.91,84.76,83.93,84.76,40,1355875200
ok,84.76,86.81,85.89,86.81,31,1355961600
ok,86.81,89.07,88.05,89.07,40,1356220800
ok,89.07,92.93,89.59,92.93,1292,1356307200
ok,92.93,94.78,92.36,94.78,91,1356480000
ok,94.78,98.07,96.42,98.07,1260,1356566400
ok,98.07,101.66,99.86,101.66,6361,1356912000
ok,101.66,105.62,103.62,105.62,40,1356998400
ok,105.62,109.99,107.78,109.99,8498,1357084800
ok,109.99,114.82,110.91,114.82,1573,1357171200
ok,114.82,120.11,117.44,120.11,4983,1357430400
ok,120.11,125.92,122.99,125.92,11538,1357516800
ok,125.92,129.52,125.92,128.18,8462,1357603200
ok,128.18,126.9,121.55,121.55,5575,1357689600
ok,121.55,120.37,115.59,115.59,2609,1357776000
ok,115.59,114.51,112.51,113.02,8816,1358035200
ok,113.02,112.97,110.35,110.45,4209,1358208000
ok,110.45,109.94,108.86,109.47,1956,1358294400
ok,109.47,109.53,108.65,109.22,3713,1358380800
ok,109.22,109.68,107.06,108.04,1931,1358640000
ok,108.04,109.68,107.62,108.76,1308,1358726400
ok,108.76,111.43,108.09,110.45,607,1358812800
ok,110.45,111.74,109.68,111.48,1882,1358899200
ok,111.48,112.46,109.17,110.45,1717,1358985600
ok,110.45,111.22,108.91,109.42,1613,1359244800
ok,109.42,109.53,108.65,109.12,2067,1359331200
ok,109.12,109.73,108.96,109.42,855,1359504000
ok,109.42,109.94,109.17,109.42,1442,1359590400
ok,109.42,109.94,108.86,108.86,2609,1359849600
ok,108.86,109.42,107.98,108.91,1557,1359936000
ok,108.91,109.42,108.4,108.96,1868,1360022400
ok,108.96,108.76,108.14,108.24,1037,1360108800
ok,108.24,108.91,107.47,108.91,1392,1360195200
ok,108.91,108.14,107.88,107.88,618,1360454400
ok,107.88,108.5,106.85,106.85,4393,1360627200
ok,106.85,108.14,104.8,107.73,21258,1360713600
ok,107.73,106.85,103.15,103.15,13260,1360800000
ok,103.15,104.03,102.59,102.74,3313,1361232000
ok,102.74,103.56,101.92,102.28,3091,1361318400
ok,102.28,103.0,101.71,101.71,2252,1361404800
ok,101.71,101.66,99.45,100.79,3195,1361664000
ok,100.79,101.2,98.48,98.89,2420,1361750400
ok,98.89,98.32,97.35,97.6,1765,1361836800
ok,97.6,97.6,96.83,96.94,1607,1361923200
ok,96.94,97.71,96.83,96.88,1121,1362009600
ok,96.88,98.32,96.58,96.58,1388,1362268800
ok,96.58,96.73,95.91,96.73,1069,1362355200
ok,96.73,97.4,96.06,96.06,1618,1362441600
ok,96.06,96.73,95.39,95.55,3071,1362528000
ok,95.55,96.22,94.11,94.11,4218,1362614400
ok,94.11,95.14,94.01,94.78,3483,1362960000
ok,94.78,95.55,95.03,95.55,523,1363132800
ok,95.55,96.58,95.19,96.58,2852,1363219200
ok,96.58,96.99,96.22,96.58,1952,1363478400
ok,96.58,96.58,96.06,96.58,819,1363564800
ok,96.58,97.3,96.58,96.88,474,1363651200
ok,96.88,96.22,96.22,96.22,781,1363737600
ok,96.22,97.24,95.86,95.86,924,1363824000
ok,95.86,96.06,94.52,95.14,1488,1364083200
ok,95.14,95.81,94.88,95.81,520,1364169600
ok,95.81,96.32,95.34,95.81,596,1364342400
ok,95.81,96.32,95.14,95.14,1635,1364428800
ok,95.14,95.5,94.93,95.03,597,1364688000
ok,95.03,94.78,94.37,94.52,2200,1364774400
ok,94.52,94.78,94.26,94.57,1725,1364860800
ok,94.57,95.14,94.31,94.52,2128,1364947200
ok,94.52,94.57,94.06,94.42,926,1365033600
ok,94.42,94.78,94.31,94.47,1254,1365292800
ok,94.47,95.03,94.42,94.57,963,1365379200
ok,94.57,97.76,94.52,96.83,5896,1365465600
ok,96.83,99.86,96.83,98.99,6685,1365638400
ok,98.99,100.69,98.63,100.58,3605,1365984000
ok,100.58,100.33,99.61,100.33,2554,1366070400
ok,100.33,100.22,99.56,99.56,738,1366156800
ok,99.56,99.3,97.66,98.12,1677,1366243200
ok,98.12,98.12,97.45,97.86,741,1366502400
ok,97.86,97.76,97.04,97.71,560,1366588800
ok,97.71,98.37,96.88,97.6,7895,1366675200
ok,97.6,97.91,96.88,97.86,2462,1366848000
ok,97.86,98.58,97.35,97.55,1420,1367107200
ok,97.55,98.01,96.47,97.35,2872,1367193600
ok,97.35,97.35,93.8,93.8,13940,1367280000
ok,93.8,93.24,90.61,90.61,8316,1367452800
ok,90.61,90.15,87.74,87.74,11463,1367712000
ok,87.74,88.4,85.17,88.4,293777,1367798400
ok,88.4,90.31,87.12,88.87,29919,1367884800
ok,88.87,89.54,86.81,88.97,140540,1367971200
ok,91.05,91.05,91.05,91.05,135,1368057600
ok,91.05,98.61,94.83,98.61,40,1369180800
ok,98.61,106.7,100.22,106.7,60,1369267200
ok,106.7,115.87,108.32,115.87,120,1369526400
ok,115.87,122.89,112.64,112.64,3065,1369612800
ok,112.64,111.02,104.54,104.54,3812,1369699200
ok,104.54,108.32,104.54,108.32,1153,1369872000
ok,108.32,107.78,106.16,107.78,1170,1370131200
ok,107.78,106.7,105.62,106.16,2302,1370217600
ok,106.16,104.54,104.54,104.54,20,1370304000
ok,104.54,106.16,103.46,103.46,937,1370390400
ok,103.46,103.46,101.84,102.38,1250,1370476800
ok,102.38,102.38,101.3,101.3,425,1370736000
ok,101.3,103.46,100.76,103.46,3093,1370822400
ok,103.46,101.84,101.84,101.84,240,1370908800
ok,101.84,101.84,99.69,100.22,3937,1370995200
ok,100.22,100.22,100.22,100.22,602,1371081600
ok,100.22,100.22,98.61,100.22,252,1371340800
ok,100.22,100.76,99.69,100.76,696,1371513600
ok,100.76,101.84,100.22,100.22,271,1371600000
ok,100.22,100.22,98.61,100.22,200,1371686400
ok,100.22,98.61,96.99,96.99,200,1371945600
ok,96.99,96.45,93.75,93.75,1088,1372032000
ok,93.75,94.83,91.59,93.21,4291,1372118400
ok,93.21,96.99,93.75,95.37,2618,1372204800
ok,95.37,99.15,95.37,97.53,1660,1372291200
ok,97.53,99.69,97.53,99.69,1507,1372550400
ok,99.69,99.15,98.07,98.07,3204,1372636800
ok,98.07,98.07,94.83,96.45,2012,1372723200
ok,96.45,98.61,96.99,98.61,1080,1372809600
ok,98.61,100.22,98.07,98.61,641,1372896000
ok,98.61,97.53,97.53,97.53,15,1373155200
ok,97.53,96.45,94.29,95.91,425,1373241600
ok,95.91,98.61,97.53,97.53,940,1373328000
ok,97.53,99.15,99.15,99.15,1169,1373414400
ok,99.15,100.76,99.15,99.15,741,1373500800
ok,99.15,105.62,98.61,105.62,239,1373760000
ok,105.62,105.08,104.0,105.08,110,1373846400
ok,105.08,103.46,101.84,101.84,95,1374105600
ok,101.84,100.22,96.45,96.45,1141,1374364800
ok,96.45,95.37,93.75,93.75,2360,1374451200
ok,93.75,95.91,92.13,95.91,1246,1374537600
ok,95.91,96.45,94.83,96.45,1423,1374624000
ok,96.45,99.69,98.07,98.07,2518,1374710400
ok,98.07,100.76,98.07,99.15,1824,1374969600
ok,99.15,100.76,100.22,100.76,1196,1375056000
ok,100.76,104.0,101.84,104.0,690,1375142400
ok,104.0,105.08,102.92,105.08,1821,1375228800
ok,105.08,109.94,106.7,107.24,4726,1375315200
ok,107.24,111.02,108.86,111.02,653,1375574400
ok,111.02,109.4,107.78,107.78,143,1375660800
ok,107.78,107.24,105.62,105.62,391,1375747200
ok,105.62,107.24,104.54,105.08,1481,1375833600
ok,105.08,105.08,103.46,103.46,2231,1375920000
ok,103.46,101.84,96.99,96.99,1563,1376179200
ok,96.99,100.22,96.45,100.22,1832,1376265600
ok,100.22,103.46,98.61,98.61,3641,1376352000
ok,98.61,99.15,97.53,99.15,1093,1376438400
ok,99.15,99.15,97.53,97.53,614,1376524800
ok,97.53,100.76,98.07,98.61,3189,1376784000
ok,98.61,100.76,98.07,100.76,713,1376870400
ok,100.76,102.38,99.69,102.38,1102,1376956800
ok,102.38,100.76,99.15,99.69,556,1377388800
ok,99.69,102.92,98.61,102.92,1924,1377475200
ok,102.92,102.92,101.84,102.92,767,1377561600
ok,102.92,105.08,101.84,104.54,859,1377734400
ok,104.54,104.0,102.92,104.0,156,1377993600
ok,104.0,105.08,102.92,104.0,1333,1378080000
ok,104.0,105.08,101.84,101.84,1851,1378166400
ok,101.84,104.0,101.3,104.0,3643,1378252800
ok,104.0,104.0,102.38,104.0,1176,1378339200
ok,104.0,105.62,104.0,104.0,1231,1378598400
ok,104.0,105.62,102.38,104.0,2047,1378684800
ok,104.0,107.24,102.38,102.38,660,1378771200
ok,102.38,103.46,100.76,100.76,1849,1378857600
ok,100.76,100.22,99.15,99.15,600,1378944000
ok,99.15,102.38,100.76,102.38,282,1379203200
ok,102.38,100.76,97.53,97.53,329,1379289600
ok,97.53,99.69,95.91,99.69,507,1379376000
ok,99.69,100.22,97.53,99.15,1948,1379548800
ok,99.15,99.15,97.53,98.07,560,1379808000
ok,98.07,96.45,96.45,96.45,471,1379894400
ok,96.45,97.53,94.83,97.53,1180,1379980800
ok,97.53,102.38,96.99,99.69,6778,1380067200
ok,99.69,106.16,100.22,101.3,10220,1380153600
ok,101.3,101.84,100.76,100.76,3030,1380412800
ok,100.76,102.92,101.3,101.3,1537,1380499200
ok,101.3,102.38,97.53,97.53,8349,1380585600
ok,97.53,97.53,93.75,95.91,52517,1380672000
ok,95.91,95.91,93.21,95.91,8108,1380758400
ok,95.91,98.07,95.37,97.53,12146,1381017600
ok,97.53,100.22,96.99,97.53,18733,1381104000
ok,97.53,98.61,96.45,96.45,15100,1381190400
ok,96.45,96.45,94.83,96.45,17525,1381276800
ok,96.45,101.3,97.53,101.3,13270,1381363200
ok,101.3,104.54,101.3,104.54,3590,1381968000
ok,104.54,105.08,101.84,104.0,11234,1382227200
ok,104.0,105.62,101.84,103.46,17977,1382313600
ok,103.46,103.46,99.15,101.84,21064,1382400000
ok,101.84,102.92,99.15,102.92,25741,1382486400
ok,102.92,104.54,101.84,104.54,20198,1382572800
ok,104.54,103.46,97.53,102.92,34123,1382832000
ok,102.92,103.46,100.22,101.84,28422,1382918400
ok,101.84,103.46,99.15,102.38,68595,1383004800
ok,102.38,104.54,99.15,104.54,57590,1383091200
ok,104.54,107.78,103.46,107.78,67419,1383177600
ok,107.78,116.95,106.7,116.95,97079,1383696000
ok,116.95,120.19,110.48,111.02,59077,1383782400
ok,111.02,117.49,111.56,117.49,84685,1384041600
ok,117.49,121.81,114.79,121.81,42226,1384128000
ok,121.81,125.59,120.73,121.81,158799,1384214400
ok,121.81,126.66,122.89,125.05,88652,1384300800
ok,125.05,128.82,121.81,128.28,200113,1384387200
ok,128.28,132.6,130.44,132.6,1267,1384992000
ok,132.6,144.47,134.76,144.47,201821,1385251200
ok,144.47,153.11,139.62,151.49,158053,1385337600
ok,151.49,155.8,151.49,155.26,74797,1385424000
ok,155.26,155.8,145.01,150.41,103005,1385510400
ok,150.41,150.95,146.09,147.71,41023,1385596800
ok,147.71,154.72,145.01,150.41,141597,1385856000
ok,150.41,161.74,150.41,157.96,55978,1385942400
ok,157.96,166.06,153.11,166.06,100207,1386028800
ok,166.06,181.16,168.75,179.55,80393,1386115200
ok,179.55,186.56,172.53,176.85,94891,1386201600
ok,176.85,180.08,169.83,175.23,54416,1386460800
ok,175.23,177.39,169.83,171.99,33558,1386547200
ok,171.99,171.99,166.59,166.59,42794,1386633600
ok,166.59,174.69,166.06,172.53,91865,1386720000
ok,172.53,174.15,169.29,169.29,32856,1386806400
ok,169.29,177.93,164.98,175.77,66006,1387065600
ok,175.77,191.96,175.77,191.96,112400,1387152000
ok,191.96,209.76,192.5,204.37,138028,1387324800
ok,204.37,209.76,190.88,204.37,129292,1387411200
ok,204.37,214.62,197.89,213.0,365857,1387670400
ok,213.0,213.54,202.21,203.83,89786,1387756800
ok,203.83,212.46,196.81,209.76,93261,1387843200
ok,209.76,218.4,208.68,208.68,100275,1388016000
ok,208.68,212.46,205.99,211.92,66836,1388275200
ok,211.92,211.38,197.89,201.67,48004,1388448000
ok,201.67,199.51,191.42,195.73,73937,1388534400
ok,195.73,205.99,190.88,199.51,71164,1388620800
ok,199.51,202.21,196.81,198.97,27891,1388880000
ok,198.97,200.05,195.73,197.89,23792,1388966400
ok,197.89,199.51,195.19,196.27,50631,1389052800
ok,196.27,202.75,194.11,195.19,69007,1389139200
ok,195.19,199.51,195.19,198.97,32275,1389225600
ok,198.97,207.06,197.35,203.29,42889,1389484800
ok,203.29,205.99,197.89,201.13,33760,1389571200
ok,201.13,205.45,200.05,204.91,55657,1389657600
ok,204.91,209.76,203.83,206.53,54326,1389830400
ok,206.53,220.02,207.06,217.86,1214703,1390089600
ok,217.86,217.86,209.22,211.92,44974,1390176000
ok,211.92,212.46,204.37,204.37,14971,1390262400
ok,204.37,204.37,197.89,200.59,40290,1390348800
ok,200.59,201.13,193.04,196.81,43757,1390435200
ok,196.81,201.13,193.57,198.43,27550,1390694400
ok,198.43,201.67,193.04,193.04,15326,1390780800
ok,193.04,197.89,194.11,196.81,20292,1390867200
ok,196.81,200.05,195.73,199.51,16649,1390953600
ok,199.51,199.51,193.57,195.73,17766,1391299200
ok,195.73,194.65,191.42,193.57,14102,1391385600
ok,193.57,195.73,191.42,193.57,13758,1391472000
ok,193.57,196.81,191.42,196.81,15312,1391558400
ok,196.81,196.27,189.8,190.88,11797,1391644800
ok,190.88,194.11,189.26,189.8,16120,1391904000
ok,189.8,205.99,193.04,196.27,49169,1391990400
ok,196.27,196.27,190.88,190.88,18171,1392076800
ok,190.88,192.5,188.72,190.34,22134,1392163200
ok,190.34,194.11,188.18,193.57,19002,1392249600
ok,193.57,197.35,190.88,191.96,24494,1392508800
ok,191.96,195.73,193.04,195.19,11435,1392595200
ok,195.19,197.35,193.57,196.81,11249,1392681600
ok,196.81,201.67,191.96,193.57,16161,1392854400
ok,193.57,198.97,194.11,196.27,21789,1393113600
ok,196.27,199.51,194.11,196.81,8387,1393200000
ok,196.81,198.97,193.04,196.27,8031,1393286400
ok,196.27,197.35,190.88,195.19,21571,1393372800
ok,195.19,195.19,187.1,189.8,11463,1393804800
ok,189.8,186.56,180.62,185.48,8938,1393891200
ok,185.48,191.96,185.48,190.34,170538,1393977600
ok,190.34,191.42,185.48,188.18,195555,1394064000
ok,188.18,192.5,187.64,190.88,192560,1394323200
ok,190.88,195.19,185.48,190.88,141319,1394409600
ok,190.88,191.96,188.18,188.72,33954,1394496000
ok,188.72,190.88,186.02,188.18,27192,1394582400
ok,188.18,191.96,184.94,188.18,16018,1394668800
