s,o,h,l,c,v,t
ok,232.2,232.2,213.2,216.0,276758,1677110400
ok,212.0,212.0,204.0,207.5,129624,1677369600
ok,207.0,210.6,203.1,206.0,88701,1677456000
ok,206.0,207.0,203.2,203.7,62491,1677542400
ok,205.0,205.9,203.7,204.0,41099,1677628800
ok,207.8,207.8,200.0,200.5,57048,1677715200
ok,202.0,202.0,197.1,197.5,78195,1677974400
ok,196.1,199.8,196.1,197.0,40001,1678147200
ok,199.5,202.9,199.2,201.2,67668,1678320000
ok,204.0,204.0,196.0,198.2,58923,1678579200
ok,196.1,198.5,195.1,197.0,45952,1678665600
ok,200.9,200.9,195.0,195.0,57432,1678752000
ok,197.0,197.0,192.6,193.2,58388,1678838400
ok,192.0,193.0,190.6,192.0,55926,1678924800
ok,192.1,193.0,189.7,190.9,72137,1679184000
ok,192.0,194.0,190.2,191.4,41833,1679270400
ok,194.5,194.5,190.0,191.5,51533,1679443200
ok,191.0,193.8,188.5,192.0,55968,1679529600
ok,193.0,193.0,186.2,187.9,85585,1679788800
ok,189.0,190.7,184.3,188.3,62229,1679875200
ok,191.0,193.0,187.2,191.0,39108,1679961600
ok,190.0,191.9,186.0,191.4,74551,1680048000
ok,189.0,191.0,187.3,187.5,74624,1680134400
ok,187.5,191.2,183.0,184.9,74001,1680393600
ok,184.0,186.0,182.0,184.0,98341,1680480000
ok,181.5,184.8,179.1,181.1,78330,1680566400
ok,181.0,184.0,180.5,183.3,38531,1680652800
ok,183.9,185.0,181.0,182.8,82265,1680739200
ok,181.0,182.0,179.0,181.0,100811,1680998400
ok,180.1,182.7,179.3,180.5,61761,1681084800
ok,177.0,187.2,177.0,183.5,83463,1681171200
ok,186.0,193.2,184.6,192.9,112996,1681257600
ok,196.0,196.0,187.0,191.0,95095,1681344000
ok,193.0,193.0,186.2,186.5,66764,1681603200
ok,185.0,190.0,184.6,185.0,42409,1681689600
ok,188.0,188.7,182.5,185.0,46710,1681776000
ok,183.0,188.0,182.6,185.0,68139,1681862400
ok,184.1,186.0,181.5,184.0,48699,1681948800
ok,187.6,187.6,180.1,181.0,80139,1682208000
ok,181.9,183.0,180.0,182.5,48384,1682294400
ok,180.2,184.7,180.2,183.8,37663,1682380800
ok,185.0,186.0,182.4,184.0,89370,1682467200
ok,187.0,187.0,182.1,183.5,34985,1682553600
ok,183.0,185.0,182.0,182.9,195178,1682812800
ok,184.0,184.0,181.0,182.0,56145,1682985600
ok,180.0,184.0,180.0,181.9,55649,1683072000
ok,182.0,182.5,180.1,181.6,74454,1683158400
ok,181.6,185.0,180.0,180.5,75910,1683417600
ok,180.0,183.0,179.5,179.6,78252,1683504000
ok,182.0,182.5,179.2,179.2,34106,1683590400
ok,180.1,182.9,180.0,180.3,21675,1683676800
ok,176.7,183.0,176.7,180.0,66954,1683763200
ok,182.0,182.6,178.4,179.2,56296,1684022400
ok,179.0,180.7,178.0,178.3,76315,1684108800
ok,180.0,180.0,178.2,179.5,31210,1684195200
ok,179.0,183.0,179.0,180.0,53613,1684281600
ok,180.5,184.0,180.0,182.0,66878,1684368000
ok,185.0,186.0,182.0,183.8,52616,1684627200
ok,182.3,183.6,180.5,181.1,44432,1684713600
ok,183.0,184.8,180.0,184.7,71436,1684800000
ok,182.5,185.0,182.0,184.5,49980,1684886400
ok,185.0,187.0,183.2,183.6,68960,1685232000
ok,183.0,183.0,179.0,179.1,75743,1685404800
ok,179.0,179.9,177.0,177.0,79091,1685491200
ok,180.0,180.1,175.5,177.0,60499,1685577600
ok,175.8,182.8,175.8,178.3,46873,1685836800
ok,181.7,181.7,176.6,176.6,64655,1685923200
ok,176.0,178.0,176.0,177.0,49549,1686009600
ok,177.0,179.9,176.0,176.1,56148,1686096000
ok,179.3,179.3,176.0,176.1,77732,1686182400
ok,176.0,179.0,176.0,176.2,56136,1686441600
ok,176.6,179.5,176.6,178.0,50104,1686528000
ok,181.5,181.5,176.5,179.5,99102,1686614400
ok,179.5,188.0,178.0,180.7,140526,1686700800
ok,179.0,184.3,179.0,182.5,63982,1686787200
ok,181.0,184.0,181.0,183.0,147609,1687046400
ok,185.0,185.0,180.5,180.5,136527,1687132800
ok,182.0,184.1,180.0,180.1,98416,1687219200
ok,183.5,183.5,178.1,178.6,175342,1687305600
ok,182.0,182.0,176.9,176.9,135570,1687392000
