s,o,h,l,c,v,t
ok,40.06,41.07,39.73,41.07,2109,1325376000
ok,41.07,42.08,40.57,41.41,4247,1325462400
ok,41.41,43.09,41.41,41.91,6446,1325548800
ok,41.91,41.74,40.4,40.4,1119,1325635200
ok,40.4,40.57,39.9,40.4,2289,1325721600
ok,40.4,40.9,40.4,40.74,2656,1325980800
ok,40.74,41.07,40.57,41.07,3658,1326067200
ok,41.07,41.58,40.57,40.74,1240,1326153600
ok,40.74,40.9,40.57,40.57,4325,1326240000
ok,40.57,40.9,40.06,40.74,2003,1326326400
ok,40.74,40.9,40.23,40.4,1320,1326672000
ok,40.4,40.9,40.4,40.4,879,1326758400
ok,40.06,40.23,40.06,40.23,99,1326844800
ok,40.4,40.4,39.56,40.06,623,1326844800
ok,40.23,40.4,39.73,39.9,1378,1327190400
ok,39.9,40.23,39.39,39.9,2453,1327276800
ok,39.9,39.9,39.73,39.73,995,1327449600
ok,39.73,40.06,39.56,39.9,900,1327536000
ok,39.9,39.9,39.22,39.9,4568,1327795200
ok,39.9,39.9,39.22,39.22,7767,1327968000
ok,39.22,40.06,39.22,39.9,1722,1328054400
ok,39.9,40.23,39.06,39.56,3895,1328140800
ok,39.56,39.73,39.06,39.06,2630,1328400000
ok,39.06,39.56,39.06,39.22,2313,1328486400
ok,39.22,39.73,38.72,39.22,2703,1328572800
ok,39.22,39.9,38.22,39.22,1467,1328659200
ok,39.22,39.22,38.72,38.72,1363,1328745600
ok,38.72,38.89,38.38,38.38,788,1329004800
ok,38.38,39.56,37.71,39.56,3916,1329091200
ok,39.56,40.23,38.38,38.89,1141,1329177600
ok,38.89,38.89,38.05,38.22,1394,1329264000
ok,38.22,38.55,37.71,38.38,1919,1329350400
ok,38.38,38.55,38.38,38.55,480,1329782400
ok,38.55,39.06,38.22,38.72,1742,1329955200
ok,38.72,38.89,37.71,37.88,2627,1330214400
ok,37.88,38.72,38.38,38.55,512,1330300800
ok,38.55,39.06,38.38,38.72,1597,1330387200
ok,38.72,39.22,38.72,38.72,1299,1330473600
ok,38.72,39.22,38.22,39.22,1754,1330560000
ok,39.22,39.39,38.89,39.22,1518,1330819200
ok,39.22,39.56,39.22,39.22,1621,1330905600
ok,39.22,39.56,38.72,39.22,1199,1330992000
ok,39.22,39.39,38.38,38.72,1233,1331424000
ok,38.72,39.06,38.72,38.72,2710,1331510400
ok,38.72,38.72,38.38,38.38,1393,1331596800
ok,38.38,38.22,37.88,38.22,1115,1331683200
ok,38.22,38.22,37.88,38.22,1410,1331769600
ok,38.22,38.38,37.55,37.88,2153,1332028800
ok,37.88,37.88,37.21,37.55,4344,1332115200
ok,37.55,37.88,37.21,37.55,1141,1332201600
ok,37.55,37.71,37.04,37.38,1315,1332288000
ok,37.38,37.38,36.71,37.21,774,1332633600
ok,37.21,36.87,36.54,36.54,1256,1332720000
ok,36.54,36.87,36.03,36.2,5684,1332806400
ok,36.2,36.71,36.03,36.37,4734,1332892800
ok,36.37,36.71,36.37,36.71,2119,1332979200
ok,36.71,37.38,35.87,35.87,39275,1333238400
ok,35.87,37.55,36.37,37.55,1263,1333324800
ok,37.55,39.06,37.04,39.06,4305,1333411200
ok,39.06,39.39,38.22,38.22,1872,1333497600
ok,38.22,38.38,38.05,38.22,3482,1333584000
ok,38.22,39.22,37.71,38.55,2104,1333843200
ok,38.55,39.56,38.55,38.89,1698,1333929600
ok,38.89,39.39,38.22,38.38,3568,1334016000
ok,38.38,40.9,37.88,39.22,11983,1334102400
ok,39.22,41.58,39.22,41.24,19367,1334188800
ok,41.24,42.75,41.74,42.75,44,1334448000
ok,42.75,44.77,43.42,44.77,181,1334534400
ok,44.77,48.29,43.42,43.42,12152,1334620800
ok,43.42,46.61,41.07,44.6,15402,1334707200
ok,44.6,47.12,45.27,46.28,13511,1334793600
ok,46.28,49.13,46.78,49.13,19147,1335052800
ok,49.13,53.0,49.81,53.0,2654,1335225600
ok,53.0,56.36,53.84,56.36,3933,1335312000
ok,56.36,59.72,53.5,59.04,35292,1335398400
ok,59.04,59.88,55.85,57.87,21596,1335657600
ok,57.87,57.03,54.0,55.01,11217,1335744000
ok,55.01,54.17,50.48,50.48,5686,1335916800
ok,50.48,54.51,51.15,54.51,3630,1336003200
ok,54.51,59.04,55.35,59.04,6214,1336348800
ok,59.04,60.22,57.03,58.54,21840,1336435200
ok,58.54,59.38,54.34,55.85,17098,1336521600
ok,55.85,56.02,52.66,55.85,12655,1336608000
ok,55.85,55.01,55.01,55.01,500,1336867200
ok,55.01,54.17,50.48,50.48,2087,1336953600
ok,50.48,54.51,50.48,54.51,7867,1337040000
ok,54.51,59.04,55.35,59.04,12414,1337126400
ok,59.04,63.91,55.18,57.87,25494,1337212800
ok,57.87,57.03,53.0,53.84,25485,1337472000
ok,53.84,56.19,52.49,55.01,11633,1337558400
ok,55.01,55.01,51.15,54.0,8756,1337644800
ok,54.0,53.17,49.64,50.14,2189,1337731200
ok,50.14,54.17,48.13,54.17,10418,1337817600
