s,o,h,l,c,v,t
ok,99.58,106.82,101.03,106.82,50,1420329600
ok,106.82,114.79,108.27,114.79,102303,1420416000
ok,114.79,123.48,116.24,123.48,170924,1420502400
ok,123.48,128.91,121.67,122.76,199210,1420588800
ok,122.76,124.57,121.67,122.76,52836,1420675200
ok,122.76,122.76,119.86,120.58,45356,1420934400
ok,120.58,121.31,119.14,121.31,39542,1421020800
ok,121.31,121.67,117.69,120.58,27085,1421107200
ok,120.58,122.76,119.86,122.03,17178,1421193600
ok,122.03,131.09,122.76,131.09,189547,1421539200
ok,131.09,141.59,131.09,134.35,95482,1421625600
ok,134.35,137.24,127.83,132.9,54658,1421712000
ok,132.9,132.9,129.64,132.17,31974,1421884800
ok,132.17,133.98,131.45,133.26,32235,1422144000
ok,133.26,138.69,132.17,134.71,108179,1422230400
ok,134.71,135.43,133.26,133.98,138206,1422316800
ok,133.98,137.6,133.26,135.79,70550,1422403200
ok,135.79,137.97,132.9,134.71,113634,1422489600
ok,134.71,145.57,135.43,142.67,177083,1422748800
ok,142.67,143.4,138.33,139.41,87493,1422835200
ok,139.41,140.5,138.33,138.69,27634,1422921600
ok,138.69,138.69,136.52,137.97,34499,1423008000
ok,137.97,138.33,135.43,138.33,29629,1423094400
ok,138.33,140.14,136.88,137.97,63109,1423353600
ok,137.97,138.69,136.88,137.97,63959,1423440000
ok,137.97,139.05,136.52,137.6,49865,1423526400
ok,137.6,138.69,134.35,137.24,47362,1423612800
ok,137.24,137.6,136.16,137.24,28198,1423699200
ok,137.24,138.69,136.88,138.69,44909,1423958400
ok,138.69,141.59,136.88,141.59,88333,1424044800
ok,141.59,145.93,140.86,145.93,134332,1424304000
ok,145.93,148.83,143.04,144.12,94575,1424563200
ok,144.12,144.48,138.69,144.12,77796,1424649600
ok,144.12,145.93,141.59,144.85,48684,1424736000
ok,144.85,145.93,143.4,145.93,37210,1424822400
ok,145.93,148.83,145.93,147.74,27430,1424908800
ok,151.0,154.99,149.92,151.36,92783,1425168000
ok,151.36,151.36,149.55,151.0,30148,1425254400
ok,151.0,150.64,148.47,148.83,25611,1425340800
ok,148.83,152.81,147.02,148.11,42694,1425427200
ok,148.11,152.45,149.19,150.28,73654,1425859200
ok,150.28,150.64,147.38,147.74,79413,1425945600
ok,147.74,149.55,148.11,148.83,20898,1426032000
ok,148.47,150.64,147.74,148.47,26536,1426118400
ok,148.47,148.47,145.93,147.74,13347,1426377600
ok,147.74,147.74,144.85,145.57,7644,1426464000
ok,145.57,148.11,143.76,147.74,14725,1426550400
ok,147.74,147.74,145.93,146.3,5868,1426636800
ok,146.3,149.19,147.02,147.38,14209,1426723200
ok,147.38,149.92,144.85,144.85,8570,1426982400
ok,144.85,147.74,143.76,144.12,20269,1427068800
ok,144.12,144.12,142.67,143.4,67872,1427155200
ok,143.4,144.12,142.31,143.76,9668,1427241600
ok,143.76,144.48,141.95,144.48,43881,1427328000
ok,144.48,145.21,142.31,144.12,9720,1427587200
ok,144.12,145.93,142.31,143.4,13795,1427673600
ok,143.4,146.3,142.31,144.85,21375,1427760000
