s,o,h,l,c,v,t
ok,64.82,60.94,60.94,60.94,10,1330300800
ok,60.94,60.19,59.6,59.6,2224,1330473600
ok,59.6,59.0,56.61,56.61,50,1330992000
ok,56.61,56.02,54.23,54.23,40,1331596800
ok,54.23,53.63,51.24,51.24,60,1331683200
ok,51.24,50.79,48.56,48.56,60,1331769600
ok,48.56,48.11,46.02,46.02,79,1332028800
ok,46.02,45.57,43.78,43.78,82,1332115200
ok,43.78,43.48,41.84,42.44,62910,1332201600
ok,42.44,42.59,41.84,42.59,19823,1332288000
ok,42.59,42.59,42.29,42.59,7490,1332633600
ok,42.59,42.89,42.44,42.74,15479,1332720000
ok,42.74,43.04,42.59,43.04,12407,1332806400
ok,43.04,43.78,42.89,43.48,13523,1332892800
ok,43.48,43.63,43.18,43.18,10263,1332979200
ok,43.18,43.63,43.04,43.33,10278,1333238400
ok,43.33,43.78,43.33,43.78,9248,1333324800
ok,43.78,44.68,43.78,44.53,2732,1333411200
ok,44.53,44.23,43.93,44.23,2269,1333497600
ok,44.23,44.53,44.08,44.53,2037,1333584000
ok,44.53,44.53,43.93,43.93,3641,1333843200
ok,43.93,44.23,43.93,44.08,2302,1333929600
ok,44.08,44.83,43.93,44.83,4696,1334016000
ok,44.83,45.42,43.93,44.83,11950,1334102400
ok,44.83,46.91,45.12,46.91,12740,1334188800
ok,46.91,49.3,47.36,49.3,6574,1334448000
ok,49.3,51.54,49.75,51.54,8164,1334534400
ok,51.54,54.37,50.05,50.05,9132,1334620800
ok,50.05,52.14,47.66,51.39,19469,1334707200
ok,51.39,54.23,51.84,53.18,31297,1334793600
ok,53.18,56.16,53.18,56.16,28005,1335052800
ok,56.16,59.15,56.76,59.15,6186,1335225600
ok,59.15,62.73,59.75,62.73,5101,1335312000
ok,62.73,66.61,59.15,66.61,50478,1335398400
ok,66.61,67.5,63.33,65.56,38288,1335657600
ok,65.56,65.56,62.58,62.58,6881,1335744000
ok,62.58,61.83,59.6,59.6,593,1335916800
ok,59.6,62.58,60.19,62.58,11940,1336003200
ok,62.58,66.46,63.33,66.46,10796,1336348800
ok,66.46,68.85,66.31,67.2,38625,1336435200
ok,67.2,66.46,63.47,64.22,25046,1336521600
ok,64.22,64.52,60.79,63.33,15507,1336608000
ok,63.33,62.58,59.3,59.3,18779,1336867200
ok,59.3,58.7,56.61,56.61,7920,1336953600
ok,56.61,58.4,56.61,58.4,21588,1337040000
ok,58.4,61.83,59.0,61.83,1519,1337126400
ok,61.83,64.82,62.58,63.77,28384,1337212800
ok,63.77,63.62,60.04,62.43,6948,1337472000
ok,62.43,64.22,60.19,63.03,16475,1337558400
ok,63.03,63.03,59.6,62.43,7398,1337644800
ok,62.43,61.68,58.55,58.55,9377,1337731200
ok,58.55,61.09,58.1,59.6,28346,1337817600
ok,59.6,63.18,59.75,62.58,12866,1338076800
ok,62.58,61.83,59.0,59.0,50,1338336000
ok,59.0,58.4,55.42,56.76,9726,1338422400
ok,56.76,60.04,57.36,60.04,10550,1338681600
ok,60.04,60.79,58.1,59.0,10165,1338768000
ok,59.0,59.15,56.76,57.36,4701,1338854400
ok,57.36,56.76,54.82,55.42,7159,1338940800
ok,55.42,57.95,55.12,57.51,6698,1339027200
ok,57.51,57.51,55.72,55.87,1075,1339286400
ok,55.87,58.7,55.57,56.46,12237,1339372800
ok,56.46,56.16,55.12,56.16,9497,1339459200
ok,56.16,56.61,55.42,56.61,1736,1339545600
ok,56.61,56.16,55.57,55.57,812,1339632000
ok,55.57,55.27,54.08,54.52,2510,1339891200
ok,54.52,55.12,54.08,55.12,2438,1339977600
ok,55.12,55.27,53.78,55.27,4180,1340064000
ok,55.27,57.06,54.82,55.42,3731,1340150400
ok,55.42,56.02,55.12,55.72,4690,1340236800
ok,55.72,57.66,55.12,57.66,9134,1340582400
ok,57.66,57.06,56.02,56.16,720,1340668800
ok,56.16,57.21,55.87,57.21,4074,1340755200
ok,57.21,58.85,56.91,57.21,7722,1340841600
ok,57.21,57.66,57.06,57.06,2724,1341100800
ok,57.06,57.06,56.31,56.46,9443,1341187200
ok,56.46,57.06,56.46,56.76,2195,1341273600
ok,56.76,57.51,56.61,56.61,2927,1341360000
ok,56.61,57.21,56.02,56.46,4384,1341446400
ok,56.46,57.06,55.57,56.16,2857,1341705600
ok,56.16,56.91,56.16,56.76,6989,1341792000
ok,56.76,57.81,55.87,57.21,14463,1341878400
ok,57.21,57.81,56.61,57.36,4936,1341964800
ok,57.36,56.76,56.16,56.16,4213,1342051200
ok,56.16,56.61,55.12,56.61,69387,1342310400
ok,56.61,56.61,56.61,56.61,907,1342396800
ok,56.61,56.76,56.02,56.46,1063,1342483200
ok,56.46,57.21,56.16,56.76,5473,1342569600
ok,56.76,58.55,56.91,57.06,4890,1342656000
ok,57.06,58.7,56.61,57.66,14478,1342915200
ok,57.66,59.3,57.95,59.0,7513,1343001600
ok,59.0,60.04,57.95,58.85,3002,1343088000
ok,58.85,58.85,57.36,57.66,4621,1343174400
ok,57.66,57.95,57.51,57.95,2127,1343260800
ok,57.95,58.55,56.76,57.36,2380,1343520000
ok,57.36,58.4,56.61,57.06,4059,1343606400
ok,57.06,57.66,57.21,57.51,358,1343692800
ok,57.51,57.95,56.31,57.06,3265,1343779200
ok,57.06,57.21,56.61,56.91,1416,1344124800
ok,56.91,57.36,57.06,57.06,1594,1344211200
ok,57.06,56.61,55.87,56.46,3046,1344297600
ok,56.46,56.46,55.27,55.72,3604,1344384000
ok,55.72,55.42,54.23,54.23,2966,1344729600
ok,54.23,54.82,53.18,54.52,5608,1344816000
ok,54.52,53.93,51.39,52.14,8001,1344902400
ok,52.14,52.14,50.2,50.79,5097,1344988800
ok,50.79,52.14,50.79,51.99,1262,1345075200
ok,51.99,51.54,50.5,50.5,4011,1345334400
ok,50.5,50.5,49.45,50.5,15868,1345507200
ok,50.5,51.54,50.94,51.39,1490,1345593600
ok,51.39,51.54,50.94,51.39,3498,1345680000
ok,51.39,51.54,50.64,50.64,2595,1345939200
ok,50.64,51.09,50.35,50.5,7617,1346025600
ok,50.5,51.24,50.35,51.24,4139,1346112000
ok,51.24,51.69,50.79,51.24,2051,1346198400
ok,51.24,51.24,50.5,50.94,6524,1346284800
ok,50.94,53.63,50.94,53.18,4914,1346544000
ok,53.18,53.78,52.73,53.18,6193,1346630400
ok,53.18,53.18,51.09,51.99,5447,1346716800
ok,51.99,52.43,51.99,52.29,1340,1346803200
ok,52.29,53.63,51.54,53.63,2311,1346889600
ok,53.63,53.63,52.29,52.29,1010,1347148800
ok,52.29,51.99,51.39,51.84,3025,1347235200
ok,51.84,52.14,51.69,52.14,850,1347321600
ok,52.14,52.29,51.84,52.14,1852,1347408000
ok,52.14,52.14,52.14,52.14,623,1347494400
ok,52.14,52.58,52.43,52.58,1150,1347753600
ok,52.58,52.88,52.88,52.88,188,1347840000
ok,52.88,53.63,52.88,53.63,7630,1347926400
ok,53.63,53.18,52.88,53.03,2577,1348012800
ok,53.03,52.88,52.43,52.88,2256,1348099200
ok,52.88,52.29,51.84,51.84,900,1348358400
ok,51.84,51.84,50.94,51.39,3145,1348444800
ok,51.39,51.69,50.94,51.69,2231,1348531200
ok,51.69,51.69,51.39,51.39,1250,1348617600
ok,51.39,51.39,49.9,50.94,19635,1348704000
ok,50.94,50.64,50.64,50.64,778,1348963200
ok,50.64,50.79,50.2,50.64,3703,1349049600
ok,50.64,51.09,50.64,50.94,2556,1349136000
ok,50.94,51.09,50.64,50.94,1058,1349222400
ok,50.94,50.64,50.64,50.64,1857,1349308800
ok,50.64,51.09,49.6,51.09,4008,1349568000
ok,51.09,50.94,50.64,50.94,1709,1349654400
ok,50.94,51.39,50.79,50.79,1494,1349740800
ok,50.79,50.94,50.64,50.94,134,1349827200
ok,50.94,50.5,50.5,50.5,200,1349913600
ok,50.5,51.39,50.79,51.39,1730,1350172800
ok,51.39,51.09,50.94,51.09,624,1350259200
ok,51.09,51.99,51.54,51.99,1062,1350432000
ok,51.99,52.88,52.29,52.58,3325,1350518400
ok,52.58,53.93,53.03,53.93,1190,1351555200
ok,53.93,55.12,53.93,54.82,6838,1351641600
ok,54.82,54.82,54.08,54.37,5440,1351728000
ok,54.37,54.82,54.37,54.52,1635,1351987200
ok,54.52,56.31,55.12,55.72,6658,1352073600
ok,55.72,55.87,55.42,55.57,3730,1352160000
ok,55.57,56.91,55.12,56.61,7613,1352246400
ok,56.61,58.1,56.46,56.61,2682,1352332800
ok,56.61,57.51,54.67,54.97,10599,1352592000
ok,54.97,56.76,55.27,56.76,7659,1352678400
ok,56.76,58.1,57.06,57.66,7903,1353196800
ok,57.66,60.34,57.51,57.51,19046,1353369600
ok,57.51,58.55,57.06,57.66,18315,1353456000
ok,57.66,58.55,55.87,57.51,49743,1353542400
ok,57.51,58.85,57.51,57.95,12920,1353801600
ok,57.95,58.55,57.66,58.1,56412,1353888000
ok,58.1,58.25,57.81,57.81,4880,1353974400
ok,57.81,58.4,57.66,58.1,4596,1354060800
ok,58.1,58.25,57.06,57.06,3134,1354147200
ok,57.06,57.66,56.46,57.21,2780,1354406400
ok,57.21,57.51,56.91,57.51,1450,1354492800
ok,57.51,58.4,57.81,58.4,6184,1354579200
ok,58.4,61.83,58.1,60.94,11124,1354665600
ok,60.94,61.54,59.6,60.94,11226,1354752000
