s,o,h,l,c,v,t
ok,96.68,98.61,97.45,98.61,1032,1325376000
ok,98.61,101.31,99.77,101.31,592,1325462400
ok,101.31,104.4,102.86,103.05,1124,1325548800
ok,103.05,101.51,101.51,101.51,86,1325635200
ok,101.51,101.31,99.96,99.96,484,1325721600
ok,99.96,100.35,99.58,99.77,600,1325980800
ok,99.77,101.31,100.93,100.93,503,1326067200
ok,100.93,102.47,100.35,102.47,1052,1326153600
ok,102.47,104.02,104.02,104.02,20,1326240000
ok,104.02,103.83,102.28,103.05,384,1326326400
ok,103.05,104.02,104.02,104.02,50,1326844800
ok,104.02,104.21,104.21,104.21,68,1326844800
ok,104.21,104.4,102.86,104.21,1780,1327190400
ok,104.21,103.25,103.25,103.25,109,1327276800
ok,103.25,101.7,99.0,99.0,268,1327449600
ok,99.0,97.45,95.52,95.52,65867,1327536000
ok,95.52,100.16,97.07,98.8,293,1327795200
ok,98.8,100.74,100.16,100.74,593,1327968000
ok,100.74,100.35,100.35,100.35,1569,1328054400
ok,100.35,101.7,100.35,100.54,325,1328400000
ok,100.54,100.35,99.38,99.38,576,1328486400
ok,99.38,100.93,99.38,99.77,491,1328572800
ok,99.77,95.71,95.71,95.71,28000,1328659200
ok,95.71,99.38,97.26,98.8,925,1329004800
ok,98.8,99.77,98.61,99.58,254,1329091200
ok,99.58,100.35,99.38,99.58,462,1329177600
ok,99.58,98.61,98.61,98.61,328,1329264000
ok,98.61,97.07,97.07,97.07,2286,1329350400
ok,97.07,98.61,97.07,98.22,2792,1329782400
ok,98.22,98.61,97.07,98.61,2130,1329955200
ok,98.61,100.93,99.38,99.77,710,1330214400
ok,99.77,100.35,97.84,99.77,2776,1330300800
ok,99.77,101.31,100.54,101.31,644,1330387200
ok,101.31,102.86,100.35,102.86,2511,1330473600
ok,102.86,102.28,100.54,102.28,3453,1330560000
ok,102.28,102.09,100.16,101.7,3314,1330819200
ok,101.7,103.44,100.35,103.44,2697,1330905600
ok,103.44,103.25,101.89,103.25,2150,1330992000
ok,103.25,102.28,99.58,100.35,3241,1331424000
ok,100.35,101.89,99.58,99.77,1486,1331510400
ok,99.77,99.96,99.96,99.96,120,1331596800
ok,99.96,101.31,100.35,101.12,573,1331683200
ok,101.12,100.35,100.16,100.35,564,1331769600
ok,100.35,101.12,99.96,100.54,1180,1332028800
ok,100.54,101.12,100.35,101.12,238,1332115200
ok,101.12,102.28,100.74,100.74,586,1332201600
ok,100.74,101.12,99.19,101.12,527,1332288000
ok,101.12,99.77,99.77,99.77,730,1332633600
ok,99.77,100.54,100.54,100.54,27,1332720000
ok,100.54,100.35,99.19,100.35,568,1332806400
ok,100.35,100.54,99.77,99.77,200,1332979200
ok,99.77,100.74,99.77,100.35,597,1333238400
ok,100.35,100.35,100.16,100.16,340,1333324800
ok,100.16,100.93,99.77,100.93,658,1333411200
ok,100.93,101.31,100.35,100.74,262,1333497600
ok,100.74,100.74,100.74,100.74,33,1333584000
