s,o,h,l,c,v,t
ok,49.95,45.29,45.29,45.29,532,1325376000
ok,51.22,51.22,51.22,51.22,419,1325462400
ok,51.22,53.33,51.78,52.91,2840,1325548800
ok,52.91,52.35,52.35,52.35,200,1325635200
ok,52.35,52.63,52.07,52.07,158,1325721600
ok,52.07,52.63,52.07,52.63,805,1325980800
ok,52.63,52.49,52.35,52.49,832,1326067200
ok,52.49,52.91,51.5,51.64,878,1326240000
ok,51.64,53.9,52.21,53.9,80,1326326400
ok,53.9,53.33,50.8,51.22,3035,1327276800
ok,51.22,51.22,50.65,50.94,486,1327449600
ok,50.94,51.36,50.65,51.36,1143,1327536000
ok,51.36,51.92,51.36,51.36,291,1327795200
ok,51.36,51.78,51.78,51.78,32,1327968000
ok,51.78,51.36,51.36,51.36,64,1328054400
ok,51.36,51.64,50.94,51.08,1523,1328140800
ok,51.08,51.08,50.23,50.37,1993,1328400000
ok,50.37,50.65,50.09,50.37,4406,1328486400
ok,50.37,50.37,49.95,50.09,2102,1328572800
ok,50.09,50.23,49.67,49.81,1794,1328659200
ok,49.81,50.37,49.53,49.81,855,1328745600
ok,49.81,50.23,49.81,50.23,330,1329004800
ok,50.23,50.65,50.09,50.37,1436,1329091200
ok,50.37,50.94,50.8,50.8,116,1329177600
ok,50.8,50.37,49.81,50.09,1233,1329264000
ok,50.09,50.37,49.38,50.23,1228,1329350400
ok,50.23,49.81,49.81,49.81,645,1329955200
ok,49.81,50.37,49.81,49.81,391,1330214400
ok,49.81,50.09,49.53,50.09,1120,1330300800
ok,50.09,50.65,50.09,50.65,760,1330387200
ok,50.65,50.94,50.8,50.94,1209,1330473600
ok,50.94,50.94,50.94,50.94,70,1330560000
ok,50.94,50.8,50.23,50.8,1091,1330819200
ok,50.8,50.8,50.8,50.8,100,1330905600
ok,50.8,51.08,51.08,51.08,90,1330992000
ok,51.08,51.08,50.51,50.51,432,1331424000
ok,50.51,50.51,49.95,50.23,4702,1331510400
