s,o,h,l,c,v,t
ok,230.48,235.64,230.48,233.06,1155,1325376000
ok,233.06,240.8,237.7,239.08,455,1325462400
ok,239.08,245.44,239.08,239.08,1351,1325548800
ok,239.08,238.22,232.02,236.5,657,1325635200
ok,236.5,238.04,232.2,238.04,1204,1325721600
ok,238.04,233.92,227.9,231.17,2337,1325980800
ok,231.17,233.92,223.6,229.45,2110,1326067200
ok,229.45,236.5,223.6,232.54,1520,1326153600
ok,232.54,240.62,224.46,240.62,904,1326240000
ok,240.62,242.52,230.48,242.52,437,1326326400
ok,242.52,238.56,230.65,235.64,960,1326672000
ok,235.64,240.28,235.64,240.28,100,1326758400
ok,231.85,236.32,231.68,232.2,375,1326844800
ok,240.28,235.64,230.99,231.85,212,1326844800
ok,232.2,232.2,229.1,230.48,1022,1327190400
ok,230.48,232.2,227.04,228.76,1716,1327276800
ok,228.76,231.34,226.18,231.34,637,1327449600
ok,231.34,228.76,223.94,228.76,1732,1327536000
ok,228.76,227.38,227.04,227.38,578,1327795200
ok,227.38,229.79,224.97,229.79,1887,1327968000
ok,229.79,227.9,227.9,227.9,36,1328054400
ok,227.9,227.9,225.32,227.9,643,1328140800
ok,227.9,230.13,227.9,230.13,75,1328400000
ok,230.13,231.17,228.76,231.17,379,1328486400
ok,231.17,231.34,230.13,231.34,420,1328572800
ok,231.34,231.34,230.48,231.34,200,1328659200
ok,231.34,231.17,227.04,227.73,1695,1328745600
ok,227.73,229.1,227.38,229.1,2039,1329004800
ok,229.1,231.17,227.9,228.93,575,1329091200
ok,228.93,229.79,228.93,229.62,571,1329177600
ok,229.62,232.2,231.34,232.2,61,1329264000
ok,232.2,231.34,228.76,228.93,5547,1329350400
ok,228.93,229.62,227.9,229.27,908,1329782400
ok,229.27,230.48,229.45,230.48,112,1329955200
ok,230.48,234.78,231.34,232.54,202,1330214400
ok,232.54,232.2,230.48,231.34,1113,1330300800
ok,231.34,233.92,232.2,233.92,639,1330387200
ok,233.92,236.5,233.92,234.95,213,1330473600
ok,234.95,240.45,235.29,240.45,924,1330560000
ok,240.45,239.94,237.36,238.04,186,1330819200
ok,238.04,240.11,235.64,235.64,710,1330905600
ok,235.64,237.87,235.64,237.87,220,1330992000
ok,237.87,236.5,235.29,236.5,421,1331424000
ok,236.5,236.5,236.5,236.5,50,1331510400
ok,236.5,238.73,236.5,237.36,390,1331596800
ok,237.36,237.18,234.78,237.18,736,1331683200
ok,237.18,236.5,232.54,232.54,919,1331769600
ok,232.54,235.98,233.92,235.29,603,1332028800
ok,235.29,236.5,232.2,236.5,220,1332115200
ok,236.5,236.5,233.92,233.92,323,1332201600
ok,233.92,238.56,233.06,238.56,639,1332288000
ok,238.56,237.36,232.37,237.01,858,1332633600
ok,237.01,236.84,230.48,236.84,1414,1332720000
