s,o,h,l,c,v,t
ok,111.53,120.18,111.53,120.18,2700,1508025600
ok,121.9,131.41,121.9,131.41,5075,1508112000
ok,134.01,144.38,134.01,144.38,5990,1508198400
ok,141.79,146.98,130.55,131.42,4140,1508284800
ok,131.42,128.83,127.1,128.83,1025,1508716800
ok,128.83,130.56,127.97,127.97,1476,1508803200
ok,128.83,128.83,125.37,125.37,1610,1508889600
ok,121.88,121.88,118.47,120.18,1780,1509235200
ok,118.45,120.18,116.72,120.18,1670,1509321600
ok,121.91,121.91,121.91,121.91,31150,1509408000
ok,120.18,120.18,118.45,118.45,510,1509494400
ok,116.72,116.72,113.26,113.26,530,1509840000
ok,113.26,113.26,112.4,112.4,200,1509926400
ok,112.4,114.13,112.4,114.13,200,1510012800
ok,113.26,113.26,110.67,110.67,210,1510099200
ok,110.67,117.59,112.4,117.59,350,1510444800
ok,119.32,119.32,117.59,117.59,800,1510531200
ok,119.32,119.32,117.59,117.59,1900,1510704000
ok,117.58,117.58,116.72,116.72,700,1511049600
ok,114.99,114.99,113.26,113.26,300,1511136000
ok,115.0,116.72,114.13,115.0,1601,1511222400
ok,113.27,115.0,113.27,115.0,650,1511308800
ok,115.0,115.86,113.27,114.13,31816,1511395200
ok,115.86,115.86,112.4,114.13,1345,1511740800
ok,115.0,116.74,113.25,115.87,15741,1511827200
ok,115.86,117.59,115.86,117.59,240,1511913600
ok,119.32,119.32,117.59,117.59,170,1512000000
ok,115.87,115.87,114.14,115.87,400,1512345600
ok,115.0,115.0,115.0,115.0,100,1512432000
ok,116.72,116.72,116.72,116.72,50,1512518400
ok,114.99,114.99,113.29,114.99,750,1512864000
ok,113.27,115.0,113.27,114.13,16550,1513123200
ok,115.86,117.59,115.86,117.59,570,1513209600
ok,117.59,118.44,117.59,118.44,500,1513468800
ok,120.13,121.82,120.13,120.13,900,1513555200
ok,120.13,120.13,116.74,116.74,196,1513814400
ok,116.74,116.74,113.36,113.36,16310,1514073600
ok,111.66,111.66,109.97,109.97,1555,1514246400
ok,108.27,108.27,108.27,108.27,50,1514678400
ok,108.27,108.27,108.27,108.27,100,1514851200
ok,106.58,107.43,106.58,107.43,550,1514937600
ok,109.12,110.81,109.12,110.81,680,1515024000
ok,112.5,112.5,110.81,110.81,160,1515283200
ok,110.82,117.58,112.51,117.58,50,1515456000
ok,115.89,115.89,112.5,112.5,895,1516579200
ok,110.81,110.81,109.12,109.12,1033,1516665600
ok,107.43,107.43,105.73,107.43,480,1516752000
ok,109.11,109.11,107.42,109.11,600,1516838400
ok,109.11,109.11,107.42,109.11,416,1517097600
ok,109.11,109.11,109.11,109.11,200,1517702400
ok,109.11,109.11,105.73,105.73,470,1517875200
ok,104.04,104.04,104.04,104.04,100,1518307200
ok,102.34,102.34,102.34,102.34,50,1518393600
ok,102.34,105.72,100.65,104.03,4990,1518652800
ok,104.03,104.03,102.34,102.34,2910,1518912000
ok,101.49,104.03,101.49,102.34,2300,1519084800
ok,104.02,104.02,104.02,104.02,10,1519603200
ok,103.18,104.02,103.18,104.02,200,1519689600
