s,o,h,l,c,v,t
ok,107.91,106.42,106.42,106.42,220,1327276800
ok,106.42,104.94,103.46,103.46,827,1328659200
ok,103.46,101.97,96.04,96.04,531,1330214400
ok,96.04,94.85,91.29,91.29,438,1330300800
ok,91.29,91.29,91.29,91.29,168,1338854400
ok,91.29,90.1,90.1,90.1,30,1348012800
ok,90.1,88.91,88.91,88.91,19,1348099200
ok,88.91,87.73,85.35,85.35,455,1348358400
ok,85.35,89.51,85.06,85.06,1336,1400716800
ok,85.06,85.95,81.79,81.79,1237,1400976000
ok,81.79,80.9,77.04,78.53,6328,1401062400
ok,78.53,80.9,79.42,80.01,703,1401148800
ok,80.01,80.01,77.64,80.01,6789,1401235200
ok,80.01,82.68,80.9,81.79,604,1401580800
ok,81.79,84.46,82.39,82.68,2548,1401667200
ok,82.68,82.68,80.9,82.39,748,1401753600
ok,82.39,81.5,81.5,81.5,127,1402531200
ok,81.5,80.9,80.61,80.9,197,1403568000
ok,80.9,81.5,75.56,75.56,5734,1403654400
ok,75.56,79.12,75.56,79.12,4035,1403740800
ok,79.12,82.39,80.01,80.9,1713,1404000000
ok,80.9,80.01,75.56,75.56,17267,1404086400
ok,75.56,79.42,76.45,77.34,16725,1404172800
ok,77.34,80.31,78.23,80.01,13556,1404259200
ok,85.35,81.11,78.17,78.17,1564,1404345600
ok,78.17,78.17,78.17,78.17,681,1404604800
ok,78.17,81.11,79.15,81.11,150,1404691200
ok,81.11,84.05,82.09,84.05,1094,1404777600
ok,84.05,83.07,83.07,83.07,108,1404864000
ok,83.07,88.62,84.05,88.62,1492,1405468800
ok,88.62,94.82,87.97,94.82,2559,1405555200
ok,94.82,101.35,96.13,101.35,2551,1405814400
ok,101.35,108.53,102.66,108.53,3822,1405900800
ok,108.53,113.43,110.16,113.43,1852,1405987200
ok,113.43,111.8,108.2,108.2,460,1406073600
ok,108.2,106.9,106.57,106.9,1166,1406160000
ok,106.9,105.59,105.59,105.59,800,1406419200
ok,105.59,104.29,102.98,102.98,74,1407369600
ok,102.98,101.68,100.37,100.37,100,1407888000
ok,100.37,99.06,99.06,99.06,40,1407974400
ok,99.06,97.76,97.76,97.76,20,1408320000
ok,97.76,96.45,95.15,95.15,40,1408406400
ok,95.15,93.84,91.23,91.23,65,1408492800
ok,91.23,90.25,89.27,89.27,80,1408838400
ok,89.27,88.29,87.31,87.31,70,1408924800
ok,87.31,86.33,85.35,85.35,80,1409011200
ok,85.35,84.37,81.44,81.44,1460,1409184000
ok,81.44,80.46,76.54,76.54,1350,1409443200
ok,76.54,75.56,73.28,73.28,2548,1409529600
ok,73.28,77.85,72.62,77.85,4221,1409702400
ok,77.85,78.82,75.89,76.87,2591,1409788800
ok,76.87,75.89,73.6,73.6,519,1410048000
ok,73.6,74.91,72.95,74.25,1487,1410220800
ok,74.25,74.91,73.93,74.91,1221,1410307200
ok,74.91,74.91,74.91,74.91,87,1410393600
ok,74.91,74.91,74.25,74.25,727,1410652800
ok,74.25,74.25,73.6,74.25,770,1410739200
ok,74.25,73.93,73.93,73.93,50,1410912000
ok,72.95,72.3,72.3,72.3,200,1411257600
ok,72.3,71.64,71.64,71.64,259,1411430400
ok,71.64,71.64,70.99,71.64,2579,1411516800
ok,71.64,71.64,70.99,71.64,1018,1411862400
ok,71.64,72.95,72.3,72.95,1333,1411948800
ok,72.95,75.56,73.6,75.56,370,1412035200
ok,75.56,74.58,74.25,74.25,500,1412812800
ok,74.25,74.91,74.91,74.91,100,1413331200
ok,74.91,76.54,75.56,76.54,286,1413417600
ok,76.54,75.56,75.56,75.56,200,1413676800
ok,75.56,76.54,76.54,76.54,684,1414368000
ok,76.54,78.17,77.19,77.19,823,1414972800
ok,77.19,76.21,76.21,76.21,500,1415145600
ok,76.21,77.19,77.19,77.19,296,1415232000
ok,77.19,76.21,73.28,73.28,3292,1415577600
ok,73.28,72.95,71.64,71.64,869,1415664000
ok,71.64,72.3,71.97,71.97,80,1415836800
ok,71.97,71.32,71.32,71.32,10,1416096000
ok,71.32,70.66,70.01,70.01,1286,1416355200
ok,70.01,71.32,70.66,71.32,382,1416787200
ok,71.32,72.62,71.97,72.62,184,1416873600
ok,72.62,73.28,73.28,73.28,21,1417305600
ok,73.28,72.95,71.32,71.32,4426,1417392000
ok,71.32,70.66,70.66,70.66,255,1417564800
ok,70.66,71.64,70.99,71.64,473,1417651200
ok,71.64,72.3,72.3,72.3,545,1417910400
ok,72.3,72.95,72.62,72.62,352,1418083200
ok,72.62,72.3,72.3,72.3,300,1418169600
ok,72.3,73.6,71.64,73.6,234,1418601600
ok,73.6,76.87,73.93,76.87,1645,1418688000
ok,76.87,75.89,74.25,74.25,1135,1418774400
ok,74.25,74.91,73.6,74.91,887,1418860800
ok,74.91,74.25,74.25,74.25,510,1419120000
ok,74.25,74.91,74.25,74.25,600,1419206400
ok,74.25,74.25,74.25,74.25,46,1419292800
ok,74.25,73.93,73.6,73.6,96,1419379200
ok,73.6,74.25,73.6,74.25,196,1419811200
ok,74.25,76.54,74.91,76.54,398,1420329600
ok,76.54,76.54,75.56,76.54,1401,1420502400
ok,76.54,75.56,74.58,74.58,426,1420588800
ok,74.58,75.89,74.58,75.89,242,1420675200
ok,75.89,76.87,76.87,76.87,287,1420934400
ok,76.87,79.8,77.52,79.48,3889,1421625600
ok,79.48,82.42,78.82,82.42,3126,1421712000
ok,82.42,81.44,81.44,81.44,200,1421884800
ok,81.44,80.78,80.46,80.46,265,1422230400
ok,80.46,79.48,77.85,78.5,785,1422316800
ok,78.5,78.5,78.5,78.5,500,1422403200
ok,78.5,79.48,79.15,79.48,2508,1422748800
ok,79.48,78.82,78.82,78.82,272,1422835200
ok,78.82,83.07,79.8,83.07,1263,1422921600
ok,83.07,82.09,80.46,80.78,3189,1423008000
ok,80.78,80.46,79.8,80.46,477,1423094400
ok,80.46,80.46,78.82,80.46,506,1423353600
ok,80.46,80.13,79.48,80.13,290,1423440000
ok,80.13,80.13,79.15,80.13,9465,1423526400
ok,80.13,80.13,79.15,80.13,226,1423699200
ok,80.13,85.35,81.11,85.35,1950,1423958400
ok,85.35,90.25,84.7,84.7,3369,1424044800
ok,84.7,90.25,85.68,90.25,7504,1424304000
ok,90.25,90.25,86.99,87.97,7669,1424563200
ok,87.97,89.92,86.01,89.92,5200,1424649600
ok,89.92,90.25,88.94,90.25,1885,1424736000
ok,90.25,96.45,91.23,96.45,16472,1424822400
ok,96.45,97.76,97.76,97.76,10,1424908800
ok,100.04,98.74,96.13,96.13,1700,1425168000
ok,96.13,101.68,95.47,101.68,10258,1425254400
ok,101.68,100.37,96.45,99.06,1926,1425340800
ok,99.06,99.06,97.76,98.41,2709,1425427200
ok,98.41,101.02,98.74,98.74,1079,1425859200
ok,98.74,99.06,99.06,99.06,48,1425945600
ok,99.06,101.68,98.41,98.74,965,1426032000
ok,98.74,97.43,97.43,97.43,95,1426118400
ok,97.43,97.11,96.13,96.13,742,1426377600
ok,96.13,96.45,93.84,94.49,3508,1426464000
ok,94.49,98.41,95.15,98.41,828,1426550400
ok,98.41,98.41,95.47,98.41,3487,1426636800
ok,98.41,98.41,95.47,96.78,3978,1426723200
ok,96.78,95.47,94.17,94.17,1299,1426982400
ok,94.17,93.19,92.86,93.19,1150,1427068800
ok,93.19,93.19,91.88,93.19,162,1427155200
ok,93.19,93.51,92.21,93.51,1088,1427241600
ok,93.51,93.51,92.54,93.51,140,1427328000
ok,93.51,94.49,94.49,94.49,113,1427587200
ok,94.49,95.8,94.49,95.8,726,1427673600
ok,95.8,95.8,94.82,94.82,2060,1427760000
ok,94.82,94.17,93.84,93.84,1158,1427846400
ok,93.84,93.19,91.88,92.86,865,1427932800
ok,92.86,91.56,90.58,90.58,1560,1428192000
ok,90.58,91.56,90.25,90.25,1057,1428278400
ok,90.25,90.25,89.92,89.92,2446,1428364800
ok,89.92,92.21,90.25,92.21,1729,1428451200
ok,92.21,91.56,91.56,91.56,371,1428537600
ok,91.56,92.86,91.88,91.88,3476,1428796800
ok,91.88,93.19,91.23,91.23,304,1428883200
ok,91.23,90.9,90.9,90.9,1000,1429056000
ok,90.9,90.58,90.25,90.25,190,1429142400
ok,90.25,91.23,90.25,91.23,178,1429401600
ok,90.58,89.92,88.94,88.94,1184,1429747200
ok,88.94,87.97,82.74,82.74,548,1432425600
ok,82.74,81.76,77.19,77.19,927,1432512000
ok,77.19,81.76,76.21,79.8,2079,1432598400
ok,79.8,78.82,78.82,78.82,194,1432771200
ok,78.82,81.76,79.8,81.76,250,1433030400
