s,o,h,l,c,v,t
ok,317.67,317.67,317.67,317.67,0.0,1300579200
ok,314.79,314.79,314.79,314.79,0.0,1301011200
ok,314.85,314.85,314.85,314.85,0.0,1301184000
ok,315.13,315.13,315.13,315.13,0.0,1301270400
ok,313.82,313.82,313.82,313.82,0.0,1301356800
ok,313.02,313.02,313.02,313.02,0.0,1301443200
ok,313.33,313.33,313.33,313.33,0.0,1301529600
ok,313.74,313.74,313.74,313.74,0.0,1301875200
ok,313.74,313.74,313.74,313.74,0.0,1301961600
ok,314.85,314.85,314.85,314.85,0.0,1302048000
ok,314.52,314.52,314.52,314.52,0.0,1302134400
ok,312.48,312.48,312.48,312.48,0.0,1302393600
ok,311.33,311.33,311.33,311.33,0.0,1302480000
ok,309.46,309.46,309.46,309.46,0.0,1302652800
ok,309.83,309.83,309.83,309.83,0.0,1302998400
ok,309.91,309.91,309.91,309.91,0.0,1303084800
ok,310.95,310.95,310.95,310.95,0.0,1303171200
ok,310.29,310.29,310.29,310.29,0.0,1303257600
ok,309.62,309.62,309.62,309.62,0.0,1303344000
ok,308.19,308.19,308.19,308.19,0.0,1303689600
ok,308.55,308.55,308.55,308.55,0.0,1303776000
ok,308.0,308.0,308.0,308.0,0.0,1303862400
ok,307.4,307.4,307.4,307.4,0.0,1303948800
ok,307.63,307.63,307.63,307.63,0.0,1304294400
ok,307.05,307.05,307.05,307.05,0.0,1304380800
ok,306.01,306.01,306.01,306.01,0.0,1304467200
ok,305.68,305.68,305.68,305.68,0.0,1304553600
ok,304.99,304.99,304.99,304.99,0.0,1304812800
ok,305.07,305.07,305.07,305.07,0.0,1304899200
ok,304.53,304.53,304.53,304.53,0.0,1304985600
ok,302.84,302.84,302.84,302.84,0.0,1305072000
ok,301.9,301.9,301.9,301.9,0.0,1305158400
ok,301.91,301.91,301.91,301.91,0.0,1305417600
ok,302.27,302.27,302.27,302.27,0.0,1305504000
ok,302.9,302.9,302.9,302.9,0.0,1305676800
ok,302.36,302.36,302.36,302.36,0.0,1305763200
ok,302.23,302.23,302.23,302.23,0.0,1306022400
ok,301.74,301.74,301.74,301.74,0.0,1306108800
ok,301.72,301.72,301.72,301.72,0.0,1306195200
ok,301.65,301.65,301.65,301.65,0.0,1306281600
ok,301.25,301.25,301.25,301.25,0.0,1306368000
ok,302.2,302.2,302.2,302.2,0.0,1306713600
ok,301.69,301.69,301.69,301.69,0.0,1306800000
ok,302.14,302.14,302.14,302.14,0.0,1306886400
ok,302.71,302.71,302.71,302.71,0.0,1306972800
ok,300.77,300.77,300.77,300.77,0.0,1307232000
ok,299.87,299.87,299.87,299.87,0.0,1307318400
ok,298.82,298.82,298.82,298.82,0.0,1307404800
ok,297.27,297.27,297.27,297.27,0.0,1307491200
ok,297.1,297.1,297.1,297.1,0.0,1307577600
ok,296.72,296.72,296.72,296.72,0.0,1307836800
ok,295.85,295.85,295.85,295.85,0.0,1307923200
ok,294.41,294.41,294.41,294.41,0.0,1308009600
ok,293.81,293.81,293.81,293.81,0.0,1308096000
ok,293.58,293.58,293.58,293.58,0.0,1308182400
ok,296.15,296.15,296.15,296.15,0.0,1308528000
ok,298.99,298.99,298.99,298.99,0.0,1308614400
ok,300.9,300.9,300.9,300.9,0.0,1308787200
ok,302.22,302.22,302.22,302.22,0.0,1309046400
ok,302.19,302.19,302.19,302.19,0.0,1309132800
ok,300.51,300.51,300.51,300.51,0.0,1309305600
ok,299.86,299.86,299.86,299.86,0.0,1309392000
ok,300.01,300.01,300.01,300.01,0.0,1309651200
ok,299.5,299.5,299.5,299.5,0.0,1309737600
ok,298.44,298.44,298.44,298.44,0.0,1309824000
ok,298.27,298.27,298.27,298.27,0.0,1309910400
ok,297.52,297.52,297.52,297.52,0.0,1309996800
ok,297.31,297.31,297.31,297.31,0.0,1310256000
ok,298.69,298.69,298.69,298.69,0.0,1310342400
ok,300.28,300.28,300.28,300.28,0.0,1310428800
ok,301.13,301.13,301.13,301.13,0.0,1310515200
ok,302.29,302.29,302.29,302.29,0.0,1310601600
ok,304.14,304.14,304.14,304.14,0.0,1310860800
ok,304.08,304.08,304.08,304.08,0.0,1310947200
ok,302.07,302.07,302.07,302.07,0.0,1311033600
ok,301.73,301.73,301.73,301.73,0.0,1311120000
ok,301.06,301.06,301.06,301.06,0.0,1311206400
ok,300.83,300.83,300.83,300.83,0.0,1311465600
ok,300.88,300.88,300.88,300.88,0.0,1311552000
ok,299.83,299.83,299.83,299.83,0.0,1311638400
ok,297.72,297.72,297.72,297.72,0.0,1311724800
ok,298.12,298.12,298.12,298.12,0.0,1311811200
ok,296.99,296.99,296.99,296.99,0.0,1312070400
ok,295.41,295.41,295.41,295.41,0.0,1312156800
ok,295.34,295.34,295.34,295.34,0.0,1312243200
ok,294.56,294.56,294.56,294.56,0.0,1312329600
ok,293.84,293.84,293.84,293.84,0.0,1312416000
ok,293.16,293.16,293.16,293.16,0.0,1312675200
ok,292.76,292.76,292.76,292.76,0.0,1312761600
ok,291.64,291.64,291.64,291.64,0.0,1312848000
ok,291.83,291.83,291.83,291.83,0.0,1312934400
ok,291.4,291.4,291.4,291.4,0.0,1313020800
ok,291.64,291.64,291.64,291.64,0.0,1313366400
ok,292.03,292.03,292.03,292.03,0.0,1313452800
ok,291.24,291.24,291.24,291.24,0.0,1313539200
ok,291.08,291.08,291.08,291.08,0.0,1313625600
ok,290.54,290.54,290.54,290.54,0.0,1313971200
ok,289.39,289.39,289.39,289.39,0.0,1314057600
ok,288.19,288.19,288.19,288.19,0.0,1314144000
ok,287.11,287.11,287.11,287.11,0.0,1314230400
ok,285.74,285.74,285.74,285.74,0.0,1314489600
ok,285.52,285.52,285.52,285.52,0.0,1314576000
ok,285.11,285.11,285.11,285.11,0.0,1314662400
ok,284.19,284.19,284.19,284.19,0.0,1314835200
ok,283.56,283.56,283.56,283.56,0.0,1315094400
ok,283.51,283.51,283.51,283.51,0.0,1315180800
ok,282.97,282.97,282.97,282.97,0.0,1315267200
ok,282.43,282.43,282.43,282.43,0.0,1315353600
ok,280.77,280.77,280.77,280.77,0.0,1315440000
ok,279.92,279.92,279.92,279.92,0.0,1315785600
ok,278.78,278.78,278.78,278.78,0.0,1315872000
ok,277.62,277.62,277.62,277.62,0.0,1315958400
ok,277.3,277.3,277.3,277.3,0.0,1316044800
ok,276.49,276.49,276.49,276.49,0.0,1316304000
ok,275.77,275.77,275.77,275.77,0.0,1316390400
ok,276.24,276.24,276.24,276.24,0.0,1316476800
ok,276.05,276.05,276.05,276.05,0.0,1316563200
ok,275.82,275.82,275.82,275.82,0.0,1316649600
ok,275.86,275.86,275.86,275.86,0.0,1316908800
ok,275.34,275.34,275.34,275.34,0.0,1316995200
ok,275.13,275.13,275.13,275.13,0.0,1317081600
ok,275.87,275.87,275.87,275.87,0.0,1317254400
ok,276.1,276.1,276.1,276.1,0.0,1317513600
ok,276.4,276.4,276.4,276.4,0.0,1318118400
ok,276.78,276.78,276.78,276.78,0.0,1318204800
ok,276.49,276.49,276.49,276.49,0.0,1318377600
ok,274.62,274.62,274.62,274.62,0.0,1318464000
ok,273.57,273.57,273.57,273.57,0.0,1318723200
ok,273.09,273.09,273.09,273.09,0.0,1318809600
ok,272.93,272.93,272.93,272.93,0.0,1318896000
ok,272.24,272.24,272.24,272.24,0.0,1318982400
ok,272.7,272.7,272.7,272.7,0.0,1319068800
ok,273.16,273.16,273.16,273.16,0.0,1319328000
ok,273.25,273.25,273.25,273.25,0.0,1319414400
ok,272.88,272.88,272.88,272.88,0.0,1319500800
ok,272.92,272.92,272.92,272.92,0.0,1319932800
ok,273.29,273.29,273.29,273.29,0.0,1320019200
ok,275.34,275.34,275.34,275.34,0.0,1320192000
ok,274.26,274.26,274.26,274.26,0.0,1320278400
ok,273.94,273.94,273.94,273.94,0.0,1320537600
ok,273.48,273.48,273.48,273.48,0.0,1320710400
ok,273.52,273.52,273.52,273.52,0.0,1320796800
ok,272.79,272.79,272.79,272.79,0.0,1320883200
ok,272.22,272.22,272.22,272.22,0.0,1321142400
ok,271.33,271.33,271.33,271.33,0.0,1321228800
ok,271.28,271.28,271.28,271.28,0.0,1321315200
ok,270.77,270.77,270.77,270.77,0.0,1321401600
ok,270.81,270.81,270.81,270.81,0.0,1321488000
ok,270.24,270.24,270.24,270.24,0.0,1321747200
ok,270.69,270.69,270.69,270.69,0.0,1321833600
ok,270.67,270.67,270.67,270.67,0.0,1321920000
ok,270.4,270.4,270.4,270.4,0.0,1322006400
ok,270.57,270.57,270.57,270.57,0.0,1322092800
ok,270.57,270.57,270.57,270.57,0.0,1322352000
ok,270.68,270.68,270.68,270.68,0.0,1322438400
ok,269.51,269.51,269.51,269.51,0.0,1322697600
ok,269.7,269.7,269.7,269.7,0.0,1322956800
ok,270.6,270.6,270.6,270.6,0.0,1323043200
ok,270.09,270.09,270.09,270.09,0.0,1323129600
ok,269.09,269.09,269.09,269.09,0.0,1323216000
ok,267.85,267.85,267.85,267.85,0.0,1323302400
ok,267.14,267.14,267.14,267.14,0.0,1323561600
ok,266.86,266.86,266.86,266.86,0.0,1323648000
ok,267.01,267.01,267.01,267.01,0.0,1323734400
ok,267.73,267.73,267.73,267.73,0.0,1323820800
ok,267.39,267.39,267.39,267.39,0.0,1323907200
ok,267.23,267.23,267.23,267.23,0.0,1324166400
ok,266.96,266.96,266.96,266.96,0.0,1324252800
ok,266.05,266.05,266.05,266.05,0.0,1324339200
ok,265.35,265.35,265.35,265.35,0.0,1324425600
ok,264.79,264.79,264.79,264.79,0.0,1324512000
ok,265.52,265.52,265.52,265.52,0.0,1324857600
ok,266.71,266.71,266.71,266.71,0.0,1324944000
ok,266.95,266.95,266.95,266.95,0.0,1325030400
ok,266.75,266.75,266.75,266.75,0.0,1325116800
ok,266.76,266.76,266.76,266.76,0.0,1325376000
ok,266.52,266.52,266.52,266.52,0.0,1325462400
ok,266.2,266.2,266.2,266.2,0.0,1325548800
ok,265.76,265.76,265.76,265.76,0.0,1325635200
ok,265.81,265.81,265.81,265.81,0.0,1325721600
ok,266.02,266.02,266.02,266.02,0.0,1325980800
ok,265.94,265.94,265.94,265.94,0.0,1326067200
ok,266.69,266.69,266.69,266.69,0.0,1326153600
ok,266.64,266.64,266.64,266.64,0.0,1326240000
ok,266.81,266.81,266.81,266.81,0.0,1326326400
ok,266.71,266.71,266.71,266.71,0.0,1326758400
ok,266.45,266.45,266.45,266.45,0.0,1326844800
ok,266.1,266.1,266.1,266.1,0.0,1326931200
ok,266.43,266.43,266.43,266.43,0.0,1327190400
ok,266.32,266.32,266.32,266.32,0.0,1327276800
ok,265.94,265.94,265.94,265.94,0.0,1327449600
ok,265.63,265.63,265.63,265.63,0.0,1327536000
ok,264.64,264.64,264.64,264.64,0.0,1327795200
ok,263.9,263.9,263.9,263.9,0.0,1327968000
ok,263.55,263.55,263.55,263.55,0.0,1328054400
ok,263.13,263.13,263.13,263.13,0.0,1328140800
ok,263.29,263.29,263.29,263.29,0.0,1328400000
ok,262.92,262.92,262.92,262.92,0.0,1328486400
ok,262.21,262.21,262.21,262.21,0.0,1328572800
ok,261.96,261.96,261.96,261.96,0.0,1328659200
ok,261.38,261.38,261.38,261.38,0.0,1328745600
ok,260.6,260.6,260.6,260.6,0.0,1329004800
ok,259.93,259.93,259.93,259.93,0.0,1329091200
ok,259.78,259.78,259.78,259.78,0.0,1329177600
ok,260.09,260.09,260.09,260.09,0.0,1329264000
ok,259.56,259.56,259.56,259.56,0.0,1329350400
ok,259.71,259.71,259.71,259.71,0.0,1329782400
ok,259.33,259.33,259.33,259.33,0.0,1329955200
