s,o,h,l,c,v,t
ok,75.07,74.48,74.48,74.48,100,1377561600
ok,74.48,73.88,73.48,73.48,402,1378771200
ok,73.48,72.89,72.29,72.29,1526,1379289600
ok,72.29,72.29,72.29,72.29,1000,1379808000
ok,72.29,71.7,71.7,71.7,707,1379894400
ok,71.7,72.29,72.29,72.29,12,1386028800
ok,72.29,72.89,72.89,72.89,12,1386115200
ok,72.89,73.48,73.48,73.48,10,1386201600
ok,73.48,74.08,73.48,73.48,600,1386460800
ok,73.48,74.08,72.89,74.08,1653,1386547200
ok,74.08,74.68,74.68,74.68,10,1386633600
ok,74.68,76.66,75.27,76.66,1030,1386720000
ok,76.66,76.66,76.66,76.66,289,1386806400
ok,76.66,70.7,70.7,70.7,95,1390262400
ok,75.95,75.26,75.26,75.26,316,1391558400
ok,75.26,75.26,75.26,75.26,5270,1394323200
ok,75.26,74.58,74.58,74.58,194,1394496000
ok,74.58,74.58,74.58,74.58,330,1394668800
ok,74.58,73.89,73.89,73.89,200,1395792000
ok,73.89,74.58,74.58,74.58,480,1396310400
ok,74.58,73.89,73.89,73.89,72,1397520000
ok,73.89,74.58,74.58,74.58,87,1397692800
ok,74.58,74.58,74.58,74.58,255,1397952000
ok,74.58,75.26,75.26,75.26,419,1398038400
ok,75.26,75.95,74.58,75.95,497,1398124800
ok,75.95,77.32,76.63,76.63,1337,1398643200
ok,76.63,77.32,77.32,77.32,50,1399161600
ok,77.32,76.86,76.86,76.86,817,1399248000
ok,76.86,76.86,76.86,76.86,5534,1399420800
ok,76.86,77.55,76.86,77.32,1443,1399507200
ok,77.32,76.86,76.86,76.86,319,1399852800
ok,76.86,77.32,77.09,77.09,1891,1399939200
ok,77.09,77.09,77.09,77.09,143,1400112000
ok,77.09,77.09,77.09,77.09,191,1400371200
ok,77.09,80.51,77.77,80.51,250,1400457600
ok,80.51,80.51,80.51,80.51,1248,1400544000
ok,80.51,84.85,81.2,81.43,36519,1400630400
ok,81.43,84.17,81.43,84.17,454,1400716800
ok,84.17,83.71,83.71,83.71,510,1400976000
ok,83.71,86.22,84.63,86.22,354,1401062400
ok,86.22,85.31,84.4,84.4,542,1401235200
ok,84.4,85.31,83.48,85.31,1060,1401580800
ok,85.31,85.31,84.63,84.63,392,1401667200
ok,84.63,85.54,85.54,85.54,50,1401753600
ok,85.54,86.45,86.45,86.45,50,1401840000
ok,86.45,85.54,84.63,84.63,444,1401926400
ok,84.63,85.54,84.63,85.54,1304,1402272000
ok,85.54,86.45,86.45,86.45,50,1402358400
ok,86.45,86.45,85.54,86.45,1515,1402444800
ok,86.45,86.45,84.63,84.63,380,1402531200
ok,84.63,86.45,85.54,86.45,63,1402790400
ok,86.45,88.28,87.37,88.28,62,1402963200
ok,88.28,90.11,89.19,90.11,77,1403049600
ok,90.11,91.93,91.02,91.02,2218,1403136000
ok,91.02,90.11,90.11,90.11,63,1403654400
ok,90.11,91.02,91.02,91.02,1444,1404000000
ok,91.02,91.93,91.02,91.02,962,1404086400
ok,91.02,92.85,91.93,91.93,1515,1404172800
ok,91.93,91.02,90.11,90.56,493,1404604800
ok,90.56,89.65,89.65,89.65,976,1404691200
ok,89.65,90.56,90.56,90.56,50,1404777600
ok,90.56,91.48,90.56,90.56,1167,1404864000
ok,90.56,91.02,91.02,91.02,724,1405209600
ok,91.02,90.56,90.56,90.56,100,1405296000
ok,90.56,95.13,91.48,95.13,2090,1405382400
ok,95.13,95.13,93.99,95.13,211,1405468800
ok,95.13,96.27,96.27,96.27,22,1405555200
ok,96.27,97.42,96.27,96.27,2500,1405814400
ok,96.27,102.21,97.42,102.21,1581,1405900800
ok,102.21,103.35,103.35,103.35,305,1405987200
ok,103.35,104.72,104.5,104.72,63,1406073600
ok,104.72,105.87,103.35,105.87,758,1406160000
ok,105.87,112.72,107.24,112.72,587,1406419200
ok,112.72,115.46,114.09,115.46,40,1406505600
ok,115.46,120.03,115.69,120.03,675,1406678400
ok,120.03,123.68,121.17,123.68,806,1406764800
ok,123.68,122.08,122.08,122.08,12,1407024000
ok,122.08,122.31,122.08,122.31,650,1407110400
ok,122.31,120.71,120.71,120.71,293,1407196800
ok,120.71,122.31,117.51,117.51,1556,1409443200
ok,117.51,115.91,113.86,113.86,883,1409529600
ok,113.86,112.49,111.12,111.12,240,1409702400
ok,111.12,111.12,109.52,109.52,688,1409788800
ok,109.52,108.15,108.15,108.15,72,1410048000
ok,108.15,108.15,108.15,108.15,211,1410220800
ok,108.15,106.78,104.27,104.27,1432,1410393600
ok,104.27,104.27,102.9,102.9,699,1410652800
ok,102.9,105.18,102.9,105.18,353,1410739200
ok,105.18,103.81,103.81,103.81,824,1410825600
ok,103.81,102.67,101.53,102.67,1401,1411257600
ok,102.67,103.81,102.9,103.12,1700,1411430400
ok,103.12,102.21,102.21,102.21,502,1411862400
ok,102.21,101.07,97.64,97.64,3085,1411948800
ok,97.64,98.79,98.79,98.79,30,1413072000
