s,o,h,l,c,v,t
ok,112.0,118.0,112.0,118.0,60,1491177600
ok,119.33,126.0,119.33,126.0,60,1491264000
ok,126.0,134.67,127.33,134.67,70,1491436800
ok,136.67,144.67,136.67,136.67,10050,1491696000
ok,146.67,155.33,146.67,155.33,1060,1491782400
ok,157.33,167.33,157.33,167.33,60,1491868800
ok,170.0,180.67,170.0,180.67,3290,1491955200
ok,183.33,195.33,183.33,195.33,10139,1492041600
ok,198.0,211.33,198.0,211.33,53319,1492300800
ok,214.67,225.33,211.33,221.33,56147,1492473600
ok,221.33,226.67,220.0,224.67,22541,1492560000
ok,228.0,230.0,213.33,223.33,21632,1492646400
ok,226.67,230.0,223.33,226.67,11000,1492905600
ok,228.0,237.33,226.67,231.33,26021,1492992000
ok,232.0,236.67,229.33,232.67,34867,1493078400
ok,236.0,236.67,228.0,228.0,5229,1493164800
ok,228.0,228.0,220.0,226.0,48910,1493251200
ok,223.33,225.33,216.67,225.33,40381,1493510400
ok,226.67,226.67,213.33,226.67,75539,1493683200
ok,227.0,245.0,223.0,227.0,13244,1493769600
ok,230.0,235.0,225.0,225.0,7375,1493856000
ok,221.0,221.0,216.0,220.0,9907,1494115200
ok,217.0,221.0,215.0,217.0,5013,1494201600
ok,217.0,221.0,215.0,218.0,14052,1494288000
ok,221.0,236.0,220.0,220.0,39200,1494460800
ok,220.0,224.0,218.0,218.0,7076,1494806400
ok,216.0,216.0,215.0,215.0,1840,1494892800
ok,212.0,215.0,208.0,213.0,2804,1494979200
ok,213.0,215.0,210.0,212.0,6660,1495065600
ok,208.0,214.0,204.0,212.0,3320,1495324800
ok,210.0,210.0,210.0,210.0,300,1495411200
ok,211.0,211.0,208.0,208.0,690,1495497600
ok,208.0,210.0,210.0,210.0,100,1495584000
ok,210.0,210.0,204.0,205.0,1200,1495929600
ok,201.0,202.0,200.0,200.0,865,1496102400
ok,200.0,205.0,195.0,205.0,3711,1496188800
ok,205.0,205.0,200.0,200.0,2166,1496275200
ok,198.0,198.0,198.0,198.0,24,1496534400
ok,200.0,201.0,199.0,199.0,2901,1496620800
ok,202.0,206.0,201.0,202.0,3214,1496707200
ok,206.0,206.0,200.0,200.0,3365,1496793600
ok,197.0,200.0,197.0,200.0,2369,1496880000
ok,198.0,198.0,193.0,193.0,1700,1497139200
ok,196.0,196.0,195.0,196.0,970,1497225600
ok,192.0,194.0,190.0,194.0,1228,1497312000
ok,188.0,193.0,188.0,190.0,2685,1497398400
ok,192.0,195.0,190.0,195.0,622,1497484800
ok,195.0,195.0,195.0,195.0,13,1497744000
ok,194.0,195.0,193.0,195.0,896,1497830400
ok,194.0,194.0,187.0,190.0,1238,1497916800
ok,191.0,192.0,190.0,190.0,133,1498003200
ok,190.0,192.0,187.0,192.0,4160,1498089600
ok,190.0,190.0,189.0,189.0,300,1498348800
ok,192.0,192.0,186.0,186.0,1025,1498521600
ok,187.0,188.0,187.0,188.0,2302,1498608000
ok,188.0,188.0,186.0,186.0,101,1498953600
ok,185.0,185.0,180.0,182.0,1868,1499040000
ok,182.0,182.0,179.0,182.0,824,1499126400
ok,176.0,182.0,176.0,182.0,2309,1499212800
ok,185.0,185.0,182.0,182.0,3070,1499299200
ok,185.0,188.0,182.0,186.0,468,1499558400
ok,186.0,186.0,183.0,185.0,2732,1499644800
ok,183.0,186.0,183.0,186.0,160,1499731200
ok,184.0,187.0,184.0,185.0,1523,1499817600
ok,183.0,183.0,180.0,181.0,1400,1499904000
ok,180.0,182.0,177.0,181.0,1777,1500163200
ok,180.0,185.0,180.0,185.0,366,1500249600
ok,188.0,192.0,185.0,192.0,1876,1500336000
ok,195.0,195.0,189.0,191.0,2432,1500422400
ok,186.0,186.0,185.0,186.0,610,1500508800
ok,186.0,192.0,186.0,192.0,1446,1500768000
ok,189.0,189.0,180.0,180.0,9006,1500854400
ok,183.0,183.0,180.0,183.0,6793,1500940800
ok,184.0,194.0,178.0,194.0,3491,1501027200
ok,191.0,194.0,188.0,194.0,4759,1501113600
ok,194.0,194.0,188.0,193.0,7060,1501372800
ok,192.0,192.0,187.0,191.0,10826,1501459200
ok,190.0,201.0,190.0,195.0,6428,1501545600
ok,198.0,204.0,192.0,196.0,7699,1501632000
ok,196.0,199.0,191.0,191.0,642,1501718400
ok,193.0,193.0,190.0,193.0,500,1501977600
ok,194.0,204.0,194.0,197.0,19474,1502064000
ok,195.0,208.0,194.0,201.0,10028,1502236800
ok,200.0,200.0,197.0,197.0,6350,1502323200
ok,196.0,213.0,195.0,205.0,16213,1502582400
ok,201.0,207.0,199.0,203.0,12986,1502755200
ok,199.0,208.0,199.0,204.0,25977,1502841600
ok,201.0,201.0,201.0,201.0,150,1502928000
ok,197.0,198.0,197.0,198.0,1194,1503187200
ok,197.0,197.0,196.0,197.0,1606,1503273600
ok,195.0,195.0,192.0,192.0,1042,1503360000
ok,190.0,191.0,190.0,191.0,97,1503446400
ok,191.0,194.0,194.0,194.0,147,1503532800
ok,194.0,191.0,191.0,191.0,151,1503792000
ok,192.0,195.0,192.0,195.0,308,1503878400
ok,194.0,194.0,191.0,192.0,16514,1504483200
ok,188.0,188.0,182.0,185.0,5167,1504656000
ok,186.0,188.0,185.0,187.0,1995,1504742400
ok,187.0,187.0,180.0,180.0,848,1505001600
ok,180.0,189.0,180.0,187.0,3199,1505088000
ok,184.0,184.0,180.0,183.0,14853,1505174400
ok,186.0,186.0,184.0,186.0,601,1505260800
ok,189.0,189.0,185.0,188.0,1008,1505347200
ok,191.0,194.0,185.0,194.0,3747,1505606400
ok,197.0,199.0,196.0,197.0,18388,1505692800
ok,200.0,204.0,196.0,199.0,200,1505865600
ok,196.0,196.0,194.0,194.0,5408,1506297600
ok,191.0,191.0,191.0,191.0,31,1506384000
ok,192.0,192.0,192.0,192.0,36,1507075200
