s,o,h,l,c,v,t
ok,52.56,47.01,47.01,47.01,1000,1325376000
ok,51.1,51.1,51.1,51.1,972,1325462400
ok,51.1,50.51,50.51,50.51,40,1325635200
ok,50.51,49.93,49.34,49.34,510,1325721600
ok,49.34,48.76,48.18,48.18,671,1325980800
ok,48.18,51.1,48.76,51.1,390,1326153600
ok,51.1,51.39,51.1,51.1,530,1326326400
ok,51.1,51.1,51.1,51.1,132,1326672000
ok,51.1,51.1,50.51,50.51,1936,1326758400
ok,50.51,51.39,51.1,51.39,654,1327190400
ok,51.39,50.81,50.22,50.22,88,1327276800
ok,50.22,50.22,49.64,49.64,4290,1327536000
ok,49.64,50.51,50.22,50.22,923,1327795200
ok,50.22,50.81,50.81,50.81,40,1327968000
ok,50.81,51.1,50.81,50.81,110,1328054400
ok,50.81,50.81,50.22,50.22,410,1328140800
ok,50.22,49.64,49.05,49.05,2260,1328486400
ok,49.05,49.64,49.64,49.64,42,1328572800
ok,49.64,49.34,49.34,49.34,300,1329004800
ok,49.34,49.05,48.47,48.47,1438,1329091200
ok,48.47,49.05,49.05,49.05,264,1329955200
ok,49.05,48.47,48.18,48.18,414,1330214400
ok,48.18,48.76,48.18,48.47,2080,1330300800
ok,48.47,48.47,48.47,48.47,100,1330473600
ok,48.47,49.05,49.05,49.05,200,1330560000
ok,49.05,50.22,49.64,50.22,1360,1330992000
ok,50.22,49.64,48.76,48.76,1791,1331424000
ok,48.76,49.05,48.47,48.76,1345,1331510400
ok,48.76,48.76,48.47,48.47,152,1332028800
ok,48.47,49.05,49.05,49.05,250,1332633600
ok,49.05,49.93,48.47,48.76,1550,1332720000
ok,48.76,48.76,48.76,48.76,3000,1332806400
ok,48.76,49.05,48.76,49.05,3729,1332892800
ok,49.05,48.47,48.47,48.47,360,1332979200
ok,48.47,49.05,49.05,49.05,690,1333324800
ok,49.05,49.64,49.64,49.64,176,1333497600
ok,49.64,49.64,49.64,49.64,142,1333584000
ok,49.64,49.05,48.18,48.18,1110,1333843200
ok,48.18,47.88,47.88,47.88,3916,1334016000
ok,47.88,47.3,47.3,47.3,248,1334188800
ok,47.3,48.76,48.76,48.76,70,1334534400
ok,48.76,49.93,49.34,49.93,20,1334793600
ok,49.93,51.68,50.51,51.68,30,1335052800
ok,51.68,54.9,52.27,54.9,4870,1335398400
ok,54.9,57.24,55.48,57.24,360,1335657600
ok,57.24,57.82,57.82,57.82,10,1335744000
ok,57.82,61.62,58.4,60.45,3794,1335916800
ok,60.45,62.5,61.03,62.5,60,1336003200
ok,62.5,66.88,62.5,66.88,4290,1336435200
