s,o,h,l,c,v,t
ok,32.48,31.91,31.91,31.91,50,1325462400
ok,31.91,31.35,30.08,30.08,648,1326326400
ok,30.08,29.51,28.24,28.24,239,1326844800
ok,28.24,27.68,27.68,27.68,500,1327190400
ok,27.68,28.1,27.68,27.68,180,1327276800
ok,27.68,27.39,26.97,26.97,246,1327536000
ok,26.97,26.97,26.97,26.97,123,1328140800
ok,26.97,27.39,27.39,27.39,500,1328745600
ok,27.39,26.97,26.55,26.55,925,1329004800
ok,26.55,26.97,26.97,26.97,49,1330387200
ok,26.97,28.81,27.39,28.81,90,1330560000
ok,28.81,29.37,29.37,29.37,20,1330819200
ok,29.37,29.94,28.81,28.81,130,1330905600
ok,28.81,29.23,28.95,28.95,401,1330992000
ok,28.95,28.95,28.95,28.95,10,1331424000
ok,28.95,28.81,28.52,28.52,359,1331510400
ok,28.52,28.1,28.1,28.1,200,1331596800
ok,28.1,28.52,28.24,28.24,207,1331683200
ok,28.24,28.81,28.81,28.81,1000,1332028800
ok,28.81,28.24,28.1,28.1,1750,1332806400
ok,28.1,28.24,28.24,28.24,60,1332979200
ok,28.24,28.52,28.52,28.52,130,1333238400
ok,28.52,29.09,29.09,29.09,40,1334448000
ok,29.09,29.65,29.09,29.65,2502,1334707200
ok,29.65,30.22,30.22,30.22,50,1335916800
ok,30.22,31.63,31.63,31.63,10,1336348800
ok,31.63,32.2,32.2,32.2,40,1336435200
ok,32.2,32.76,32.76,32.76,2844,1336521600
ok,32.76,33.89,33.32,33.89,1060,1336867200
ok,33.89,36.29,34.45,36.29,120,1336953600
ok,36.29,37.7,37.0,37.0,1025,1337126400
ok,37.0,40.53,37.7,40.53,1479,1337212800
ok,40.53,41.94,41.23,41.94,41,1337472000
ok,41.94,42.64,41.23,41.66,3189,1337558400
ok,41.66,40.95,39.54,39.54,150,1337644800
ok,39.54,39.54,38.83,39.54,78,1337731200
ok,39.54,40.24,40.24,40.24,20,1337817600
ok,40.24,39.54,36.29,36.29,2159,1338249600
ok,36.29,35.58,34.88,35.44,490,1338336000
ok,35.44,36.15,36.15,36.15,20,1338768000
ok,36.15,36.01,35.44,35.58,595,1338854400
ok,35.58,35.3,35.16,35.3,467,1338940800
ok,35.3,36.71,36.01,36.01,45,1339027200
