s,o,h,l,c,v,t
ok,59.81,59.81,59.81,59.81,50,1352332800
ok,59.81,60.27,60.27,60.27,50,1353369600
ok,60.27,60.73,60.73,60.73,900,1353888000
ok,60.73,59.66,59.35,59.35,20,1358640000
ok,59.35,58.27,57.66,57.66,30,1358726400
ok,57.66,56.74,56.43,56.43,70,1358812800
ok,56.43,55.51,55.2,55.2,320,1358899200
ok,55.2,54.59,54.59,54.59,50,1358985600
ok,54.59,54.28,53.67,53.67,11297,1359244800
ok,53.67,53.67,53.36,53.67,11370,1359590400
ok,53.67,53.82,53.82,53.82,11250,1359936000
ok,53.82,53.52,53.21,53.21,197,1360022400
ok,53.21,53.52,53.52,53.52,11081,1360713600
ok,53.52,53.67,53.67,53.67,11025,1360800000
ok,53.67,53.67,53.67,53.67,7875,1363651200
ok,53.67,53.52,53.52,53.52,246,1363824000
ok,53.52,53.82,53.82,53.82,1350,1370822400
ok,53.82,53.98,53.98,53.98,1350,1370908800
ok,53.98,53.67,53.67,53.67,37,1371600000
ok,53.67,53.82,53.82,53.82,2250,1372723200
ok,53.82,53.98,53.98,53.98,2250,1374451200
ok,53.98,53.98,53.98,53.98,2250,1374537600
ok,53.98,53.67,53.67,53.67,123,1375920000
ok,53.67,53.98,53.98,53.98,235,1378252800
ok,53.98,53.98,53.98,53.98,190,1378339200
ok,53.98,53.98,53.67,53.67,5067,1378857600
ok,53.67,53.36,53.36,53.36,250,1379289600
ok,53.36,53.67,53.06,53.67,22130,1379376000
ok,53.67,53.98,53.98,53.98,10631,1379980800
ok,53.98,54.9,54.28,54.9,372,1386460800
ok,54.9,55.51,55.2,55.51,22476,1386547200
ok,55.51,56.13,55.82,56.13,240,1386633600
ok,56.13,56.43,56.43,56.43,123,1386720000
ok,56.43,56.13,56.13,56.13,89538,1399334400
ok,56.13,56.43,56.43,56.43,56,1399507200
ok,56.43,57.05,56.74,57.05,6604,1399766400
ok,57.05,56.74,56.43,56.43,12138,1399939200
ok,56.43,57.35,56.74,57.35,12939,1400371200
ok,57.35,57.05,56.43,56.43,50208,1400457600
