s,o,h,l,c,v,t
ok,109.29,109.29,109.29,109.29,10,1329004800
ok,109.29,108.4,107.93,107.93,30,1329782400
ok,107.93,106.92,106.92,106.92,10,1330992000
ok,106.92,105.91,105.49,105.49,20,1333843200
ok,105.49,104.54,103.47,103.47,50,1334102400
ok,103.47,103.12,103.12,103.12,10,1338940800
ok,103.12,102.23,102.23,102.23,200,1339891200
ok,102.23,101.39,101.39,101.39,10,1343174400
ok,101.39,100.56,100.56,100.56,10,1345075200
ok,100.56,99.79,99.79,99.79,10,1345593600
ok,99.79,99.08,99.08,99.08,10,1346025600
ok,99.08,98.37,97.89,97.89,40,1347408000
ok,97.89,97.65,97.18,97.18,30,1347494400
ok,97.18,96.58,95.99,95.99,70,1347926400
ok,95.99,95.46,94.92,94.92,80,1348099200
ok,94.92,94.74,94.39,94.39,50,1348444800
ok,94.39,93.91,93.44,93.44,80,1348963200
ok,93.44,93.02,92.61,92.61,100,1349568000
ok,92.61,92.49,92.37,92.37,30,1349654400
ok,92.37,92.01,91.89,91.89,40,1349740800
ok,91.89,91.54,91.18,91.18,40,1349913600
ok,91.18,91.06,90.53,90.53,620,1350172800
ok,90.53,90.29,89.99,89.99,1260,1350259200
ok,89.99,89.99,89.58,89.58,1020,1350518400
ok,89.58,89.93,89.64,89.88,1480,1351555200
ok,89.88,90.05,89.88,89.88,1030,1351641600
ok,89.88,89.93,89.88,89.88,1500,1351728000
ok,89.88,89.88,89.82,89.82,1280,1351987200
ok,89.82,89.88,89.82,89.82,460,1352073600
ok,89.82,89.82,89.76,89.82,1540,1352160000
ok,89.82,89.82,89.82,89.82,800,1352246400
ok,89.82,89.82,89.82,89.82,550,1352332800
ok,89.82,89.82,89.82,89.82,2230,1352592000
ok,89.82,89.76,89.7,89.7,300,1352678400
ok,89.7,89.82,89.7,89.76,590,1353196800
ok,89.76,89.93,89.82,89.93,1390,1353369600
ok,89.93,89.88,89.88,89.88,1020,1353542400
ok,89.88,89.88,89.88,89.88,60,1353801600
ok,89.88,89.82,89.82,89.82,5670,1353888000
ok,89.82,89.82,89.7,89.82,830,1354060800
ok,89.82,89.88,89.88,89.88,410,1354492800
ok,89.88,89.93,89.93,89.93,600,1354579200
ok,89.93,89.88,89.88,89.88,20,1354665600
ok,89.88,89.93,89.88,89.93,390,1354752000
ok,89.93,89.99,89.99,89.99,320,1355011200
ok,89.99,89.93,89.93,89.93,530,1355184000
ok,89.93,89.82,89.82,89.82,500,1355356800
ok,89.82,89.82,89.82,89.82,400,1355616000
ok,89.82,89.82,89.76,89.82,160,1355702400
ok,89.82,89.76,89.76,89.76,280,1355788800
ok,89.76,89.7,89.7,89.7,20,1356220800
ok,89.7,89.64,89.64,89.64,500,1356480000
ok,89.64,89.64,89.64,89.64,60,1356566400
ok,89.64,89.64,89.64,89.64,300,1356912000
ok,89.64,89.76,89.7,89.76,100,1356998400
ok,89.76,89.82,89.82,89.82,40,1357084800
ok,89.82,89.76,89.7,89.7,320,1357516800
ok,89.7,89.76,89.76,89.76,300,1357689600
ok,89.76,89.76,89.7,89.76,320,1357776000
ok,89.76,89.7,89.64,89.64,90,1358640000
ok,89.64,89.82,89.58,89.82,230,1358899200
ok,89.82,89.82,89.82,89.82,10,1358985600
ok,89.82,89.82,89.82,89.82,200,1359936000
ok,89.82,89.88,89.82,89.82,120,1361923200
ok,89.82,89.76,89.76,89.76,100,1364169600
ok,89.76,89.58,89.58,89.58,240,1364428800
ok,89.58,89.52,89.28,89.34,270,1364688000
ok,89.34,89.4,89.28,89.28,230,1364774400
ok,89.28,89.22,89.22,89.22,350,1364860800
ok,89.22,89.1,89.1,89.1,600,1364947200
ok,89.1,89.04,88.98,88.98,120,1365033600
ok,88.98,89.1,88.63,88.63,870,1365292800
ok,88.63,88.69,88.57,88.57,680,1365379200
ok,88.57,88.57,88.51,88.57,230,1365465600
ok,88.57,88.51,88.39,88.39,130,1365638400
ok,88.39,88.75,88.39,88.75,420,1365984000
ok,88.75,88.57,88.51,88.51,660,1366156800
ok,88.51,88.69,88.69,88.69,550,1366243200
ok,88.69,88.75,88.69,88.69,340,1366502400
ok,88.69,88.75,88.75,88.75,280,1367193600
ok,88.75,88.81,88.81,88.81,240,1367280000
ok,88.81,88.87,88.87,88.87,200,1367452800
ok,88.87,88.81,88.75,88.75,30,1367712000
ok,88.75,88.75,88.75,88.75,120,1368057600
ok,88.75,88.75,88.75,88.75,110,1368316800
ok,88.75,88.69,88.69,88.69,280,1368921600
ok,88.69,88.63,88.63,88.63,40,1369094400
ok,88.63,88.57,88.51,88.51,60,1369872000
ok,88.51,88.51,88.51,88.51,780,1370908800
ok,88.51,88.51,88.51,88.51,320,1371081600
ok,88.51,88.51,88.51,88.51,10,1372118400
