s,o,h,l,c,v,t
ok,109.21,109.21,107.67,107.67,4144.6,1577836800
ok,108.18,108.7,108.18,108.18,5904.1,1577923200
ok,107.67,107.67,105.12,106.14,3186.65,1578182400
ok,105.63,106.39,104.6,106.39,8680.2,1578268800
ok,105.88,105.88,105.12,105.12,3929.55,1578355200
ok,104.86,104.86,104.6,104.6,1994.1,1578441600
ok,104.6,104.6,104.09,104.09,3675.4,1578528000
ok,103.84,105.12,103.58,104.6,5466.18,1578787200
ok,104.6,104.6,103.58,103.58,11456.3,1578873600
ok,103.84,106.65,103.84,105.88,7331.25,1578960000
ok,106.39,106.39,106.14,106.14,2205.24,1579046400
ok,106.65,108.18,106.65,107.93,2893.4,1579132800
ok,108.44,108.95,107.93,107.93,664.7,1579392000
ok,108.44,108.44,108.44,108.44,527.85,1579478400
ok,108.44,108.44,108.44,108.44,195.5,1579564800
ok,108.95,108.95,108.44,108.44,13724.1,1579996800
ok,108.95,109.46,108.95,109.46,78.2,1580083200
ok,111.25,111.25,109.97,109.97,78.2,1580169600
ok,111.76,111.76,111.0,111.0,430.1,1580256000
ok,111.0,111.0,110.23,110.23,5865.0,1580342400
ok,112.02,112.02,112.02,112.02,39.1,1580774400
ok,111.25,111.25,108.18,108.18,9384.0,1580947200
ok,107.67,107.67,104.86,106.14,12031.07,1581206400
ok,106.14,106.39,106.14,106.39,3870.9,1581292800
ok,105.88,106.39,104.86,106.39,6197.35,1581379200
ok,105.88,106.14,105.37,105.37,3753.6,1581465600
ok,105.63,106.91,105.63,106.91,9516.94,1581552000
ok,106.65,106.65,106.39,106.39,1290.3,1581811200
ok,106.91,107.42,106.91,106.91,860.2,1581897600
ok,106.39,106.39,105.63,105.63,4011.66,1581984000
ok,105.63,105.63,105.37,105.63,3245.3,1582070400
ok,105.63,107.16,106.14,106.65,2619.7,1582156800
ok,106.65,106.65,106.65,106.65,508.3,1582416000
ok,106.65,106.65,105.63,105.63,4692.0,1582502400
ok,105.88,107.93,105.88,107.16,42716.75,1582588800
ok,107.67,110.49,107.67,110.23,25559.67,1582675200
ok,111.0,113.55,111.0,113.3,24038.68,1582761600
ok,113.3,113.3,111.51,111.51,2314.72,1583020800
ok,112.28,112.28,109.97,109.97,8343.94,1583107200
ok,109.97,111.25,109.21,111.25,9165.04,1583193600
ok,110.49,110.49,110.49,110.49,1955.0,1583366400
ok,109.72,109.72,107.67,107.67,2549.32,1583884800
ok,107.93,107.93,105.12,105.12,4320.55,1583971200
ok,104.6,104.6,103.58,104.09,5083.0,1584230400
ok,104.6,104.6,104.09,104.35,3882.63,1584316800
ok,103.84,103.84,103.32,103.32,488.75,1584403200
ok,102.81,102.81,102.3,102.81,12277.4,1584489600
ok,102.3,102.81,102.3,102.3,1642.2,1584576000
ok,102.81,104.35,102.81,104.35,1016.6,1593993600
ok,104.86,106.39,104.86,106.39,7585.4,1594080000
ok,106.39,107.42,106.39,107.42,469.2,1594166400
ok,107.93,107.93,107.93,107.93,39.1,1594252800
ok,107.42,107.42,106.91,106.91,469.2,1594512000
ok,106.39,106.39,106.14,106.14,2725.27,1594598400
ok,106.65,106.65,105.12,105.12,2326.45,1594684800
ok,105.12,105.12,105.12,105.12,2971.6,1594771200
ok,104.86,105.63,104.86,105.63,1642.2,1594857600
ok,106.14,107.16,106.14,107.16,15698.65,1595203200
ok,107.67,107.67,106.14,106.14,6603.99,1595289600
ok,105.63,105.63,105.12,105.63,2467.21,1595376000
ok,106.14,106.65,105.12,105.12,4934.42,1595462400
ok,105.12,105.12,104.6,105.12,887.57,1595721600
ok,105.63,106.14,105.63,105.63,2189.6,1595808000
ok,105.37,105.88,105.12,105.88,5904.1,1595894400
ok,105.88,105.88,105.88,105.88,782.0,1595980800
ok,106.39,106.39,106.39,106.39,78.2,1596067200
ok,106.91,109.72,106.91,109.72,26666.2,1596326400
ok,110.23,113.3,110.23,113.3,8211.0,1596412800
ok,115.35,117.39,115.35,117.39,98715.77,1596585600
ok,118.16,121.74,118.16,121.74,105304.12,1596672000
ok,124.04,126.6,121.74,121.99,67365.39,1596931200
ok,121.99,126.6,117.14,124.04,20410.2,1597017600
ok,123.02,123.02,118.93,118.93,2189.6,1597104000
ok,116.62,118.93,114.32,116.88,20863.76,1597190400
ok,116.88,116.88,112.53,114.32,54302.08,1597276800
ok,113.55,114.32,111.25,113.55,11827.75,1597536000
ok,114.32,115.09,112.02,112.79,12046.71,1597622400
ok,112.79,113.3,112.28,113.3,10498.35,1597708800
ok,113.55,113.55,112.53,112.79,2971.6,1597795200
ok,113.55,113.55,112.53,113.3,6373.3,1597881600
ok,113.81,114.32,113.55,114.32,14467.0,1598140800
ok,114.83,116.37,114.83,116.37,28030.79,1598227200
ok,117.14,120.72,116.37,116.37,35698.3,1598313600
ok,117.14,119.95,117.14,119.69,27127.58,1598400000
ok,120.46,120.97,118.41,118.41,26396.41,1598486400
ok,118.41,118.16,117.65,117.65,977.5,1598745600
ok,118.41,119.95,117.39,118.67,9677.25,1598832000
ok,119.44,119.44,115.6,117.14,18756.27,1599004800
ok,116.62,118.16,115.35,118.16,17927.35,1599091200
ok,118.16,118.41,116.88,117.65,20742.55,1599350400
ok,117.14,117.14,115.35,116.11,7014.54,1599436800
ok,115.35,116.11,115.35,116.11,6040.95,1599523200
ok,115.35,117.14,115.35,115.86,12691.86,1599609600
ok,116.62,119.44,116.62,119.18,32941.75,1599696000
ok,119.18,119.95,118.41,119.44,15268.55,1599955200
