s,o,h,l,c,v,t
ok,78.6,77.24,73.85,73.85,300,1327968000
ok,73.85,72.83,67.75,67.75,200,1328572800
ok,67.75,66.73,66.73,66.73,3120,1328659200
ok,66.73,65.71,65.71,65.71,10,1329955200
ok,65.71,64.69,60.62,60.62,60,1332028800
ok,60.62,59.61,58.93,58.93,40,1332115200
ok,58.93,58.25,58.25,58.25,20,1332201600
ok,58.25,57.57,56.9,56.9,2000,1332892800
ok,56.9,56.22,53.5,53.5,1520,1332979200
ok,53.5,52.83,52.15,52.15,40,1333411200
ok,52.15,51.47,48.08,48.08,120,1333497600
ok,48.08,47.4,44.35,44.35,210,1333584000
ok,44.35,43.67,41.98,41.98,1063,1333843200
ok,41.98,42.32,42.32,42.32,60,1333929600
ok,42.32,43.67,42.32,43.67,1976,1334016000
ok,43.67,43.67,42.32,42.32,1200,1334102400
ok,42.32,45.03,42.65,45.03,180,1334448000
ok,45.03,45.71,45.71,45.71,130,1334620800
ok,45.71,47.06,46.38,47.06,140,1334793600
ok,47.06,49.1,47.74,49.1,100,1335052800
ok,49.1,50.45,49.77,50.45,212,1335398400
ok,50.45,51.81,50.45,51.81,740,1335657600
ok,51.81,52.49,52.49,52.49,355,1335744000
ok,52.49,52.49,52.49,52.49,182,1336435200
ok,52.49,53.17,53.17,53.17,20,1337212800
ok,53.17,52.49,51.81,51.81,282,1337817600
ok,51.81,51.81,51.13,51.13,100,1341187200
ok,51.13,50.45,50.45,50.45,26,1352246400
ok,50.45,49.77,47.74,47.74,310,1353369600
ok,47.74,47.06,45.71,45.71,462,1354060800
ok,45.71,45.37,45.03,45.37,502,1354147200
ok,45.37,44.69,44.01,44.01,256,1359331200
ok,44.01,43.33,42.65,42.99,9172,1361318400
ok,42.99,42.99,42.99,42.99,50,1365638400
ok,42.99,42.32,42.32,42.32,60,1367884800
ok,42.32,41.98,41.64,41.64,20,1371513600
ok,41.64,41.3,40.28,40.28,132,1372636800
ok,40.28,39.94,39.94,39.94,60,1374019200
ok,39.94,40.28,40.28,40.28,50,1375315200
ok,40.28,40.62,40.62,40.62,202,1375833600
ok,40.62,40.96,40.96,40.96,30,1376438400
ok,40.96,41.98,41.3,41.98,60,1378684800
ok,41.98,42.99,42.32,42.99,86,1378771200
ok,42.99,45.03,42.99,45.03,140,1378857600
ok,45.03,45.71,45.71,45.71,20,1378944000
ok,45.71,45.37,45.37,45.37,100,1379203200
