s,o,h,l,c,v,t
ok,122.43,120.56,120.56,120.56,160,1326672000
ok,120.56,120.56,120.56,120.56,4800,1327190400
ok,120.56,118.69,118.69,118.69,20,1327968000
ok,118.69,120.56,120.56,120.56,1000,1330560000
ok,120.56,124.3,122.43,124.3,1950,1330819200
ok,124.3,128.04,126.17,128.04,2000,1330905600
ok,128.04,133.64,129.91,133.64,2280,1330992000
ok,133.64,135.51,135.51,135.51,480,1331510400
ok,135.51,133.64,133.64,133.64,1090,1332028800
ok,133.64,131.78,129.91,129.91,2170,1332806400
ok,129.91,129.91,129.91,129.91,1260,1332892800
ok,129.91,128.04,126.17,126.17,4810,1333238400
ok,126.17,124.3,122.43,122.43,5210,1333843200
ok,122.43,120.56,118.69,118.69,4600,1334188800
ok,118.69,120.56,120.56,120.56,700,1337472000
ok,120.56,118.69,116.82,116.82,4010,1338249600
ok,116.82,116.82,116.82,116.82,800,1338336000
ok,116.82,116.82,116.82,116.82,200,1339891200
ok,116.82,116.82,116.82,116.82,120,1398038400
ok,116.82,114.95,114.95,114.95,140,1398124800
ok,114.95,113.08,113.08,113.08,120,1398211200
ok,113.08,111.21,109.35,109.35,140,1401235200
ok,109.35,107.48,107.48,107.48,20,1401580800
ok,107.48,105.61,105.61,105.61,120,1401753600
ok,105.61,103.74,103.74,103.74,560,1401926400
ok,103.74,105.61,105.61,105.61,120,1403049600
ok,105.61,103.74,103.74,103.74,480,1404604800
ok,103.74,101.87,101.87,101.87,200,1405382400
ok,101.87,103.74,102.8,102.8,240,1405468800
ok,102.8,107.48,104.67,107.48,400,1405555200
ok,107.48,111.21,97.2,104.67,115560,1406678400
ok,104.67,108.41,104.67,108.41,14280,1407024000
ok,108.41,108.41,108.41,108.41,160,1407110400
ok,108.41,117.76,110.28,117.76,50,1407974400
ok,117.76,127.1,119.63,127.1,590,1408320000
ok,127.1,130.84,128.97,130.84,620,1408406400
ok,130.84,134.58,128.97,134.58,10360,1408579200
ok,134.58,138.32,136.45,136.45,360,1409184000
ok,136.45,137.38,137.38,137.38,80,1411257600
ok,137.38,135.51,135.51,135.51,510,1411344000
ok,135.51,135.51,135.51,135.51,520,1416441600
ok,135.51,136.45,136.45,136.45,100,1416700800
ok,136.45,134.58,134.58,134.58,140,1420070400
ok,134.58,132.71,132.71,132.71,120,1421539200
ok,132.71,145.79,134.58,145.79,330,1421625600
ok,145.79,146.73,146.73,146.73,120,1421712000
ok,146.73,160.75,149.53,160.75,820,1422230400
ok,160.75,163.55,160.75,160.75,130,1422403200
ok,160.75,163.55,163.55,163.55,250,1423008000
ok,163.55,163.55,160.75,160.75,280,1423526400
ok,160.75,166.36,163.55,164.49,260,1423612800
ok,164.49,167.29,164.49,167.29,300,1424304000
ok,167.29,164.49,164.49,164.49,200,1424563200
ok,164.49,167.29,164.49,167.29,2180,1424649600
ok,167.29,169.16,163.55,163.55,200,1424736000
ok,163.55,160.75,157.94,157.94,90,1429056000
ok,157.94,155.14,155.14,155.14,100,1429574400
ok,155.14,155.14,155.14,155.14,160,1432684800
ok,152.34,152.34,149.53,149.53,780,1435104000
ok,150.47,150.47,150.47,150.47,1010,1435795200
ok,147.66,147.66,135.51,135.51,10500,1436054400
ok,133.64,133.64,131.78,131.78,100,1436140800
ok,131.78,135.51,131.78,133.64,56640,1436227200
ok,118.69,126.17,118.69,126.17,100,1436918400
ok,126.17,135.51,128.04,135.51,20000,1437004800
ok,135.51,135.51,135.51,135.51,47420,1438128000
ok,137.38,137.38,137.38,137.38,20,1439856000
ok,139.25,139.25,139.25,139.25,20,1441238400
ok,141.12,141.12,141.12,141.12,20,1441497600
ok,143.93,143.93,142.99,142.99,340,1441756800
ok,145.79,149.53,141.12,143.93,850,1441843200
ok,146.73,150.47,146.73,150.47,160,1442448000
ok,147.66,147.66,147.66,147.66,20,1442880000
ok,150.47,150.47,150.47,150.47,20,1442966400
ok,153.27,153.27,147.66,147.66,410,1446508800
ok,147.66,147.66,147.66,147.66,2000,1447632000
ok,150.47,150.47,150.47,150.47,40,1448150400
ok,150.47,147.66,139.25,139.25,480,1448928000
ok,141.12,141.12,141.12,141.12,30,1449014400
ok,141.12,138.32,136.45,136.45,130,1450656000
ok,134.58,134.58,134.58,134.58,40,1450915200
ok,132.71,132.71,127.1,127.1,300,1451001600
ok,127.1,127.1,123.36,123.36,470,1451260800
ok,123.36,123.36,121.5,123.36,250,1451347200
ok,121.5,121.5,121.5,121.5,60,1451520000
ok,119.63,119.63,119.63,119.63,90,1451779200
ok,119.63,117.76,117.76,117.76,240,1451865600
ok,115.89,115.89,115.89,115.89,160,1451952000
ok,114.02,114.02,114.02,114.02,30,1452470400
ok,114.02,114.02,114.02,114.02,160,1452556800
ok,114.02,112.15,110.28,110.28,70,1452643200
ok,108.41,117.76,108.41,117.76,11060,1452729600
ok,117.76,119.63,119.63,119.63,50,1453334400
ok,121.5,130.84,121.5,130.84,60,1455408000
ok,132.71,143.93,132.71,143.93,2110,1455494400
ok,143.93,157.94,146.73,157.94,2670,1455580800
ok,157.94,163.55,160.75,163.55,35,1455667200
ok,163.55,166.36,166.36,166.36,20,1455753600
ok,169.16,174.77,169.16,171.96,65,1456099200
ok,174.77,171.96,170.09,171.03,583,1456185600
ok,171.03,168.22,162.62,162.62,30,1459641600
ok,162.62,159.81,149.53,149.53,750,1459728000
ok,146.73,146.73,146.73,146.73,100,1459814400
ok,146.73,143.93,138.32,138.32,400,1459900800
ok,138.32,148.6,139.25,148.6,1300,1460246400
ok,148.6,157.01,139.25,142.99,6550,1460332800
ok,142.99,146.73,140.19,143.93,2930,1460419200
ok,143.93,142.99,142.06,142.99,880,1460592000
ok,145.79,145.79,140.19,142.99,3410,1460851200
ok,142.99,145.79,140.19,145.79,2170,1460937600
ok,145.79,147.66,144.86,144.86,1200,1461024000
ok,144.86,147.66,142.06,147.66,8440,1461110400
ok,147.66,150.47,143.93,143.93,5950,1461196800
ok,143.93,141.12,141.12,141.12,300,1461456000
ok,141.12,146.73,142.99,146.73,5010,1461542400
ok,146.73,146.73,143.93,143.93,1040,1461628800
ok,143.93,153.27,146.73,152.34,3321,1461715200
ok,152.34,156.07,149.53,149.53,5320,1461801600
ok,149.53,155.14,152.34,155.14,3720,1462147200
ok,155.14,156.07,151.4,156.07,4949,1462233600
ok,156.07,154.21,154.21,154.21,105,1462320000
ok,154.21,151.4,148.6,148.6,400,1462406400
ok,151.4,159.81,151.4,159.81,630,1462752000
ok,159.81,159.81,159.81,159.81,100,1462838400
ok,159.81,157.01,154.21,154.21,100,1463356800
ok,152.34,152.34,152.34,152.34,690,1463443200
ok,152.34,155.14,154.21,155.14,250,1463529600
ok,155.14,157.94,152.34,152.34,400,1463616000
ok,152.34,155.14,150.47,150.47,2393,1463875200
ok,150.47,156.07,153.27,156.07,4015,1463961600
ok,156.07,154.21,153.27,154.21,1320,1464048000
ok,154.21,156.07,151.4,154.21,2210,1464134400
ok,154.21,152.34,152.34,152.34,230,1464220800
ok,152.34,157.01,155.14,156.07,1130,1464480000
ok,156.07,161.68,158.88,158.88,2350,1464566400
ok,158.88,158.88,158.88,158.88,360,1464652800
ok,158.88,158.88,156.07,158.88,200,1464739200
ok,158.88,158.88,158.88,158.88,800,1464825600
ok,158.88,157.94,153.27,153.27,780,1465084800
ok,153.27,156.07,155.14,155.14,1020,1465171200
ok,157.01,157.01,154.21,154.21,2620,1465257600
ok,154.21,154.21,151.4,151.4,1500,1465430400
ok,151.4,152.34,150.47,150.47,1040,1465689600
ok,150.47,150.47,149.53,149.53,1325,1465776000
ok,152.34,158.88,152.34,156.07,2000,1465862400
ok,154.21,165.42,154.21,162.62,4210,1465948800
ok,163.55,179.44,163.55,179.44,1835,1466035200
ok,179.44,179.44,176.64,176.64,330,1466294400
ok,176.64,175.7,168.22,168.22,3850,1466380800
ok,168.22,185.05,171.03,185.05,13440,1466467200
ok,187.85,191.59,184.11,187.85,3210,1466553600
ok,187.85,187.85,181.31,185.98,2760,1466640000
ok,185.98,203.74,188.79,203.74,6750,1466899200
ok,203.74,201.87,193.46,197.2,2320,1466985600
ok,197.2,205.61,196.26,202.8,2490,1467072000
ok,202.8,220.56,206.54,211.21,5465,1467158400
ok,211.21,214.95,205.61,205.61,1840,1467244800
ok,205.61,209.35,205.61,205.61,1700,1467504000
ok,205.61,205.61,202.8,202.8,3925,1467590400
ok,200.93,200.93,200.0,200.0,1300,1467676800
ok,203.74,219.63,200.93,219.63,21398,1467763200
ok,219.63,223.36,215.89,218.69,7160,1468108800
ok,218.69,214.95,214.95,214.95,300,1468195200
ok,214.95,213.08,207.48,209.35,4800,1468281600
ok,209.35,209.35,198.13,209.35,1145,1468368000
ok,213.08,216.82,209.35,216.82,3690,1468454400
ok,216.82,216.82,205.61,205.61,1200,1468713600
ok,205.61,209.35,205.61,205.61,3400,1468800000
ok,205.61,205.61,203.74,203.74,3360,1468886400
ok,207.48,218.69,207.48,213.08,7200,1468972800
ok,213.08,228.04,215.89,219.63,7065,1469059200
ok,219.63,241.12,219.63,241.12,15225,1469404800
ok,241.12,264.49,245.79,264.49,21474,1469491200
ok,264.49,290.65,269.16,290.65,29020,1469577600
ok,290.65,307.48,270.09,279.44,10903,1469664000
ok,279.44,285.98,266.36,285.98,8955,1469923200
ok,285.98,280.37,261.68,272.9,7281,1470009600
ok,272.9,269.16,255.14,255.14,2780,1470096000
ok,255.14,257.01,254.21,254.21,1420,1470182400
ok,254.21,257.01,243.93,247.66,5161,1470268800
ok,247.66,247.66,238.32,238.32,3600,1470528000
ok,238.32,233.64,233.64,233.64,100,1470614400
ok,238.32,252.34,238.32,252.34,2068,1470787200
ok,257.01,257.01,247.66,247.66,1000,1470873600
ok,242.99,242.99,238.32,238.32,900,1471132800
ok,233.64,233.64,222.43,224.3,3050,1471219200
ok,218.69,218.69,218.69,218.69,10,1471305600
ok,222.43,240.19,222.43,240.19,850,1471392000
ok,238.32,247.66,238.32,242.99,910,1471737600
ok,238.32,242.99,238.32,242.99,1200,1471824000
ok,238.32,238.32,228.97,228.97,2100,1472688000
ok,232.71,232.71,232.71,232.71,10,1472947200
ok,228.97,255.14,228.97,252.34,2310,1473033600
ok,257.01,271.03,244.86,244.86,3415,1473120000
ok,240.19,247.66,240.19,247.66,1340,1473206400
ok,247.66,252.34,247.66,252.34,210,1473292800
ok,257.01,257.01,252.34,252.34,300,1473552000
ok,250.47,250.47,250.47,250.47,400,1473811200
