s,o,h,l,c,v,t
ok,75.55,77.53,75.55,77.53,1200,1409529600
ok,77.53,78.53,78.53,78.53,500,1409702400
ok,78.53,79.52,79.52,79.52,100,1410912000
ok,79.52,79.52,79.52,79.52,500,1411344000
ok,79.52,79.52,79.52,79.52,210,1413158400
ok,79.52,79.52,79.52,79.52,3000,1413244800
ok,79.52,78.53,73.89,73.89,60,1415577600
ok,73.89,72.9,69.25,69.25,590,1415664000
ok,69.25,68.59,68.59,68.59,110,1415750400
ok,68.59,69.25,69.25,69.25,100,1416182400
ok,69.25,68.59,67.27,67.27,510,1417392000
ok,67.27,66.94,63.62,66.94,5760,1417478400
ok,66.94,66.27,65.61,65.61,10880,1417564800
ok,65.61,66.27,66.27,66.27,2000,1417651200
ok,66.27,66.6,65.28,66.6,2740,1417910400
ok,66.6,67.27,67.27,67.27,500,1417996800
ok,67.27,69.25,67.93,69.25,150,1418083200
ok,69.25,69.25,68.59,69.25,250,1418169600
ok,69.25,70.25,68.59,68.59,2150,1418601600
ok,68.59,68.59,67.93,67.93,600,1418688000
ok,67.93,67.93,67.93,67.93,120,1419206400
ok,67.93,67.6,66.94,66.94,130,1419292800
ok,66.94,66.27,66.27,66.27,50,1420416000
ok,66.27,65.61,64.95,64.95,650,1420502400
ok,64.95,64.29,64.29,64.29,110,1421020800
ok,64.29,63.62,63.62,63.62,60,1421193600
ok,63.62,64.29,64.29,64.29,1000,1421539200
ok,64.29,64.95,64.95,64.95,300,1421625600
ok,64.95,65.61,65.61,65.61,300,1421884800
ok,65.61,66.27,66.27,66.27,500,1422144000
ok,66.27,68.92,66.94,68.92,440,1422230400
ok,68.92,70.25,69.59,70.25,890,1422316800
ok,70.25,73.89,71.24,73.89,1560,1422489600
ok,73.89,76.87,74.89,74.89,4010,1422835200
ok,74.89,73.89,73.89,73.89,550,1422921600
ok,73.89,73.56,72.57,72.57,1500,1423008000
ok,72.57,71.57,71.57,71.57,2000,1423353600
ok,71.57,70.58,70.58,70.58,100,1423440000
ok,70.58,69.92,69.25,69.25,6300,1423526400
ok,69.25,69.92,69.92,69.92,350,1424304000
ok,69.92,70.25,70.25,70.25,3000,1424649600
ok,70.25,71.24,71.24,71.24,130,1424822400
ok,71.24,72.24,72.24,72.24,120,1425168000
ok,72.24,73.23,72.24,72.24,2940,1425427200
ok,72.24,75.22,73.23,75.22,150,1425859200
ok,75.22,74.55,74.22,74.55,12500,1425945600
ok,74.55,75.55,75.55,75.55,540,1426032000
ok,75.55,80.85,76.54,80.85,1000,1426377600
ok,80.85,86.81,79.85,79.85,10500,1426464000
ok,79.85,80.18,80.18,80.18,500,1426550400
